OG0011318.4	OG0000750.0	OG0015415.0	OG0008015.25	OG0015416.2	OG0001778.24	OG0000065.1	OG0000065.40	OG0013106.2	OG0001699.1	OG0020502.0	OG0001016.1	OG0001842.34	OG0001698.26	OG0002651.6	OG0001567.1	OG0001309.24	OG0014063.4	OG0000749.2	OG0008099.0	OG0001843.5	OG0001566.2	OG0001824.24	OG0006297.0	OG0001964.1	OG0002101.0	OG0000711.2	OG0000441.96	OG0002012.0	OG0014068.0	OG0000310.18	OG0005575.28	OG0000869.2	OG0001602.32	OG0001711.10	OG0003151.14	OG0001823.24	OG0001907.32	OG0002178.2	OG0011319.4	OG0000441.1	OG0000471.2	OG0000740.26	OG0000606.2	OG0013273.0	OG0003001.0	OG0000646.28	OG0005567.0	OG0002348.56	OG0001579.36	OG0001741.1	OG0002787.0	OG0028281.0	OG0000038.0	OG0001643.24
0.312878989752	1.7470267205400003	0.0	nan	0.009580533471	0.987880433689	0.048481179496999996	5.227177241297	nan	0.512553014143	0.38092232668000003	0.6387244718639999	1.001173559124	0.6943115457	0.829812815699	0.5561097237100001	0.9550395227259999	0.043097023394999996	1.281508523635	1.293794236203	2.025378495699	1.188815827236	0.6919363004819999	0.5845800191030001	1.238041151621	1.0126962037	1.131178962348	0.629996928883	0.508339467612	0.071304985591	2.2305287432589997	0.36957743239600005	0.575981330023	1.1767151842380001	1.218524479024	1.3094080275120001	0.8103202100319999	1.1220020396050001	1.612107508356	0.6310882892490001	0.39042435331	2.077047154	0.557334730349	1.4076544377140001	2.600152618291	1.058354805284	0.277102731605	1.339580822794	1.710932396966	1.6301977608379998	0.5734680332050001	1.479565170855	nan	2.473262479912	0.369064679103
OG0028236.0	OG0003819.2	OG0025907.0	OG0045769.0	OG0018879.5	OG0056907.0	OG0014783.4	OG0027534.0	OG0006939.0	OG0022586.0	OG0038762.0	OG0005507.10	OG0028248.0	OG0018613.3	OG0015514.3	OG0018088.4	OG0003133.0	OG0012207.4	OG0005627.0	OG0016437.3	OG0006862.8	OG0004426.0	OG0060344.0	OG0010505.0	OG0046263.0	OG0009017.0	OG0038795.0	OG0005199.18	OG0015242.6	OG0010703.0	OG0046249.0	OG0001937.2	OG0000001.969	OG0012353.4	OG0044897.0	OG0019508.0	OG0022230.0	OG0005150.0	OG0019680.0	OG0048971.0	OG0000138.166	OG0006606.0	OG0014999.6	OG0022608.0	OG0029599.0	OG0035722.0	OG0022899.0	OG0027663.0	OG0000704.0	OG0010577.0	OG0001677.2	OG0025886.0	OG0006105.0	OG0044057.0	OG0023030.0
nan	0.291249042116	nan	nan	nan	nan	0.054099082433000004	nan	0.5655461713359999	nan	nan	0.577578763076	nan	nan	nan	nan	0.37049193371600003	0.892953778274	0.537910475673	nan	0.442640002377	1.075566929457	nan	0.266898484664	nan	1.834709661594	nan	0.195905961767	0.34298761596999994	0.543375939815	nan	0.37728090626500005	nan	0.646415243621	nan	nan	0.587382996085	2.2550118941879997	nan	nan	1.035412130315	0.336442942443	nan	nan	nan	nan	nan	nan	0.588144762405	1.126368817253	2.1400280978349997	0.514095504693	1.304962707516	nan	nan
OG0041907.0	OG0046872.0	OG0053857.0	OG0014771.0	OG0047016.0	OG0045126.0	OG0005106.0	OG0012181.8	OG0034884.0	OG0004744.2	OG0012392.13	OG0014699.4	OG0010555.1	OG0000761.6	OG0000512.150	OG0000624.3	OG0016021.0	OG0001124.24	OG0057462.0	OG0000203.0	OG0013468.3	OG0027449.0	OG0047385.0	OG0041818.0	OG0004435.0	OG0000643.24	OG0046157.0	OG0011350.0	OG0013913.5	OG0022915.0	OG0003140.0	OG0007212.0	OG0021007.0	OG0010168.13	OG0008612.2	OG0035796.0	OG0002426.4	OG0002434.0	OG0047365.0	OG0017936.0	OG0008652.9	OG0011897.10	OG0025734.0	OG0046081.0	OG0047356.0	OG0020922.0	OG0018795.6	OG0010883.0	OG0014727.4	OG0014132.4	OG0048162.0	OG0003930.0	OG0014722.4	OG0012245.0	OG0024906.0
nan	nan	nan	0.794023834734	nan	nan	1.606483505003	0.5504662093	nan	1.403797675365	nan	0.680202927942	nan	0.9919146006910001	1.560913920945	2.269913983003	1.33782323372	0.540351891592	nan	1.597253987864	0.269139618515	0.19207221235199998	nan	nan	1.169116931638	0.894790682291	nan	1.0351361256309999	0.276098850646	nan	1.130767594431	0.22761295310199997	nan	0.0	1.070761198467	nan	nan	1.6533566841549998	nan	0.26209427809	0.929928145282	0.033371517708	nan	nan	nan	0.235754638812	nan	0.239988025322	0.394052680682	0.566019205615	nan	1.725784814251	0.784289923505	0.120403099789	nan
OG0002885.12	OG0029115.0	OG0044657.0	OG0024481.0	OG0025858.0	OG0047582.0	OG0045654.0	OG0045721.0	OG0018059.0	OG0002010.0	OG0003257.4	OG0003545.0	OG0037979.0	OG0041843.0	OG0022912.0	OG0027041.0	OG0013467.4	OG0021303.0	OG0001177.22	OG0038760.0	OG0054034.0	OG0012977.2	OG0028105.0	OG0041589.0	OG0057417.0	OG0009110.6	OG0017974.4	OG0043610.0	OG0021965.0	OG0003871.0	OG0011264.6	OG0012306.14	OG0008219.0	OG0004819.4	OG0005260.0	OG0013227.7	OG0002441.0	OG0000514.0	OG0047378.0	OG0019883.0	OG0008694.0	OG0001072.136	OG0019580.0	OG0027649.0	OG0008761.0	OG0004420.2	OG0011440.0	OG0000673.8	OG0027871.0	OG0046491.0	OG0018929.0	OG0003471.0	OG0006880.13	OG0047351.0	OG0037683.0
1.895245989185	nan	nan	0.068018863787	1.006400651785	nan	nan	nan	0.557227939592	2.03702611731	2.023503217656	1.526086560395	nan	nan	nan	nan	0.266084691863	0.529968117633	1.901000486744	nan	nan	0.341644972885	nan	nan	nan	0.31751020936	nan	nan	2.441502088662	2.051232226395	0.325672430247	nan	1.284814114834	1.074559728569	0.998216736239	nan	1.725728769846	2.689154974738	nan	nan	0.21555800412300002	0.296245099474	0.118869306666	1.613302319145	0.104841681942	1.24892655134	1.0354690968109999	1.620622420751	nan	nan	2.109342256755	1.30088516799	0.108433602757	nan	nan
OG0024750.0	OG0006637.5	OG0001931.1	OG0003106.0	OG0019969.0	OG0020722.0	OG0013648.4	OG0010967.2	OG0013639.0	OG0041806.0	OG0025127.0	OG0016148.4	OG0006142.4	OG0002108.0	OG0027532.0	OG0003055.24	OG0011204.0	OG0007916.2	OG0001497.24	OG0038630.0	OG0005463.3	OG0013170.9	OG0009212.2	OG0015003.6	OG0023946.0	OG0017784.2	OG0022918.0	OG0000759.38	OG0020423.0	OG0004606.1	OG0020495.0	OG0038798.0	OG0002704.28	OG0046190.0	OG0047393.0	OG0045064.0	OG0046044.0	OG0004556.0	OG0057022.0	OG0046710.0	OG0057420.0	OG0024365.0	OG0004073.8	OG0002928.0	OG0057253.0	OG0034257.0	OG0035863.0	OG0001439.24	OG0053881.0	OG0007519.0	OG0006255.2	OG0011433.8	OG0038814.0	OG0020537.0	OG0006713.0
nan	0.49610754671400004	0.164131542805	1.293035939999	nan	0.78915956558	0.32462380385	0.486520863995	0.753909532747	nan	0.453666069124	0.216449669532	1.690214745274	2.70852632898	0.041885660219999996	1.274646266619	0.967036267005	0.716721186688	0.593876204139	nan	1.1402654313660001	nan	1.3856143446509999	0.15045882545999997	nan	0.7072298653219999	0.540900242005	0.440778914215	0.373461113605	0.624259744761	0.053105974434	nan	0.33062158763599997	nan	nan	nan	nan	0.342127152288	nan	nan	nan	nan	0.63715497973	0.839394306818	nan	nan	nan	1.1112836597	nan	0.713452865643	0.19551235935	0.22354605326299998	nan	0.20950686508299998	0.515792043027
OG0003851.24	OG0026501.0	OG0029079.0	OG0021325.0	OG0035832.0	OG0007919.2	OG0006317.0	OG0018484.6	OG0002201.2	OG0046204.0	OG0029261.0	OG0038115.0	OG0038124.0	OG0044043.0	OG0006989.7	OG0048997.0	OG0045211.0	OG0012965.0	OG0015234.2	OG0002344.91	OG0029129.0	OG0027750.0	OG0007598.0	OG0029095.0	OG0011666.0	OG0009245.0	OG0012930.0	OG0010946.12	OG0022582.0	OG0025909.0	OG0004545.0	OG0006247.0	OG0019022.3	OG0045013.0	OG0035721.0	OG0037946.0	OG0044146.0	OG0037880.0	OG0029177.0	OG0026315.0	OG0018780.6	OG0047174.0	OG0006146.0	OG0008607.0	OG0028284.0	OG0027719.0	OG0047603.0	OG0034541.0	OG0020783.0	OG0005164.5	OG0025502.0	OG0015349.0	OG0004967.2	OG0010706.0	OG0002272.22
