OG0002252.0	OG0022826.0	OG0000606.2	OG0006400.2	OG0004324.0	OG0000019.257	OG0001967.0	OG0006804.0	OG0002346.16	OG0000835.7	OG0000177.8
-0.006720336416998766	nan	0.5143631591319802	1.446923653234134	0.9956940807452876	0.050528128990071	1.5882904172534085	1.4202738952916638	0.7892010360271158	0.05665574585056997	1.5266319293220363
OG0044334.0	OG0010586.2	OG0000629.1	OG0028073.0	OG0022890.0	OG0038662.0	OG0047539.0	OG0022782.0	OG0011077.1	OG0015546.3	OG0006718.7
nan	0.11076421096169296	0.28874485167453734	nan	nan	nan	nan	nan	nan	nan	nan
OG0000008.1	OG0002100.0	OG0003138.0	OG0013583.0	OG0049159.0	OG0046415.0	OG0000894.25	OG0013017.9	OG0011933.0	OG0024685.0	OG0013182.2
1.8547603094392247	-0.5470149372416064	0.7176972367723529	0.838459638865953	nan	nan	-0.6100137904167079	1.2754296377507535	0.14116214371398375	nan	1.3787106034036056
OG0057016.0	OG0016768.5	OG0009897.1	OG0000015.1	OG0047017.0	OG0008348.0	OG0000051.490	OG0056740.0	OG0004260.3	OG0027786.0	OG0046622.0
nan	nan	2.003807468141035	2.29828072914292	nan	0.9921259678446491	nan	nan	0.26396223334411695	nan	nan
OG0012777.0	OG0009928.2	OG0020540.0	OG0004907.8	OG0002233.0	OG0024292.0	OG0005591.5	OG0014692.1	OG0048836.0	OG0027043.0	OG0000426.114
3.1311791853714297	2.6569731492379405	-0.2305437581834791	0.13069813812037798	-0.3089738449077382	nan	0.9167456177687228	3.1407802044226867	nan	1.294163814077738	nan
OG0056994.0	OG0004857.5	OG0034922.0	OG0027532.0	OG0005805.2	OG0047561.0	OG0025860.0	OG0047113.0	OG0000759.38	OG0012064.0	OG0018900.3
nan	0.537955923268569	nan	-0.5752400947576881	1.336369242039976	nan	1.2693576744932882	nan	-1.1325200592339846	1.5446259195510366	nan
OG0006365.0	OG0041869.0	OG0022275.0	OG0013569.4	OG0019315.0	OG0045380.0	OG0007125.8	OG0000698.19	OG0023094.0	OG0007387.6	OG0034832.0
1.6305623592713412	nan	3.526246502263528	3.3163002709611953	nan	nan	0.9349253534764557	-0.714282402270904	nan	0.27193745315369344	nan
OG0045687.0	OG0000988.1	OG0018406.0	OG0019024.4	OG0048796.0	OG0038795.0	OG0044796.0	OG0019849.0	OG0006853.0	OG0024731.0	OG0024669.0
