OG0012926.0	OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
3.0	31.0	29.0	27.0	93.0
OG0001308.24	OG0002122.0	OG0018896.0	OG0000001.1420	OG0001144.24
27.0	27.0	3.0	107.0	27.0
OG0006199.1	OG0000726.25	OG0001232.24	OG0002051.0	OG0000999.14
3.0	29.0	27.0	27.0	30.0
OG0016043.0	OG0001207.24	OG0000126.1	OG0000599.0	OG0000754.0
3.0	27.0	56.0	44.0	27.0
OG0001859.0	OG0000900.25	OG0010774.7	OG0001160.24	OG0001100.24
28.0	27.0	3.0	27.0	27.0
OG0001735.3	OG0001080.1	OG0000829.5	OG0001798.0	OG0007621.8
27.0	27.0	27.0	27.0	3.0
OG0000816.36	OG0001306.1	OG0001011.1	OG0007917.0	OG0000503.62
27.0	27.0	27.0	3.0	27.0
OG0000865.1	OG0000367.3	OG0001516.22	OG0002051.0	OG0014737.1
29.0	28.0	27.0	27.0	3.0
OG0001869.2	OG0002072.0	OG0000752.42	OG0001260.24	OG0017891.0
28.0	27.0	27.0	27.0	3.0
OG0001191.24	OG0016000.4	OG0001667.0	OG0001370.24	OG0001724.10
27.0	3.0	30.0	27.0	28.0
OG0001089.2	OG0011708.0	OG0001442.1	OG0000339.0	OG0002094.0
33.0	3.0	27.0	34.0	27.0
OG0002151.0	OG0008338.4	OG0000420.0	OG0002042.0	OG0001410.24
27.0	4.0	49.0	27.0	27.0
OG0001067.24	OG0002124.0	OG0014662.0	OG0000456.0	OG0000850.12
27.0	27.0	3.0	32.0	29.0
OG0000702.24	OG0000941.24	OG0001369.26	OG0002141.0	OG0007323.1
29.0	28.0	27.0	27.0	3.0
OG0000766.0	OG0002139.0	OG0002003.1	OG0002169.0	OG0020435.0
34.0	27.0	27.0	27.0	3.0
OG0000074.1	OG0001023.7	OG0008502.5	OG0000833.0	OG0001028.24
29.0	28.0	3.0	27.0	27.0
OG0010535.9	OG0000846.25	OG0001420.22	OG0000815.24	OG0000011.866
4.0	27.0	27.0	30.0	122.0
OG0001382.24	OG0010148.0	OG0002075.0	OG0001130.24	OG0001450.26
27.0	3.0	27.0	27.0	27.0
OG0001640.7	OG0001803.6	OG0001492.24	OG0001865.0	OG0016187.1
27.0	28.0	27.0	27.0	3.0
OG0001246.24	OG0001130.24	OG0001070.26	OG0001242.28	OG0017912.0
27.0	27.0	27.0	27.0	3.0
OG0001315.24	OG0015317.0	OG0001211.24	OG0001083.26	OG0001180.24
27.0	4.0	27.0	27.0	27.0
OG0001042.5	OG0001772.0	OG0001405.24	OG0004022.1	OG0002095.0
27.0	27.0	27.0	4.0	27.0
OG0001043.2	OG0000223.2	OG0001329.24	OG0002013.0	OG0016699.2
27.0	47.0	27.0	27.0	3.0
OG0000054.0	OG0007034.0	OG0000653.1	OG0002156.0	OG0002203.0
90.0	3.0	28.0	27.0	27.0
OG0016205.4	OG0001011.1	OG0001362.22	OG0000160.4	OG0001388.12
3.0	27.0	27.0	50.0	29.0
OG0001505.24	OG0000662.1	OG0001186.24	OG0000046.1	OG0004792.0
27.0	27.0	27.0	53.0	6.0
OG0000978.1	OG0011161.4	OG0000048.122	OG0000532.9	OG0000018.1
27.0	3.0	40.0	27.0	56.0
OG0001066.26	OG0002106.0	OG0001987.0	OG0012755.0	OG0000973.2
27.0	27.0	27.0	4.0	27.0
