OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
0.015377100000000001	1e-07	1e-07	nan	nan	1e-07	0.07124989999999999	1e-07	1e-07	0.039691199999999996	1e-07	nan	0.0955431	1e-07	1e-07	0.00915264	1e-07	1e-07	1e-07	1e-07	nan
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
0.0187078	nan	0.00491206	0.0391751	1e-07	1e-07	nan	1e-07	1e-07	1e-07	1e-07	0.032477299999999994	1e-07	nan	1e-07	1e-07	1e-07	1e-07	1e-07	nan	1e-07
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
1e-07	1e-07	1e-07	1e-07	0.0391751	nan	1e-07	1e-07	1e-07	1e-07	1e-07	0.042629900000000005	1e-07	1e-07	1e-07	nan	nan	1e-07	1e-07	1e-07	nan
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
1e-07	nan	1e-07	1e-07	1e-07	1e-07	0.0384099	1e-07	1e-07	1e-07	nan	nan	0.00998388	1e-07	1e-07	1e-07	nan	1e-07	0.00988241	0.0884658	0.016900599999999998
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	nan	1e-07	1e-07	nan	1e-07	1e-07	1e-07	nan	1e-07	0.014519299999999999	1e-07	1e-07	1e-07	1e-07
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
1e-07	1e-07	0.00152057	1e-07	nan	nan	1e-07	1e-07	nan	0.0179804	0.026213	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	nan	1e-07	1e-07	1e-07
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0013029.10	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0018631.3	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
1e-07	nan	0.037893300000000005	0.0255116	nan	1e-07	nan	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	0.022887	1e-07	1e-07	nan	1e-07	0.00988241	0.0455297	1e-07
OG0001753.20	OG0004473.2	OG0002419.38	OG0001972.1	OG0001921.0	OG0000074.152	OG0041803.0	OG0000169.16	OG0000246.0	OG0018627.0	OG0004453.2	OG0001776.0	OG0000780.24	OG0000054.0	OG0013059.0	OG0010749.0	OG0005466.0	OG0000060.0	OG0007990.1	OG0001731.4	OG0000239.0
1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	nan	1e-07	1e-07	nan	1e-07	1e-07	1e-07	1e-07	nan	1e-07	1e-07	1e-07	nan	1e-07	0.00892909
OG0000015.1	OG0005693.0	OG0007186.0	OG0000000.305	OG0001319.1	OG0000323.43	OG0001619.0	OG0000007.976	OG0000318.0	OG0000746.0	OG0005282.0	OG0000350.8	OG0000121.128	OG0027642.0	OG0002940.48	OG0014044.0	OG0004511.10	OG0043935.0	OG0000391.20	OG0008180.1	OG0003696.0
0.00547499	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	0.032477299999999994	1e-07	1e-07	1e-07	0.037032499999999996	nan	0.1	nan	1e-07	nan	0.019933799999999998	1e-07	1e-07
OG0001150.24	OG0013523.0	OG0004749.2	OG0007208.0	OG0010591.0	OG0002487.0	OG0002614.0	OG0002519.0	OG0000486.2	OG0000000.3460	OG0003922.0	OG0000749.2	OG0008106.2	OG0020922.0	OG0000196.0	OG0003156.4	OG0002181.0	OG0057236.0	OG0000039.0	OG0000239.0	OG0001538.6
1e-07	nan	1e-07	1e-07	nan	1e-07	0.1	1e-07	1e-07	1e-07	1e-07	0.0179804	1e-07	nan	1e-07	1e-07	1e-07	nan	1e-07	0.00892909	0.0174421
OG0000838.0	OG0004239.0	OG0002777.4	OG0001089.2	OG0008596.4	OG0041847.0	OG0001829.22	OG0000364.1	OG0009147.1	OG0000009.921	OG0006877.0	OG0001064.24	OG0000442.2	OG0000196.0	OG0003956.4	OG0000473.1	OG0003735.2	OG0000112.0	OG0010906.0	OG0000102.0	OG0005885.2
1e-07	0.0400114	1e-07	1e-07	1e-07	nan	0.00996521	1e-07	nan	0.00983472	1e-07	1e-07	1e-07	1e-07	0.035280599999999995	nan	0.0225208	1e-07	nan	1e-07	1e-07
OG0000011.866	OG0005416.0	OG0045182.0	OG0012224.0	OG0000575.28	OG0007208.0	OG0003494.6	OG0002860.1	OG0004971.4	OG0000598.0	OG0000411.0	OG0000081.1	OG0001806.0	OG0000007.585	OG0000047.282	OG0008435.15	OG0014066.4	OG0002138.0	OG0008127.0	OG0004292.0	OG0000239.0
1e-07	1e-07	nan	nan	0.0391751	1e-07	1e-07	1e-07	1e-07	1e-07	0.04846040000000001	0.042629900000000005	1e-07	1e-07	1e-07	nan	nan	1e-07	1e-07	1e-07	0.00892909
OG0000044.1	OG0001753.20	OG0000018.842	OG0013963.0	OG0006286.4	OG0044536.0	OG0005137.0	OG0020719.0	OG0001528.16	OG0003304.0	OG0003514.0	OG0005265.10	OG0000169.16	OG0004933.6	OG0001168.24	OG0004467.6	OG0000519.26	OG0000047.282	OG0000060.0	OG0000002.1788	OG0005517.0
1e-07	1e-07	1e-07	nan	nan	nan	1e-07	nan	1e-07	1e-07	0.0384099	1e-07	1e-07	1e-07	1e-07	1e-07	0.014334799999999998	1e-07	1e-07	1e-07	1e-07
OG0000011.866	OG0002682.12	OG0015299.0	OG0000663.26	OG0000074.152	OG0011454.0	OG0003630.6	OG0000318.0	OG0002211.0	OG0006328.0	OG0006859.2	OG0000350.8	OG0007546.0	OG0002486.16	OG0006802.11	OG0000584.0	OG0018186.0	OG0041603.0	OG0000127.0	OG0004437.0	OG0003155.34
1e-07	1e-07	nan	1e-07	1e-07	1e-07	1e-07	0.032477299999999994	1e-07	nan	1e-07	1e-07	1e-07	1e-07	1e-07	0.124526	nan	nan	1e-07	1e-07	1e-07
OG0002954.0	OG0000310.18	OG0001557.1	OG0004226.0	OG0006642.0	OG0000010.64	OG0004989.0	OG0011211.0	OG0005109.6	OG0002009.0	OG0000349.0	OG0002448.22	OG0003197.4	OG0004238.6	OG0005057.0	OG0000027.457	OG0002768.0	OG0000302.34	OG0000753.0	OG0046003.0	OG0001851.2
1e-07	0.037893300000000005	0.0128457	1e-07	nan	1e-07	nan	1e-07	1e-07	1e-07	1e-07	0.000530084	1e-07	1e-07	1e-07	0.00241394	nan	1e-07	1e-07	nan	nan
OG0048136.0	OG0004326.0	OG0000700.36	OG0029221.0	OG0003073.0	OG0000100.1	OG0001301.24	OG0004113.4	OG0007309.0	OG0000169.16	OG0000338.41	OG0002449.21	OG0012206.0	OG0000121.128	OG0000857.0	OG0009061.6	OG0007555.0	OG0005939.0	OG0006414.0	OG0000002.1788	OG0000239.0
nan	1e-07	0.016628099999999996	nan	1e-07	1e-07	1e-07	1e-07	nan	1e-07	0.0165488	1e-07	nan	0.037032499999999996	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	0.00892909
OG0009779.2	OG0006236.0	OG0007778.4	OG0005266.0	OG0004694.0	OG0000616.40	OG0004460.9	OG0002185.6	OG0014516.2	OG0000318.0	OG0028566.0	OG0001155.24	OG0004737.6	OG0005099.0	OG0000121.128	OG0000035.64	OG0004569.0	OG0000142.14	OG0003459.2	OG0000039.0	OG0000431.12
nan	nan	1e-07	0.034203	1e-07	1e-07	1e-07	0.052137800000000005	nan	0.032477299999999994	nan	1e-07	1e-07	1e-07	0.037032499999999996	1e-07	1e-07	1e-07	1e-07	1e-07	0.0471691
OG0034744.0	OG0003521.2	OG0000231.0	OG0009811.0	OG0019288.0	OG0000100.1	OG0000090.24	OG0000187.1	OG0003630.6	OG0000009.921	OG0006577.0	OG0011881.8	OG0005229.4	OG0004960.0	OG0000121.128	OG0001030.26	OG0000857.0	OG0000658.0	OG0002939.24	OG0003505.8	OG0007494.0
nan	1e-07	0.0438719	1e-07	nan	1e-07	1e-07	1e-07	1e-07	0.00983472	nan	nan	1e-07	1e-07	0.037032499999999996	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07
OG0005479.0	OG0001409.1	OG0002260.4	OG0028958.0	OG0004183.0	OG0004580.6	OG0000343.0	OG0000451.0	OG0000200.0	OG0000246.0	OG0000349.0	OG0001785.1	OG0021227.0	OG0005438.0	OG0005184.0	OG0000699.1	OG0007825.2	OG0006513.0	OG0006820.0	OG0000102.0	OG0000039.0
1e-07	1e-07	1e-07	nan	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	nan	1e-07	nan	1e-07	1e-07	nan	1e-07	1e-07	1e-07
OG0012767.2	OG0000483.0	OG0000480.64	OG0004326.0	OG0007208.0	OG0000007.3	OG0005315.0	OG0001656.2	OG0005640.2	OG0000032.252	OG0000349.0	OG0000411.0	OG0000779.1	OG0022190.0	OG0000442.2	OG0000042.314	OG0045552.0	OG0004560.0	OG0017937.0	OG0005856.2	OG0010757.0
nan	0.038128800000000004	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	0.04846040000000001	0.0267129	nan	1e-07	1e-07	nan	1e-07	nan	1e-07	1e-07
OG0001610.50	OG0000575.28	OG0005222.2	OG0001656.2	OG0004565.2	OG0012686.0	OG0000616.40	OG0000486.2	OG0001701.8	OG0004469.6	OG0041632.0	OG0010723.0	OG0000269.0	OG0005892.2	OG0000350.8	OG0000088.3	OG0005184.0	OG0000027.457	OG0016571.1	OG0006625.0	OG0002132.0
1e-07	0.0391751	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	nan	1e-07	0.026213	1e-07	1e-07	1e-07	nan	0.00241394	nan	nan	1e-07
OG0000015.1	OG0003686.4	OG0007429.0	OG0011774.16	OG0001575.2	OG0000421.80	OG0012106.0	OG0003731.0	OG0000486.2	OG0007145.0	OG0000537.8	OG0004744.2	OG0000350.8	OG0000779.1	OG0000145.16	OG0003327.0	OG0021336.0	OG0001608.24	OG0000391.20	OG0000002.1788	OG0000239.0
0.00547499	1e-07	nan	nan	1e-07	1e-07	nan	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	0.0267129	1e-07	1e-07	nan	1e-07	0.019933799999999998	1e-07	0.00892909
OG0000011.866	OG0000119.0	OG0000976.24	OG0022594.0	OG0003745.1	OG0005239.0	OG0000638.38	OG0000109.0	OG0004975.0	OG0010686.0	OG0007401.0	OG0003826.6	OG0000343.0	OG0000746.0	OG0002791.5	OG0000350.8	OG0000805.29	OG0011155.4	OG0000302.34	OG0006461.4	OG0018187.0
1e-07	0.0744869	1e-07	nan	nan	1e-07	1e-07	1e-07	0.0616404	1e-07	1e-07	1e-07	1e-07	1e-07	0.0372096	1e-07	1e-07	nan	1e-07	1e-07	nan
OG0018068.3	OG0000139.0	OG0003494.6	OG0000748.0	OG0000559.30	OG0000923.0	OG0005685.0	OG0003623.8	OG0003535.14	OG0012533.6	OG0000749.2	OG0002791.5	OG0007835.4	OG0006082.0	OG0000265.0	OG0009123.2	OG0004046.0	OG0000012.918	OG0001435.1	OG0057499.0	OG0000239.0
nan	1e-07	1e-07	1e-07	0.00534052	1e-07	0.0401529	1e-07	1e-07	nan	0.0179804	0.0372096	nan	1e-07	1e-07	1e-07	1e-07	0.00988241	1e-07	nan	0.00892909
OG0002008.0	OG0002511.6	OG0008932.0	OG0000815.24	OG0000018.289	OG0004473.2	OG0004611.1	OG0004836.2	OG0000923.0	OG0002882.0	OG0000105.0	OG0007777.2	OG0006547.0	OG0000160.4	OG0060400.0	OG0002869.0	OG0000196.0	OG0001776.0	OG0000589.0	OG0022191.0	OG0000239.0
1e-07	0.019568900000000004	0.1	1e-07	1e-07	1e-07	0.0736477	0.0319132	1e-07	0.031682999999999996	0.0198418	1e-07	nan	1e-07	nan	1e-07	1e-07	1e-07	0.0431482	nan	0.00892909
OG0005940.0	OG0005135.4	OG0005468.0	OG0008895.6	OG0001626.24	OG0000043.242	OG0000829.5	OG0000350.8	OG0003197.4	OG0048012.0	OG0010957.13	OG0000245.24	OG0000228.54	OG0007725.0	OG0004379.8	OG0015311.0	OG0005827.2	OG0001892.0	OG0000147.0	OG0000002.1788	OG0002922.0
1e-07	1e-07	1e-07	0.036007	1e-07	1e-07	1e-07	1e-07	1e-07	nan	nan	1e-07	1e-07	1e-07	1e-07	nan	1e-07	1e-07	0.187808	1e-07	1e-07
OG0000018.842	OG0034538.0	OG0000575.28	OG0002399.4	OG0001557.1	OG0003012.0	OG0020930.0	OG0004460.9	OG0000230.58	OG0002778.0	OG0003329.0	OG0003695.0	OG0001951.0	OG0000007.585	OG0005210.0	OG0001415.1	OG0002752.1	OG0005990.0	OG0000054.0	OG0003068.0	OG0012143.2
1e-07	nan	0.0391751	1e-07	0.0128457	1e-07	nan	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	nan	1e-07	1e-07	nan
OG0005137.0	OG0000139.0	OG0007208.0	OG0001557.1	OG0005640.2	OG0001998.0	OG0001620.0	OG0007101.0	OG0013617.6	OG0000009.921	OG0003251.1	OG0000121.14	OG0004100.0	OG0002752.1	OG0001553.14	OG0000060.0	OG0007127.0	OG0027528.0	OG0000256.24	OG0005524.6	OG0000245.24
1e-07	1e-07	1e-07	0.0128457	1e-07	1e-07	1e-07	nan	nan	0.00983472	0.1	1e-07	1e-07	1e-07	0.018311599999999997	1e-07	1e-07	nan	1e-07	nan	1e-07
OG0015172.2	OG0000045.0	OG0005530.6	OG0003098.12	OG0000139.0	OG0004369.0	OG0006855.18	OG0019487.0	OG0000751.0	OG0001283.1	OG0000336.0	OG0004571.0	OG0005663.12	OG0004737.6	OG0002286.10	OG0004141.18	OG0000075.0	OG0002863.0	OG0000710.0	OG0011292.4	OG0000239.0
nan	0.0187078	0.06399490000000001	1e-07	1e-07	1e-07	1e-07	nan	0.030751	1e-07	0.00315844	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	nan	0.00892909
OG0000015.773	OG0005141.0	OG0018796.6	OG0003338.0	OG0005077.4	OG0000878.5	OG0016256.4	OG0000074.152	OG0001567.1	OG0000187.1	OG0000343.0	OG0000175.4	OG0000841.0	OG0009977.0	OG0007351.6	OG0000078.263	OG0013635.2	OG0005939.0	OG0004693.0	OG0005822.2	OG0000039.0
0.0318053	1e-07	nan	1e-07	1e-07	1e-07	nan	1e-07	0.0733554	1e-07	1e-07	0.0411284	0.020905	1e-07	nan	1e-07	nan	1e-07	1e-07	1e-07	1e-07
OG0003987.6	OG0004376.0	OG0003977.1	OG0000646.28	OG0000006.561	OG0000310.18	OG0006047.8	OG0010675.4	OG0056623.0	OG0000132.40	OG0004244.2	OG0000746.0	OG0002060.0	OG0000480.25	OG0000112.0	OG0000047.282	OG0002863.0	OG0015707.6	OG0001892.0	OG0002444.1	OG0004054.20
1e-07	1e-07	1e-07	0.17611500000000002	0.00745715	0.037893300000000005	1e-07	nan	nan	1e-07	1e-07	1e-07	1e-07	nan	1e-07	1e-07	1e-07	nan	1e-07	1e-07	1e-07
OG0000018.842	OG0003521.2	OG0038626.0	OG0005093.2	OG0029008.0	OG0002485.15	OG0003983.0	OG0006309.0	OG0001165.26	OG0005445.3	OG0000242.29	OG0014619.0	OG0000486.2	OG0001701.8	OG0000169.16	OG0002752.1	OG0005652.0	OG0000035.64	OG0000027.457	OG0006866.0	OG0000290.0
1e-07	1e-07	nan	1e-07	nan	0.00834042	1e-07	nan	1e-07	1e-07	1e-07	nan	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	0.00241394	1e-07	1e-07
OG0006023.0	OG0000007.3	OG0000583.0	OG0004183.0	OG0000272.36	OG0003829.0	OG0003514.0	OG0000349.0	OG0008682.0	OG0001806.0	OG0006395.0	OG0010692.0	OG0004819.4	OG0004678.12	OG0001659.0	OG0001540.26	OG0000710.0	OG0006737.2	OG0045591.0	OG0000026.45	OG0000245.24
nan	1e-07	1e-07	1e-07	1e-07	1e-07	0.0384099	1e-07	nan	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	nan	nan	0.0118876	1e-07
OG0007832.0	OG0000294.0	OG0000139.0	OG0001575.2	OG0008449.4	OG0018453.0	OG0000109.0	OG0003866.0	OG0009980.2	OG0000242.29	OG0000746.0	OG0000026.45	OG0004744.2	OG0000007.585	OG0019460.0	OG0012663.4	OG0000112.0	OG0002971.0	OG0002044.0	OG0006135.0	OG0004054.20
1e-07	0.0172898	1e-07	1e-07	nan	nan	1e-07	1e-07	1e-07	1e-07	1e-07	0.0118876	1e-07	1e-07	nan	nan	1e-07	1e-07	1e-07	1e-07	1e-07
OG0000011.866	OG0000307.20	OG0000048.382	OG0006055.0	OG0001778.24	OG0000187.1	OG0000343.0	OG0004935.0	OG0000746.0	OG0006117.2	OG0000269.0	OG0001415.1	OG0045076.0	OG0004494.1	OG0002572.0	OG0000042.314	OG0003735.2	OG0008125.0	OG0018521.0	OG0014842.0	OG0010621.0
1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	1e-07	0.00446389	1e-07	1e-07	0.026213	1e-07	nan	1e-07	1e-07	1e-07	0.0225208	1e-07	nan	nan	nan
OG0003714.0	OG0000664.3	OG0006833.2	OG0006123.2	OG0000056.0	OG0006009.0	OG0000187.1	OG0000318.0	OG0001609.10	OG0013832.0	OG0024771.0	OG0002102.0	OG0000176.0	OG0004819.4	OG0005921.2	OG0003161.14	OG0024061.0	OG0000710.0	OG0000225.48	OG0004292.0	OG0008912.1
0.0206678	1e-07	1e-07	1e-07	1e-07	nan	1e-07	0.032477299999999994	0.00949947	nan	nan	1e-07	1e-07	1e-07	1e-07	1e-07	nan	1e-07	0.0108116	1e-07	1e-07
OG0000015.1	OG0005394.0	OG0002260.4	OG0005222.2	OG0004814.0	OG0000257.0	OG0002729.16	OG0004461.4	OG0005090.0	OG0027560.0	OG0000349.0	OG0000350.8	OG0005133.0	OG0008971.2	OG0004771.0	OG0008245.0	OG0000634.26	OG0015191.7	OG0000435.0	OG0000011.1	OG0002166.0
0.00547499	1e-07	1e-07	1e-07	1e-07	1e-07	0.026282299999999998	1e-07	1e-07	nan	1e-07	1e-07	1e-07	nan	1e-07	nan	0.0163587	nan	0.0884658	1e-07	1e-07
OG0004452.2	OG0000575.28	OG0000429.0	OG0002751.22	OG0003331.17	OG0020567.0	OG0002471.0	OG0000132.40	OG0046173.0	OG0003866.0	OG0001322.24	OG0008611.0	OG0000916.24	OG0009839.2	OG0005124.4	OG0006010.2	OG0000121.128	OG0005681.2	OG0000120.105	OG0003068.0	OG0000010.475
1e-07	0.0391751	0.05987769999999999	1e-07	0.0229797	nan	1e-07	1e-07	nan	1e-07	1e-07	1e-07	1e-07	nan	1e-07	nan	0.037032499999999996	1e-07	1e-07	1e-07	1e-07
OG0000483.0	OG0004435.0	OG0004142.0	OG0000119.0	OG0000853.1	OG0002777.4	OG0003925.0	OG0004243.8	OG0000409.24	OG0005666.2	OG0002231.0	OG0005385.1	OG0000121.128	OG0028461.0	OG0006082.0	OG0000027.457	OG0006184.0	OG0011295.0	OG0000142.14	OG0011419.0	OG0004054.20
0.038128800000000004	1e-07	1e-07	0.0744869	1e-07	1e-07	0.0439772	1e-07	0.0511477	1e-07	1e-07	nan	0.037032499999999996	nan	1e-07	0.00241394	nan	nan	1e-07	1e-07	1e-07
OG0002765.0	OG0000015.773	OG0000480.64	OG0019019.0	OG0009906.2	OG0000334.9	OG0000006.561	OG0006833.2	OG0000323.43	OG0002825.0	OG0046657.0	OG0002848.0	OG0000350.8	OG0003625.28	OG0005303.2	OG0000047.282	OG0004647.0	OG0009100.2	OG0004304.0	OG0000599.0	OG0005444.0
1e-07	0.0318053	1e-07	nan	1e-07	0.045511300000000005	0.00745715	1e-07	1e-07	1e-07	nan	0.020642599999999997	1e-07	1e-07	nan	1e-07	1e-07	nan	1e-07	1e-07	1e-07
OG0004837.2	OG0000013.2	OG0003229.0	OG0000071.0	OG0000310.18	OG0000736.0	OG0000538.0	OG0028303.0	OG0000187.1	OG0003818.6	OG0000175.4	OG0000966.4	OG0001806.0	OG0003568.0	OG0011803.0	OG0006589.0	OG0014550.3	OG0005886.2	OG0000435.0	OG0007404.0	OG0006490.14
1e-07	0.00152057	1e-07	0.025734500000000004	0.037893300000000005	1e-07	1e-07	nan	1e-07	1e-07	0.0411284	1e-07	1e-07	1e-07	nan	nan	nan	1e-07	0.0884658	1e-07	0.020655
OG0000263.57	OG0003924.0	OG0003977.1	OG0004473.2	OG0000853.1	OG0000105.0	OG0000074.152	OG0000278.126	OG0002558.0	OG0000837.0	OG0005872.0	OG0004944.1	OG0054097.0	OG0005237.0	OG0000112.0	OG0015099.0	OG0007556.0	OG0003991.2	OG0012832.0	OG0002879.0	OG0000010.475
0.289385	1e-07	1e-07	1e-07	1e-07	0.0198418	1e-07	1e-07	1e-07	1e-07	1e-07	nan	nan	1e-07	1e-07	nan	1e-07	1e-07	nan	0.0781728	1e-07
OG0000044.1	OG0000018.842	OG0002408.0	OG0046867.0	OG0005640.2	OG0000663.26	OG0000043.242	OG0000007.976	OG0005306.0	OG0000486.2	OG0003205.0	OG0006009.0	OG0027601.0	OG0000746.0	OG0015419.2	OG0003230.0	OG0001244.24	OG0010780.2	OG0002879.0	OG0003068.0	OG0000245.24
1e-07	1e-07	1e-07	nan	1e-07	1e-07	1e-07	1e-07	0.06165319999999999	1e-07	1e-07	nan	nan	1e-07	nan	1e-07	1e-07	1e-07	0.0781728	1e-07	1e-07
OG0004703.4	OG0000071.0	OG0004723.0	OG0002419.38	OG0001770.0	OG0003405.37	OG0000926.24	OG0004934.6	OG0000002.1788	OG0000364.1	OG0000343.0	OG0004656.0	OG0060466.0	OG0000799.22	OG0002486.16	OG0000228.54	OG0006109.16	OG0029095.0	OG0010738.0	OG0003155.34	OG0000245.24
1e-07	0.025734500000000004	0.0302448	1e-07	0.0181335	nan	0.019613099999999998	1e-07	1e-07	1e-07	1e-07	1e-07	nan	1e-07	1e-07	1e-07	nan	nan	1e-07	1e-07	1e-07
OG0000018.842	OG0000116.0	OG0005693.0	OG0002285.24	OG0005598.25	OG0004289.0	OG0004225.4	OG0001550.0	OG0000285.1	OG0000032.252	OG0000837.0	OG0000421.45	OG0002449.21	OG0001937.2	OG0002569.7	OG0000121.128	OG0004813.0	OG0018355.6	OG0001653.23	OG0009104.4	OG0007178.0
1e-07	1e-07	1e-07	0.0439955	nan	nan	1e-07	1e-07	0.010965	1e-07	1e-07	1e-07	1e-07	1e-07	nan	0.037032499999999996	1e-07	nan	0.020185599999999998	1e-07	1e-07
OG0000615.1	OG0000307.20	OG0000294.0	OG0005137.0	OG0041568.0	OG0000429.0	OG0000007.3	OG0005640.2	OG0000039.0	OG0001467.10	OG0007308.0	OG0004466.4	OG0007204.8	OG0000187.1	OG0010723.0	OG0000383.2	OG0003239.9	OG0007546.0	OG0003846.1	OG0003459.2	OG0027600.0
