OG0001907.32	OG0002651.6	OG0000456.0	OG0020502.0	OG0000750.0	OG0000098.0	OG0002309.26	OG0000751.0	OG0012897.4	OG0000264.1	OG0000236.122	OG0000833.0	OG0000119.0	OG0000869.2	OG0002012.0	OG0015105.0	OG0000646.28	OG0029060.0	OG0015416.2	OG0007639.25	OG0000236.1	OG0003151.14	OG0000206.0	OG0002787.0	OG0002348.56	OG0005400.0	OG0011318.4	OG0000213.17	OG0000320.0	OG0000834.30	OG0002178.2	OG0001698.26	OG0002101.0	OG0001964.1	OG0053812.0	OG0001566.2	OG0003860.1	OG0012896.0	OG0006225.0	OG0004205.0	OG0004314.0	OG0009857.2	OG0006297.0	OG0014068.0	OG0005326.0	OG0003991.2	OG0000834.15	OG0001579.36	OG0001764.0	OG0003001.0	OG0001741.1	OG0015415.0	OG0001567.1	OG0002988.0	OG0008335.19	OG0020019.0	OG0006158.4	OG0005266.0	OG0013218.3	OG0000749.2	OG0000065.1	OG0029057.0	OG0005567.0	OG0008099.0	OG0004226.0	OG0001824.24	OG0013273.0	OG0000606.2	OG0014065.0	OG0001842.34	OG0000038.0	OG0001602.32	OG0014302.8	OG0000711.2	OG0001823.24	OG0007639.5	OG0007845.0	OG0004135.0	OG0001607.2	OG0001309.24	OG0000441.1	OG0014063.4	OG0001699.1	OG0005741.0	OG0014817.2	OG0005056.1	OG0003342.16	OG0000324.0	OG0011985.2	OG0001778.24	OG0008015.25	OG0001843.5	OG0000740.26	OG0000318.0	OG0008342.0	OG0000471.2	OG0044466.0	OG0019212.0	OG0000213.256	OG0001643.24	OG0000236.19	OG0000310.18	OG0006752.0	OG0001016.1	OG0001711.10	OG0000551.2	OG0000920.27	OG0005575.28	OG0013106.2	OG0016785.2	OG0028281.0	OG0000065.40	OG0005996.10	OG0002590.0	OG0008341.0	OG0000441.96	OG0001844.24	OG0002488.24	OG0007127.0	OG0011319.4
1.644291	1.767528	1.9499090000000001	3.3712739999999997	1.021839	nan	1.256302	2.006	1.995522	nan	4.019145	nan	1.3476	0.38787699999999997	nan	3.66591	1.573146	3.7528370000000004	2.204648	3.764736	3.407475	nan	1.7660470000000001	2.061312	nan	2.761794	1.614688	nan	1.202045	nan	4.597673	nan	nan	2.598579	2.444712	nan	3.3690550000000004	1.8034150000000002	3.07577	1.657534	1.075511	40.20821	28.1506	2.227716	4.920738	1.2055870000000002	4.025816000000001	1.42116	2.079993	1.382259	nan	2.002266	1.5425309999999999	2.807016	3.763186	1.4963110000000002	nan	2.0191060000000003	3.769749	1.0199120000000002	2.583568	3.772686	15.94811	2.768379	1.2259950000000002	nan	1.2342819999999999	0.8135521	2.194922	1.632614	1.9685840000000001	nan	3.705424	1.042635	nan	3.7427	0.9909386	1.3673799999999998	nan	nan	14.15582	2.220955	nan	190.358	1.9461119999999998	3.7621559999999996	1.623448	1.975469	1.391429	nan	1.610551	2.1180939999999997	19.064870000000003	3.739518	1.347787	nan	1.4451040000000002	2.982134	1.948276	1.0225899999999999	nan	0.7930934000000001	2.474502	3.274798	1.8128400000000002	2.67097	nan	19.05162	1.089947	2.974337	3.7635709999999998	1.9945119999999998	223.6779	1.0658290000000001	216.8548	nan	1.6922529999999998	1.186326	1.066817	1.614383
OG0004601.0	OG0004091.0	OG0018087.2	OG0000922.28	OG0000682.0	OG0000381.0	OG0027752.0	OG0002580.2	OG0011489.0	OG0010872.12	OG0000406.0	OG0012126.3	OG0012959.2	OG0000753.0	OG0004852.0	OG0000085.0	OG0020899.0	OG0000814.1	OG0005307.0	OG0012202.0	OG0020848.0	OG0003440.0	OG0027806.0	OG0000364.1	OG0000288.79	OG0011438.4	OG0014033.0	OG0005681.2	OG0012683.2	OG0000862.34	OG0041540.0	OG0012064.0	OG0048147.0	OG0000143.0	OG0001302.24	OG0000807.26	OG0001863.0	OG0000420.0	OG0001087.24	OG0000377.148	OG0005304.0	OG0000158.1	OG0006643.0	OG0000100.1	OG0003592.0	OG0001237.24	OG0004198.0	OG0000004.433	OG0015187.4	OG0000013.2	OG0007023.0	OG0000256.24	OG0003642.0	OG0004640.26	OG0003067.0	OG0012651.6	OG0000413.2	OG0000380.29	OG0001419.3	OG0000261.0	OG0002128.0	OG0041541.0	OG0005901.4	OG0000019.2	OG0011924.11	OG0024505.0	OG0008665.0	OG0000002.1147	OG0001857.4	OG0000419.108	OG0045229.0	OG0002133.0	OG0001736.4	OG0002210.0	OG0007723.0	OG0001365.24	OG0010577.0	OG0002418.9	OG0003423.0	OG0025008.0	OG0000297.1	OG0000290.0	OG0008097.4	OG0000962.24	OG0000225.48	OG0005287.12	OG0045888.0	OG0003502.3	OG0015967.4	OG0007159.0	OG0022375.0	OG0000858.32	OG0002117.0	OG0013881.0	OG0009205.0	OG0013892.2	OG0014234.1	OG0017257.0	OG0000177.8	OG0002448.22	OG0001273.24	OG0004163.4	OG0003928.0	OG0000287.0	OG0010584.0	OG0003281.0	OG0002298.4	OG0020651.0	OG0001656.2	OG0002464.21	OG0000257.0	OG0010775.0	OG0006941.0	OG0001594.1	OG0015168.2	OG0000336.0	OG0004935.0	OG0009014.0	OG0004096.6	OG0000317.0
142.4013	2.8607	8.014826	3.260968	3.3312589999999997	1.92999	268.8598	5.808267	2.6274330000000004	3.7265879999999996	4.2890239999999995	223.847	73.8009	0.9393108	2.511441	nan	2.44037	nan	3.4020050000000004	1.534257	1.2285	45.52628	259.8534	2.046107	3.432032	0.9778753000000001	2.230784	4.3748949999999995	2.998625	nan	3.278512	2.267951	3.764371	1.9393209999999999	nan	1.5062879999999998	nan	3.214203	nan	2.490647	2.363321	4.863856	217.6724	nan	46.36227	nan	1.681477	1.13786	2.993645	nan	214.9005	nan	5.427912999999999	217.55900000000003	2.491982	1.565057	nan	1.759582	nan	4.577841	nan	3.2839910000000003	211.9986	nan	3.0364	1.149726	2.542149	1.490341	nan	4.75689	254.8289	nan	2.681743	nan	4.343699	nan	0.6579368	3.23592	45.34578	1.2992270000000001	5.006942	16.54658	1.10016	3.284852	nan	2.0498060000000002	264.7323	7.393953999999999	3.793256	2.0716099999999997	3.403364	2.743382	3.4539489999999997	228.3621	3.805049	1.636691	2.3864549999999998	2.177562	nan	8.771279	nan	71.92285	6.391618	2.071384	3.619971	26.480490000000003	1.147138	6.328462	4.15752	1.2651629999999998	0.637415	0.7842024999999999	3.7877370000000004	nan	2.986773	1.152454	3.772468	2.967216	76.56326999999999	1.9911580000000002
OG0009189.0	OG0013716.0	OG0002284.0	OG0000001.2003	OG0003330.1	OG0004811.0	OG0002387.20	OG0002618.0	OG0002201.2	OG0013042.0	OG0013923.2	OG0000005.318	OG0047243.0	OG0013062.2	OG0000396.79	OG0027668.0	OG0002884.0	OG0001189.24	OG0000685.33	OG0000132.40	OG0000349.0	OG0027498.0	OG0003357.4	OG0004044.36	OG0001416.0	OG0000461.0	OG0000705.16	OG0001463.24	OG0007561.6	OG0018811.0	OG0011755.11	OG0004011.8	OG0007086.1	OG0001598.16	OG0004180.46	OG0003834.8	OG0016401.1	OG0000232.19	OG0006283.0	OG0002597.0	OG0011134.8	OG0002031.0	OG0000042.23	OG0005282.0	OG0029018.0	OG0000151.0	OG0002352.25	OG0000014.1	OG0005290.0	OG0001831.0	OG0027783.0	OG0000059.133	OG0000605.0	OG0002336.0	OG0003923.0	OG0043410.0	OG0015129.0	OG0006880.13	OG0005227.24	OG0043861.0	OG0025893.0	OG0001267.24	OG0000186.266	OG0001737.0	OG0002181.0	OG0000305.0	OG0000338.41	OG0012902.0	OG0011321.2	OG0016067.1	OG0012102.0	OG0002493.6	OG0001329.24	OG0012172.0	OG0010592.6	OG0020456.0	OG0000460.47	OG0001036.24	OG0000431.12	OG0010951.0	OG0017962.4	OG0002084.0	OG0005341.0	OG0000780.24	OG0011350.0	OG0001235.24	OG0001260.24	OG0003158.0	OG0005087.2	OG0003683.0	OG0008200.0	OG0001136.24	OG0003332.0	OG0005989.0	OG0007506.1	OG0000001.1420	OG0035652.0	OG0000214.0	OG0000180.0	OG0006365.0	OG0000451.0	OG0001143.26	OG0046034.0	OG0011633.1	OG0000287.0	OG0000647.0	OG0019704.0	OG0001401.24	OG0000407.1	OG0014746.1	OG0007702.0	OG0025974.0	OG0001649.0	OG0001060.26	OG0012911.0	OG0000336.0	OG0006459.10	OG0000553.6	OG0005565.0	OG0000528.32
2.675358	1.502742	4.506986	0.7475366	16.92214	8.921399000000001	3.962214	2.696287	217.5177	1.316009	2.344878	1.858959	3.37322	2.291023	nan	1.548354	11.64932	nan	nan	1.368873	0.7331578000000001	3.4078800000000005	46.50132	214.74599999999998	3.6374449999999996	1.9075099999999998	4.311163	nan	3.19942	4.552092	3.733203	1.132572	1.892248	3.269702	5.181303	0.7707969	1.2779049999999998	2.928117	190.1631	2.501646	3.752913	nan	2.019919	8.287946	3.7190529999999997	nan	7.145285	nan	7.138922	2.875085	262.5569	1.9898779999999998	0.449299	2.7311229999999997	nan	1.47749	2.40974	4.563282	1.372376	2.515057	3.846283	nan	3.257614	nan	1.2193379999999998	nan	1.371269	2.794447	1.2249430000000001	3.1564360000000002	7.698371000000001	2.079758	nan	4.70445	225.958	3.379475	nan	nan	2.587831	3.91755	3.128068	nan	9.267961999999999	2.986732	2.505487	nan	nan	12.80124	1.4853809999999998	45.88198	2.512608	4.399481	1.9646240000000001	7.842737	1.451792	nan	1.299848	0.4511129	1.173859	3.5947739999999997	nan	nan	254.4763	1.678073	2.071384	nan	3.2814050000000003	nan	1.9915889999999998	8.085144999999999	1.320284	2.208993	2.032116	nan	2.381214	1.152454	1.540662	27.385509999999996	43.92982	0.23322579999999998
OG0006665.0	OG0004356.0	OG0013652.3	OG0001165.26	OG0000139.0	OG0002559.0	OG0002195.1	OG0000288.62	OG0001130.24	OG0006720.0	OG0000726.25	OG0005042.6	OG0000101.90	OG0003595.1	OG0047433.0	OG0001522.0	OG0005196.0	OG0000075.0	OG0007200.0	OG0024557.0	OG0004108.36	OG0046151.0	OG0002053.0	OG0007557.2	OG0004888.1	OG0001687.23	OG0001881.0	OG0004234.0	OG0004005.1	OG0003699.6	OG0018183.2	OG0014171.0	OG0007108.26	OG0004167.25	OG0005358.0	OG0004053.58	OG0001802.4	OG0001262.36	OG0000498.0	OG0001539.22	OG0006903.2	OG0003976.0	OG0000044.1	OG0010092.0	OG0037957.0	OG0000042.23	OG0024558.0	OG0000603.1	OG0001242.28	OG0007131.0	OG0000683.0	OG0016892.2	OG0003293.4	OG0000302.34	OG0000525.2	OG0001885.0	OG0009263.0	OG0001918.20	OG0002987.2	OG0001608.24	OG0001090.26	OG0016466.2	OG0029220.0	OG0013563.0	OG0013008.8	OG0022367.0	OG0006509.2	OG0006332.2	OG0000404.58	OG0004559.0	OG0011704.2	OG0010741.0	OG0000185.5	OG0000204.2	OG0001009.24	OG0007742.2	OG0038652.0	OG0001174.24	OG0000403.25	OG0001830.6	OG0001573.24	OG0001774.6	OG0009249.0	OG0000741.0	OG0002117.0	OG0005537.2	OG0003076.0	OG0009899.0	OG0003635.0	OG0027701.0	OG0005087.2	OG0011345.0	OG0000760.17	OG0002577.26	OG0029017.0	OG0008482.0	OG0012527.4	OG0000001.2142	OG0024737.0	OG0005149.0	OG0000526.0	OG0000177.8	OG0000006.1	OG0000011.866	OG0012674.4	OG0009159.0	OG0001083.26	OG0003281.0	OG0004726.1	OG0005604.1	OG0024660.0	OG0006559.0	OG0000062.12	OG0002219.0	OG0000230.58	OG0001272.24	OG0011312.2	OG0016859.0	OG0000336.0	OG0000753.0
219.8586	1.797129	257.2217	nan	nan	20.99278	3.699037	2.496396	nan	7.639467999999999	3.759788	6.003261	nan	5.596934	3.4013720000000003	0.49714480000000005	0.5629053	1.52999	3.945361	3.064787	2.314146	262.6783	nan	1.3446790000000002	nan	6.30704	nan	5.436516	3.886362	0.9958738000000001	4.361244	4.17269	262.4129	219.8977	4.683248000000001	1.9746009999999998	6.897328	2.362805	2.074678	nan	5.628564	2.967907	0.51542	1.492591	3.048536	2.019919	3.025846	3.349107	nan	1.108933	1.7965970000000002	3.3689440000000004	45.928059999999995	2.0962080000000003	3.860178	nan	3.38176	2.0943549999999997	0.3136598	1.052591	nan	0.8532360000000001	2.70919	4.735187000000001	1.6850080000000003	3.363351	5.345587	2.902329	5.600258999999999	8.048946	3.758336	4.598016	nan	1.468797	257.4393	1.396126	3.360097	nan	2.220813	1.448918	nan	2.372588	1.139483	nan	3.4539489999999997	44.463429999999995	26.17643	0.8785586	2.136063	1.98554	1.4853809999999998	2.3205560000000003	nan	2.1763169999999996	3.78384	2.075253	3.744021	nan	3.547054	67.24274	nan	nan	1.261431	nan	4.105043	216.1225	nan	26.480490000000003	2.407387	1.1337469999999998	2.064252	215.4768	nan	4.193074	3.2808660000000005	nan	225.0444	2.1130560000000003	1.152454	0.9393108
OG0028987.0	OG0000897.0	OG0003413.0	OG0006186.0	OG0003219.0	OG0000910.22	OG0019469.0	OG0000866.3	OG0011986.10	OG0006349.2	OG0000209.146	OG0000859.24	OG0023936.0	OG0000414.34	OG0004739.0	OG0016036.0	OG0009314.0	OG0016272.0	OG0000364.1	OG0002803.15	OG0012876.0	OG0001170.24	OG0010847.0	OG0001045.24	OG0000279.0	OG0024632.0	OG0010949.13	OG0006703.0	OG0038836.0	OG0012213.0	OG0004513.4	OG0000350.8	OG0000197.0	OG0019385.0	OG0000522.0	OG0001209.1	OG0000062.320	OG0000914.30	OG0007148.0	OG0003372.6	OG0020760.0	OG0024533.0	OG0003920.14	OG0008053.1	OG0000092.1	OG0003592.0	OG0006692.0	OG0002350.22	OG0028525.0	OG0004186.6	OG0001896.13	OG0004792.0	OG0015752.2	OG0000940.24	OG0001770.0	OG0003036.0	OG0003424.0	OG0000561.24	OG0001063.0	OG0006180.8	OG0003675.0	OG0001380.24	OG0015196.0	OG0000035.64	OG0000009.802	OG0001404.24	OG0002095.0	OG0011153.0	OG0013862.2	OG0002133.0	OG0005442.4	OG0001497.24	OG0017923.3	OG0001766.6	OG0011223.2	OG0000175.197	OG0003260.63	OG0000631.0	OG0041898.0	OG0000290.0	OG0005012.2	OG0004251.2	OG0000431.12	OG0010004.2	OG0010526.2	OG0002478.0	OG0001253.24	OG0000188.1	OG0003777.2	OG0003299.0	OG0004770.1	OG0014667.0	OG0012123.0	OG0024706.0	OG0004258.0	OG0005327.0	OG0012459.6	OG0002333.0	OG0008095.2	OG0000727.24	OG0000411.0	OG0000159.8	OG0000276.72	OG0000175.4	OG0001828.65	OG0000778.0	OG0003177.0	OG0001406.24	OG0015952.0	OG0010743.6	OG0001984.118	OG0002612.0	OG0000011.1	OG0006294.10	OG0000012.581	OG0000183.0	OG0021470.0	OG0006627.0	OG0010757.0	OG0006834.2
3.7778449999999997	nan	45.30677	156.283	31.796770000000002	4.5352190000000006	1.653515	3.120904	1.280966	4.50828	nan	1.631845	3.255364	nan	91.94083	1.389163	27.95887	1.34871	2.046107	1.520546	1.181094	nan	5.366733999999999	1.458703	1.9996080000000003	3.115193	3.020565	216.8886	3.404007	1.00375	22.17589	nan	1.255168	1.789866	1.340323	nan	22.298460000000002	2.235387	2.493146	1.304798	2.110338	3.015575	3.446538	20.50083	1.5749870000000001	46.36227	217.6773	4.169184	2.65715	118.3357	3.4660260000000003	2.749724	3.02083	3.350278	9.334264	3.8049910000000002	3.332384	215.6959	nan	4.62683	20.64472	nan	2.390605	1.6677240000000002	1.280227	nan	nan	1.9641330000000001	3.5144309999999996	nan	6.165385	nan	1.6606619999999999	3.729021	1.8754950000000001	5.307983	3.766655	12.02355	3.240555	16.54658	1.139349	1.4844870000000001	2.587831	3.2813269999999997	0.7800123000000001	5.177646	nan	2.2660720000000003	5.595935	45.52686	20.12271	8.023125	2.726522	1.237391	1.384454	45.1093	3.751956	5.6329	5.0367180000000005	3.764414	nan	nan	1.184657	1.067325	1.061883	1.272953	3.022009	nan	1.719889	1.57226	1.498753	4.166487999999999	nan	212.71599999999998	2.790294	2.336523	3.3931489999999997	221.3111	4.645896	nan
OG0002591.2	OG0002187.7	OG0005644.0	OG0003422.0	OG0020001.0	OG0003460.0	OG0002961.20	OG0000027.457	OG0002697.0	OG0006349.2	OG0013506.0	OG0000173.0	OG0013510.0	OG0000859.24	OG0002447.0	OG0006003.0	OG0000575.28	OG0024724.0	OG0000919.32	OG0000088.3	OG0002340.0	OG0000121.128	OG0003525.5	OG0002145.0	OG0000415.0	OG0008965.0	OG0000364.1	OG0007440.0	OG0017905.0	OG0000739.15	OG0009031.0	OG0007548.0	OG0004422.0	OG0011202.1	OG0001847.4	OG0003252.0	OG0010498.1	OG0001265.24	OG0006356.1	OG0011763.0	OG0003071.0	OG0000196.0	OG0024513.0	OG0008252.2	OG0000568.0	OG0001878.2	OG0001068.1	OG0011296.2	OG0000452.0	OG0001438.24	OG0010044.0	OG0000062.320	OG0000893.3	OG0007043.6	OG0000100.1	OG0056579.0	OG0002733.0	OG0000495.53	OG0025171.0	OG0013534.2	OG0006275.0	OG0018989.0	OG0004906.0	OG0000059.133	OG0000261.0	OG0022476.0	OG0001561.0	OG0000581.0	OG0046576.0	OG0025090.0	OG0002158.0	OG0003194.15	OG0000419.108	OG0000198.0	OG0002656.2	OG0020054.0	OG0018991.0	OG0006696.0	OG0001853.0	OG0003587.16	OG0001647.0	OG0002670.1	OG0002914.0	OG0007522.1	OG0006642.0	OG0005820.0	OG0029130.0	OG0002172.0	OG0014416.5	OG0001495.2	OG0000431.12	OG0019380.0	OG0001148.24	OG0001179.24	OG0004125.0	OG0002084.0	OG0014766.3	OG0002911.0	OG0028446.0	OG0012200.0	OG0025899.0	OG0000359.28	OG0018193.2	OG0000497.40	OG0003288.0	OG0003926.2	OG0008294.0	OG0000092.236	OG0000214.0	OG0021964.0	OG0000159.8	OG0002572.0	OG0001514.22	OG0000983.28	OG0027462.0	OG0053998.0	OG0009133.1	OG0000160.224	OG0002824.0	OG0005590.0
