OG0004710.2	OG0001698.26	OG0000027.457	OG0001643.24	OG0016785.2	OG0001566.2	OG0012896.0	OG0000471.2	OG0022825.0	OG0012926.0
0.9502230325553657	-0.48242311792037795	0.7772595702079395	-1.1462318953681279	-1.1496317731419636	0.5979055890573353	1.057877257780895	-0.4219138979696112	nan	1.168953390888837
OG0060556.0	OG0013679.0	OG0044964.0	OG0004741.0	OG0023559.0	OG0026968.0	OG0022182.0	OG0012866.6	OG0004669.1	OG0014855.1
nan	0.10491582551982813	nan	1.4131072269601326	nan	0.8511580156025157	nan	1.2258415889355394	0.9727763950197218	nan
OG0021483.0	OG0020392.0	OG0045062.0	OG0057438.0	OG0046785.0	OG0009947.2	OG0011655.12	OG0028856.0	OG0014592.0	OG0056955.0
nan	nan	nan	nan	nan	0.08115934511536566	nan	nan	1.0315511056016708	nan
OG0004297.2	OG0000478.2	OG0005167.4	OG0029079.0	OG0005347.11	OG0012466.13	OG0000706.25	OG0027960.0	OG0060394.0	OG0047959.0
-1.9676255719428413	0.9534659344377281	-0.4091881360585221	-3.2502961243049584	1.9845116030467733	nan	0.7255511794362386	nan	nan	nan
OG0014083.1	OG0015193.7	OG0005598.25	OG0004762.1	OG0044357.0	OG0000313.0	OG0037839.0	OG0005975.16	OG0000452.0	OG0009291.7
nan	nan	-3.814440796904293	-1.3600815011521556	nan	0.8944976895633756	nan	1.0168144522898874	1.2124902777242372	-0.5902209983131321
OG0000441.1	OG0002445.82	OG0048920.0	OG0021654.0	OG0023157.0	OG0047436.0	OG0045956.0	OG0004371.2	OG0034580.0	OG0043853.0
-0.5723053512585266	-0.01796073360674638	nan	nan	0.18364318600079002	nan	nan	0.8482426467074772	nan	nan
OG0005602.8	OG0003869.12	OG0046805.0	OG0015633.3	OG0045264.0	OG0012385.12	OG0002210.0	OG0053801.0	OG0017779.6	OG0041753.0
-0.7813478684956802	0.4118022989414904	nan	nan	nan	nan	0.71890760743638	nan	nan	nan
OG0007861.0	OG0019883.0	OG0022368.0	OG0006747.18	OG0020930.0	OG0021957.0	OG0015093.9	OG0011221.2	OG0004536.0	OG0019207.0
1.4395939932929216	nan	-0.12419759719443114	nan	1.0785530199559015	nan	nan	3.3896178149667096	-0.45304600500566605	nan
OG0047439.0	OG0007888.4	OG0012424.10	OG0006016.4	OG0045364.0	OG0017964.4	OG0018867.2	OG0003620.0	OG0002403.0	OG0004519.0
nan	-0.4919720953207921	2.1031696448907007	2.019043974948377	nan	0.8639535729004768	nan	0.11120668494911237	1.5060781802595393	1.0298886986649345
OG0015308.0	OG0041572.0	OG0046237.0	OG0027847.0	OG0014637.1	OG0001066.26	OG0002730.20	OG0049162.0	OG0005860.0	OG0045371.0
0.407183707506142	nan	nan	nan	1.7653147342551945	-0.06483465508033848	-0.058087282976626235	nan	0.938266394456036	nan
OG0014097.5	OG0013439.2	OG0001110.108	OG0019393.0	OG0017150.4	OG0022858.0	OG0044637.0	OG0001725.29	OG0043966.0	OG0013816.1
nan	2.216023891984795	nan	-1.4423646618341255	1.4997267685857467	nan	nan	nan	nan	nan
OG0056947.0	OG0017249.0	OG0034510.0	OG0008757.0	OG0000539.1	OG0057027.0	OG0002358.24	OG0013654.3	OG0001853.0	OG0007727.1
nan	0.5505026387692833	nan	2.177359197939519	-0.2480237152417398	nan	-0.015466402184095916	nan	0.15972736056873693	1.000439154385057
OG0027524.0	OG0000789.1	OG0016418.3	OG0012388.0	OG0005430.1	OG0056877.0	OG0005391.2	OG0003042.54	OG0010589.8	OG0044286.0
1.49249067387114	-1.6103219764334962	2.3017198045361966	1.1502833846665401	0.7858751217072935	nan	1.4377103713323116	0.2399409683363625	0.6647503482151569	nan
OG0002437.4	OG0034714.0	OG0006965.6	OG0006407.1	OG0045257.0	OG0002100.0	OG0054004.0	OG0043729.0	OG0013888.0	OG0005727.0
0.481396241062756	nan	0.7297491905119691	1.5755791612712762	nan	-0.5470149372416064	nan	nan	1.329699487970764	1.1205163861785639
OG0046990.0	OG0025605.0	OG0022011.0	OG0034811.0	OG0060546.0	OG0000092.1	OG0006521.0	OG0001407.24	OG0000648.5	OG0017147.0
nan	nan	nan	nan	nan	1.3056856842431328	0.21429362437063962	-1.260843862420593	2.200920892983949	1.5989396025573277
OG0048190.0	OG0000838.0	OG0044831.0	OG0020685.0	OG0057049.0	OG0022620.0	OG0029948.0	OG0004799.0	OG0017517.1	OG0008974.17
nan	1.0603444317724473	nan	nan	nan	-13.287712379549449	nan	0.6982176896532242	nan	nan
OG0005794.2	OG0013568.4	OG0006444.0	OG0012753.7	OG0044059.0	OG0007356.0	OG0018946.3	OG0027123.0	OG0003707.0	OG0013530.0
-0.2770467932963885	1.443296268860147	1.5052677182593734	-1.0713355271242553	nan	0.3605305764252918	nan	nan	1.1327611560315354	1.372701928945684
OG0022310.0	OG0000460.168	OG0001762.24	OG0037860.0	OG0008995.2	OG0046167.0	OG0017997.4	OG0057017.0	OG0008670.2	OG0045763.0
nan	-1.063154258475013	0.3595920340510828	nan	-0.01911709780084621	nan	1.4272987297169928	nan	1.6293431172287036	nan
OG0046163.0	OG0014787.0	OG0028986.0	OG0006823.4	OG0038627.0	OG0015961.8	OG0009133.1	OG0001397.24	OG0047390.0	OG0008356.17
nan	0.5022880612454532	nan	1.033833482063531	nan	nan	1.5703599260638765	-0.7920034089186057	nan	0.14458209634261893
OG0020465.0	OG0010658.0	OG0023121.0	OG0001604.2	OG0013047.0	OG0014553.9	OG0006546.0	OG0034864.0	OG0006014.0	OG0045415.0
0.799499092746882	0.02241450727590817	nan	0.6417137536476554	1.6190954869049334	nan	0.9896497720862085	nan	0.1483150236387347	nan
OG0008354.0	OG0002629.7	OG0027492.0	OG0026920.0	OG0041515.0	OG0014093.9	OG0007589.18	OG0029026.0	OG0043407.0	OG0029178.0
3.6344338202024526	1.6447055068377545	nan	nan	nan	nan	1.638983572055306	-13.287712379549449	nan	nan
OG0028296.0	OG0057310.0	OG0002200.3	OG0007142.4	OG0019034.5	OG0024444.0	OG0006967.13	OG0014659.1	OG0006304.2	OG0027512.0
nan	nan	nan	0.14335316478277382	nan	nan	1.265212029342691	1.9453296847640333	-0.73012973024203	nan
OG0056616.0	OG0017484.2	OG0011300.1	OG0003801.0	OG0014825.1	OG0011720.2	OG0027847.0	OG0005439.4	OG0046175.0	OG0007235.10
nan	2.459381701022021	1.9219747029940468	0.7144088787340166	nan	3.087058678854249	nan	1.4123774972339773	nan	nan
OG0002688.0	OG0018896.0	OG0020412.0	OG0038826.0	OG0014047.2	OG0060466.0	OG0044550.0	OG0026942.0	OG0006421.0	OG0011493.6
1.403675402458073	0.46383141857283916	nan	nan	-2.7865377854918725	nan	nan	nan	0.9058434071542433	1.202791277419564
OG0007876.21	OG0001156.1	OG0056834.0	OG0027883.0	OG0045317.0	OG0017433.3	OG0005083.0	OG0006574.0	OG0027428.0	OG0027630.0
nan	0.3042500625835593	nan	nan	nan	nan	1.7336203690824976	0.7614951246152138	nan	nan
OG0008553.0	OG0020238.0	OG0001447.24	OG0034893.0	OG0038663.0	OG0009194.1	OG0000501.29	OG0009269.4	OG0000251.0	OG0025433.0
2.365705255853915	nan	-0.38664345748376155	nan	nan	0.9103861421272845	-0.1571250871027652	0.7258758906095629	0.3394474055361209	nan
OG0025815.0	OG0001619.0	OG0054087.0	OG0004006.0	OG0019599.0	OG0013096.0	OG0000569.0	OG0046515.0	OG0014845.2	OG0007477.8
nan	1.0740712306383033	nan	0.12206576939432864	nan	1.358702974961924	1.0743958165820393	nan	2.670802886116051	0.9826169951208279
OG0004344.0	OG0006965.6	OG0013784.3	OG0047079.0	OG0000048.38	OG0013466.11	OG0056670.0	OG0007766.0	OG0046745.0	OG0003459.2
0.25860498738902254	0.7297491905119691	nan	nan	nan	nan	nan	1.2309583131699098	nan	1.078061018798754
OG0046613.0	OG0000129.29	OG0018172.6	OG0004049.8	OG0035539.0	OG0014809.3	OG0000728.24	OG0012055.0	OG0030064.0	OG0019062.1
nan	0.21217762589086936	nan	0.042486517797745565	nan	1.762576825811538	0.5085817378574989	2.123726434668878	nan	nan
OG0056516.0	OG0018390.2	OG0003201.2	OG0013176.12	OG0027245.0	OG0016536.5	OG0037827.0	OG0056650.0	OG0047413.0	OG0001216.24
