OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0016785.2	OG0001566.2	OG0012926.0	OG0022825.0
-3.2419527181667664	-2.3140150132440978	-3.330537769639225	-2.7553564542606015	-2.107803289534515	-2.947305888696155	-1.8411459704833824	-2.0445383960764985	-3.5083213200135352	nan
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
-2.005203073308613	-2.324816374212189	-1.8817731862070524	-1.9691695698467255	-2.9105018491608976	-2.291945228671648	nan	-1.0273808609918476	-2.045133690098103	-2.202903991745088
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
-2.356236145662658	nan	-1.3147325934831586	-2.222296244872902	-2.4908615842822894	-2.532824877385981	-2.504304837375931	-2.4731299136431737	-2.0782590139204995	-1.8416629728328997
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
-1.4663369871769107	-2.522840788813359	-2.8064174749183515	-2.1831136259850807	-2.684086034563258	-3.435338929969181	-2.0297353209854716	-1.3778192957794075	nan	-4.406292471457049
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
-1.9495331296493383	-3.808740574516507	-1.357714316940423	-1.9107730579296047	-1.5245000127350494	-2.1746213961070686	nan	-1.859352206845158	-2.1360615495760285	-2.054392296818628
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
-2.356236145662658	nan	-1.9378782880922025	-1.542458237592193	-2.512925319948276	-2.803896602285193	-2.7131188522118386	-2.279283757478869	-2.29689930039584	-1.6248215204103875
OG0000405.0	OG0043476.0	OG0007565.0	OG0019016.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
-1.6588112275212596	nan	-1.9534390942422588	-1.1564984744631772	-2.7612131404128837	-2.512925319948276	-2.0954195650786827	-1.0118788695359795	-1.3154505308161575	-3.4198931166292352
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0012427.14	OG0024512.0	OG0000126.1
-1.509635250014091	-1.936497057693842	-2.3093594213843067	-1.542458237592193	-2.3815733833540693	-3.3971440892428637	-1.6259342817774622	nan	-2.874084450525277	-2.02297657841931
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0049025.0	OG0006410.0	OG0027420.0	OG0000092.1
-2.492484413520771	-2.1240627035336246	-1.5407782431771522	-2.2604974943896146	-3.180495303958067	-2.584673990563033	nan	-1.3163484551875155	-2.0180012584066676	-1.905628789407483
OG0000764.26	OG0018934.1	OG0007070.2	OG0043565.0	OG0001163.24	OG0009316.2	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
-2.834441745538826	-1.7355236199922996	-2.5059428676863185	nan	-2.1746213961070686	-2.6104331882372747	-1.859352206845158	-2.3800705758839222	-2.074000581443777	-2.5178745359200096
OG0000627.52	OG0006805.0	OG0000006.561	OG0000327.1	OG0024566.0	OG0002127.0	OG0020485.0	OG0000175.4	OG0005354.1	OG0001941.0
-2.027086823481222	-2.0929555251272016	-1.4663369871769107	-3.5499580271891733	-2.5014427519009836	-1.5959688603781748	nan	-2.589007712779105	-1.6141824551483046	-1.8411459704833824
OG0000054.0	OG0001349.1	OG0000018.1	OG0004412.2	OG0013488.2	OG0001513.24	OG0008965.0	OG0010629.10	OG0000918.1	OG0020760.0
-1.5576668766702486	-2.131629303260768	-1.5678957765313228	-2.1491205849119286	-2.4973638827975355	-1.941198646383814	-1.831357964441161	nan	-3.03268380973072	-2.6850135145314846
OG0000537.8	OG0000006.561	OG0022225.0	OG0047063.0	OG0000263.57	OG0010608.0	OG0018373.0	OG0002062.0	OG0004865.2	OG0002170.0
-2.0174170530774096	-1.4663369871769107	-1.83341308592955	nan	-3.435338929969181	-2.39744810252834	-2.16747450220749	-2.250165425587271	-2.3989691306511904	-2.217591435072627
OG0001203.24	OG0011159.0	OG0015174.0	OG0000209.2	OG0014662.0	OG0047284.0	OG0000062.12	OG0000082.1	OG0000372.92	OG0005659.6
-2.458386043707783	-2.4900508536956893	-2.6144033039877543	-1.6237096166629486	-1.8577826381961766	nan	-2.5538496598709073	-2.3800705758839222	-2.4188898247744506	-2.827256483239813
OG0001271.1	OG0000006.561	OG0006436.0	OG0010512.0	OG0000892.1	OG0003382.0	OG0027648.0	OG0000272.36	OG0000524.1	OG0022425.0
-2.521183470950585	-1.4663369871769107	-2.005203073308613	-2.5170484866326897	-1.8380478410732577	-1.6380071140780375	-3.59649230298205	-1.810207062179741	-1.7393720918733013	nan
OG0017903.2	OG0000955.28	OG0000198.0	OG0000056.0	OG0001122.1	OG0000463.51	OG0016170.4	OG0056848.0	OG0004168.24	OG0007187.0
-3.6041913608898803	-2.1140352432460294	-1.386091221203337	-1.357714316940423	-2.4281775931667964	-2.7413001844300973	-2.060096436135226	nan	-2.058292691319033	-2.7055703978906718
OG0004256.2	OG0000032.252	OG0014484.2	OG0001243.24	OG0010631.0	OG0014841.0	OG0000711.2	OG0002113.0	OG0018086.1	OG0000611.0
-1.8272564832398128	-1.542458237592193	-1.7041594490829646	-2.2095615718147994	-2.7656213106623855	-2.802889485287304	-2.2674268787048018	-1.8277685311745187	nan	-2.4611638922585346
OG0005582.1	OG0000010.475	OG0007539.0	OG0001243.24	OG0001365.24	OG0016827.0	OG0000209.146	OG0000154.2	OG0008258.0	OG0046862.0
-2.3378856687903387	-1.5407782431771522	-3.196276993225842	-2.2095615718147994	-1.8331560355875092	-0.585323219573114	-2.040971781056306	-1.5864059175908252	-1.387600316571993	nan
OG0001161.24	OG0012848.0	OG0057290.0	OG0000088.3	OG0008204.0	OG0007348.0	OG0001502.26	OG0001146.1	OG0021271.0	OG0000082.1
-2.392137097168765	nan	nan	-1.6936210892890369	-2.0985055449524253	-1.0758240850034457	-3.410428246026254	-2.3459311372709193	-0.9902228783884701	-2.3800705758839222
OG0007549.0	OG0000006.561	OG0043590.0	OG0001813.8	OG0000463.51	OG0000290.0	OG0014542.4	OG0001167.24	OG0006963.0	OG0015978.3
-2.4297313844218773	-1.4663369871769107	nan	-1.4953287646142606	-2.7413001844300973	-1.6624601578025762	-2.97029976578458	-2.6029637591278236	-1.5799218840206262	-2.4004917640810643
OG0001366.26	OG0008225.6	OG0000011.1	OG0009024.0	OG0004459.0	OG0002127.0	OG0000046.1	OG0038832.0	OG0016933.0	OG0001770.0
