OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
-1.446934455954395	0.40064722052282803	-0.07369688813860564	nan	-0.9700171337842857	-0.5075827599241425	-1.1883645691462565	-0.6443071024337754	-1.626379626754263	-0.6794575575715407	-0.9132162338579334
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
-1.626379626754263	-0.2067283455019175	-1.3451978742102095	nan	-0.7941070724923293	-0.9159357352115255	-0.7744782657433966	-1.3375210295767486	-0.7449223179945492	-0.9959660987155103	-2.20157615452214
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
-0.1919857109104024	-1.547088335060036	-0.10780328953451503	-1.341171575656346	-1.056491198838264	nan	-1.033864894562046	-0.5745406952346447	-0.2813863010245155	-1.656535323845471	-1.4212061673232474
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
-0.8823049573302454	nan	0.15328652099086262	0.29172142045789135	-0.3830777578812987	-1.6157291074575852	-0.8799135293274745	-1.104076998076231	-0.7060410209713055	-1.7612131404128835	-1.139871485877112
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
-1.4779442508390357	-1.6938544406912261	nan	-0.6197138438769217	-1.1603628384903306	-1.1982618984335427	-0.8114724732255982	-0.21089678249861854	-1.40087267366503	-0.5014427519009832	-0.3170671972827844
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
-2.039784866105864	nan	-0.22095044716254147	0.15328652099086262	-0.49045616203966397	-0.6957226119343248	-1.6882643980207304	-0.04572922985512066	-0.5585165204173554	-0.8669626212526502	-1.5777669993169523
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
