OG0005575.28	OG0000750.0	OG0001016.1	OG0013106.2	OG0011318.4	OG0000065.1	OG0000740.26	OG0015416.2	OG0000869.2	OG0000310.18	OG0001823.24	OG0002101.0	OG0005567.0	OG0001843.5	OG0000749.2	OG0001824.24	OG0001842.34	OG0008015.25	OG0000065.40	OG0002012.0	OG0001741.1	OG0002348.56	OG0003001.0	OG0000646.28	OG0011319.4	OG0000606.2	OG0000471.2	OG0001567.1	OG0014063.4	OG0001643.24	OG0020502.0	OG0002651.6	OG0006297.0	OG0001579.36	OG0013273.0	OG0003151.14	OG0001964.1	OG0001309.24	OG0000711.2	OG0002178.2	OG0001778.24	OG0008099.0	OG0028281.0	OG0001566.2	OG0001699.1	OG0000038.0	OG0001602.32	OG0002787.0	OG0001907.32	OG0014068.0	OG0000441.96	OG0015415.0	OG0001711.10	OG0001698.26	OG0000441.1
3.0	43.0	28.0	1.0	5.0	2.0	29.0	4.0	41.0	42.0	27.0	27.0	7.0	23.0	43.0	24.0	21.0	1.0	57.0	27.0	27.0	11.0	6.0	39.0	5.0	46.0	48.0	32.0	4.0	31.0	3.0	32.0	5.0	24.0	4.0	19.0	24.0	27.0	41.0	17.0	27.0	6.0	1.0	29.0	27.0	105.0	27.0	31.0	21.0	4.0	27.0	2.0	28.0	27.0	5.0
OG0002095.0	OG0009162.19	OG0008321.0	OG0000046.1	OG0000188.1	OG0001239.26	OG0002405.6	OG0006728.0	OG0005263.0	OG0001107.6	OG0000780.24	OG0012995.0	OG0012891.0	OG0001053.24	OG0001362.22	OG0001532.0	OG0000673.107	OG0001402.24	OG0004964.6	OG0038862.0	OG0001463.24	OG0000074.152	OG0001977.0	OG0003074.8	OG0006189.2	OG0000438.1	OG0011223.2	OG0006542.0	OG0034522.0	OG0001629.5	OG0000421.80	OG0000412.76	OG0000841.0	OG0002120.0	OG0001453.1	OG0000660.14	OG0005492.12	OG0012094.2	OG0004500.5	OG0000058.46	OG0002472.0	OG0003287.8	OG0002106.0	OG0011558.1	OG0016902.0	OG0000592.34	OG0001266.28	OG0001658.27	OG0060447.0	OG0011942.0	OG0000813.1	OG0001694.12	OG0007102.0	OG0001228.1	OG0002146.0
27.0	1.0	5.0	53.0	55.0	27.0	23.0	4.0	11.0	27.0	29.0	5.0	4.0	27.0	27.0	28.0	3.0	27.0	15.0	1.0	27.0	34.0	28.0	21.0	4.0	33.0	5.0	4.0	1.0	32.0	27.0	27.0	30.0	27.0	27.0	32.0	4.0	4.0	14.0	107.0	24.0	21.0	27.0	3.0	3.0	31.0	27.0	24.0	1.0	7.0	28.0	27.0	6.0	27.0	27.0
OG0001247.24	OG0045265.0	OG0004360.6	OG0001148.24	OG0005547.4	OG0008502.5	OG0000042.314	OG0004149.3	OG0003288.0	OG0001894.0	OG0007070.2	OG0003597.0	OG0003878.0	OG0001450.26	OG0001182.24	OG0013576.5	OG0001356.24	OG0001046.24	OG0000959.34	OG0012147.0	OG0016259.4	OG0000017.3	OG0000283.131	OG0002113.0	OG0002174.0	OG0006082.0	OG0002459.0	OG0001522.0	OG0002065.0	OG0002315.0	OG0000428.54	OG0011981.0	OG0001144.24	OG0005723.0	OG0000944.28	OG0020811.0	OG0000793.0	OG0007550.0	OG0001351.24	OG0000876.20	OG0003498.0	OG0001255.26	OG0006273.0	OG0010572.4	OG0000294.0	OG0022198.0	OG0001223.1	OG0011605.0	OG0017537.6	OG0000579.24	OG0010954.0	OG0001196.1	OG0000338.41	OG0000905.14	OG0008448.10
27.0	1.0	14.0	27.0	5.0	3.0	43.0	5.0	22.0	23.0	5.0	21.0	21.0	27.0	27.0	3.0	27.0	27.0	27.0	6.0	2.0	210.0	25.0	27.0	27.0	13.0	28.0	28.0	27.0	26.0	31.0	5.0	27.0	6.0	28.0	1.0	28.0	7.0	27.0	29.0	21.0	27.0	5.0	4.0	48.0	1.0	27.0	4.0	1.0	30.0	4.0	27.0	40.0	30.0	5.0
OG0000887.1	OG0000902.24	OG0000824.24	OG0002051.0	OG0001031.24	OG0001956.0	OG0007407.0	OG0002053.0	OG0003580.0	OG0022622.0	OG0000099.0	OG0002061.0	OG0008686.0	OG0046670.0	OG0007189.2	OG0000479.1	OG0011348.0	OG0000007.585	OG0010688.2	OG0001838.42	OG0009779.2	OG0002694.1	OG0022878.0	OG0001199.24	OG0002315.0	OG0000665.0	OG0007888.4	OG0006252.6	OG0001287.24	OG0000995.5	OG0000546.2	OG0001191.24	OG0044776.0	OG0005951.0	OG0013033.4	OG0008362.10	OG0002168.0	OG0000378.2	OG0000801.24	OG0013522.0	OG0000997.124	OG0002883.0	OG0002472.0	OG0005117.0	OG0001090.26	OG0001283.1	OG0001264.24	OG0015300.0	OG0001102.24	OG0003772.0	OG0003460.0	OG0003555.0	OG0003017.0	OG0000961.2	OG0001271.1
16.0	27.0	28.0	27.0	27.0	27.0	7.0	27.0	21.0	2.0	62.0	27.0	4.0	1.0	5.0	28.0	5.0	73.0	4.0	22.0	4.0	21.0	1.0	27.0	26.0	24.0	4.0	4.0	27.0	27.0	45.0	27.0	1.0	6.0	4.0	3.0	27.0	28.0	31.0	5.0	1.0	22.0	24.0	18.0	27.0	27.0	27.0	4.0	27.0	20.0	21.0	6.0	23.0	29.0	27.0
OG0006249.0	OG0000983.28	OG0003806.0	OG0007265.0	OG0000416.1	OG0016018.0	OG0046739.0	OG0001488.22	OG0001811.2	OG0001884.0	OG0001545.0	OG0013537.2	OG0014686.4	OG0001913.2	OG0001294.24	OG0018155.0	OG0004257.24	OG0000635.48	OG0002273.0	OG0003875.2	OG0013515.0	OG0001069.28	OG0001766.6	OG0019333.0	OG0002750.0	OG0002674.20	OG0000060.0	OG0000581.0	OG0007791.0	OG0002910.0	OG0001962.0	OG0000820.2	OG0000005.968	OG0000209.146	OG0003484.0	OG0000102.0	OG0002285.24	OG0003438.0	OG0001145.3	OG0007962.0	OG0003378.14	OG0000592.34	OG0000473.17	OG0015502.5	OG0002582.8	OG0002225.0	OG0000925.1	OG0022068.0	OG0010665.0	OG0026280.0	OG0001874.6	OG0005358.0	OG0001892.0	OG0002534.16	OG0000642.2
5.0	27.0	21.0	4.0	11.0	4.0	1.0	27.0	27.0	27.0	26.0	4.0	3.0	27.0	27.0	4.0	7.0	27.0	28.0	21.0	6.0	27.0	28.0	1.0	23.0	16.0	61.0	36.0	5.0	22.0	28.0	31.0	158.0	27.0	21.0	72.0	24.0	21.0	27.0	5.0	4.0	31.0	32.0	1.0	18.0	27.0	28.0	2.0	3.0	1.0	33.0	5.0	29.0	21.0	32.0
OG0003140.0	OG0002270.30	OG0000926.24	OG0013877.2	OG0011371.0	OG0006030.0	OG0002050.0	OG0057392.0	OG0000007.3	OG0001334.24	OG0000965.0	OG0006260.0	OG0000585.30	OG0013069.6	OG0001335.24	OG0002156.0	OG0000236.122	OG0001154.24	OG0004111.0	OG0002132.0	OG0002022.0	OG0016143.0	OG0006555.0	OG0008103.4	OG0006590.0	OG0002248.0	OG0014664.2	OG0002391.2	OG0012180.0	OG0001276.24	OG0023345.0	OG0000440.0	OG0002245.24	OG0001367.24	OG0001732.10	OG0013538.1	OG0000032.86	OG0003133.0	OG0002928.0	OG0000181.1	OG0002698.0	OG0000026.628	OG0015336.0	OG0002331.0	OG0000154.2	OG0001267.24	OG0006837.2	OG0002225.0	OG0002704.28	OG0002043.0	OG0038655.0	OG0005654.7	OG0004829.13	OG0001666.14	OG0001561.0
