OG0011318.4	OG0000750.0	OG0015415.0	OG0008015.25	OG0015416.2	OG0001778.24	OG0000065.1	OG0000065.40	OG0013106.2	OG0001699.1	OG0020502.0	OG0001016.1	OG0001842.34	OG0001698.26	OG0002651.6	OG0001567.1	OG0001309.24	OG0014063.4	OG0000749.2	OG0008099.0	OG0001843.5	OG0001566.2	OG0001824.24	OG0006297.0	OG0001964.1	OG0002101.0	OG0000711.2	OG0000441.96	OG0002012.0	OG0014068.0	OG0000310.18	OG0005575.28	OG0000869.2	OG0001602.32	OG0001711.10	OG0003151.14	OG0001823.24	OG0001907.32	OG0002178.2	OG0011319.4	OG0000441.1	OG0000471.2	OG0000740.26	OG0000606.2	OG0013273.0	OG0003001.0	OG0000646.28	OG0005567.0	OG0002348.56	OG0001579.36	OG0001741.1	OG0002787.0	OG0028281.0	OG0000038.0	OG0001643.24
0.4324553	0.2184863	nan	nan	0.01282346	0.5869833000000001	nan	0.002822938	nan	0.28214229999999996	0.9978053	0.4260997	0.6749439	0.3643639	0.7759859	0.7122486	0.9090778	0.01282346	0.7108651	0.7763329000000001	0.5826262	0.3085137	0.5135704000000001	0.23746599999999998	0.5583691999999999	0.9519767	0.8632006999999999	0.3160577	0.9548382	0.06473769	0.1397736	0.8713085999999999	0.9194056999999999	0.29324570000000005	0.5701986	0.23182579999999997	0.45771670000000003	0.6725425	0.05584777	0.749235	0.310702	0.08080729	0.8844556999999998	0.2350835	0.6386896	0.5586833000000001	0.7001899	0.8719867	0.2767737	0.1591433	0.3228788	0.803741	nan	0.01180559	0.5616685
OG0028236.0	OG0003819.2	OG0025907.0	OG0045769.0	OG0018879.5	OG0056907.0	OG0014783.4	OG0027534.0	OG0006939.0	OG0022586.0	OG0038762.0	OG0005507.10	OG0028248.0	OG0018613.3	OG0015514.3	OG0018088.4	OG0003133.0	OG0012207.4	OG0005627.0	OG0016437.3	OG0006862.8	OG0004426.0	OG0060344.0	OG0010505.0	OG0046263.0	OG0009017.0	OG0038795.0	OG0005199.18	OG0015242.6	OG0010703.0	OG0046249.0	OG0001937.2	OG0000001.969	OG0012353.4	OG0044897.0	OG0019508.0	OG0022230.0	OG0005150.0	OG0019680.0	OG0048971.0	OG0000138.166	OG0006606.0	OG0014999.6	OG0022608.0	OG0029599.0	OG0035722.0	OG0022899.0	OG0027663.0	OG0000704.0	OG0010577.0	OG0001677.2	OG0025886.0	OG0006105.0	OG0044057.0	OG0023030.0
nan	0.31111940000000005	nan	nan	nan	nan	0.2605999	nan	0.2026154	nan	nan	0.6935564000000001	nan	nan	nan	nan	0.6654107	0.5230592000000001	0.7795951999999999	nan	0.3029065	0.9552878	nan	0.7707765000000001	nan	0.08939942	nan	0.9381541999999999	nan	0.5802845999999999	nan	0.9514383	nan	0.6256974000000001	nan	nan	nan	0.6476018	nan	nan	0.05198352	0.6251694999999999	nan	nan	nan	nan	nan	nan	0.698717	0.89294	0.1817525	nan	0.2960497	nan	nan
OG0041907.0	OG0046872.0	OG0053857.0	OG0014771.0	OG0047016.0	OG0045126.0	OG0005106.0	OG0012181.8	OG0034884.0	OG0004744.2	OG0012392.13	OG0014699.4	OG0010555.1	OG0000761.6	OG0000512.150	OG0000624.3	OG0016021.0	OG0001124.24	OG0057462.0	OG0000203.0	OG0013468.3	OG0027449.0	OG0047385.0	OG0041818.0	OG0004435.0	OG0000643.24	OG0046157.0	OG0011350.0	OG0013913.5	OG0022915.0	OG0003140.0	OG0007212.0	OG0021007.0	OG0010168.13	OG0008612.2	OG0035796.0	OG0002426.4	OG0002434.0	OG0047365.0	OG0017936.0	OG0008652.9	OG0011897.10	OG0025734.0	OG0046081.0	OG0047356.0	OG0020922.0	OG0018795.6	OG0010883.0	OG0014727.4	OG0014132.4	OG0048162.0	OG0003930.0	OG0014722.4	OG0012245.0	OG0024906.0
nan	nan	nan	nan	nan	nan	0.1858231	nan	nan	0.3284408	nan	0.9999886999999998	nan	0.06425782	0.5949563	0.02542667	0.9864825	0.9321376	nan	0.1139163	0.7110054	nan	nan	nan	0.1820536	0.6689353	nan	0.9808123	nan	nan	0.9577956	0.9847741	nan	nan	0.9602360999999999	nan	nan	0.1507529	nan	0.2024006	0.9989574000000001	nan	nan	nan	nan	nan	nan	0.9694712	0.8770657	nan	nan	0.5948496999999999	0.9990431000000001	0.9077011	nan
OG0002885.12	OG0029115.0	OG0044657.0	OG0024481.0	OG0025858.0	OG0047582.0	OG0045654.0	OG0045721.0	OG0018059.0	OG0002010.0	OG0003257.4	OG0003545.0	OG0037979.0	OG0041843.0	OG0022912.0	OG0027041.0	OG0013467.4	OG0021303.0	OG0001177.22	OG0038760.0	OG0054034.0	OG0012977.2	OG0028105.0	OG0041589.0	OG0057417.0	OG0009110.6	OG0017974.4	OG0043610.0	OG0021965.0	OG0003871.0	OG0011264.6	OG0012306.14	OG0008219.0	OG0004819.4	OG0005260.0	OG0013227.7	OG0002441.0	OG0000514.0	OG0047378.0	OG0019883.0	OG0008694.0	OG0001072.136	OG0019580.0	OG0027649.0	OG0008761.0	OG0004420.2	OG0011440.0	OG0000673.8	OG0027871.0	OG0046491.0	OG0018929.0	OG0003471.0	OG0006880.13	OG0047351.0	OG0037683.0
0.2710639	nan	nan	nan	nan	nan	nan	nan	nan	0.9462437	0.6588033	0.8667768	nan	nan	nan	nan	0.9979684000000001	nan	0.48528820000000006	nan	nan	0.8110616	nan	nan	nan	0.04626545	nan	nan	0.26352159999999997	0.9375022	nan	nan	0.9052349000000001	0.9290888	0.17353020000000002	nan	0.01324085	0.16125599999999998	nan	nan	0.6837533	nan	nan	nan	nan	0.2737908	0.9488620999999999	0.01278046	nan	nan	nan	0.944415	0.2430013	nan	nan
OG0024750.0	OG0006637.5	OG0001931.1	OG0003106.0	OG0019969.0	OG0020722.0	OG0013648.4	OG0010967.2	OG0013639.0	OG0041806.0	OG0025127.0	OG0016148.4	OG0006142.4	OG0002108.0	OG0027532.0	OG0003055.24	OG0011204.0	OG0007916.2	OG0001497.24	OG0038630.0	OG0005463.3	OG0013170.9	OG0009212.2	OG0015003.6	OG0023946.0	OG0017784.2	OG0022918.0	OG0000759.38	OG0020423.0	OG0004606.1	OG0020495.0	OG0038798.0	OG0002704.28	OG0046190.0	OG0047393.0	OG0045064.0	OG0046044.0	OG0004556.0	OG0057022.0	OG0046710.0	OG0057420.0	OG0024365.0	OG0004073.8	OG0002928.0	OG0057253.0	OG0034257.0	OG0035863.0	OG0001439.24	OG0053881.0	OG0007519.0	OG0006255.2	OG0011433.8	OG0038814.0	OG0020537.0	OG0006713.0
nan	0.9631286	nan	0.5762224	nan	0.9832295	nan	0.285928	0.18177190000000001	nan	nan	0.9782337	0.9430231	0.9017514000000001	nan	0.8144596	0.00019651009999999998	0.1900489	0.8684111999999999	nan	0.9805594000000001	nan	nan	nan	nan	nan	nan	0.9296847	0.9999768	0.44333950000000005	0.9978053	nan	0.9512841000000001	nan	nan	nan	nan	0.8399431999999999	nan	nan	nan	nan	0.7980953000000001	0.8648671	nan	nan	nan	0.9539434999999999	nan	0.8790488999999999	0.936227	0.9176243000000001	nan	nan	0.9834403
OG0003851.24	OG0026501.0	OG0029079.0	OG0021325.0	OG0035832.0	OG0007919.2	OG0006317.0	OG0018484.6	OG0002201.2	OG0046204.0	OG0029261.0	OG0038115.0	OG0038124.0	OG0044043.0	OG0006989.7	OG0048997.0	OG0045211.0	OG0012965.0	OG0015234.2	OG0002344.91	OG0029129.0	OG0027750.0	OG0007598.0	OG0029095.0	OG0011666.0	OG0009245.0	OG0012930.0	OG0010946.12	OG0022582.0	OG0025909.0	OG0004545.0	OG0006247.0	OG0019022.3	OG0045013.0	OG0035721.0	OG0037946.0	OG0044146.0	OG0037880.0	OG0029177.0	OG0026315.0	OG0018780.6	OG0047174.0	OG0006146.0	OG0008607.0	OG0028284.0	OG0027719.0	OG0047603.0	OG0034541.0	OG0020783.0	OG0005164.5	OG0025502.0	OG0015349.0	OG0004967.2	OG0010706.0	OG0002272.22
