OG0002252.0	OG0022826.0	OG0000606.2	OG0006400.2	OG0004324.0	OG0000019.257	OG0001967.0	OG0006804.0	OG0002346.16	OG0000835.7	OG0000177.8
0.6421388859096409	nan	5.666171523074633	5.2578598702908	4.037556234354109	4.846145263580903	6.72934923610745	3.3471865635528135	2.7483891364840862	3.792281048797407	5.955284279267988
OG0044334.0	OG0010586.2	OG0000629.1	OG0028073.0	OG0022890.0	OG0038662.0	OG0047539.0	OG0022782.0	OG0011077.1	OG0015546.3	OG0006718.7
nan	0.11189735624167861	3.974564774164735	nan	nan	nan	nan	nan	nan	nan	nan
OG0000008.1	OG0002100.0	OG0003138.0	OG0013583.0	OG0049159.0	OG0046415.0	OG0000894.25	OG0013017.9	OG0011933.0	OG0024685.0	OG0013182.2
8.181959459059241	1.4280360060646404	1.0532510990541566	2.000718605670563	nan	nan	-0.24901647126686308	1.2754296377507535	1.8436693915109303	nan	1.3787106034036056
OG0057016.0	OG0016768.5	OG0009897.1	OG0000015.1	OG0047017.0	OG0008348.0	OG0000051.490	OG0056740.0	OG0004260.3	OG0027786.0	OG0046622.0
nan	nan	2.8663246913099014	8.807818666953695	nan	2.6786510634243355	nan	nan	3.6730685262672855	nan	nan
OG0012777.0	OG0009928.2	OG0020540.0	OG0004907.8	OG0002233.0	OG0024292.0	OG0005591.5	OG0014692.1	OG0048836.0	OG0027043.0	OG0000426.114
3.1485556134808697	3.0205394943096993	-0.2305437581834791	0.45634211861659835	0.386553714544764	nan	0.9167456177687228	3.374677943284763	nan	1.294163814077738	nan
OG0056994.0	OG0004857.5	OG0034922.0	OG0027532.0	OG0005805.2	OG0047561.0	OG0025860.0	OG0047113.0	OG0000759.38	OG0012064.0	OG0018900.3
nan	2.1537144724489314	nan	-0.5752400947576881	2.5652951301306905	nan	1.2693576744932882	nan	1.0426648344827683	5.064000218342876	nan
OG0006365.0	OG0041869.0	OG0022275.0	OG0013569.4	OG0019315.0	OG0045380.0	OG0007125.8	OG0000698.19	OG0023094.0	OG0007387.6	OG0034832.0
3.7636329794054095	nan	3.666563239199467	3.3844698646912956	nan	nan	2.3532513100588957	0.32683165084995136	nan	1.0622363430048878	nan
OG0045687.0	OG0000988.1	OG0018406.0	OG0019024.4	OG0048796.0	OG0038795.0	OG0044796.0	OG0019849.0	OG0006853.0	OG0024731.0	OG0024669.0
nan	0.24624574244145483	nan	nan	nan	nan	nan	nan	2.7779551200782278	nan	nan
OG0028454.0	OG0037975.0	OG0006049.4	OG0020395.0	OG0007639.5	OG0025358.0	OG0012626.1	OG0000881.3	OG0002407.0	OG0001739.127	OG0006707.0
nan	nan	0.14020350862617584	nan	1.495391589015806	nan	nan	4.655135974839788	3.100833671921381	nan	0.012610726384009225
OG0034297.0	OG0026289.0	OG0047302.0	OG0011162.10	OG0038828.0	OG0013979.0	OG0017065.5	OG0004808.0	OG0057131.0	OG0011350.0	OG0015532.4
nan	1.6920355192113186	nan	0.9506885389963722	nan	3.0599687945350618	nan	1.428679406585538	nan	1.8254311482696441	nan
OG0006508.0	OG0034289.0	OG0019513.0	OG0004458.0	OG0004594.1	OG0027039.0	OG0046154.0	OG0001112.46	OG0015626.4	OG0016896.2	OG0047477.0
1.6236863280407987	nan	-13.287712379549449	3.5438960564964943	7.050554249673361	nan	nan	3.4626817823075156	2.3672760268041073	2.0058109381058666	nan
OG0003927.3	OG0027454.0	OG0041662.0	OG0027734.0	OG0043422.0	OG0057540.0	OG0005800.0	OG0012876.0	OG0011951.0	OG0060504.0	OG0014010.0
2.2491513698596064	2.9986617712089543	nan	nan	nan	nan	3.0349676735543127	1.0851467953960792	5.078587977781186	nan	1.0482844466204226
OG0018987.0	OG0043359.0	OG0046059.0	OG0000349.0	OG0034235.0	OG0046243.0	OG0016305.2	OG0001996.0	OG0003168.0	OG0004871.0	OG0003296.0
2.567994467752717	nan	nan	5.9424934351629055	nan	nan	3.034973704955235	1.35657757737802	2.502507779226958	0.7692595447801676	1.2251022973673993
OG0001623.1	OG0043659.0	OG0002592.3	OG0006414.0	OG0007022.0	OG0010577.0	OG0000928.30	OG0029343.0	OG0022783.0	OG0023039.0	OG0034699.0
2.373388888974514	nan	5.1104754550832805	2.6119393610399997	2.398868471512322	1.1096978360515355	0.004251219045157332	nan	nan	-0.9311754456920514	nan
OG0006005.0	OG0046356.0	OG0010802.0	OG0011934.2	OG0034865.0	OG0029250.0	OG0001343.24	OG0028196.0	OG0000171.0	OG0005144.1	OG0014614.0
1.7665312315981128	nan	1.5748059419534215	1.2330395544513761	nan	nan	-1.0677952432296298	nan	7.9001798193141095	4.11588331529496	2.5713364535896543
