OG0001698.26	OG0012926.0	OG0000027.457	OG0001566.2	OG0001643.24
-1.2039006722965686	-3.5083213200135352	-0.9018499789079885	-1.0540927027897475	-1.1587514286937521
OG0021387.0	OG0001139.24	OG0019386.0	OG0026570.0	OG0000681.0
-2.129102691334971	-1.3789444967002604	nan	nan	-0.5065576088535866
OG0010012.0	OG0002309.26	OG0000298.0	OG0012865.13	OG0002438.24
-1.6020875398230947	-0.17104352358233668	-0.7475843409673495	nan	-1.611314492504686
OG0025841.0	OG0013493.0	OG0005870.0	OG0027623.0	OG0012781.0
nan	-2.31114825613412	-1.5551209435844409	-3.1739702135002608	-2.0733932587486836
OG0037720.0	OG0002414.18	OG0014874.2	OG0015286.0	OG0029053.0
nan	nan	nan	-3.180495303958067	nan
OG0000974.123	OG0013565.5	OG0014021.0	OG0044562.0	OG0015488.1
nan	-1.386845571568701	-3.917242918968326	nan	nan
OG0027685.0	OG0056666.0	OG0029101.0	OG0007439.0	OG0011147.18
nan	nan	nan	-1.7036894392919077	nan
OG0009965.0	OG0038798.0	OG0025072.0	OG0019528.0	OG0044257.0
-0.9576358247519923	nan	nan	-2.1228054528737617	nan
OG0021358.0	OG0048152.0	OG0035822.0	OG0016666.3	OG0007959.6
nan	nan	nan	nan	-2.492484413520771
OG0053946.0	OG0048140.0	OG0027589.0	OG0008559.4	OG0007389.1
nan	nan	nan	-2.700872591587623	nan
OG0056788.0	OG0056650.0	OG0057281.0	OG0022287.0	OG0044932.0
nan	nan	nan	nan	nan
OG0003958.0	OG0004892.3	OG0026496.0	OG0047246.0	OG0045830.0
-2.0782590139204995	-0.5532144378568775	nan	nan	nan
OG0000419.1	OG0037938.0	OG0007984.6	OG0014529.2	OG0021181.0
-0.3746359839946372	nan	-2.5708929182195006	-2.495735558650761	nan
OG0045543.0	OG0010017.0	OG0016246.7	OG0057118.0	OG0014804.6
nan	-1.3917584867372812	nan	nan	-2.8099541131055616
OG0044126.0	OG0047612.0	OG0011528.12	OG0001032.24	OG0000246.0
nan	nan	nan	-1.107181572204967	-0.5324074912870507
OG0000895.1	OG0011911.0	OG0044129.0	OG0015612.4	OG0013109.0
-1.215244771307591	-1.2229696147991935	nan	nan	-2.0133342263030864
OG0001520.24	OG0000835.7	OG0016985.0	OG0044638.0	OG0006291.0
-1.0865073722499217	-1.1883645691462565	nan	nan	-1.5332423842738285
OG0029189.0	OG0029582.0	OG0025891.0	OG0008444.0	OG0021304.0
nan	nan	-1.5885737542735352	-0.6317345170625073	-0.4056425485413072
OG0000258.1	OG0048180.0	OG0012864.8	OG0049158.0	OG0019411.0
-0.38157338335406926	nan	nan	nan	nan
OG0044483.0	OG0018155.0	OG0018016.0	OG0007327.2	OG0046721.0
nan	0.12974460550781922	-1.8916428219095818	-2.5145731728297585	nan
OG0005696.4	OG0057320.0	OG0053977.0	OG0003006.0	OG0001368.24
-1.7833899312575583	nan	nan	-1.0433485444289392	-0.9928044985957962
OG0060552.0	OG0045679.0	OG0011755.11	OG0011634.6	OG0003899.0
nan	nan	-3.0637107053513444	-1.172018427352438	-0.3660573687643962
OG0004642.1	OG0007511.2	OG0007317.4	OG0006017.0	OG0001896.13
-1.6474674433271037	-1.6020875398230947	-1.8852332073344857	-0.9751130006868205	-1.2162500169928252
OG0002777.4	OG0009204.7	OG0043666.0	OG0005160.1	OG0004478.4
-0.8114724732255982	nan	nan	-0.9988463053836297	-0.859090493458338
OG0046288.0	OG0003089.5	OG0048004.0	OG0000660.14	OG0019305.0
nan	-0.9748294242650939	nan	-0.7269019108215087	-1.7264244343846205
OG0046914.0	OG0047996.0	OG0009287.0	OG0000863.32	OG0056905.0
nan	nan	-1.6610907271910786	-0.9751130006868205	nan
OG0024668.0	OG0034754.0	OG0006522.0	OG0016430.8	OG0048795.0
nan	nan	-2.1916561403685035	nan	nan
OG0017941.0	OG0041680.0	OG0009103.4	OG0005700.0	OG0060423.0
-2.900772134225139	nan	-1.6091122404499907	-0.9312604093276949	nan
OG0000585.5	OG0021251.0	OG0029038.0	OG0021208.0	OG0012663.4
nan	nan	nan	nan	-2.2947740433836357
OG0038133.0	OG0004132.1	OG0003683.0	OG0005997.6	OG0002288.14
nan	-1.5555449538860644	-0.7004036512159048	-1.3989691306511904	0.36971772941356507
