OG0004324.0	OG0000177.8	OG0002346.16	OG0022826.0	OG0002252.0	OG0001967.0	OG0000835.7	OG0000606.2	OG0006400.2	OG0000019.257	OG0006804.0
3.186394	5.586796	1.538705	1.449231	nan	1.0890799999999998	0.9340764000000001	nan	0.6155170999999999	nan	0.4374031
OG0004461.4	OG0000187.1	OG0000032.86	OG0046717.0	OG0002778.0	OG0002971.0	OG0002682.12	OG0000471.2	OG0010587.0	OG0000846.25	OG0006802.11
9.483362	nan	nan	263.8392	13.84489	0.9975111999999999	2.171065	nan	nan	nan	2.004932
OG0000112.0	OG0001300.1	OG0001528.16	OG0005118.8	OG0001701.8	OG0045960.0	OG0000559.30	OG0012123.0	OG0000042.314	OG0003360.2	OG0003978.4
0.9729732	nan	0.9115979	4.832258	nan	257.1309	nan	2.67782	nan	16.820079999999997	2.656494
OG0001018.1	OG0024351.0	OG0000090.24	OG0003241.1	OG0000749.2	OG0000604.1	OG0005077.4	OG0007724.0	OG0000497.40	OG0002862.0	OG0000848.32
1.282833	2.6949259999999997	1.567615	10.8124	nan	0.8411978000000001	10.31177	4.3124769999999994	nan	2.301273	nan
OG0000392.72	OG0004437.0	OG0046798.0	OG0001829.22	OG0004817.2	OG0000596.47	OG0002777.4	OG0000196.0	OG0006315.0	OG0004142.0	OG0000223.2
nan	117.5564	258.999	nan	8.975028	nan	13.95474	0.8986194	26.1312	117.5382	nan
OG0005040.3	OG0047409.0	OG0002822.4	OG0000090.24	OG0000420.0	OG0002906.4	OG0000789.1	OG0000236.122	OG0005693.0	OG0000874.1	OG0010757.0
184.4317	3.331174	2.140325	1.567615	nan	14.614820000000002	nan	nan	2.85122	2.748686	4.615461
OG0002621.3	OG0056696.0	OG0002078.0	OG0008599.0	OG0000779.1	OG0007385.6	OG0000276.72	OG0003360.2	OG0000107.44	OG0000294.0	OG0005458.0
9.677324	2.62127	nan	1.1715719999999998	14.02145	0.568462	nan	16.820079999999997	0.8220155	nan	3.264488
OG0003620.0	OG0002676.20	OG0001174.24	OG0000658.0	OG0003373.0	OG0001620.0	OG0000239.0	OG0000589.0	OG0000371.2	OG0041510.0	OG0016053.0
nan	1.340962	nan	nan	1.2055209999999998	2.727039	nan	3.1513259999999996	nan	3.2682830000000003	2.256722
OG0007198.0	OG0000090.24	OG0000671.12	OG0000002.585	OG0002778.0	OG0005485.2	OG0041521.0	OG0003028.0	OG0000391.20	OG0001996.0	OG0012227.0
2.724047	1.567615	0.46923980000000004	nan	13.84489	4.620405	3.288564	21.49847	nan	nan	1.555233
OG0003988.1	OG0003197.4	OG0000062.12	OG0002777.4	OG0011409.0	OG0005890.2	OG0000169.16	OG0006715.0	OG0024831.0	OG0001058.26	OG0000771.24
4.244219999999999	20.78047	nan	13.95474	2.3290669999999998	nan	1.320063	1.145853	2.220452	nan	nan
OG0005466.0	OG0000078.207	OG0000261.0	OG0000598.0	OG0002041.0	OG0002882.0	OG0013275.0	OG0000018.842	OG0045374.0	OG0005912.2	OG0000771.24
0.4264567	2.471682	nan	2.6564200000000002	nan	3.078568	1.123966	2.682202	253.4325	112.3498	nan
OG0001696.0	OG0005756.2	OG0046909.0	OG0003698.0	OG0007743.0	OG0003273.0	OG0000350.8	OG0000874.1	OG0002918.1	OG0000320.0	OG0001381.24
nan	13.98559	255.5658	0.43598679999999995	2.150045	7.963371	1.404703	2.748686	nan	nan	nan
OG0002077.0	OG0007886.0	OG0001489.4	OG0006139.0	OG0000169.16	OG0003875.2	OG0044496.0	OG0012732.0	OG0000634.26	OG0000966.4	OG0000226.4
nan	0.5720267	2.119673	114.8513	1.320063	21.57725	1.4491209999999999	4.145255000000001	nan	1.7591709999999998	nan
OG0001668.0	OG0035835.0	OG0001245.24	OG0003825.26	OG0003837.0	OG0004683.0	OG0002940.48	OG0002209.38	OG0000700.36	OG0000018.842	OG0000226.4
5.224346	1.303277	nan	115.4324	16.40083	9.949912	26.37758	13.857779999999998	nan	2.682202	nan
OG0001770.0	OG0006270.12	OG0002536.0	OG0004837.2	OG0048079.0	OG0001829.22	OG0000748.0	OG0000188.1	OG0010703.0	OG0001401.24	OG0000310.18
nan	2.78317	1.423512	9.393951	3.804497	nan	2.5485189999999998	nan	4.581062999999999	nan	nan
OG0000599.0	OG0045783.0	OG0000504.24	OG0004935.0	OG0009848.0	OG0006434.0	OG0003028.0	OG0000018.842	OG0000814.1	OG0000966.4	OG0004320.3
nan	263.829	nan	10.46022	3.215136	2.223186	21.49847	2.682202	nan	1.7591709999999998	2.082949
OG0003698.0	OG0000584.0	OG0005693.0	OG0045507.0	OG0002857.4	OG0000001.2052	OG0001443.24	OG0003634.44	OG0002487.0	OG0000343.0	OG0000876.20
0.43598679999999995	nan	2.85122	260.756	4.061921	4.187387999999999	nan	4.529098	189.4823	4.3776980000000005	nan
OG0013433.5	OG0000092.1	OG0000318.0	OG0001551.34	OG0003714.0	OG0002213.0	OG0000059.59	OG0005019.0	OG0001832.1	OG0006023.0	OG0002487.0
3.293039	nan	nan	0.48954380000000003	9.019125	nan	1.170247	4.783511	nan	26.369020000000003	189.4823
OG0010762.2	OG0002449.21	OG0005448.0	OG0000892.1	OG0005886.2	OG0017345.1	OG0002718.4	OG0000561.24	OG0000107.44	OG0000294.0	OG0000966.4
2.060647	1.52106	0.5651111999999999	nan	113.8672	1.8797009999999998	2.2866459999999997	nan	0.8220155	nan	1.7591709999999998
OG0000014.1	OG0000090.24	OG0001815.3	OG0008507.1	OG0000724.26	OG0003714.0	OG0000589.0	OG0007230.0	OG0056807.0	OG0003181.15	OG0004557.0
