OG0004710.2	OG0022825.0	OG0012896.0	OG0016785.2	OG0000471.2
0.15399549999999998	1.445711	1.1306889999999998	2.935956	nan
OG0007333.0	OG0011513.15	OG0013502.0	OG0002894.0	OG0005481.0
4.604064	2.632628	1.661914	0.9566614999999999	1.7244560000000002
OG0015762.3	OG0004155.0	OG0011927.6	OG0016607.0	OG0007658.2
3.745861	169.0855	8.143754	4.583465	4.607003
OG0029980.0	OG0043356.0	OG0013576.4	OG0000928.30	OG0005440.0
2.3988389999999997	1.4813049999999999	2.2300240000000002	nan	7.734752
OG0038603.0	OG0047019.0	OG0027827.0	OG0057014.0	OG0000571.0
3.416896	3.337832	nan	2.696525	1.464378
OG0016134.2	OG0045151.0	OG0022291.0	OG0001730.2	OG0013548.2
6.4146410000000005	252.4961	1.4625620000000001	1.562578	3.355405
OG0000682.0	OG0004423.0	OG0002987.2	OG0001531.24	OG0044553.0
20.2233	117.391	0.3102756	3.79008	1.446843
OG0007400.9	OG0000321.132	OG0048126.0	OG0018069.2	OG0015980.3
1.293372	1.441448	3.792893	7.99523	2.2484
OG0018859.6	OG0011360.2	OG0015270.2	OG0043383.0	OG0028982.0
3.268107	1.026793	2.26159	1.494584	3.747168
OG0007810.5	OG0047597.0	OG0011949.0	OG0019494.0	OG0006039.1
3.048755	3.3832050000000002	nan	2.08609	2.1138369999999997
OG0001567.1	OG0037949.0	OG0053856.0	OG0020590.0	OG0001833.32
nan	3.080889	2.4298759999999997	3.13237	28.486390000000004
OG0046902.0	OG0009194.1	OG0016807.0	OG0008668.22	OG0006468.8
268.5601	1.170305	2.954137	3.3063019999999996	1.100683
OG0053926.0	OG0024628.0	OG0003305.0	OG0034348.0	OG0038651.0
2.605468	1.563302	nan	1.290814	3.397665
OG0053991.0	OG0057080.0	OG0005598.38	OG0022053.0	OG0046872.0
2.395377	2.784482	2.498889	1.8789939999999998	259.5732
OG0001040.1	OG0023205.0	OG0018588.1	OG0012515.12	OG0025971.0
nan	1.46272	3.276764	3.7620839999999998	2.146234
OG0012164.0	OG0045990.0	OG0025137.0	OG0001413.1	OG0003613.0
nan	251.5782	2.404766	nan	11.2343
OG0005498.6	OG0000546.2	OG0002703.16	OG0004268.26	OG0019062.1
189.3457	5.305291	nan	3.4121080000000004	3.799889
OG0043736.0	OG0028147.0	OG0007732.0	OG0015604.7	OG0003085.8
nan	3.7140230000000005	0.8119645999999999	3.2478540000000002	46.14912
OG0003408.0	OG0006271.0	OG0004639.6	OG0019752.0	OG0001845.2
46.02463	26.6312	5.55692	2.642064	nan
OG0005244.10	OG0005275.2	OG0013618.1	OG0013322.2	OG0022027.0
nan	2.854993	1.8130380000000001	1.389942	3.2202759999999997
OG0007061.32	OG0014025.6	OG0004215.0	OG0034908.0	OG0053973.0
2.5551220000000003	1.9807169999999998	nan	2.2328360000000003	2.532718
OG0003897.10	OG0001608.24	OG0057272.0	OG0029027.0	OG0002856.0
0.04132692	0.7927951	nan	3.7460690000000003	2.606864
OG0043939.0	OG0022733.0	OG0006963.0	OG0003997.0	OG0014683.4
2.695427	1.531333	27.94782	1.563634	8.038739
OG0005485.2	OG0026929.0	OG0016166.2	OG0000083.0	OG0009932.0
4.620405	3.7022199999999996	8.034148	1.331703	2.78248
OG0035782.0	OG0002516.0	OG0010116.20	OG0034772.0	OG0005228.0
1.304133	20.32402	2.3456349999999997	2.2093580000000004	0.5742178000000001
OG0005075.42	OG0009082.0	OG0056969.0	OG0020856.0	OG0004466.4
nan	167.2812	2.712328	1.163255	0.1674594
OG0003298.30	OG0038594.0	OG0016290.2	OG0005869.0	OG0044284.0
2.509535	3.416935	1.481947	2.125954	2.769645
