OG0019212.0	OG0000441.96	OG0001741.1	OG0007639.5	OG0000236.1	OG0011318.4	OG0012897.4	OG0020019.0	OG0005996.10	OG0001699.1	OG0000834.15	OG0002590.0	OG0001842.34	OG0002488.24	OG0002309.26	OG0005056.1	OG0014063.4	OG0000833.0	OG0008015.25	OG0001843.5	OG0013273.0	OG0014068.0	OG0006158.4	OG0000606.2	OG0011319.4	OG0013106.2	OG0000236.19	OG0003001.0	OG0000750.0	OG0003342.16	OG0004314.0	OG0005266.0	OG0000264.1	OG0015416.2	OG0020502.0	OG0000236.122	OG0014817.2	OG0000098.0	OG0007127.0	OG0001764.0	OG0001964.1	OG0005326.0	OG0001607.2	OG0002787.0	OG0000751.0	OG0013218.3	OG0006225.0	OG0001844.24	OG0003860.1	OG0000324.0	OG0005400.0	OG0029060.0	OG0000920.27	OG0001698.26	OG0001309.24	OG0003151.14	OG0006297.0	OG0003991.2	OG0001711.10	OG0001643.24	OG0002012.0	OG0002651.6	OG0000119.0	OG0008335.19	OG0044466.0	OG0002988.0	OG0000213.17	OG0000471.2	OG0053812.0	OG0004226.0	OG0000038.0	OG0004205.0	OG0005741.0	OG0006752.0	OG0000869.2	OG0000834.30	OG0016785.2	OG0002101.0	OG0001824.24	OG0000646.28	OG0009857.2	OG0000711.2	OG0001778.24	OG0000318.0	OG0000441.1	OG0001579.36	OG0000320.0	OG0000456.0	OG0000749.2	OG0000310.18	OG0011985.2	OG0012896.0	OG0001016.1	OG0005567.0	OG0001567.1	OG0002348.56	OG0015415.0	OG0029057.0	OG0000213.256	OG0002178.2	OG0014065.0	OG0000065.1	OG0000740.26	OG0028281.0	OG0000065.40	OG0004135.0	OG0005575.28	OG0007639.25	OG0008099.0	OG0008342.0	OG0001907.32	OG0014302.8	OG0007845.0	OG0001602.32	OG0001566.2	OG0001823.24	OG0008341.0	OG0015105.0	OG0000206.0	OG0000551.2
-1.981526	nan	nan	-1.638823	-1.8549400000000003	0.4652844	-0.3257397	0.7225895	-1.1876950000000002	nan	0.8530101999999999	0.6601767	-0.11591389999999999	0.445966	0.180809	0.2656074	-0.3134239	nan	0.1172004	-0.4510971	0.6295864999999999	-0.337961	0.9662683000000001	nan	0.47031179999999995	0.7898265	nan	0.4147031	nan	0.36649349999999997	0.3593693	0.12763010000000002	nan	-0.332445	-1.295157	nan	0.3971866	-0.05962975	0.339843	nan	-1.293951	0.1448835	0.13986510000000002	-1.326668	nan	-1.459039	-0.2511891	0.3392868	-0.04809441	-0.7556885999999999	0.2675892	-1.761985	nan	nan	nan	-0.14497939999999998	-1.1814360000000002	0.2747206	-0.13338770000000003	nan	nan	-0.8873049999999999	nan	-1.504405	1.304215	0.5016164000000001	nan	nan	2.790695	0.1569761	nan	0.2762338	-0.44281980000000004	0.04215994	nan	nan	-1.8704049999999999	nan	nan	nan	-1.280974	nan	nan	0.05866991	-1.123693	-0.15413220000000002	nan	nan	nan	0.8435045	0.8227421999999999	0.5931903000000001	nan	-1.361834	nan	0.09650033	-0.3885349	-1.4993299999999998	1.195211	-0.2263244	-0.3318772	1.428078	nan	-0.776041	0.6049241	0.4098723	-0.3974272	-1.4744950000000001	-0.03821786	0.8042855	-0.1405389	-1.503737	0.7693346	nan	nan	nan	-1.1786459999999999	-0.2413988	nan	0.4080258
OG0004601.0	OG0004091.0	OG0018087.2	OG0000922.28	OG0000682.0	OG0000381.0	OG0027752.0	OG0002580.2	OG0011489.0	OG0010872.12	OG0000406.0	OG0012126.3	OG0012959.2	OG0000753.0	OG0004852.0	OG0000085.0	OG0020899.0	OG0000814.1	OG0005307.0	OG0012202.0	OG0020848.0	OG0003440.0	OG0027806.0	OG0000364.1	OG0000288.79	OG0011438.4	OG0014033.0	OG0005681.2	OG0012683.2	OG0000862.34	OG0041540.0	OG0012064.0	OG0048147.0	OG0000143.0	OG0001302.24	OG0000807.26	OG0001863.0	OG0000420.0	OG0001087.24	OG0000377.148	OG0005304.0	OG0000158.1	OG0006643.0	OG0000100.1	OG0003592.0	OG0001237.24	OG0004198.0	OG0000004.433	OG0015187.4	OG0000013.2	OG0007023.0	OG0000256.24	OG0003642.0	OG0004640.26	OG0003067.0	OG0012651.6	OG0000413.2	OG0000380.29	OG0001419.3	OG0000261.0	OG0002128.0	OG0041541.0	OG0005901.4	OG0000019.2	OG0011924.11	OG0024505.0	OG0008665.0	OG0000002.1147	OG0001857.4	OG0000419.108	OG0045229.0	OG0002133.0	OG0001736.4	OG0002210.0	OG0007723.0	OG0001365.24	OG0010577.0	OG0002418.9	OG0003423.0	OG0025008.0	OG0000297.1	OG0000290.0	OG0008097.4	OG0000962.24	OG0000225.48	OG0005287.12	OG0045888.0	OG0003502.3	OG0015967.4	OG0007159.0	OG0022375.0	OG0000858.32	OG0002117.0	OG0013881.0	OG0009205.0	OG0013892.2	OG0014234.1	OG0017257.0	OG0000177.8	OG0002448.22	OG0001273.24	OG0004163.4	OG0003928.0	OG0000287.0	OG0010584.0	OG0003281.0	OG0002298.4	OG0020651.0	OG0001656.2	OG0002464.21	OG0000257.0	OG0010775.0	OG0006941.0	OG0001594.1	OG0015168.2	OG0000336.0	OG0004935.0	OG0009014.0	OG0004096.6	OG0000317.0
-0.4522709	0.2796356	-1.656495	0.9126656999999999	-1.179322	-0.9762068000000002	-6.561774000000001	-0.8082571	0.05202955	-1.375	nan	-1.240237	-1.9874580000000002	nan	-0.27940170000000003	1.174635	0.3920635	nan	-0.4968282	0.1211871	-0.46125249999999995	-1.3254920000000001	-5.69857	nan	-1.317104	1.214912	-0.31665240000000006	-0.7251681999999999	-1.7079650000000002	nan	0.95765	0.561591	-0.7968837	0.7328847	nan	nan	nan	nan	nan	0.0260283	-0.6244988	-0.2371666	-1.241192	nan	-1.32695	nan	0.4670687	0.8906208000000001	-1.851925	nan	-1.252573	nan	-0.4748273	-1.1698950000000001	0.4972479	1.099698	nan	nan	nan	nan	nan	0.9882003	-1.180803	nan	-1.7866240000000002	1.215558	-0.05751802	1.102174	nan	-1.409942	-5.892372	nan	nan	nan	-0.6145528	nan	0.7468531999999999	-0.5608138	-1.270009	-1.4779870000000002	0.06016422	nan	1.307246	nan	nan	0.9519911	-6.335898	-0.5619976	-1.416418	0.1582136	-0.3534383	nan	-0.1738145	-1.236613	-0.6273831999999999	0.9973426	0.5614449	1.9069470000000002	nan	0.1073231	nan	-0.8487915	-0.5976752	0.7431761	-0.602837	-0.9982735	0.5626711999999999	-0.6090023	-0.1665667	0.6725946	nan	0.4905951	-0.16293339999999998	nan	-1.870234	nan	-0.4461312	-0.03175395	-0.8292046999999999	nan
OG0009189.0	OG0013716.0	OG0002284.0	OG0000001.2003	OG0003330.1	OG0004811.0	OG0002387.20	OG0002618.0	OG0002201.2	OG0013042.0	OG0013923.2	OG0000005.318	OG0047243.0	OG0013062.2	OG0000396.79	OG0027668.0	OG0002884.0	OG0001189.24	OG0000685.33	OG0000132.40	OG0000349.0	OG0027498.0	OG0003357.4	OG0004044.36	OG0001416.0	OG0000461.0	OG0000705.16	OG0001463.24	OG0007561.6	OG0018811.0	OG0011755.11	OG0004011.8	OG0007086.1	OG0001598.16	OG0004180.46	OG0003834.8	OG0016401.1	OG0000232.19	OG0006283.0	OG0002597.0	OG0011134.8	OG0002031.0	OG0000042.23	OG0005282.0	OG0029018.0	OG0000151.0	OG0002352.25	OG0000014.1	OG0005290.0	OG0001831.0	OG0027783.0	OG0000059.133	OG0000605.0	OG0002336.0	OG0003923.0	OG0043410.0	OG0015129.0	OG0006880.13	OG0005227.24	OG0043861.0	OG0025893.0	OG0001267.24	OG0000186.266	OG0001737.0	OG0002181.0	OG0000305.0	OG0000338.41	OG0012902.0	OG0011321.2	OG0016067.1	OG0012102.0	OG0002493.6	OG0001329.24	OG0012172.0	OG0010592.6	OG0020456.0	OG0000460.47	OG0001036.24	OG0000431.12	OG0010951.0	OG0017962.4	OG0002084.0	OG0005341.0	OG0000780.24	OG0011350.0	OG0001235.24	OG0001260.24	OG0003158.0	OG0005087.2	OG0003683.0	OG0008200.0	OG0001136.24	OG0003332.0	OG0005989.0	OG0007506.1	OG0000001.1420	OG0035652.0	OG0000214.0	OG0000180.0	OG0006365.0	OG0000451.0	OG0001143.26	OG0046034.0	OG0011633.1	OG0000287.0	OG0000647.0	OG0019704.0	OG0001401.24	OG0000407.1	OG0014746.1	OG0007702.0	OG0025974.0	OG0001649.0	OG0001060.26	OG0012911.0	OG0000336.0	OG0006459.10	OG0000553.6	OG0005565.0	OG0000528.32
0.6930414	0.4295213	-0.6203175	0.781047	-0.4370465	-0.7647390000000001	-1.254877	0.21265460000000003	-1.119063	0.3091826	0.5032638	nan	0.1883146	0.6191047	nan	0.9619175999999999	-1.412982	nan	nan	nan	0.5581897	-1.8956669999999998	-1.3555549999999998	-1.248414	nan	-0.5497018	-0.8403255999999999	nan	0.1477415	-0.2040978	-1.472532	0.5248138000000001	0.8072679	nan	-0.9992735	0.3889513	0.47241320000000003	nan	-0.5275616999999999	-0.10656869999999999	-1.515352	nan	nan	-0.42588869999999995	-1.453127	0.37268559999999995	-0.1592013	nan	-0.8917152	-0.41166440000000004	-6.762312	nan	0.8990705	0.7459534999999999	1.2254909999999999	1.651239	-0.12355999999999999	-1.030836	0.42529809999999996	-1.159986	0.9708171999999998	nan	-0.8364094999999999	nan	0.3310011	0.1074258	nan	0.06937289999999999	0.44094179999999994	-1.595912	-0.4127308	0.7594417	nan	-0.5340968	-1.321151	-1.34345	nan	nan	nan	-0.26997020000000005	-1.8175290000000002	nan	-0.6691087	nan	0.24953789999999998	nan	nan	-0.5890181	0.47591999999999995	-1.360878	-0.2732117	-0.1518536	0.5070431	-0.6975843	0.3852991	nan	1.9352740000000002	nan	nan	0.43098290000000006	-0.208927	nan	-6.58827	1.093795	0.7431761	1.161775	0.9484716000000001	nan	nan	-1.6310149999999999	0.2699074	0.8933853	nan	nan	0.1013862	nan	0.31305029999999995	-0.6746286	-1.334157	0.7733401999999999
OG0006665.0	OG0004356.0	OG0013652.3	OG0001165.26	OG0000139.0	OG0002559.0	OG0002195.1	OG0000288.62	OG0001130.24	OG0006720.0	OG0000726.25	OG0005042.6	OG0000101.90	OG0003595.1	OG0047433.0	OG0001522.0	OG0005196.0	OG0000075.0	OG0007200.0	OG0024557.0	OG0004108.36	OG0046151.0	OG0002053.0	OG0007557.2	OG0004888.1	OG0001687.23	OG0001881.0	OG0004234.0	OG0004005.1	OG0003699.6	OG0018183.2	OG0014171.0	OG0007108.26	OG0004167.25	OG0005358.0	OG0004053.58	OG0001802.4	OG0001262.36	OG0000498.0	OG0001539.22	OG0006903.2	OG0003976.0	OG0000044.1	OG0010092.0	OG0037957.0	OG0000042.23	OG0024558.0	OG0000603.1	OG0001242.28	OG0007131.0	OG0000683.0	OG0016892.2	OG0003293.4	OG0000302.34	OG0000525.2	OG0001885.0	OG0009263.0	OG0001918.20	OG0002987.2	OG0001608.24	OG0001090.26	OG0016466.2	OG0029220.0	OG0013563.0	OG0013008.8	OG0022367.0	OG0006509.2	OG0006332.2	OG0000404.58	OG0004559.0	OG0011704.2	OG0010741.0	OG0000185.5	OG0000204.2	OG0001009.24	OG0007742.2	OG0038652.0	OG0001174.24	OG0000403.25	OG0001830.6	OG0001573.24	OG0001774.6	OG0009249.0	OG0000741.0	OG0002117.0	OG0005537.2	OG0003076.0	OG0009899.0	OG0003635.0	OG0027701.0	OG0005087.2	OG0011345.0	OG0000760.17	OG0002577.26	OG0029017.0	OG0008482.0	OG0012527.4	OG0000001.2142	OG0024737.0	OG0005149.0	OG0000526.0	OG0000177.8	OG0000006.1	OG0000011.866	OG0012674.4	OG0009159.0	OG0001083.26	OG0003281.0	OG0004726.1	OG0005604.1	OG0024660.0	OG0006559.0	OG0000062.12	OG0002219.0	OG0000230.58	OG0001272.24	OG0011312.2	OG0016859.0	OG0000336.0	OG0000753.0
-1.1166690000000001	0.4449559	-6.49121	nan	-0.1087079	-0.716141	0.09814117	-0.28272729999999996	nan	-0.7526036	nan	-0.7509439	nan	-0.9016211999999999	0.2412569	1.196541	0.3361746	nan	0.343593	-1.8263189999999998	0.4401647	-5.955394	nan	0.500987	0.12031589999999999	-0.42347429999999997	nan	-0.1912415	-0.20540229999999998	0.31187459999999995	1.170166	-0.0009896742	-6.757092999999999	-1.181052	-1.132631	1.725917	-0.6302736	0.8865061	nan	nan	-0.237644	-0.4833384	nan	0.7160446999999999	1.241926	nan	-1.857273	nan	nan	0.06395880000000001	nan	-1.303795	-1.2416459999999998	nan	-0.2644098	nan	-0.07571064	0.09676988	0.3171813	0.35190879999999997	nan	0.8527904000000001	1.463766	-0.6907852	0.8842376000000001	-0.41155109999999995	-0.7268093000000001	0.25809699999999997	nan	-0.8185923	-1.3812149999999999	-0.9752909	nan	nan	nan	0.2566505	0.01932718	nan	nan	nan	nan	-0.4387675999999999	0.9502521999999999	nan	-0.1738145	-1.306822	-1.3962379999999999	1.03896	-0.15901310000000002	1.3235700000000001	0.47591999999999995	-0.549615	0.16498429999999997	-0.24246120000000002	-1.368104	0.3512593	-1.423732	-0.9024949000000001	-0.6100855	-0.6251238	0.6896846	nan	nan	nan	-0.45283409999999996	-1.1810889999999998	nan	-0.9982735	0.2896176	1.068508	1.681289	-1.178867	nan	-0.5822385999999999	nan	nan	-1.1620629999999998	-0.1264541	nan	nan
OG0028987.0	OG0000897.0	OG0003413.0	OG0006186.0	OG0003219.0	OG0000910.22	OG0019469.0	OG0000866.3	OG0011986.10	OG0006349.2	OG0000209.146	OG0000859.24	OG0023936.0	OG0000414.34	OG0004739.0	OG0016036.0	OG0009314.0	OG0016272.0	OG0000364.1	OG0002803.15	OG0012876.0	OG0001170.24	OG0010847.0	OG0001045.24	OG0000279.0	OG0024632.0	OG0010949.13	OG0006703.0	OG0038836.0	OG0012213.0	OG0004513.4	OG0000350.8	OG0000197.0	OG0019385.0	OG0000522.0	OG0001209.1	OG0000062.320	OG0000914.30	OG0007148.0	OG0003372.6	OG0020760.0	OG0024533.0	OG0003920.14	OG0008053.1	OG0000092.1	OG0003592.0	OG0006692.0	OG0002350.22	OG0028525.0	OG0004186.6	OG0001896.13	OG0004792.0	OG0015752.2	OG0000940.24	OG0001770.0	OG0003036.0	OG0003424.0	OG0000561.24	OG0001063.0	OG0006180.8	OG0003675.0	OG0001380.24	OG0015196.0	OG0000035.64	OG0000009.802	OG0001404.24	OG0002095.0	OG0011153.0	OG0013862.2	OG0002133.0	OG0005442.4	OG0001497.24	OG0017923.3	OG0001766.6	OG0011223.2	OG0000175.197	OG0003260.63	OG0000631.0	OG0041898.0	OG0000290.0	OG0005012.2	OG0004251.2	OG0000431.12	OG0010004.2	OG0010526.2	OG0002478.0	OG0001253.24	OG0000188.1	OG0003777.2	OG0003299.0	OG0004770.1	OG0014667.0	OG0012123.0	OG0024706.0	OG0004258.0	OG0005327.0	OG0012459.6	OG0002333.0	OG0008095.2	OG0000727.24	OG0000411.0	OG0000159.8	OG0000276.72	OG0000175.4	OG0001828.65	OG0000778.0	OG0003177.0	OG0001406.24	OG0015952.0	OG0010743.6	OG0001984.118	OG0002612.0	OG0000011.1	OG0006294.10	OG0000012.581	OG0000183.0	OG0021470.0	OG0006627.0	OG0010757.0	OG0006834.2
-1.406109	nan	-1.365097	-0.5206377000000001	-0.9716304	nan	1.080691	-0.45166270000000003	0.3477481	-0.09387631	nan	-0.2551811	0.8875011999999999	-0.8428587	-0.8025995	1.115206	-1.156668	-0.4111805	nan	0.2788656	0.1717249	nan	-0.5937743000000001	nan	nan	-1.859236	1.226802	-1.1961110000000001	0.0698115	0.8314446	-1.192834	1.0842479999999999	0.5846467	1.495044	nan	nan	-1.191237	nan	-0.09522645	0.286999	0.7736876	-1.8448509999999998	0.31337750000000003	-1.288001	nan	-1.32695	-1.129141	-1.274757	1.4167379999999998	-1.123832	-0.4815149	-0.33878070000000005	1.095669	nan	nan	-0.355013	-0.1745141	nan	nan	-1.342311	-0.8855744000000001	nan	0.17137850000000002	nan	0.45502079999999995	nan	nan	0.3754161	-0.7893151999999999	nan	-0.6979536999999999	nan	0.6117678000000001	nan	-0.06054893	-0.66576	-1.533482	-0.9999563	0.9386975000000001	nan	0.3663007	-0.05943936	nan	-0.05868498	0.6009616999999999	0.3959291	nan	nan	-0.04813788	-1.336387	-0.3639332	-1.62877	-0.5749135999999999	0.7913296	0.4710054	-1.332078	-1.40811	0.2156179	-0.540192	nan	nan	0.0198186	nan	nan	0.8421063	nan	-0.25680010000000003	nan	0.349645	0.4296522	-1.088247	-0.5300818	nan	-1.222318	0.15423889999999998	nan	-0.10725309999999999	-1.133566	-1.001002	0.9069878
OG0002591.2	OG0002187.7	OG0005644.0	OG0003422.0	OG0020001.0	OG0003460.0	OG0002961.20	OG0000027.457	OG0002697.0	OG0006349.2	OG0013506.0	OG0000173.0	OG0013510.0	OG0000859.24	OG0002447.0	OG0006003.0	OG0000575.28	OG0024724.0	OG0000919.32	OG0000088.3	OG0002340.0	OG0000121.128	OG0003525.5	OG0002145.0	OG0000415.0	OG0008965.0	OG0000364.1	OG0007440.0	OG0017905.0	OG0000739.15	OG0009031.0	OG0007548.0	OG0004422.0	OG0011202.1	OG0001847.4	OG0003252.0	OG0010498.1	OG0001265.24	OG0006356.1	OG0011763.0	OG0003071.0	OG0000196.0	OG0024513.0	OG0008252.2	OG0000568.0	OG0001878.2	OG0001068.1	OG0011296.2	OG0000452.0	OG0001438.24	OG0010044.0	OG0000062.320	OG0000893.3	OG0007043.6	OG0000100.1	OG0056579.0	OG0002733.0	OG0000495.53	OG0025171.0	OG0013534.2	OG0006275.0	OG0018989.0	OG0004906.0	OG0000059.133	OG0000261.0	OG0022476.0	OG0001561.0	OG0000581.0	OG0046576.0	OG0025090.0	OG0002158.0	OG0003194.15	OG0000419.108	OG0000198.0	OG0002656.2	OG0020054.0	OG0018991.0	OG0006696.0	OG0001853.0	OG0003587.16	OG0001647.0	OG0002670.1	OG0002914.0	OG0007522.1	OG0006642.0	OG0005820.0	OG0029130.0	OG0002172.0	OG0014416.5	OG0001495.2	OG0000431.12	OG0019380.0	OG0001148.24	OG0001179.24	OG0004125.0	OG0002084.0	OG0014766.3	OG0002911.0	OG0028446.0	OG0012200.0	OG0025899.0	OG0000359.28	OG0018193.2	OG0000497.40	OG0003288.0	OG0003926.2	OG0008294.0	OG0000092.236	OG0000214.0	OG0021964.0	OG0000159.8	OG0002572.0	OG0001514.22	OG0000983.28	OG0027462.0	OG0053998.0	OG0009133.1	OG0000160.224	OG0002824.0	OG0005590.0
