OG0003991.2	OG0004135.0	OG0003860.1	OG0006752.0	OG0012897.4	OG0005400.0	OG0000833.0	OG0014817.2	OG0016785.2	OG0053812.0	OG0015105.0	OG0001844.24	OG0005741.0	OG0029057.0	OG0007127.0	OG0000236.1	OG0000551.2	OG0011985.2	OG0005266.0	OG0006158.4	OG0009857.2	OG0004226.0	OG0002988.0	OG0007845.0	OG0008341.0	OG0000119.0	OG0014302.8	OG0005056.1	OG0000098.0	OG0002309.26	OG0002488.24	OG0002590.0	OG0006225.0	OG0012896.0	OG0000456.0	OG0004314.0	OG0029060.0	OG0000264.1	OG0003342.16	OG0001607.2	OG0007639.25	OG0000236.122	OG0000751.0	OG0019212.0	OG0020019.0	OG0044466.0	OG0004205.0	OG0000834.30	OG0005326.0	OG0000834.15	OG0000318.0	OG0000236.19	OG0000324.0	OG0000213.17	OG0001764.0	OG0007639.5	OG0000213.256	OG0014065.0	OG0000320.0	OG0013218.3	OG0008342.0	OG0000920.27	OG0008335.19	OG0005996.10	OG0000206.0
1.2055870000000002	1.3673799999999998	3.3690550000000004	2.474502	1.995522	2.761794	nan	1.9461119999999998	2.974337	2.444712	3.66591	1.6922529999999998	190.358	3.772686	1.066817	3.407475	2.67097	1.391429	2.0191060000000003	nan	40.20821	1.2259950000000002	2.807016	0.9909386	216.8548	1.3476	3.705424	3.7621559999999996	nan	1.256302	1.186326	1.0658290000000001	3.07577	1.8034150000000002	1.9499090000000001	1.075511	3.7528370000000004	nan	1.623448	nan	3.764736	4.019145	2.006	2.982134	1.4963110000000002	1.4451040000000002	1.657534	nan	4.920738	4.025816000000001	3.739518	nan	1.975469	nan	2.079993	3.7427	1.948276	2.194922	1.202045	3.769749	1.347787	nan	3.763186	223.6779	1.7660470000000001
OG0013073.2	OG0001039.1	OG0000512.25	OG0013724.0	OG0006295.0	OG0007289.0	OG0035578.0	OG0000328.0	OG0001161.24	OG0004843.6	OG0002867.1	OG0001567.1	OG0006462.0	OG0016290.2	OG0015537.0	OG0002437.4	OG0002390.42	OG0007523.4	OG0004923.0	OG0006694.0	OG0010698.0	OG0015720.2	OG0018083.0	OG0007107.0	OG0000466.0	OG0003620.0	OG0022346.0	OG0000327.54	OG0016802.2	OG0015673.5	OG0000448.1	OG0000420.0	OG0000133.60	OG0003513.0	OG0003531.0	OG0011471.4	OG0011884.0	OG0010877.4	OG0020198.0	OG0004708.0	OG0005041.0	OG0048963.0	OG0002592.3	OG0003924.0	OG0003546.0	OG0004438.0	OG0000749.2	OG0003713.0	OG0020618.0	OG0006677.0	OG0001442.1	OG0016863.2	OG0002321.0	OG0004537.8	OG0019029.0	OG0002881.24	OG0008313.24	OG0003642.0	OG0000225.48	OG0029077.0	OG0027522.0	OG0001215.24	OG0003652.0	OG0003749.1	OG0000127.0
1.7474310000000002	nan	nan	1.345473	26.16082	216.4424	2.899266	0.5966365	nan	9.605615	3.265478	1.5425309999999999	3.7231099999999997	1.480664	1.617248	2.861286	2.637222	2.1682650000000003	3.421025	217.4275	4.534485	3.770203	2.801523	1.9252470000000002	nan	2.50968	20.29427	3.5719870000000005	3.012687	2.5695349999999997	3.731065	3.214203	2.812357	0.5578459	3.9918419999999997	1.7552860000000001	5.345377	3.750196	1.136583	5.08231	2.913775	2.352671	nan	0.6884314	11.946	117.9782	1.0199120000000002	1.973077	1.245419	215.44	nan	1.7043840000000001	nan	2.630954	20.49895	76.23366	3.7572970000000003	5.427912999999999	nan	3.780156	1.381045	nan	1.668609	13.1427	nan
OG0011172.0	OG0022617.0	OG0002960.16	OG0006978.0	OG0018116.4	OG0006804.0	OG0008355.0	OG0003036.0	OG0009072.0	OG0000658.0	OG0008108.0	OG0000188.1	OG0000078.263	OG0002999.0	OG0014632.1	OG0004251.2	OG0000177.191	OG0020582.0	OG0001900.0	OG0000085.0	OG0004228.1	OG0022253.0	OG0004557.0	OG0000042.314	OG0012413.8	OG0005489.4	OG0006724.0	OG0012212.6	OG0000075.0	OG0002034.0	OG0007446.0	OG0000483.0	OG0001055.24	OG0001647.0	OG0003100.0	OG0001500.24	OG0012759.0	OG0014677.4	OG0012940.3	OG0002872.0	OG0016105.0	OG0019362.0	OG0000583.0	OG0004136.2	OG0007950.0	OG0011720.2	OG0005908.0	OG0005011.0	OG0000915.28	OG0002524.0	OG0008245.0	OG0003848.6	OG0007027.0	OG0021239.0	OG0008867.1	OG0005704.4	OG0045700.0	OG0000728.24	OG0003709.2	OG0001617.1	OG0015927.4	OG0044386.0	OG0015234.2	OG0003821.20	OG0015760.0
3.002629	3.774046	1.1251280000000001	218.2126	3.7243239999999997	1.060669	1.135027	3.8049910000000002	3.159066	0.4812948	1.652524	2.2660720000000003	nan	49.90667	6.393218	1.4844870000000001	nan	1.453732	2.048636	nan	6.329763	1.666766	8.469526	nan	1.369533	1.7749169999999999	3.7928940000000004	1.233525	1.52999	nan	0.9349371	1.227486	nan	1.9070220000000002	4.017587000000001	nan	2.532062	8.109233	3.4398839999999997	2.39194	6.418518	2.0557830000000004	3.657139	nan	222.8733	3.7400559999999996	4.5110589999999995	3.395224	nan	2.3694330000000003	3.826489	2.114173	220.0684	3.035023	3.230927	7.83886	261.249	3.750254	3.6416370000000002	4.607954	3.74502	1.465635	70.18508	1.485739	2.283774
OG0007556.0	OG0004174.0	OG0045633.0	OG0005127.2	OG0009112.0	OG0000407.1	OG0001021.49	OG0011198.6	OG0000081.256	OG0016995.2	OG0011719.2	OG0013286.2	OG0010791.5	OG0017764.3	OG0005491.2	OG0002441.0	OG0024480.0	OG0000568.0	OG0018050.0	OG0001900.0	OG0000232.8	OG0010500.6	OG0007623.8	OG0000698.19	OG0005525.30	OG0000661.3	OG0004566.0	OG0002873.0	OG0014663.1	OG0000575.28	OG0024978.0	OG0000929.1	OG0000223.2	OG0000001.2546	OG0006582.0	OG0003307.20	OG0013081.0	OG0001428.1	OG0003587.16	OG0011737.0	OG0013439.2	OG0004351.0	OG0004338.2	OG0002763.0	OG0003247.1	OG0005894.10	OG0007658.2	OG0000376.174	OG0000749.2	OG0000741.0	OG0007292.0	OG0022186.0	OG0024591.0	OG0010759.0	OG0011200.0	OG0025093.0	OG0005949.0	OG0001089.2	OG0002130.0	OG0015365.0	OG0000007.585	OG0000286.32	OG0008677.1	OG0007117.0	OG0008127.0
1.437047	13.83285	274.1754	34.4633	3.556794	1.9915889999999998	8.806828	4.141967	4.08754	1.379055	3.7967690000000003	3.722691	2.0724240000000003	3.768498	1.938663	nan	2.983095	2.805395	8.029496	2.048636	2.39295	4.698098	3.256139	nan	3.390489	3.130735	115.0686	5.893321	8.118549	10.89047	2.782491	nan	2.952292	1.210579	3.7789980000000005	2.978167	2.1745959999999998	nan	118.1889	20.83316	3.740065	7.874884	2.10256	3.356017	6.777867999999999	4.9205190000000005	4.6520660000000005	218.0324	1.0199120000000002	nan	227.3439	3.453094	2.382572	4.593912	nan	1.171582	26.470029999999998	2.032854	nan	0.9901909	nan	1.067556	1.59902	1.282622	1.679398
OG0007162.4	OG0008133.2	OG0001711.10	OG0008305.20	OG0002369.0	OG0007033.0	OG0003762.0	OG0000777.0	OG0007888.4	OG0001061.24	OG0000291.0	OG0009803.0	OG0012177.2	OG0010734.0	OG0005636.2	OG0007826.10	OG0001415.1	OG0003087.0	OG0000085.0	OG0000378.2	OG0000522.0	OG0004341.2	OG0015628.2	OG0000362.42	OG0015209.2	OG0007107.0	OG0005682.0	OG0000246.0	OG0023141.0	OG0003933.8	OG0000662.1	OG0008691.0	OG0010696.0	OG0005469.6	OG0003740.0	OG0000947.24	OG0021189.0	OG0004730.4	OG0008278.4	OG0018079.3	OG0004154.1	OG0003383.0	OG0024706.0	OG0005986.4	OG0019957.0	OG0027805.0	OG0000026.621	OG0019383.0	OG0056683.0	OG0025018.0	OG0020256.0	OG0000359.28	OG0001748.1	OG0007960.0	OG0009920.0	OG0017954.0	OG0003635.0	OG0000026.628	OG0007258.2	OG0012972.9	OG0007948.0	OG0017886.0	OG0000276.72	OG0001802.4	OG0000015.773
1.360134	1.637649	1.8128400000000002	20.584329999999998	nan	187.9641	14.90998	0.43474409999999997	220.8466	nan	1.8411689999999998	0.6369371	1.345734	2.431	1.304797	4.540998	1.9385599999999998	0.3533461	nan	2.673983	1.340323	18.475820000000002	3.4442180000000002	0.33908109999999997	2.963879	1.9252470000000002	92.07129	1.499462	1.950014	6.721764	nan	4.477455	4.531987	0.7774813	nan	1.453741	4.046762999999999	14.34269	5.683247	6.378023000000001	214.018	4.867081	1.237391	215.8533	3.7640910000000005	253.7613	3.405017	1.9472669999999999	2.633259	2.6578720000000002	2.278352	1.877186	2.868373	2.294712	nan	1.9512040000000002	2.136063	nan	216.6427	1.9335490000000002	2.917528	1.174084	1.184657	6.897328	nan
OG0008213.6	OG0005681.2	OG0003402.0	OG0009966.4	OG0011517.2	OG0004182.0	OG0001021.49	OG0000842.0	OG0000081.256	OG0006323.0	OG0007425.0	OG0011499.1	OG0000026.780	OG0004232.0	OG0028998.0	OG0002170.0	OG0001861.0	OG0001893.0	OG0041639.0	OG0007829.0	OG0005283.0	OG0010028.8	OG0005242.14	OG0010154.0	OG0006556.0	OG0000005.297	OG0000661.3	OG0000120.105	OG0002752.1	OG0017936.0	OG0017833.2	OG0018117.2	OG0000001.2546	OG0000431.12	OG0000837.0	OG0022086.0	OG0007347.0	OG0000498.0	OG0010812.8	OG0000631.0	OG0024490.0	OG0001175.1	OG0025087.0	OG0011706.0	OG0016673.6	OG0002592.3	OG0003980.9	OG0002720.27	OG0004145.0	OG0000716.2	OG0025001.0	OG0000071.0	OG0015092.0	OG0006008.0	OG0019403.0	OG0001259.24	OG0034898.0	OG0003533.1	OG0005360.0	OG0001144.24	OG0011470.0	OG0012207.4	OG0006676.0	OG0015684.5	OG0004901.9
