OG0011318.4	OG0000750.0	OG0015415.0	OG0008015.25	OG0015416.2	OG0001778.24	OG0000065.1	OG0000065.40	OG0013106.2	OG0001699.1	OG0020502.0	OG0001016.1	OG0001842.34	OG0001698.26	OG0002651.6	OG0001567.1	OG0001309.24	OG0014063.4	OG0000749.2	OG0008099.0	OG0001843.5	OG0001566.2	OG0001824.24	OG0006297.0	OG0001964.1	OG0002101.0	OG0000711.2	OG0000441.96	OG0002012.0	OG0014068.0	OG0000310.18	OG0005575.28	OG0000869.2	OG0001602.32	OG0001711.10	OG0003151.14	OG0001823.24	OG0001907.32	OG0002178.2	OG0011319.4	OG0000441.1	OG0000471.2	OG0000740.26	OG0000606.2	OG0013273.0	OG0003001.0	OG0000646.28	OG0005567.0	OG0002348.56	OG0001579.36	OG0001741.1	OG0002787.0	OG0028281.0	OG0000038.0	OG0001643.24
1.6263969999999999	nan	2.0066759999999997	1.620968	nan	nan	2.551714	1.613891	1.098943	nan	3.3486309999999997	nan	1.657387	nan	21.870070000000002	nan	nan	2.2196130000000003	nan	2.961543	1.89155	nan	nan	214.6821	2.632984	nan	nan	nan	nan	2.221693	nan	19.0884	nan	nan	1.625292	7.489176	nan	1.647546	4.939858999999999	1.6282860000000001	nan	nan	nan	nan	1.24434	1.392916	nan	45.740990000000004	4.622376999999999	1.6584709999999998	nan	46.13551	3.7295260000000003	nan	nan
OG0028236.0	OG0003819.2	OG0025907.0	OG0045769.0	OG0018879.5	OG0056907.0	OG0014783.4	OG0027534.0	OG0006939.0	OG0022586.0	OG0038762.0	OG0005507.10	OG0028248.0	OG0018613.3	OG0015514.3	OG0018088.4	OG0003133.0	OG0012207.4	OG0005627.0	OG0016437.3	OG0006862.8	OG0004426.0	OG0060344.0	OG0010505.0	OG0046263.0	OG0009017.0	OG0038795.0	OG0005199.18	OG0015242.6	OG0010703.0	OG0046249.0	OG0001937.2	OG0000001.969	OG0012353.4	OG0044897.0	OG0019508.0	OG0022230.0	OG0005150.0	OG0019680.0	OG0048971.0	OG0000138.166	OG0006606.0	OG0014999.6	OG0022608.0	OG0029599.0	OG0035722.0	OG0022899.0	OG0027663.0	OG0000704.0	OG0010577.0	OG0001677.2	OG0025886.0	OG0006105.0	OG0044057.0	OG0023030.0
3.795564	nan	nan	263.2355	3.2901949999999998	2.590891	8.04969	1.4932040000000002	5.57748	2.451359	3.3958690000000002	27.49506	3.772644	2.912983	2.82809	2.224707	45.048190000000005	1.719036	1.215524	3.0672029999999997	1.218359	118.5883	1.507722	4.417338	269.1232	2.552827	3.4271949999999998	183.2172	3.126905	4.581062999999999	257.5225	nan	1.53643	1.524162	nan	2.7142169999999997	3.4426910000000004	2.458211	1.861437	2.387426	0.9994402	217.295	3.05032	nan	1.450156	1.293245	1.452308	1.4568940000000001	nan	nan	2.343732	nan	2.1187110000000002	2.671608	2.77161
OG0041907.0	OG0046872.0	OG0053857.0	OG0014771.0	OG0047016.0	OG0045126.0	OG0005106.0	OG0012181.8	OG0034884.0	OG0004744.2	OG0012392.13	OG0014699.4	OG0010555.1	OG0000761.6	OG0000512.150	OG0000624.3	OG0016021.0	OG0001124.24	OG0057462.0	OG0000203.0	OG0013468.3	OG0027449.0	OG0047385.0	OG0041818.0	OG0004435.0	OG0000643.24	OG0046157.0	OG0011350.0	OG0013913.5	OG0022915.0	OG0003140.0	OG0007212.0	OG0021007.0	OG0010168.13	OG0008612.2	OG0035796.0	OG0002426.4	OG0002434.0	OG0047365.0	OG0017936.0	OG0008652.9	OG0011897.10	OG0025734.0	OG0046081.0	OG0047356.0	OG0020922.0	OG0018795.6	OG0010883.0	OG0014727.4	OG0014132.4	OG0048162.0	OG0003930.0	OG0014722.4	OG0012245.0	OG0024906.0
3.269876	259.5732	2.690707	8.071308	3.3623790000000002	262.9662	10.663839999999999	1.1159700000000001	2.2233680000000002	1.346381	261.216	8.102656	1.448564	9.277499	1.513898	nan	196.9313	nan	2.719345	1.31484	7.925344	3.408672	3.362169	3.2808059999999997	8.809806	nan	nan	2.501423	2.275073	1.4454559999999999	226.7565	2.7845310000000003	259.02299999999997	3.763723	nan	1.3048469999999999	2.571557	0.24274320000000002	3.3728300000000004	1.362323	5.268774	3.746972	2.8672880000000003	260.8864	3.3811690000000003	2.11612	3.2749330000000003	3.035835	8.144900999999999	1.685375	3.7634269999999996	2.9893240000000003	7.995628	3.0232200000000002	nan
OG0002885.12	OG0029115.0	OG0044657.0	OG0024481.0	OG0025858.0	OG0047582.0	OG0045654.0	OG0045721.0	OG0018059.0	OG0002010.0	OG0003257.4	OG0003545.0	OG0037979.0	OG0041843.0	OG0022912.0	OG0027041.0	OG0013467.4	OG0021303.0	OG0001177.22	OG0038760.0	OG0054034.0	OG0012977.2	OG0028105.0	OG0041589.0	OG0057417.0	OG0009110.6	OG0017974.4	OG0043610.0	OG0021965.0	OG0003871.0	OG0011264.6	OG0012306.14	OG0008219.0	OG0004819.4	OG0005260.0	OG0013227.7	OG0002441.0	OG0000514.0	OG0047378.0	OG0019883.0	OG0008694.0	OG0001072.136	OG0019580.0	OG0027649.0	OG0008761.0	OG0004420.2	OG0011440.0	OG0000673.8	OG0027871.0	OG0046491.0	OG0018929.0	OG0003471.0	OG0006880.13	OG0047351.0	OG0037683.0
0.9340821	2.6759459999999997	1.856379	3.007772	3.001792	3.3408919999999998	263.8276	nan	1.374527	nan	5.809973	188.4324	3.086334	3.2452650000000003	1.445842	nan	8.104643	2.066616	nan	3.3858669999999997	2.7127790000000003	2.965866	3.763868	3.264628	nan	0.7513444	2.2437810000000002	1.493958	nan	45.08829	3.765501	261.8198	1.5099690000000001	10.4156	0.9647167999999999	3.249525	1.077499	1.713457	3.3925110000000003	251.9275	215.7815	1.741593	2.076559	1.0939729999999999	4.6211459999999995	2.052459	0.7197566999999999	3.232798	261.1618	nan	19.97932	45.20361	4.6079550000000005	3.371312	3.090668
OG0024750.0	OG0006637.5	OG0001931.1	OG0003106.0	OG0019969.0	OG0020722.0	OG0013648.4	OG0010967.2	OG0013639.0	OG0041806.0	OG0025127.0	OG0016148.4	OG0006142.4	OG0002108.0	OG0027532.0	OG0003055.24	OG0011204.0	OG0007916.2	OG0001497.24	OG0038630.0	OG0005463.3	OG0013170.9	OG0009212.2	OG0015003.6	OG0023946.0	OG0017784.2	OG0022918.0	OG0000759.38	OG0020423.0	OG0004606.1	OG0020495.0	OG0038798.0	OG0002704.28	OG0046190.0	OG0047393.0	OG0045064.0	OG0046044.0	OG0004556.0	OG0057022.0	OG0046710.0	OG0057420.0	OG0024365.0	OG0004073.8	OG0002928.0	OG0057253.0	OG0034257.0	OG0035863.0	OG0001439.24	OG0053881.0	OG0007519.0	OG0006255.2	OG0011433.8	OG0038814.0	OG0020537.0	OG0006713.0
2.229662	4.562401	6.341328	1.6718810000000002	2.64672	1.674881	3.7492699999999997	3.754292	2.832203	3.258126	2.409377	8.040319	5.259028	nan	3.413986	6.872432000000001	4.602622	4.579475	nan	3.3612379999999997	5.690017	1.307226	1.152461	nan	3.258191	2.705653	1.49157	nan	3.364321	3.637895	3.3829620000000005	3.3979589999999997	45.36846	259.8529	3.388094	261.2439	254.9681	8.625115	2.7444889999999997	261.1431	2.862846	2.714945	118.7911	nan	1.493908	nan	1.317619	nan	2.6633560000000003	1.7987349999999998	217.4395	2.2828009999999996	3.395197	3.023607	nan
OG0003851.24	OG0026501.0	OG0029079.0	OG0021325.0	OG0035832.0	OG0007919.2	OG0006317.0	OG0018484.6	OG0002201.2	OG0046204.0	OG0029261.0	OG0038115.0	OG0038124.0	OG0044043.0	OG0006989.7	OG0048997.0	OG0045211.0	OG0012965.0	OG0015234.2	OG0002344.91	OG0029129.0	OG0027750.0	OG0007598.0	OG0029095.0	OG0011666.0	OG0009245.0	OG0012930.0	OG0010946.12	OG0022582.0	OG0025909.0	OG0004545.0	OG0006247.0	OG0019022.3	OG0045013.0	OG0035721.0	OG0037946.0	OG0044146.0	OG0037880.0	OG0029177.0	OG0026315.0	OG0018780.6	OG0047174.0	OG0006146.0	OG0008607.0	OG0028284.0	OG0027719.0	OG0047603.0	OG0034541.0	OG0020783.0	OG0005164.5	OG0025502.0	OG0015349.0	OG0004967.2	OG0010706.0	OG0002272.22
