OG0000692.0	OG0022826.0	OG0001967.0	OG0012896.0	OG0004710.2	OG0012915.3	OG0001643.24	OG0016785.2	OG0004464.0	OG0004338.2	OG0002252.0	OG0000038.0	OG0004835.2	OG0000177.8	OG0001698.26	OG0012926.0	OG0000606.2	OG0004324.0	OG0006804.0	OG0000027.1	OG0000107.44	OG0004617.12	OG0000471.2	OG0001566.2	OG0022825.0	OG0000027.457	OG0000019.257	OG0009883.5	OG0000835.7	OG0002346.16	OG0006400.2
-0.8929728000000001	4.1072	0.8198931999999999	0.5931903000000001	0.6036406999999999	-1.852748	nan	-1.8704049999999999	-0.22264189999999998	-0.3143018	nan	nan	-0.9852652	nan	nan	-0.5787829000000001	nan	-0.4231768	0.8530597	nan	1.267889	-0.7431941999999999	nan	nan	2.8980900000000003	nan	nan	0.03300591	0.7060531	0.3227857	0.9977196
OG0038719.0	OG0001779.0	OG0053776.0	OG0011182.2	OG0009126.0	OG0011318.4	OG0048065.0	OG0029069.0	OG0018746.5	OG0010101.0	OG0014083.1	OG0016858.0	OG0041901.0	OG0006849.0	OG0006580.0	OG0044110.0	OG0047583.0	OG0007576.0	OG0000178.8	OG0045093.0	OG0023638.0	OG0002907.5	OG0045520.0	OG0010074.0	OG0028089.0	OG0001402.24	OG0016173.4	OG0022188.0	OG0015681.0	OG0000446.108	OG0046974.0
0.02651346	1.040116	3.681564	1.189056	0.0046963840000000005	0.4652844	-0.6455861999999999	-1.436531	-1.932925	0.6446059000000001	0.376271	-0.09450968	1.025133	0.2785444	-1.191132	3.85543	0.32383340000000005	-0.6317149999999999	0.9747399999999999	-5.355018	1.020784	-0.4492866	-6.032655999999999	0.439033	-0.6381328000000001	nan	-0.7348303	1.452658	0.5630411999999999	0.03074339	-6.7656279999999995
OG0054015.0	OG0003869.12	OG0044732.0	OG0012941.2	OG0008276.6	OG0000096.194	OG0004382.22	OG0046414.0	OG0037898.0	OG0004885.6	OG0006366.0	OG0018942.4	OG0019956.0	OG0049002.0	OG0004504.4	OG0026588.0	OG0018953.6	OG0021940.0	OG0046003.0	OG0005692.2	OG0045452.0	OG0019163.0	OG0045345.0	OG0018040.6	OG0022056.0	OG0025658.0	OG0001590.23	OG0048153.0	OG0048887.0	OG0020553.0	OG0017744.4
2.957423	-1.09385	2.447794	1.362126	-0.32455100000000003	-0.6214679	-0.08817058	-6.156149	1.1692790000000002	-0.36795609999999995	-0.402615	-2.006742	-1.307451	0.912545	0.08597421	-1.8183150000000001	1.299511	1.4339879999999998	-5.687055	-0.5456989999999999	-5.81113	3.108982	-5.105101	-1.399846	0.946975	-0.5105496	2.220703	-0.8095481	0.8518348	-1.7747060000000001	1.416591
OG0056659.0	OG0045253.0	OG0004252.0	OG0004177.4	OG0038613.0	OG0012985.0	OG0007406.0	OG0004945.0	OG0016261.0	OG0037863.0	OG0045362.0	OG0011952.0	OG0011225.0	OG0020238.0	OG0004024.2	OG0027505.0	OG0014537.0	OG0012070.2	OG0044418.0	OG0005558.1	OG0044957.0	OG0008126.4	OG0026276.0	OG0021277.0	OG0017984.1	OG0038653.0	OG0007192.0	OG0046223.0	OG0010145.0	OG0041885.0	OG0016868.0
1.4080409999999999	-5.816325	0.06131517	-1.138053	-0.11728980000000001	-0.19566129999999998	-0.2076399	0.30756479999999997	-0.9799703000000002	1.201278	-5.402875	-0.09474246	0.332445	1.501075	0.6228991	1.7275200000000002	0.8930216999999999	-1.279326	1.130731	-1.2001709999999999	2.169899	-0.30084320000000003	-0.11998339999999999	-1.077871	-0.6754547	0.03109698	0.3066587	-5.282001	-0.3333335	0.9152321	0.5437702
OG0000089.390	OG0000348.4	OG0002604.2	OG0041714.0	OG0009994.20	OG0002301.1	OG0043642.0	OG0008928.8	OG0022233.0	OG0011910.0	OG0011345.0	OG0043533.0	OG0041554.0	OG0053919.0	OG0045255.0	OG0056902.0	OG0005936.0	OG0007212.0	OG0046592.0	OG0034318.0	OG0001030.26	OG0056793.0	OG0006663.0	OG0017766.5	OG0057148.0	OG0006196.0	OG0000864.26	OG0007822.0	OG0056663.0	OG0024670.0	OG0017841.6
2.2673959999999997	0.2885821	0.6832657	0.9713171999999999	1.533045	-0.12254680000000001	1.384463	-0.3321166	-1.9996450000000001	0.4263981	-0.549615	1.4149200000000002	0.9188427	2.993993	-6.830642999999999	1.581672	-0.21942060000000002	-0.6511816	-5.420453	0.9488523999999999	nan	1.600119	-1.190996	3.106465	-0.8940201999999999	-0.9929412000000001	nan	-0.01827323	1.3948530000000001	1.131351	-1.293368
OG0041647.0	OG0005639.0	OG0028126.0	OG0000017.1174	OG0018804.2	OG0041919.0	OG0027837.0	OG0053775.0	OG0048059.0	OG0010877.4	OG0003809.0	OG0001873.22	OG0006865.6	OG0034581.0	OG0056991.0	OG0022775.0	OG0004133.0	OG0010866.17	OG0020395.0	OG0017756.6	OG0013066.8	OG0034798.0	OG0024810.0	OG0023466.0	OG0000634.26	OG0001756.0	OG0001618.1	OG0004864.0	OG0003351.0	OG0012771.2	OG0014062.0
