OG0002252.0	OG0022826.0	OG0000606.2	OG0006400.2	OG0004324.0	OG0000019.257	OG0001967.0	OG0006804.0	OG0002346.16	OG0000835.7	OG0000177.8
0.412150910449	nan	0.624064331833	1.305781627764	0.427685857602	0.547446686123	1.1891491051360001	0.965188261655	0.996790873167	0.4161880939625	0.8890078957549999
OG0044334.0	OG0010586.2	OG0000629.1	OG0028073.0	OG0022890.0	OG0038662.0	OG0047539.0	OG0022782.0	OG0011077.1	OG0015546.3	OG0006718.7
nan	0.517232932281	0.7536575888965	nan	nan	nan	nan	nan	nan	nan	nan
OG0000008.1	OG0002100.0	OG0003138.0	OG0013583.0	OG0049159.0	OG0046415.0	OG0000894.25	OG0013017.9	OG0011933.0	OG0024685.0	OG0013182.2
1.6981331576245	0.404789742888	0.48767883782399996	0.20130939546549997	nan	nan	0.337918255299	0.062123238648	0.25564375836	nan	0.136882753258
OG0057016.0	OG0016768.5	OG0009897.1	OG0000015.1	OG0047017.0	OG0008348.0	OG0000051.490	OG0056740.0	OG0004260.3	OG0027786.0	OG0046622.0
nan	nan	1.154905698462	2.8088119130540004	nan	1.171335314088	nan	nan	0.6713425693335	nan	nan
OG0012777.0	OG0009928.2	OG0020540.0	OG0004907.8	OG0002233.0	OG0024292.0	OG0005591.5	OG0014692.1	OG0048836.0	OG0027043.0	OG0000426.114
1.6877092266490001	1.546543267485	0.273766773869	0.195046939109	0.443511724723	nan	1.184378464411	0.647395534774	nan	0.472376346198	nan
OG0056994.0	OG0004857.5	OG0034922.0	OG0027532.0	OG0005805.2	OG0047561.0	OG0025860.0	OG0047113.0	OG0000759.38	OG0012064.0	OG0018900.3
nan	0.197300044774	nan	0.041885660219999996	1.6475652149305	nan	0.6514955714840001	nan	0.161415258191	1.8013517484205	nan
OG0006365.0	OG0041869.0	OG0022275.0	OG0013569.4	OG0019315.0	OG0045380.0	OG0007125.8	OG0000698.19	OG0023094.0	OG0007387.6	OG0034832.0
1.075920228356	nan	0.621845832076	0.681760088614	nan	nan	0.5139705607885	0.203715704669	nan	0.555468381888	nan
OG0045687.0	OG0000988.1	OG0018406.0	OG0019024.4	OG0048796.0	OG0038795.0	OG0044796.0	OG0019849.0	OG0006853.0	OG0024731.0	OG0024669.0
nan	0.333441857801	nan	nan	nan	nan	nan	nan	0.7103019732135	nan	nan
OG0028454.0	OG0037975.0	OG0006049.4	OG0020395.0	OG0007639.5	OG0025358.0	OG0012626.1	OG0000881.3	OG0002407.0	OG0001739.127	OG0006707.0
nan	nan	0.6016931929335	nan	0.148413875623	nan	nan	0.506087412133	0.554774630252	nan	0.1506783825295
OG0034297.0	OG0026289.0	OG0047302.0	OG0011162.10	OG0038828.0	OG0013979.0	OG0017065.5	OG0004808.0	OG0057131.0	OG0011350.0	OG0015532.4
nan	1.05657283358	nan	0.15554229582999998	nan	0.39378468068899997	nan	0.39423294967600003	nan	0.6113711821895	nan
OG0006508.0	OG0034289.0	OG0019513.0	OG0004458.0	OG0004594.1	OG0027039.0	OG0046154.0	OG0001112.46	OG0015626.4	OG0016896.2	OG0047477.0
0.619303718639	nan	0.0	1.098315667342	0.6750574916685	nan	nan	0.492897025677	0.271609440921	0.49698898825599996	nan
OG0003927.3	OG0027454.0	OG0041662.0	OG0027734.0	OG0043422.0	OG0057540.0	OG0005800.0	OG0012876.0	OG0011951.0	OG0060504.0	OG0014010.0
0.79063302764	0.498857270672	nan	nan	nan	nan	1.021506554484	0.2972230021435	1.5238744306	nan	0.9576468573019999
OG0018987.0	OG0043359.0	OG0046059.0	OG0000349.0	OG0034235.0	OG0046243.0	OG0016305.2	OG0001996.0	OG0003168.0	OG0004871.0	OG0003296.0
0.303315385398	nan	nan	0.520113101544	nan	nan	1.0598429433399998	0.592467294471	0.8237305146885	0.22462854433499999	0.4112367683385
OG0001623.1	OG0043659.0	OG0002592.3	OG0006414.0	OG0007022.0	OG0010577.0	OG0000928.30	OG0029343.0	OG0022783.0	OG0023039.0	OG0034699.0
0.802563865766	nan	1.7869092748400002	0.574259830174	1.357111864156	0.63269997675	0.324564438947	nan	nan	0.032140878256000004	nan
OG0006005.0	OG0046356.0	OG0010802.0	OG0011934.2	OG0034865.0	OG0029250.0	OG0001343.24	OG0028196.0	OG0000171.0	OG0005144.1	OG0014614.0
0.6631144290034999	nan	2.0757584895680004	0.444378098726	nan	nan	0.083792161295	nan	0.9881500590260001	1.485730392196	1.6899196203134998
OG0019820.0	OG0023180.0	OG0038702.0	OG0023564.0	OG0003379.4	OG0003455.2	OG0056675.0	OG0009822.0	OG0029244.0	OG0007559.0	OG0014765.4
nan	nan	nan	nan	0.63674200869	0.7360275188070001	nan	1.241607597413	nan	0.84872623459	nan
OG0014573.0	OG0019434.0	OG0021291.0	OG0000496.0	OG0003203.2	OG0006879.1	OG0003806.0	OG0034442.0	OG0022868.0	OG0056569.0	OG0035744.0
0.87749125876	0.067723083652	0.922734241526	1.2336364654765	0.6115362897135	0.174106212954	0.141254123772	nan	nan	nan	nan
OG0043473.0	OG0035786.0	OG0021255.0	OG0018073.2	OG0014085.1	OG0016780.2	OG0019208.0	OG0043817.0	OG0044656.0	OG0018143.0	OG0002749.0
nan	nan	0.512730466313	0.235459878287	nan	1.064800569182	nan	nan	nan	0.1007592736245	0.951950926998
OG0017097.3	OG0003398.75	OG0003956.4	OG0000673.136	OG0018913.5	OG0027602.0	OG0013220.1	OG0016945.2	OG0000288.62	OG0002498.2	OG0006488.0
nan	0.011234191598	0.8035159331845	0.406912871831	nan	0.605730145862	nan	nan	0.454589894398	1.053219211081	1.022502168014
OG0012218.2	OG0000443.38	OG0010552.3	OG0002884.0	OG0016908.0	OG0047204.0	OG0000445.0	OG0046053.0	OG0054134.0	OG0010688.2	OG0056860.0
0.5181088682925	0.6686416599055	nan	0.6858737027290001	0.24916107122499997	nan	1.40350338438	nan	nan	0.9540646094415	nan
OG0002911.0	OG0043405.0	OG0025762.0	OG0045691.0	OG0002657.5	OG0005487.0	OG0056635.0	OG0013598.0	OG0016982.0	OG0045309.0	OG0000498.0
0.98938152634	nan	nan	nan	1.317741636269	0.456001663204	nan	0.46651536348800005	0.084461978706	nan	0.730678586056
OG0046048.0	OG0004182.0	OG0045791.0	OG0016692.7	OG0004970.0	OG0005229.4	OG0009256.20	OG0003428.0	OG0012464.0	OG0019454.0	OG0045820.0
nan	0.707211930055	nan	nan	0.33806670044799997	0.362639245281	0.0	1.5488986094780002	0.5820261234895	0.07222176693400001	nan
OG0012445.4	OG0054003.0	OG0002168.0	OG0010835.1	OG0004059.0	OG0018789.5	OG0004169.4	OG0000388.1	OG0046335.0	OG0015696.0	OG0017057.5
0.059733786094000006	nan	0.847356000125	nan	0.8071051316140001	nan	0.488061440376	0.42210158645900003	nan	0.49378755890799997	nan
OG0004112.0	OG0024762.0	OG0030153.0	OG0010103.7	OG0016403.2	OG0006168.0	OG0045261.0	OG0017146.3	OG0000029.8	OG0047332.0	OG0004215.0
0.35200632137149995	nan	nan	nan	0.819463246857	0.521501154747	nan	nan	1.145102382904	nan	0.842246260194
OG0054017.0	OG0017229.3	OG0001624.47	OG0056839.0	OG0038730.0	OG0025849.0	OG0000712.4	OG0010585.2	OG0056932.0	OG0048809.0	OG0010772.2
nan	nan	0.7667019704889999	nan	nan	nan	1.445772954133	0.3284066029865	nan	nan	0.6390235895505
OG0046978.0	OG0000351.18	OG0008274.0	OG0024466.0	OG0004088.2	OG0005949.0	OG0012941.2	OG0001237.24	OG0046047.0	OG0000338.41	OG0057593.0
nan	1.2296968470010001	0.6344949246230001	0.432214012791	1.1918614214535	0.458093590793	0.7000140929430001	0.465833396235	nan	0.675012402861	nan
OG0041947.0	OG0016286.0	OG0025815.0	OG0007212.0	OG0002187.3	OG0017343.6	OG0020542.0	OG0005814.0	OG0010045.0	OG0022322.0	OG0007867.0
nan	0.874400177085	nan	0.056461203745	nan	nan	nan	0.561312801724	0.195161397907	1.725601616669	0.630772180573
OG0015730.4	OG0008161.2	OG0056656.0	OG0060515.0	OG0009957.2	OG0022369.0	OG0000007.560	OG0011901.4	OG0047055.0	OG0014275.0	OG0005389.20
nan	0.6199221311855	nan	nan	0.864401340147	0.441494793747	0.14358156838	0.9016906165899999	nan	0.592252356007	0.5467351984650001
OG0046482.0	OG0013059.0	OG0001412.1	OG0019872.0	OG0015258.7	OG0001046.24	OG0009969.2	OG0034966.0	OG0017978.2	OG0007098.2	OG0017399.3
nan	0.0	0.205326866747	nan	nan	0.7093195911869999	0.172416914222	nan	0.10149128874600001	0.49937553075049995	nan
OG0027203.0	OG0034542.0	OG0056575.0	OG0008031.1	OG0004188.2	OG0011477.0	OG0005859.0	OG0005693.0	OG0009977.0	OG0007023.0	OG0047472.0
nan	nan	nan	0.8737141877850001	0.41753358592600004	0.839478049391	1.646611046183	0.479179997206	0.0975499548065	0.389270972215	nan
OG0022617.0	OG0047439.0	OG0002973.1	OG0007746.4	OG0027817.0	OG0024491.0	OG0019423.0	OG0020862.0	OG0016599.0	OG0019043.3	OG0000490.11
0.0	nan	0.7386639109819999	0.547978502244	nan	0.330036125111	1.388721033454	nan	1.259790925746	nan	0.537053034167
OG0044091.0	OG0015673.5	OG0025063.0	OG0018856.6	OG0005072.2	OG0026924.0	OG0003528.0	OG0018158.5	OG0006078.4	OG0011481.0	OG0017971.4
nan	nan	nan	nan	0.7134064984440001	nan	1.1806800547804999	nan	0.5022080393975	1.0441429720235	nan
OG0007372.29	OG0002671.0	OG0001486.1	OG0004589.2	OG0049071.0	OG0019260.0	OG0006902.4	OG0000704.0	OG0053919.0	OG0044869.0	OG0008556.0
nan	0.919025613163	0.157623151277	0.4409913001095	nan	nan	0.253073483338	0.39093996117700003	nan	nan	0.412138640492
OG0018989.0	OG0017836.4	OG0044850.0	OG0002371.2	OG0008753.0	OG0007427.0	OG0000684.0	OG0021192.0	OG0047230.0	OG0016819.0	OG0007390.3
1.220705358197	nan	nan	0.37072644186899995	0.3981595021755	0.4047527802425	0.7410972533695	nan	nan	0.164786612689	nan
OG0018215.3	OG0048110.0	OG0021381.0	OG0002662.14	OG0047142.0	OG0002366.0	OG0005329.1	OG0009804.0	OG0005553.0	OG0003915.0	OG0012348.14
nan	nan	0.305124220777	0.20001375077550002	nan	0.893040374031	0.8319549667255	0.3991783461165	0.4881725733445	0.756860248315	nan
OG0007925.0	OG0024479.0	OG0048862.0	OG0057092.0	OG0060454.0	OG0060385.0	OG0046620.0	OG0029344.0	OG0009002.5	OG0005397.0	OG0043717.0
0.1282066645825	0.656227165506	nan	nan	nan	nan	nan	nan	0.44268259837800006	0.797714734165	nan
OG0016674.4	OG0006625.0	OG0019038.5	OG0007586.5	OG0000198.0	OG0024523.0	OG0012348.5	OG0011623.11	OG0006842.1	OG0001359.2	OG0022066.0
0.040979306661	0.5018782864835	nan	0.074495685962	1.212387171574	0.0	nan	nan	0.34359783905	0.489028181986	nan
OG0018181.2	OG0018118.2	OG0000996.1	OG0022767.0	OG0028457.0	OG0005084.2	OG0006645.0	OG0026368.0	OG0011252.2	OG0024645.0	OG0056775.0
nan	0.032767508183	0.671735724869	nan	nan	0.746366799754	0.403966519121	nan	1.145983527522	nan	nan
OG0045228.0	OG0035682.0	OG0027446.0	OG0054093.0	OG0018979.0	OG0034924.0	OG0007321.0	OG0010170.17	OG0041727.0	OG0005853.2	OG0025869.0
nan	nan	nan	nan	0.038754231511499995	nan	0.31193926628199997	0.611763986128	nan	0.074765822456	nan
OG0006644.0	OG0038614.0	OG0016676.4	OG0020613.0	OG0017513.6	OG0046846.0	OG0018001.2	OG0008435.15	OG0044612.0	OG0027576.0	OG0009778.1
0.3505307388645	nan	0.168368846346	0.097321553561	nan	nan	nan	0.18614865067699998	nan	0.08665865658600001	0.800688325134
OG0011561.16	OG0025103.0	OG0000274.29	OG0006055.0	OG0029166.0	OG0007339.0	OG0004029.0	OG0027914.0	OG0000268.165	OG0004358.1	OG0001132.24
nan	0.9616641873890001	0.7583198890774999	0.7155557369259999	nan	1.457513793976	0.670591219811	nan	0.120683338622	0.53592669612	0.232868475508
OG0022363.0	OG0007072.0	OG0006243.2	OG0022827.0	OG0014040.0	OG0025163.0	OG0003222.0	OG0002383.22	OG0001905.0	OG0015397.2	OG0007801.6
nan	0.8109024762199999	0.20563227529	nan	0.0	nan	0.6732990277455001	0.17760598649050002	1.3242667527554999	0.062380997418999995	0.212984179351
OG0034267.0	OG0041782.0	OG0011584.2	OG0001673.0	OG0000364.1	OG0023561.0	OG0004568.1	OG0007389.1	OG0044516.0	OG0046424.0	OG0006114.1
nan	nan	0.697888993838	0.8067921397935	0.9834078345819999	nan	0.26105538735100003	nan	nan	nan	0.40568734987300004
OG0021933.0	OG0013421.7	OG0003085.79	OG0019652.0	OG0005092.2	OG0004420.2	OG0057362.0	OG0030108.0	OG0000488.0	OG0057365.0	OG0001538.6
nan	nan	nan	nan	0.7499360040255	0.986569486655	nan	nan	0.800706136129	nan	0.6795381226170001
OG0041685.0	OG0024614.0	OG0005568.0	OG0024391.0	OG0006637.5	OG0024531.0	OG0000244.49	OG0037808.0	OG0011492.0	OG0020736.0	OG0019782.0
nan	0.581895097831	0.5739446333735	nan	0.44259820118	0.013063588663000001	1.298623648577	nan	0.592799104166	0.799406096971	nan
OG0013455.0	OG0029028.0	OG0015775.4	OG0003191.18	OG0000111.164	OG0003833.22	OG0044038.0	OG0002342.1	OG0017148.2	OG0018603.2	OG0027021.0
1.183340988101	0.0	nan	0.5444811680205001	0.6006753280725	0.6001108307590001	nan	0.47752594124750003	nan	1.659691819218	nan
OG0018370.1	OG0028304.0	OG0011399.0	OG0003879.4	OG0019471.0	OG0044516.0	OG0011375.0	OG0001786.20	OG0048106.0	OG0012430.13	OG0020363.0
nan	nan	1.229178224461	0.7240500334450001	nan	nan	0.189288071187	0.41182317094899995	nan	nan	nan
OG0012975.0	OG0004487.6	OG0018206.3	OG0005839.0	OG0002373.38	OG0046240.0	OG0007010.34	OG0009895.5	OG0019200.0	OG0016701.4	OG0007511.2
0.46407117401500003	0.802572599414	nan	0.525806986393	0.291596397898	nan	nan	0.267204931314	0.43096273875600005	nan	0.9997767161605
