OG0006804.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
-2.0344557997682955	-1.6241542753321765	-2.107803289534515	-3.1532860593285235	-1.613520111403766	-1.7918573526622783	-2.107803289534515	-2.005782352594006	-3.5225920697297517	-2.947305888696155	-3.0576919438438153	-2.2926519125167304	-3.330537769639225	-2.607352856035737	-2.356236145662658	-1.9329120351988534	-2.5803532474685666	-3.2419527181667664	-2.321206927643708	-1.8817731862070524	-1.7403358160513485	-3.0150825945730797	-2.0445383960764985	-2.7553564542606015	-2.3140150132440978	-1.6663472852345864
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0001723.0	OG0005902.0	OG0000006.561
-2.3913799756395075	-3.286304185156641	-1.4785471741775686	-2.13384372432621	-2.7461317195582806	-3.276485124126195	-1.886299500835272	-2.6854774782083854	-2.897543423349266	-1.3147325934831586	-1.6864058534276087	-2.026205070347394	-3.712173132714919	-1.8622341919041214	-2.677610316549785	-1.9584766378156495	-2.864596469402349	-1.99136969485656	-3.0528949484321255	-2.6214883767462704	-2.8155292633599083	-1.341171575656346	-2.010424979419093	-1.863283615511688	-2.3936525332754277	-1.8785866690841353	-1.4663369871769107
OG0000245.24	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0000338.41	OG0006082.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
-1.367731784500487	-2.046325015550513	-1.5407782431771522	-2.245368999755758	-2.221959677732477	-2.203568368934305	-2.3093594213843067	-2.1430541367175673	-1.8018830708475446	-1.7690592238760594	-1.5674681212618837	-1.5790595438629198	-3.089267338097087	-2.2209504471625414	-2.4320652135221836	-2.544981903030275	-1.347949534477697	-1.4291485165770805	-1.9890769728152082	-1.8349563505169555	-2.532824877385981	-2.055891200892045	-2.0957278661891388	-1.4018253878519928	-0.9905094970525475	-1.5825120014863339	-3.1726687293877394
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0001103.24	OG0000026.45	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0000169.16	OG0000120.105	OG0005623.0	OG0001851.13	OG0000045.0	OG0005827.2
-2.2048980418771755	-3.2122332300614325	-1.7326439882161124	-2.286304185156641	-4.081919130152292	-2.5178745359200096	-2.1134108350818184	-1.7928567950582515	-1.9885043611621707	-1.0081017984969645	-1.9002335137070705	-2.544981903030275	-1.1872142911325638	-1.6228207102633614	-2.1491205849119286	-3.576045405985103	-1.6831591504704124	-1.6910567118747863	-1.9805115704086398	-1.8099541131055612	-2.76219157045438	-1.6402539530945293	-1.4847921809641793	-2.1539279703695424	-2.087426774325152	-1.3462979086065388	-1.9997114898418764
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0004267.6	OG0006855.18	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0001415.1	OG0000088.3	OG0000090.24	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
-1.542458237592193	-1.7093396881886447	-1.643630786283775	-1.5086086399651577	-3.4032365604629646	-2.404687311109277	-1.5432989689917949	-2.964657619207803	-1.989649811830433	-2.3748230433194877	-1.5587290095614008	-1.347949534477697	-1.6443071024337756	-1.9340141705014147	-2.4104282460262545	-1.5942254220501242	-2.67853364140747	-2.3838305338132693	-1.8666995237702235	-1.6936210892890369	-1.3778192957794075	-1.4121549907457225	-1.9517638143471523	-2.1090475285429777	-1.6910567118747863	-3.0613001867606635
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
-1.9453598694616545	-1.848660698957719	-2.3331525325496165	-2.404687311109277	-2.7461317195582806	-1.6353155180717716	-2.897543423349266	-2.026205070347394	-1.4568010998066674	-3.139235797371172	-1.1872142911325638	-2.2233064176584074	-1.7027498788282933	-2.214240225572989	-1.7283352890227661	-2.9907961726701604	-2.555120943584441	-1.9584766378156495	-2.2958362805460344	-1.8079321155203498	-2.2229696147991937	-2.355497627581064	-2.8562147752913987	-3.801078444479287	-1.3154505308161575	-2.61705613043101	-1.6375581658743559
