OG0000692.0	OG0022826.0	OG0001967.0	OG0012896.0	OG0004710.2	OG0012915.3	OG0001643.24	OG0016785.2	OG0004464.0	OG0004338.2	OG0002252.0	OG0000038.0	OG0004835.2	OG0000177.8	OG0001698.26	OG0012926.0	OG0000606.2	OG0004324.0	OG0006804.0	OG0000027.1	OG0000107.44	OG0004617.12	OG0000471.2	OG0001566.2	OG0022825.0	OG0000027.457	OG0000019.257	OG0009883.5	OG0000835.7	OG0002346.16	OG0006400.2
0.176324	nan	0.19802999999999998	0.19832	0.22908299999999998	nan	0.19858900000000002	nan	1e-07	0.0799736	1e-07	0.173468	0.0816069	0.201207	0.146741	nan	0.145565	1e-07	nan	0.20947399999999997	0.250956	0.11771600000000002	0.08919819999999999	0.177585	nan	0.217302	0.18221800000000002	nan	0.161221	0.214101	0.377348
OG0038719.0	OG0001779.0	OG0053776.0	OG0011182.2	OG0009126.0	OG0011318.4	OG0048065.0	OG0029069.0	OG0018746.5	OG0010101.0	OG0014083.1	OG0016858.0	OG0041901.0	OG0006849.0	OG0006580.0	OG0044110.0	OG0047583.0	OG0007576.0	OG0000178.8	OG0045093.0	OG0023638.0	OG0002907.5	OG0045520.0	OG0010074.0	OG0028089.0	OG0001402.24	OG0016173.4	OG0022188.0	OG0015681.0	OG0000446.108	OG0046974.0
nan	0.43987200000000004	nan	nan	0.218619	nan	nan	nan	nan	0.29278000000000004	nan	nan	nan	0.234263	nan	nan	nan	nan	1e-07	nan	nan	0.06540660000000001	nan	nan	nan	0.017406900000000003	nan	nan	nan	nan	nan
OG0054015.0	OG0003869.12	OG0044732.0	OG0012941.2	OG0008276.6	OG0000096.194	OG0004382.22	OG0046414.0	OG0037898.0	OG0004885.6	OG0006366.0	OG0018942.4	OG0019956.0	OG0049002.0	OG0004504.4	OG0026588.0	OG0018953.6	OG0021940.0	OG0046003.0	OG0005692.2	OG0045452.0	OG0019163.0	OG0045345.0	OG0018040.6	OG0022056.0	OG0025658.0	OG0001590.23	OG0048153.0	OG0048887.0	OG0020553.0	OG0017744.4
nan	1e-07	nan	nan	nan	0.23210799999999998	0.258421	nan	nan	0.2	nan	nan	nan	nan	0.19597799999999999	nan	nan	nan	nan	0.200492	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
OG0056659.0	OG0045253.0	OG0004252.0	OG0004177.4	OG0038613.0	OG0012985.0	OG0007406.0	OG0004945.0	OG0016261.0	OG0037863.0	OG0045362.0	OG0011952.0	OG0011225.0	OG0020238.0	OG0004024.2	OG0027505.0	OG0014537.0	OG0012070.2	OG0044418.0	OG0005558.1	OG0044957.0	OG0008126.4	OG0026276.0	OG0021277.0	OG0017984.1	OG0038653.0	OG0007192.0	OG0046223.0	OG0010145.0	OG0041885.0	OG0016868.0
nan	nan	0.225518	0.0618215	nan	nan	0.27022399999999996	nan	nan	nan	nan	nan	nan	nan	0.236492	nan	nan	nan	nan	nan	nan	0.225517	nan	nan	nan	nan	0.21664299999999997	nan	nan	nan	nan
OG0000089.390	OG0000348.4	OG0002604.2	OG0041714.0	OG0009994.20	OG0002301.1	OG0043642.0	OG0008928.8	OG0022233.0	OG0011910.0	OG0011345.0	OG0043533.0	OG0041554.0	OG0053919.0	OG0045255.0	OG0056902.0	OG0005936.0	OG0007212.0	OG0046592.0	OG0034318.0	OG0001030.26	OG0056793.0	OG0006663.0	OG0017766.5	OG0057148.0	OG0006196.0	OG0000864.26	OG0007822.0	OG0056663.0	OG0024670.0	OG0017841.6
nan	0.33310500000000004	0.147089	nan	nan	1e-07	nan	0.311714	nan	nan	nan	nan	nan	nan	nan	nan	0.18695599999999998	0.22071500000000002	nan	nan	0.019034400000000003	nan	nan	nan	nan	nan	1e-07	0.232531	nan	nan	nan
OG0041647.0	OG0005639.0	OG0028126.0	OG0000017.1174	OG0018804.2	OG0041919.0	OG0027837.0	OG0053775.0	OG0048059.0	OG0010877.4	OG0003809.0	OG0001873.22	OG0006865.6	OG0034581.0	OG0056991.0	OG0022775.0	OG0004133.0	OG0010866.17	OG0020395.0	OG0017756.6	OG0013066.8	OG0034798.0	OG0024810.0	OG0023466.0	OG0000634.26	OG0001756.0	OG0001618.1	OG0004864.0	OG0003351.0	OG0012771.2	OG0014062.0
