OG0002252.0	OG0022826.0	OG0000606.2	OG0006400.2	OG0004324.0	OG0000019.257	OG0001967.0	OG0006804.0	OG0002346.16	OG0000835.7	OG0000177.8
nan	4.1072	nan	0.9977196	-0.4231768	nan	0.8198931999999999	0.8530597	0.3227857	0.7060531	nan
OG0044334.0	OG0010586.2	OG0000629.1	OG0028073.0	OG0022890.0	OG0038662.0	OG0047539.0	OG0022782.0	OG0011077.1	OG0015546.3	OG0006718.7
1.4659360000000001	0.9798985999999998	-1.2317870000000002	-0.8112261	3.5437819999999998	-0.02300624	0.1925738	2.968107	-5.567839	0.8735361999999999	1.576233
OG0000008.1	OG0002100.0	OG0003138.0	OG0013583.0	OG0049159.0	OG0046415.0	OG0000894.25	OG0013017.9	OG0011933.0	OG0024685.0	OG0013182.2
nan	nan	-1.180053	-1.604684	0.9382059000000001	-6.7627630000000005	nan	-1.668566	0.3260245	1.130778	-1.460172
OG0057016.0	OG0016768.5	OG0009897.1	OG0000015.1	OG0047017.0	OG0008348.0	OG0000051.490	OG0056740.0	OG0004260.3	OG0027786.0	OG0046622.0
1.4054959999999999	3.362712	0.626017	nan	0.29840459999999996	0.545036	-1.438083	1.568711	-0.39681059999999996	-6.112198	-5.773267
OG0012777.0	OG0009928.2	OG0020540.0	OG0004907.8	OG0002233.0	OG0024292.0	OG0005591.5	OG0014692.1	OG0048836.0	OG0027043.0	OG0000426.114
-1.283768	-0.3827991	0.6924003000000001	-1.324622	nan	2.8400220000000003	0.2897657	-1.715397	0.8405975	-0.03580352	-0.9112981
OG0056994.0	OG0004857.5	OG0034922.0	OG0027532.0	OG0005805.2	OG0047561.0	OG0025860.0	OG0047113.0	OG0000759.38	OG0012064.0	OG0018900.3
1.3824319999999999	-0.49234849999999997	-1.555309	-1.9708860000000001	1.266822	0.35656479999999996	1.441198	0.37951409999999997	nan	0.561591	-5.772384
OG0006365.0	OG0041869.0	OG0022275.0	OG0013569.4	OG0019315.0	OG0045380.0	OG0007125.8	OG0000698.19	OG0023094.0	OG0007387.6	OG0034832.0
0.43098290000000006	0.8492767	0.6295098000000001	-1.519678	0.8960303	-5.827553	0.5364241	nan	1.8339590000000001	0.09658903	-1.424004
OG0045687.0	OG0000988.1	OG0018406.0	OG0019024.4	OG0048796.0	OG0038795.0	OG0044796.0	OG0019849.0	OG0006853.0	OG0024731.0	OG0024669.0
-5.143475	nan	-0.126442	-5.774285	0.9135479	0.04807767	2.4282209999999997	0.10981289999999999	-0.6245901999999999	-1.389988	1.270449
OG0028454.0	OG0037975.0	OG0006049.4	OG0020395.0	OG0007639.5	OG0025358.0	OG0012626.1	OG0000881.3	OG0002407.0	OG0001739.127	OG0006707.0
0.8734119	1.307157	0.34031079999999997	-4.8310949999999995	-1.638823	3.054539	0.19851359999999998	0.43436949999999996	-0.07517256	-6.333304	-1.213432
