OG0019212.0	OG0000441.96	OG0001741.1	OG0007639.5	OG0000236.1	OG0011318.4	OG0012897.4	OG0020019.0	OG0005996.10	OG0001699.1	OG0000834.15	OG0002590.0	OG0001842.34	OG0002488.24	OG0002309.26	OG0005056.1	OG0014063.4	OG0000833.0	OG0008015.25	OG0001843.5	OG0013273.0	OG0014068.0	OG0006158.4	OG0000606.2	OG0011319.4	OG0013106.2	OG0000236.19	OG0003001.0	OG0000750.0	OG0003342.16	OG0004314.0	OG0005266.0	OG0000264.1	OG0015416.2	OG0020502.0	OG0000236.122	OG0014817.2	OG0000098.0	OG0007127.0	OG0001764.0	OG0001964.1	OG0005326.0	OG0001607.2	OG0002787.0	OG0000751.0	OG0013218.3	OG0006225.0	OG0001844.24	OG0003860.1	OG0000324.0	OG0005400.0	OG0029060.0	OG0000920.27	OG0001698.26	OG0001309.24	OG0003151.14	OG0006297.0	OG0003991.2	OG0001711.10	OG0001643.24	OG0002012.0	OG0002651.6	OG0000119.0	OG0008335.19	OG0044466.0	OG0002988.0	OG0000213.17	OG0000471.2	OG0053812.0	OG0004226.0	OG0000038.0	OG0004205.0	OG0005741.0	OG0006752.0	OG0000869.2	OG0000834.30	OG0016785.2	OG0002101.0	OG0001824.24	OG0000646.28	OG0009857.2	OG0000711.2	OG0001778.24	OG0000318.0	OG0000441.1	OG0001579.36	OG0000320.0	OG0000456.0	OG0000749.2	OG0000310.18	OG0011985.2	OG0012896.0	OG0001016.1	OG0005567.0	OG0001567.1	OG0002348.56	OG0015415.0	OG0029057.0	OG0000213.256	OG0002178.2	OG0014065.0	OG0000065.1	OG0000740.26	OG0028281.0	OG0000065.40	OG0004135.0	OG0005575.28	OG0007639.25	OG0008099.0	OG0008342.0	OG0001907.32	OG0014302.8	OG0007845.0	OG0001602.32	OG0001566.2	OG0001823.24	OG0008341.0	OG0015105.0	OG0000206.0	OG0000551.2
-2.7427479467602125	-1.2440015162022935	-1.8262329322632935	-2.3090019204430923	-3.0516981876493645	-3.316168825598677	-2.4900508536956893	-1.810460055611497	-1.695722611934325	-1.9083340124781873	-1.6357637688260032	-0.7495234474970307	-1.0335695326937018	-1.3100746891435733	-0.17104352358233668	-0.3054317749911664	0.7875160481350303	-1.1275258029487878	nan	-0.7432308572386588	-2.5700359564830535	0.8238308662002686	-1.2827897009804041	-0.6443071024337754	-1.7612131404128835	nan	nan	-1.233108061588777	-0.6604064990346017	-1.213570916796944	-1.865647613376637	-0.7069827279504917	-1.4799549759601824	-3.261188937029684	-0.9023892033735776	-0.04572922985512066	-1.0206331138782188	1.0094188393833274	-1.6656605600930732	-1.4035418604410144	-0.13907691900077995	-2.089267338097087	-1.159395776645905	0.17772648293206822	-1.218262612121666	nan	0.25229454120183664	-0.14448862342559837	-0.4483117305610369	-0.5189077630936494	-1.35070645303286	nan	-0.7131188522118385	-1.2039006722965686	-1.0619024389259069	-0.42526873733715537	-1.5116906642966368	-0.17706595197162872	-0.7492809165994454	-1.1587514286937521	-1.349970759472354	-0.5794906495110967	-0.8567372069613801	nan	nan	-0.8543877528335244	-0.048412205185245895	-1.3375210295767486	nan	-1.814513995871922	-0.5428785420499038	-0.32517781603817786	-2.023269779322847	-0.46873084011700594	-0.6755349936684583	-0.5610684580654551	-1.8411459704833824	-1.0664273617389761	-0.801128720482181	-0.21943792382894028	-2.4965494909944312	-0.05304461335688118	0.4137023887821764	-0.8614476248473515	-2.9170249727422317	-1.3349711323629614	-0.24348904385984163	-0.9134879534257182	-0.3830777578812987	-0.14082554413356455	-1.1926450779423958	-1.4131151871478154	-2.1831136259850807	-0.860137631984359	-1.190009416024795	-0.952042892603345	nan	nan	-2.819088336631431	-0.5900931804707359	0.40718957187910976	-1.9148473194368616	-1.300448367476911	nan	0.06087747289933463	-0.4426144185764749	-1.9595984847157935	nan	-0.37763184758309515	-1.458782551897963	-0.3415371388258907	nan	-1.7700429914156375	-1.1661788622094176	-1.0540927027897475	-0.5437195184892749	-1.2297206567902736	-0.23633347986192646	0.24865627000440324	-1.3086445080689395
OG0004601.0	OG0004091.0	OG0018087.2	OG0000922.28	OG0000682.0	OG0000381.0	OG0027752.0	OG0002580.2	OG0011489.0	OG0010872.12	OG0000406.0	OG0012126.3	OG0012959.2	OG0000753.0	OG0004852.0	OG0000085.0	OG0020899.0	OG0000814.1	OG0005307.0	OG0012202.0	OG0020848.0	OG0003440.0	OG0027806.0	OG0000364.1	OG0000288.79	OG0011438.4	OG0014033.0	OG0005681.2	OG0012683.2	OG0000862.34	OG0041540.0	OG0012064.0	OG0048147.0	OG0000143.0	OG0001302.24	OG0000807.26	OG0001863.0	OG0000420.0	OG0001087.24	OG0000377.148	OG0005304.0	OG0000158.1	OG0006643.0	OG0000100.1	OG0003592.0	OG0001237.24	OG0004198.0	OG0000004.433	OG0015187.4	OG0000013.2	OG0007023.0	OG0000256.24	OG0003642.0	OG0004640.26	OG0003067.0	OG0012651.6	OG0000413.2	OG0000380.29	OG0001419.3	OG0000261.0	OG0002128.0	OG0041541.0	OG0005901.4	OG0000019.2	OG0011924.11	OG0024505.0	OG0008665.0	OG0000002.1147	OG0001857.4	OG0000419.108	OG0045229.0	OG0002133.0	OG0001736.4	OG0002210.0	OG0007723.0	OG0001365.24	OG0010577.0	OG0002418.9	OG0003423.0	OG0025008.0	OG0000297.1	OG0000290.0	OG0008097.4	OG0000962.24	OG0000225.48	OG0005287.12	OG0045888.0	OG0003502.3	OG0015967.4	OG0007159.0	OG0022375.0	OG0000858.32	OG0002117.0	OG0013881.0	OG0009205.0	OG0013892.2	OG0014234.1	OG0017257.0	OG0000177.8	OG0002448.22	OG0001273.24	OG0004163.4	OG0003928.0	OG0000287.0	OG0010584.0	OG0003281.0	OG0002298.4	OG0020651.0	OG0001656.2	OG0002464.21	OG0000257.0	OG0010775.0	OG0006941.0	OG0001594.1	OG0015168.2	OG0000336.0	OG0004935.0	OG0009014.0	OG0004096.6	OG0000317.0
-0.8554314823352884	-1.493702734528478	-2.100979090420583	-1.6295008967976548	-0.7592582687846602	-0.46136251482935686	nan	-1.1616532634787693	-2.7858751946471525	-4.521514782248605	-0.7776900207356844	-1.6312875162716691	nan	-1.4077462998850927	-1.5968413702571356	-0.1564984744631771	-1.0546919530749526	-0.6228207102633614	-1.0655212410931172	-2.072786191607015	-0.0033220203836296473	-1.453636426114565	-2.0197552951466102	-0.7065117976244923	-1.0764324320674414	-2.346664773208869	-1.4548223653847077	-0.9534390942422588	-2.6303939299681622	-1.3136563569238193	nan	-1.793856930308627	nan	-0.37913211553671566	-1.3154505308161575	-1.7695510237924936	-1.0655212410931172	-0.49045616203966397	-0.8218909239056749	-1.0424567992428948	-0.18721429113256383	-1.5374241119577958	-1.5972778231543954	-0.00926292132896792	-0.7673392432097249	-1.0594949372560147	-1.7656213106623855	-0.9448043457578754	-2.80793211552035	0.07464243793449277	-1.3132977897439224	-0.250165425587271	-1.273343137314313	-0.10051497748722915	-0.7173822785186517	-3.719566238256508	-1.2799842649171953	-1.386091221203337	-1.0914176345211863	-0.7946074870103151	-0.8147677457698391	nan	-1.3280726151852633	-0.5098406597162803	-2.2270164478618955	-3.121549296903336	-1.545824106814198	-0.38627977181994066	-1.045133690098103	-0.40182538785199273	nan	-0.5460347346035916	-0.6957226119343248	-0.8086900325542714	-1.15072126746922	-0.9450820808710421	-1.1863932251261728	-0.46315134957916976	-0.38194932994665626	-13.287712379549449	-2.001154617941492	-0.5907448533151622	-1.6910567118747863	-1.3433663454116158	-0.3057883922321096	-1.1411437038086636	nan	-1.5760454059851032	-3.02561753417927	-1.9340141705014147	-2.002310160687201	-1.4851960144282268	-1.151682530163898	-1.0855885557189886	-1.3562361456626577	nan	-1.7393720918733013	-1.2549778509627356	0.40064722052282803	-0.5395195299599892	-1.4607667291339643	-0.42120616732324734	-1.4860040206329874	-0.5024642736039957	-1.3543905588165042	-0.6115349027168463	-0.7656213106623855	-3.1152848709039667	-0.35328433892264566	-3.235144328745296	0.0001442622910945383	-0.39270519918078745	-1.0755200076409777	-2.03268380973072	-1.8541269383989551	-0.4330387576855113	-0.31616882559867737	-2.972562817293149	-0.7846320277965205	-0.5174614521545847
OG0009189.0	OG0013716.0	OG0002284.0	OG0000001.2003	OG0003330.1	OG0004811.0	OG0002387.20	OG0002618.0	OG0002201.2	OG0013042.0	OG0013923.2	OG0000005.318	OG0047243.0	OG0013062.2	OG0000396.79	OG0027668.0	OG0002884.0	OG0001189.24	OG0000685.33	OG0000132.40	OG0000349.0	OG0027498.0	OG0003357.4	OG0004044.36	OG0001416.0	OG0000461.0	OG0000705.16	OG0001463.24	OG0007561.6	OG0018811.0	OG0011755.11	OG0004011.8	OG0007086.1	OG0001598.16	OG0004180.46	OG0003834.8	OG0016401.1	OG0000232.19	OG0006283.0	OG0002597.0	OG0011134.8	OG0002031.0	OG0000042.23	OG0005282.0	OG0029018.0	OG0000151.0	OG0002352.25	OG0000014.1	OG0005290.0	OG0001831.0	OG0027783.0	OG0000059.133	OG0000605.0	OG0002336.0	OG0003923.0	OG0043410.0	OG0015129.0	OG0006880.13	OG0005227.24	OG0043861.0	OG0025893.0	OG0001267.24	OG0000186.266	OG0001737.0	OG0002181.0	OG0000305.0	OG0000338.41	OG0012902.0	OG0011321.2	OG0016067.1	OG0012102.0	OG0002493.6	OG0001329.24	OG0012172.0	OG0010592.6	OG0020456.0	OG0000460.47	OG0001036.24	OG0000431.12	OG0010951.0	OG0017962.4	OG0002084.0	OG0005341.0	OG0000780.24	OG0011350.0	OG0001235.24	OG0001260.24	OG0003158.0	OG0005087.2	OG0003683.0	OG0008200.0	OG0001136.24	OG0003332.0	OG0005989.0	OG0007506.1	OG0000001.1420	OG0035652.0	OG0000214.0	OG0000180.0	OG0006365.0	OG0000451.0	OG0001143.26	OG0046034.0	OG0011633.1	OG0000287.0	OG0000647.0	OG0019704.0	OG0001401.24	OG0000407.1	OG0014746.1	OG0007702.0	OG0025974.0	OG0001649.0	OG0001060.26	OG0012911.0	OG0000336.0	OG0006459.10	OG0000553.6	OG0005565.0	OG0000528.32
-0.8546486144273802	-3.277883762181341	-0.7776900207356844	-0.6716230659673341	-1.4695296746008095	-1.0391917746110202	-0.09341721216753471	-0.5380524178576397	-0.9788045754855103	-2.605595614599375	-3.272297327162762	-1.488026018218199	nan	-1.5816481122144794	-1.6452093507689292	-1.3658714424749592	-0.6517675807607293	-1.4532413295652276	-1.7216583413783577	-0.12406270353362446	-0.4111954329844497	-2.3168874781868323	-0.5437195184892749	-1.6560805736318118	0.16104922490055648	-0.5551209435844409	-1.3371564825019373	-1.3132977897439224	-2.1661788622094176	-1.639354797539784	-3.0637107053513444	-0.6716230659673341	-1.4695296746008095	-1.4398720239187364	-1.065823218078184	-1.1121628289132588	nan	-1.3008037548517561	-1.1332106856846844	1.6781169886282394	-2.5985879746361915	-0.9409216577987469	-1.0843643765696869	-2.15200309344505	-13.287712379549449	-0.20340224595169437	-0.848141183272995	-0.4737308279347723	-1.3104324560495328	-1.0540927027897475	-3.054092702789747	-0.3735141370944932	-0.4949220852483855	-0.5617071484208531	-0.8455464073201275	nan	-1.9612828924271464	-2.700872591587623	-1.0206331138782188	nan	nan	-1.088653555896428	-2.4892405784478306	-1.0546919530749526	-0.5259534006806945	-0.05110017933369812	0.7966808083669082	-1.8160371651574052	-1.1243771874674886	-2.0631076980109504	-2.819088336631431	-0.23378649801834483	-1.1012885820105052	-1.2546335734188303	-0.9537184967880897	-1.4035418604410144	-1.3529157873710465	-0.9459156071576208	-0.3122226226036953	-0.7025150842894256	-1.960159735468209	-0.5728229453178999	-0.8160371651574051	-0.6954889581900472	-2.002310160687201	-0.9928044985957962	-1.453636426114565	-1.2573900969054144	-0.4741315765598182	-0.7004036512159048	-1.704629612046516	-1.2618807112174235	-1.0613001867606637	-1.9759640645444907	-1.396308382884427	-0.01727103870140411	nan	-0.42953706897395905	-0.15826835651750287	0.8099082923834258	-0.2004152986302959	-0.9376019362015215	nan	nan	-0.5024642736039957	-0.4797537772929724	nan	-0.9708651959469772	-0.9610020212024905	-3.3118644115426648	-0.05514155419246095	-0.8881674129220172	-1.6877995373623218	-0.9387076615217063	-2.505533185718241	-0.4330387576855113	-0.5211834709505849	-0.5651182805928654	-0.9531597457970277	-0.2271853125008065
OG0006665.0	OG0004356.0	OG0013652.3	OG0001165.26	OG0000139.0	OG0002559.0	OG0002195.1	OG0000288.62	OG0001130.24	OG0006720.0	OG0000726.25	OG0005042.6	OG0000101.90	OG0003595.1	OG0047433.0	OG0001522.0	OG0005196.0	OG0000075.0	OG0007200.0	OG0024557.0	OG0004108.36	OG0046151.0	OG0002053.0	OG0007557.2	OG0004888.1	OG0001687.23	OG0001881.0	OG0004234.0	OG0004005.1	OG0003699.6	OG0018183.2	OG0014171.0	OG0007108.26	OG0004167.25	OG0005358.0	OG0004053.58	OG0001802.4	OG0001262.36	OG0000498.0	OG0001539.22	OG0006903.2	OG0003976.0	OG0000044.1	OG0010092.0	OG0037957.0	OG0000042.23	OG0024558.0	OG0000603.1	OG0001242.28	OG0007131.0	OG0000683.0	OG0016892.2	OG0003293.4	OG0000302.34	OG0000525.2	OG0001885.0	OG0009263.0	OG0001918.20	OG0002987.2	OG0001608.24	OG0001090.26	OG0016466.2	OG0029220.0	OG0013563.0	OG0013008.8	OG0022367.0	OG0006509.2	OG0006332.2	OG0000404.58	OG0004559.0	OG0011704.2	OG0010741.0	OG0000185.5	OG0000204.2	OG0001009.24	OG0007742.2	OG0038652.0	OG0001174.24	OG0000403.25	OG0001830.6	OG0001573.24	OG0001774.6	OG0009249.0	OG0000741.0	OG0002117.0	OG0005537.2	OG0003076.0	OG0009899.0	OG0003635.0	OG0027701.0	OG0005087.2	OG0011345.0	OG0000760.17	OG0002577.26	OG0029017.0	OG0008482.0	OG0012527.4	OG0000001.2142	OG0024737.0	OG0005149.0	OG0000526.0	OG0000177.8	OG0000006.1	OG0000011.866	OG0012674.4	OG0009159.0	OG0001083.26	OG0003281.0	OG0004726.1	OG0005604.1	OG0024660.0	OG0006559.0	OG0000062.12	OG0002219.0	OG0000230.58	OG0001272.24	OG0011312.2	OG0016859.0	OG0000336.0	OG0000753.0
-1.731685386824772	-0.5004219529898684	nan	-1.35144252194724	-0.6077925010310296	-0.6873348264416056	-0.6992319667196912	-1.8609234849538883	-0.4635491698052915	-0.8569984937575101	-0.48398485299633537	-0.8502203694240974	-1.5182877379966961	-1.1798414652698352	nan	1.3940201716873755	-0.8709148519433895	-0.44929630375211244	-2.37632039170599	nan	-2.3778192957794078	nan	-1.0194628075549568	-2.978236025708344	-0.17445857289817324	-1.6042790867140473	-0.16133054900680766	-1.2229696147991935	-0.8398542745954207	-1.5929192245494994	-3.4562467805481956	-1.1919857109104024	nan	-1.6620035364849841	-1.5382619139795337	nan	-1.5006260549978325	-1.0806980593719169	-0.4868124796291447	-1.6674925540419632	-1.4611638922585346	-1.523255415929559	-0.6009930135276029	-2.23854450717728	nan	-1.0843643765696869	nan	-1.0294408032665983	-1.2764851241261952	-1.364756387640972	-0.10005101381032842	-2.1341603478413376	-1.8385637341740129	-0.896200256842332	-0.814513995871922	-1.077649896309218	-0.7036894392919077	-0.8510008374122356	-1.2990276927772837	-0.3122226226036953	-0.5676819330504765	-2.243318260190996	nan	-1.58337640836713	-3.175272872767897	-1.611314492504686	-0.8311012799745306	-0.798868033092113	-0.08085063671232555	-0.7434723731077908	-2.23990682554186	-1.7150121530621574	-0.20556333819557787	-0.7138285488929806	0.3057954614204903	-1.479150349591925	nan	-0.9765317194960946	-0.4597742994044606	-1.4363537305159362	-1.099432627585306	-0.9392608421423214	-2.207561069935362	-1.2598063829795652	-1.151682530163898	-0.7700429914156375	-0.5940076403241632	-1.7646405526090545	-0.5627722610870904	nan	-0.4741315765598182	-2.2297206567902736	-0.9839316313723466	-1.0107156402523292	nan	-0.9655025358005551	-2.361416384768338	-0.39289461624150596	nan	-1.1587514286937521	-0.4953287646142607	0.40064722052282803	-0.6531281860557505	0.3951725059957788	-2.5623461216538077	-0.6040597821546996	-1.0107156402523292	-0.6115349027168463	-1.4254624786979369	-1.0403782015207206	-5.691522623405039	-1.344464983647896	-1.5538496598709068	-0.5401487492943315	-0.15136203809529378	-1.2789336312689499	-2.7466157641999254	-1.9013109559086716	-0.4330387576855113	-1.4077462998850927
OG0028987.0	OG0000897.0	OG0003413.0	OG0006186.0	OG0003219.0	OG0000910.22	OG0019469.0	OG0000866.3	OG0011986.10	OG0006349.2	OG0000209.146	OG0000859.24	OG0023936.0	OG0000414.34	OG0004739.0	OG0016036.0	OG0009314.0	OG0016272.0	OG0000364.1	OG0002803.15	OG0012876.0	OG0001170.24	OG0010847.0	OG0001045.24	OG0000279.0	OG0024632.0	OG0010949.13	OG0006703.0	OG0038836.0	OG0012213.0	OG0004513.4	OG0000350.8	OG0000197.0	OG0019385.0	OG0000522.0	OG0001209.1	OG0000062.320	OG0000914.30	OG0007148.0	OG0003372.6	OG0020760.0	OG0024533.0	OG0003920.14	OG0008053.1	OG0000092.1	OG0003592.0	OG0006692.0	OG0002350.22	OG0028525.0	OG0004186.6	OG0001896.13	OG0004792.0	OG0015752.2	OG0000940.24	OG0001770.0	OG0003036.0	OG0003424.0	OG0000561.24	OG0001063.0	OG0006180.8	OG0003675.0	OG0001380.24	OG0015196.0	OG0000035.64	OG0000009.802	OG0001404.24	OG0002095.0	OG0011153.0	OG0013862.2	OG0002133.0	OG0005442.4	OG0001497.24	OG0017923.3	OG0001766.6	OG0011223.2	OG0000175.197	OG0003260.63	OG0000631.0	OG0041898.0	OG0000290.0	OG0005012.2	OG0004251.2	OG0000431.12	OG0010004.2	OG0010526.2	OG0002478.0	OG0001253.24	OG0000188.1	OG0003777.2	OG0003299.0	OG0004770.1	OG0014667.0	OG0012123.0	OG0024706.0	OG0004258.0	OG0005327.0	OG0012459.6	OG0002333.0	OG0008095.2	OG0000727.24	OG0000411.0	OG0000159.8	OG0000276.72	OG0000175.4	OG0001828.65	OG0000778.0	OG0003177.0	OG0001406.24	OG0015952.0	OG0010743.6	OG0001984.118	OG0002612.0	OG0000011.1	OG0006294.10	OG0000012.581	OG0000183.0	OG0021470.0	OG0006627.0	OG0010757.0	OG0006834.2
nan	-0.748795977085337	-1.058292691319033	-1.0317986302116597	-0.4953287646142607	-0.6333001114005099	-2.6411536693949014	-0.19578119333292007	-1.911586990273275	-1.859352206845158	-0.4077462998850927	-0.026351991783529823	nan	-0.8701235391668696	-0.7271407083128903	-0.23786383009888792	-1.3255393484397413	-0.9965416802275889	-0.7065117976244923	-0.5961869383834103	-1.78687049999252	-1.1472021071812288	-1.7898605425983316	-1.3617871145765936	-0.7006381023484414	-0.9337385577312787	nan	-1.866173472701172	nan	-1.9810810178369487	-1.028263333263764	-0.40144422667648927	-0.39289461624150596	-2.6896598793878495	-0.5944432366562431	-1.1558554189406567	-2.7245161073327124	-0.78413506084676	-0.8986188576449755	0.628633634164697	-2.6850135145314846	-13.287712379549449	-0.7553564542606015	nan	0.8123750005659496	-0.7673392432097249	-2.0985055449524253	-0.07612822646992241	nan	-1.8216359181531967	-1.2162500169928252	-0.8870997384674502	nan	-0.9581963123429151	-0.6989977439671857	-0.2072279224818811	-0.7680761267062368	-1.2429767534925404	-0.35052249446826406	-3.2419527181667664	-0.49390588809367864	-0.8839014477634204	-2.7112280327525977	0.0001442622910945383	-0.9411986463838138	-1.038006322579745	-0.4146528318879797	-2.175924643748438	-1.83341308592955	-0.5460347346035916	-1.1382827894927068	-0.8344417455388263	-2.827256483239813	-0.5145731728297583	-1.488026018218199	-1.415422269261359	nan	-0.5668268759557245	nan	-0.5907448533151622	-0.6868702651621483	-0.6778410923706224	-0.3122226226036953	nan	-1.9094175236375577	-1.101907764440992	-1.7273795453370082	-0.09449505685038438	-0.9481407011647501	-1.1736447323841848	-1.6803820657998387	-2.3168874781868323	-0.5745406952346447	-2.1616532634787693	-0.622598569214206	-1.068241312155092	-1.180822334457232	-0.7276184219069535	-1.3781942652528345	-0.7715199016700826	-1.1165355818976774	-0.3796951184866468	-0.8999642788381562	-0.9548366483967755	-0.9414756881592	-0.9293358992212104	-1.087426774325152	-1.5100460986686943	-1.4100448054815682	-3.0625049426059476	nan	-0.6917556356062868	0.5140970048942337	-2.25773503295987	-0.4801562026905301	-0.002310160687201116	nan	-2.1379652600447674	-1.5777669993169523	-2.370340300072608
OG0002591.2	OG0002187.7	OG0005644.0	OG0003422.0	OG0020001.0	OG0003460.0	OG0002961.20	OG0000027.457	OG0002697.0	OG0006349.2	OG0013506.0	OG0000173.0	OG0013510.0	OG0000859.24	OG0002447.0	OG0006003.0	OG0000575.28	OG0024724.0	OG0000919.32	OG0000088.3	OG0002340.0	OG0000121.128	OG0003525.5	OG0002145.0	OG0000415.0	OG0008965.0	OG0000364.1	OG0007440.0	OG0017905.0	OG0000739.15	OG0009031.0	OG0007548.0	OG0004422.0	OG0011202.1	OG0001847.4	OG0003252.0	OG0010498.1	OG0001265.24	OG0006356.1	OG0011763.0	OG0003071.0	OG0000196.0	OG0024513.0	OG0008252.2	OG0000568.0	OG0001878.2	OG0001068.1	OG0011296.2	OG0000452.0	OG0001438.24	OG0010044.0	OG0000062.320	OG0000893.3	OG0007043.6	OG0000100.1	OG0056579.0	OG0002733.0	OG0000495.53	OG0025171.0	OG0013534.2	OG0006275.0	OG0018989.0	OG0004906.0	OG0000059.133	OG0000261.0	OG0022476.0	OG0001561.0	OG0000581.0	OG0046576.0	OG0025090.0	OG0002158.0	OG0003194.15	OG0000419.108	OG0000198.0	OG0002656.2	OG0020054.0	OG0018991.0	OG0006696.0	OG0001853.0	OG0003587.16	OG0001647.0	OG0002670.1	OG0002914.0	OG0007522.1	OG0006642.0	OG0005820.0	OG0029130.0	OG0002172.0	OG0014416.5	OG0001495.2	OG0000431.12	OG0019380.0	OG0001148.24	OG0001179.24	OG0004125.0	OG0002084.0	OG0014766.3	OG0002911.0	OG0028446.0	OG0012200.0	OG0025899.0	OG0000359.28	OG0018193.2	OG0000497.40	OG0003288.0	OG0003926.2	OG0008294.0	OG0000092.236	OG0000214.0	OG0021964.0	OG0000159.8	OG0002572.0	OG0001514.22	OG0000983.28	OG0027462.0	OG0053998.0	OG0009133.1	OG0000160.224	OG0002824.0	OG0005590.0
