OG0002252.0	OG0022826.0	OG0000606.2	OG0006400.2	OG0004324.0	OG0000019.257	OG0001967.0	OG0006804.0	OG0002346.16	OG0000835.7	OG0000177.8
1.117918869073	nan	1.4076544377140001	1.8916717209779998	1.016012969499	1.5356150354440001	2.281237135478	1.9929775891639998	2.474016298145	2.534411768333	2.415033133129
OG0044334.0	OG0010586.2	OG0000629.1	OG0028073.0	OG0022890.0	OG0038662.0	OG0047539.0	OG0022782.0	OG0011077.1	OG0015546.3	OG0006718.7
nan	0.538583839001	2.529645557353	nan	nan	nan	nan	nan	nan	nan	nan
OG0000008.1	OG0002100.0	OG0003138.0	OG0013583.0	OG0049159.0	OG0046415.0	OG0000894.25	OG0013017.9	OG0011933.0	OG0024685.0	OG0013182.2
5.076101256238	0.6726083358220001	1.3613378795109998	0.391460471985	nan	nan	0.576410801004	0.062123238648	0.439635727927	nan	0.136882753258
OG0057016.0	OG0016768.5	OG0009897.1	OG0000015.1	OG0047017.0	OG0008348.0	OG0000051.490	OG0056740.0	OG0004260.3	OG0027786.0	OG0046622.0
nan	nan	1.6848366865600002	5.247589854796	nan	1.453376912385	nan	nan	0.896334942739	nan	nan
OG0012777.0	OG0009928.2	OG0020540.0	OG0004907.8	OG0002233.0	OG0024292.0	OG0005591.5	OG0014692.1	OG0048836.0	OG0027043.0	OG0000426.114
1.693048434813	2.2362253239750003	0.273766773869	0.20901092515900002	0.6471680670350001	nan	1.184378464411	0.922203364716	nan	0.472376346198	nan
OG0056994.0	OG0004857.5	OG0034922.0	OG0027532.0	OG0005805.2	OG0047561.0	OG0025860.0	OG0047113.0	OG0000759.38	OG0012064.0	OG0018900.3
nan	1.18280488788	nan	0.041885660219999996	1.8203213848859998	nan	0.6514955714840001	nan	0.440778914215	2.095616567151	nan
OG0006365.0	OG0041869.0	OG0022275.0	OG0013569.4	OG0019315.0	OG0045380.0	OG0007125.8	OG0000698.19	OG0023094.0	OG0007387.6	OG0034832.0
1.651068239249	nan	0.663782555666	1.041511504137	nan	nan	0.630608349927	0.5041096440199999	nan	0.742674646049	nan
OG0045687.0	OG0000988.1	OG0018406.0	OG0019024.4	OG0048796.0	OG0038795.0	OG0044796.0	OG0019849.0	OG0006853.0	OG0024731.0	OG0024669.0
nan	0.5406217517840001	nan	nan	nan	nan	nan	nan	1.671607400388	nan	nan
OG0028454.0	OG0037975.0	OG0006049.4	OG0020395.0	OG0007639.5	OG0025358.0	OG0012626.1	OG0000881.3	OG0002407.0	OG0001739.127	OG0006707.0
nan	nan	0.640171553051	nan	0.148413875623	nan	nan	2.9506051749479996	0.917184991252	nan	0.228645183363
OG0034297.0	OG0026289.0	OG0047302.0	OG0011162.10	OG0038828.0	OG0013979.0	OG0017065.5	OG0004808.0	OG0057131.0	OG0011350.0	OG0015532.4
