OG0000119.0	OG0005996.10	OG0005056.1	OG0000236.1	OG0003860.1	OG0000206.0	OG0020019.0	OG0006158.4	OG0012897.4	OG0006752.0	OG0007639.25	OG0000213.256	OG0000098.0	OG0011985.2	OG0001607.2	OG0008342.0	OG0000751.0	OG0044466.0	OG0003342.16	OG0000551.2	OG0007639.5	OG0002309.26	OG0000236.122	OG0007127.0	OG0000264.1	OG0005266.0	OG0005326.0	OG0008341.0	OG0001844.24	OG0009857.2	OG0012896.0	OG0029057.0	OG0000318.0	OG0004205.0	OG0002590.0	OG0003991.2	OG0008335.19	OG0000456.0	OG0000236.19	OG0005400.0	OG0000833.0	OG0016785.2	OG0013218.3	OG0000320.0	OG0000324.0	OG0053812.0	OG0002988.0	OG0004314.0	OG0019212.0	OG0005741.0	OG0015105.0	OG0000834.15	OG0000834.30	OG0004135.0	OG0007845.0	OG0000920.27	OG0002488.24	OG0014302.8	OG0001764.0	OG0004226.0	OG0006225.0	OG0014817.2	OG0029060.0	OG0000213.17	OG0014065.0
0.497975484525	0.46085186625249996	0.47684643994099996	0.18037054668900002	0.7955008027600001	1.0126616633310002	0.516405508761	0.6148309591825	0.685019942888	0.646215900203	0.0	0.384186343146	1.4031352697045	0.658372681463	1.2296063848945	0.422841818714	0.474069926778	nan	1.513251683356	0.6425243599555	0.148413875623	0.446050764961	0.8854773171189999	0.5323554360365	0.353609284525	1.4196458025510001	0.341042683287	0.5499829647505	0.552135854413	0.338426833074	1.401534755683	0.0	0.41174843893299995	0.582329258555	1.4403699270950001	0.29796809588350004	0.003754849906	0.37297337941650005	nan	0.628505433122	0.340178793548	0.02701875753	0.008425706057	0.5666704008905	0.7158626525409999	nan	0.8034460851144999	0.41497503944200004	0.022153403446999998	0.2507378685415	1.153236635687	1.7326498048719998	0.491201572971	0.382499503094	0.8213827892535	0.38726760713299996	0.824863438289	0.004710052017	0.144828121245	0.454195010179	0.79149752588	0.762198595428	0.0	1.211413138282	0.0141568497505
OG0045615.0	OG0024714.0	OG0024355.0	OG0012114.8	OG0025975.0	OG0035573.0	OG0043551.0	OG0043678.0	OG0003362.0	OG0025470.0	OG0016430.7	OG0017149.4	OG0041521.0	OG0057499.0	OG0000207.240	OG0022053.0	OG0004947.4	OG0008735.0	OG0004736.6	OG0046820.0	OG0004753.0	OG0009148.0	OG0003206.16	OG0046991.0	OG0043965.0	OG0007045.2	OG0015023.7	OG0045556.0	OG0045671.0	OG0046642.0	OG0008138.14	OG0045836.0	OG0006262.5	OG0046904.0	OG0009066.4	OG0019625.0	OG0011694.15	OG0038654.0	OG0038065.0	OG0020746.0	OG0009932.0	OG0013606.4	OG0047529.0	OG0057390.0	OG0015222.0	OG0002631.6	OG0046666.0	OG0009048.1	OG0003031.18	OG0043623.0	OG0047283.0	OG0048012.0	OG0024521.0	OG0028429.0	OG0016359.1	OG0056524.0	OG0015760.0	OG0038696.0	OG0020504.0	OG0022036.0	OG0006143.2	OG0057525.0	OG0012415.0	OG0003627.46	OG0008824.1
nan	0.585460206026	nan	0.29402944009	0.52955204038	nan	nan	nan	0.2893338241175	nan	nan	nan	nan	nan	0.772352046246	nan	0.23727261067299998	0.545816745328	0.803747341655	nan	1.6710057811880001	1.084799280985	0.480892707515	nan	nan	0.5594800471425	nan	nan	nan	nan	0.5811729919635	nan	nan	nan	0.239175029723	nan	nan	nan	nan	0.15688657391799998	0.053623398986	0.14769372784	nan	nan	1.204081072499	0.873088078525	nan	0.326483618619	0.2754668674045	nan	nan	nan	0.0	nan	nan	nan	1.108243066462	nan	0.12644886479	nan	0.21343475942499998	nan	1.6598207526370001	nan	nan
OG0057388.0	OG0004254.44	OG0048082.0	OG0005875.0	OG0005345.4	OG0043368.0	OG0015202.0	OG0002348.56	OG0017924.2	OG0037837.0	OG0005206.34	OG0004463.2	OG0008015.25	OG0002469.0	OG0046980.0	OG0019619.0	OG0001880.0	OG0046558.0	OG0002799.0	OG0002833.0	OG0009048.1	OG0001385.1	OG0006114.1	OG0020556.0	OG0017943.0	OG0023121.0	OG0013048.8	OG0026844.0	OG0003130.1	OG0014148.3	OG0001586.3	OG0003988.1	OG0030139.0	OG0026676.0	OG0004420.2	OG0008034.1	OG0000298.0	OG0006124.2	OG0002829.1	OG0046508.0	OG0045063.0	OG0007437.0	OG0008603.0	OG0001525.51	OG0013496.4	OG0000479.1	OG0045098.0	OG0006678.4	OG0000796.20	OG0025004.0	OG0003743.1	OG0012133.4	OG0029101.0	OG0001461.24	OG0004222.0	OG0028044.0	OG0044894.0	OG0025842.0	OG0011887.5	OG0044571.0	OG0038901.0	OG0000604.1	OG0056689.0	OG0034678.0	OG0018047.4
nan	0.094624743553	nan	0.6788002651299999	0.422136070876	nan	0.272894627099	0.982317917016	0.599941274852	nan	0.857121946217	1.1397363747229998	nan	0.328991155601	nan	nan	0.965667471181	nan	0.694351518981	0.09803845487099999	0.326483618619	0.258303989031	0.40568734987300004	nan	nan	nan	0.530096142579	nan	0.25103704677099997	nan	0.42064307307800003	0.865965061204	nan	nan	0.986569486655	0.824078832114	0.814742365553	0.47561633155599997	0.42627120777649996	nan	nan	0.7404773617460001	0.171575771518	0.5526278059040001	0.309303296705	0.37546443111999994	nan	0.146372528017	0.14645364638800001	0.0	0.18431263805	0.4068828063695	nan	0.778518319197	0.5736394125535	nan	nan	nan	nan	nan	nan	1.010199607965	nan	nan	0.216660823023
OG0043366.0	OG0045184.0	OG0000006.1	OG0024581.0	OG0007769.0	OG0005756.2	OG0017283.5	OG0057305.0	OG0006280.10	OG0057341.0	OG0002892.4	OG0003211.0	OG0018398.0	OG0028976.0	OG0012627.1	OG0014687.1	OG0015246.3	OG0005083.0	OG0056881.0	OG0045029.0	OG0002587.0	OG0012141.4	OG0035690.0	OG0037747.0	OG0006891.4	OG0056736.0	OG0019003.1	OG0002836.4	OG0044802.0	OG0034800.0	OG0047517.0	OG0037830.0	OG0016839.3	OG0016203.1	OG0011002.0	OG0000587.1	OG0010894.7	OG0045779.0	OG0017836.4	OG0011913.0	OG0057444.0	OG0038890.0	OG0010125.0	OG0014666.4	OG0015130.10	OG0007581.0	OG0019214.0	OG0006272.0	OG0047244.0	OG0046007.0	OG0001791.12	OG0007531.3	OG0016827.0	OG0008286.2	OG0005691.3	OG0011332.6	OG0024587.0	OG0046123.0	OG0007273.0	OG0020317.0	OG0027627.0	OG0016257.3	OG0022773.0	OG0001301.24	OG0013873.1
nan	nan	0.9808833760600001	0.609373326348	1.756781951771	0.353016524446	nan	nan	0.068315292889	nan	0.6078275743680001	0.1423886850675	0.12436716139000001	0.0	nan	0.206726619491	0.125373408416	0.677657143617	nan	nan	0.14025920841700001	0.21287686700800001	nan	nan	0.218440725363	nan	nan	0.38785080041599995	nan	nan	nan	nan	0.084637565164	nan	0.096293492505	nan	0.172067371125	nan	nan	0.952272801698	nan	nan	0.433404933977	0.331695881262	nan	0.16359389229149998	0.7092079329600001	0.6739030345415	nan	nan	0.36452654387100003	0.578286545317	0.261929517304	1.824779350786	0.5796032498985	0.3856886598235	nan	nan	0.41532871393799997	0.140486557828	0.080377957414	0.138738532149	nan	0.334970874564	0.081718807483
OG0018627.0	OG0014258.7	OG0011996.0	OG0000787.3	OG0004584.32	OG0006996.3	OG0001845.2	OG0008273.0	OG0026913.0	OG0001893.0	OG0008140.1	OG0044389.0	OG0018376.3	OG0003754.0	OG0025341.0	OG0009908.12	OG0046278.0	OG0008484.3	OG0018118.2	OG0054128.0	OG0008175.0	OG0012886.8	OG0001449.24	OG0005704.4	OG0000021.847	OG0007272.0	OG0024598.0	OG0000377.2	OG0001568.0	OG0015243.2	OG0045960.0	OG0003971.6	OG0046640.0	OG0015772.1	OG0003067.0	OG0045465.0	OG0010169.2	OG0000005.318	OG0004096.6	OG0014317.6	OG0044433.0	OG0024570.0	OG0046701.0	OG0047973.0	OG0011471.4	OG0023059.0	OG0001558.2	OG0003162.80	OG0009129.0	OG0012768.6	OG0016606.8	OG0019206.0	OG0016022.4	OG0010733.0	OG0020754.0	OG0004443.0	OG0043479.0	OG0008409.1	OG0038034.0	OG0025021.0	OG0007174.2	OG0021381.0	OG0020763.0	OG0004144.0	OG0046635.0
1.303706732299	nan	0.198390265965	0.575237902486	0.300178036434	0.8874258348165	0.949716194336	0.978751661418	nan	0.847558376192	0.777317057869	nan	nan	0.242279869571	nan	0.641811294891	nan	nan	0.032767508183	nan	0.334333913185	0.08043964427	0.291397242902	0.30493460948	1.4781871745785	1.2701933126629998	0.17423645778299998	0.49407894651900003	0.7332385143729999	1.68017334541	nan	1.159469660765	nan	nan	1.502903690191	nan	1.011987316726	0.25239143902600003	0.8630242725380001	nan	nan	0.49406026685000004	nan	nan	0.17896529063000002	0.530986599995	0.30921430361200003	nan	0.10209212726700001	0.222761727505	nan	nan	0.069617344464	0.9242341278990001	0.855396004297	0.276159451793	nan	0.631067096738	nan	nan	0.6707974724669999	0.305124220777	0.36766927627499996	0.163756883152	nan
OG0027782.0	OG0001536.0	OG0025128.0	OG0015358.8	OG0001139.24	OG0002869.0	OG0002093.0	OG0019066.1	OG0020816.0	OG0008349.0	OG0009051.0	OG0019423.0	OG0004354.0	OG0012626.1	OG0012880.2	OG0006519.0	OG0012308.1	OG0045729.0	OG0017882.2	OG0035796.0	OG0002429.0	OG0015114.0	OG0012536.0	OG0027494.0	OG0017157.4	OG0057505.0	OG0017539.2	OG0037819.0	OG0044671.0	OG0006220.13	OG0038656.0	OG0041828.0	OG0015201.0	OG0014619.0	OG0012889.0	OG0011969.0	OG0013577.0	OG0028126.0	OG0045211.0	OG0025053.0	OG0022004.0	OG0005701.33	OG0007601.0	OG0045964.0	OG0002373.38	OG0057513.0	OG0016961.3	OG0002021.4	OG0019161.0	OG0034289.0	OG0047455.0	OG0022760.0	OG0056737.0	OG0034550.0	OG0029613.0	OG0001507.1	OG0029210.0	OG0043616.0	OG0006524.0	OG0009120.0	OG0045182.0	OG0002828.24	OG0017741.0	OG0022086.0	OG0017003.0
