OG0012896.0	OG0000471.2	OG0004710.2
-1.4131151871478154	-1.3375210295767486	-0.512925319948276
OG0011344.2	OG0004022.8	OG0000002.763
-2.0005771934627457	-0.8876334769274369	-0.7257085158978973
OG0011881.8	OG0000022.878	OG0000206.0
-2.4104282460262545	-1.1929748745013562	0.24865627000440324
OG0004622.6	OG0000186.266	OG0000046.1
-2.5344956303704946	-2.4892405784478306	-0.4065984188743529
OG0003118.5	OG0000359.28	OG0012157.2
-1.2172559636048	-0.5942254220501242	-2.1791879227712805
OG0004406.0	OG0000276.72	OG0004620.0
-1.2149098450052418	-0.8999642788381562	0.557875677239934
OG0000420.0	OG0006009.0	OG0006412.3
-0.49045616203966397	-1.0457292298551206	-1.2615347826602237
OG0007458.0	OG0009251.1	OG0000225.48
-0.7138285488929806	-1.810460055611497	-0.3057883922321096
OG0006175.0	OG0003258.3	OG0000125.49
-1.2348047512361633	-1.7918573526622783	0.8343876146053895
OG0000018.1	OG0004738.6	OG0000042.185
-0.6106534638375021	-1.458386043707783	-0.8953949567706891
OG0000062.12	OG0005477.0	OG0008453.0
-1.5538496598709068	-1.0174170530774094	-0.43693951723612684
OG0005759.6	OG0000263.57	OG0006086.0
-0.39119075732447617	0.818932344010497	-1.7036894392919077
OG0006471.8	OG0007818.0	OG0000364.1
-2.5353317329965557	-2.0356383367532658	-0.7065117976244923
OG0005855.0	OG0000048.122	OG0004208.2
-1.639354797539784	-0.7157227819448722	-0.9481407011647501
OG0007486.2	OG0000160.4	OG0013035.0
-2.168771306825942	-0.030913993470059714	-1.9323612831246366
OG0012996.0	OG0000279.0	OG0007538.2
-2.308287184217976	-0.7006381023484414	-1.5153978056277968
OG0000188.1	OG0004386.2	OG0004854.4
-0.09449505685038438	-1.1837689496578923	-0.4001109550407409
OG0000044.1	OG0003102.40	OG0006349.2
-0.6009930135276029	-1.3176064889372687	-1.859352206845158
OG0005696.4	OG0000014.1	OG0006725.0
-1.7833899312575583	-0.4737308279347723	-1.6556259667142674
OG0005845.2	OG0006425.0	OG0000336.0
-1.9822205874387653	-1.951205819739195	-0.4330387576855113
OG0008528.0	OG0007191.0	OG0000014.1
-1.4651415485992816	-0.5536378881214055	-0.4737308279347723
OG0005846.2	OG0012177.2	OG0000088.3
-1.482774707497541	-1.1523237279704035	-0.11434754870041268
OG0000180.0	OG0007348.0	OG0007163.2
-0.15826835651750287	-0.6064739677716448	-2.0115879742752116
OG0000180.0	OG0003511.4	OG0005146.0
-0.15826835651750287	-1.0655212410931172	-1.427401324629968
OG0005717.2	OG0000785.2	OG0003390.22
-1.203568368934305	-0.6060347243397574	-0.7861239566170575
OG0003559.24	OG0000276.72	OG0005701.4
-1.1867215954566879	-0.8999642788381562	-1.6748438822584089
OG0000256.24	OG0008453.0	OG0005285.0
-0.250165425587271	-0.43693951723612684	-1.7898605425983316
OG0000092.1	OG0004280.1	OG0005285.0
0.8123750005659496	-1.9445266641015684	-1.7898605425983316
OG0005845.2	OG0013058.0	OG0000204.2
-1.9822205874387653	-0.9107730579296045	-0.7138285488929806
OG0004204.4	OG0000225.48	OG0004274.22
-1.1306813051710953	-0.3057883922321096	-1.521183470950585
OG0000018.1	OG0000066.1	OG0010700.2
-0.6106534638375021	-1.097270360766624	-2.4227524644068494
OG0004631.4	OG0011476.0	OG0000034.305
-1.3632709872102522	-1.9845024306046744	-0.6588112275212595
OG0000018.1	OG0009267.0	OG0003729.6
-0.6106534638375021	-1.0609991549304867	-0.8033929559051822
OG0000403.25	OG0010524.6	OG0004622.6
-0.4597742994044606	-1.8287931725818576	-2.5344956303704946
OG0000180.0	OG0005758.2	OG0003375.2
-0.15826835651750287	-0.8185793597198583	-0.9045481189143395
OG0004387.2	OG0000012.581	OG0000188.1
-0.8367589148364569	-0.4801562026905301	-0.09449505685038438
OG0002959.32	OG0000059.133	OG0010621.0
-1.2088944295874708	-0.3735141370944932	-1.8241880062782692
