OG0019212.0	OG0000441.96	OG0001741.1	OG0007639.5	OG0000236.1	OG0011318.4	OG0012897.4	OG0020019.0	OG0005996.10	OG0001699.1	OG0000834.15	OG0002590.0	OG0001842.34	OG0002488.24	OG0002309.26	OG0005056.1	OG0014063.4	OG0000833.0	OG0008015.25	OG0001843.5	OG0013273.0	OG0014068.0	OG0006158.4	OG0000606.2	OG0011319.4	OG0013106.2	OG0000236.19	OG0003001.0	OG0000750.0	OG0003342.16	OG0004314.0	OG0005266.0	OG0000264.1	OG0015416.2	OG0020502.0	OG0000236.122	OG0014817.2	OG0000098.0	OG0007127.0	OG0001764.0	OG0001964.1	OG0005326.0	OG0001607.2	OG0002787.0	OG0000751.0	OG0013218.3	OG0006225.0	OG0001844.24	OG0003860.1	OG0000324.0	OG0005400.0	OG0029060.0	OG0000920.27	OG0001698.26	OG0001309.24	OG0003151.14	OG0006297.0	OG0003991.2	OG0001711.10	OG0001643.24	OG0002012.0	OG0002651.6	OG0000119.0	OG0008335.19	OG0044466.0	OG0002988.0	OG0000213.17	OG0000471.2	OG0053812.0	OG0004226.0	OG0000038.0	OG0004205.0	OG0005741.0	OG0006752.0	OG0000869.2	OG0000834.30	OG0016785.2	OG0002101.0	OG0001824.24	OG0000646.28	OG0009857.2	OG0000711.2	OG0001778.24	OG0000318.0	OG0000441.1	OG0001579.36	OG0000320.0	OG0000456.0	OG0000749.2	OG0000310.18	OG0011985.2	OG0012896.0	OG0001016.1	OG0005567.0	OG0001567.1	OG0002348.56	OG0015415.0	OG0029057.0	OG0000213.256	OG0002178.2	OG0014065.0	OG0000065.1	OG0000740.26	OG0028281.0	OG0000065.40	OG0004135.0	OG0005575.28	OG0007639.25	OG0008099.0	OG0008342.0	OG0001907.32	OG0014302.8	OG0007845.0	OG0001602.32	OG0001566.2	OG0001823.24	OG0008341.0	OG0015105.0	OG0000206.0	OG0000551.2
2.945064	nan	nan	3.6986800000000004	3.3966199999999995	1.6263969999999999	1.9797770000000001	1.4832969999999999	217.1495	nan	4.023947	0.572966	1.657387	1.1914049999999998	1.2466270000000002	2.7639139999999998	2.2196130000000003	nan	1.620968	1.89155	1.24434	2.221693	0.9175271	nan	1.6282860000000001	1.098943	3.2686439999999997	1.392916	nan	1.586552	1.0626799999999998	1.5427620000000002	nan	nan	3.3486309999999997	nan	1.933075	1.986865	1.0815059999999999	nan	2.632984	4.854508	1.200936	46.13551	nan	3.7508199999999996	3.699637	1.107237	5.115496	3.801515	2.73316	3.7207510000000004	nan	nan	nan	7.489176	214.6821	1.012053	1.625292	nan	nan	21.870070000000002	nan	3.706981	1.444283	0.8583895	2.690521	nan	2.2535529999999997	0.8604552	nan	nan	188.3775	2.0996259999999998	nan	nan	2.935956	nan	nan	nan	224.4897	nan	nan	nan	nan	1.6584709999999998	nan	nan	nan	nan	1.347913	1.1306889999999998	nan	45.740990000000004	nan	4.622376999999999	2.0066759999999997	3.74712	2.117238	4.939858999999999	2.216487	2.551714	nan	3.7295260000000003	1.613891	0.4837583	19.0884	3.7038879999999996	2.961543	1.355743	1.647546	3.7382760000000004	0.9760806999999999	nan	nan	nan	215.4607	3.708815	nan	nan
OG0004601.0	OG0004091.0	OG0018087.2	OG0000922.28	OG0000682.0	OG0000381.0	OG0027752.0	OG0002580.2	OG0011489.0	OG0010872.12	OG0000406.0	OG0012126.3	OG0012959.2	OG0000753.0	OG0004852.0	OG0000085.0	OG0020899.0	OG0000814.1	OG0005307.0	OG0012202.0	OG0020848.0	OG0003440.0	OG0027806.0	OG0000364.1	OG0000288.79	OG0011438.4	OG0014033.0	OG0005681.2	OG0012683.2	OG0000862.34	OG0041540.0	OG0012064.0	OG0048147.0	OG0000143.0	OG0001302.24	OG0000807.26	OG0001863.0	OG0000420.0	OG0001087.24	OG0000377.148	OG0005304.0	OG0000158.1	OG0006643.0	OG0000100.1	OG0003592.0	OG0001237.24	OG0004198.0	OG0000004.433	OG0015187.4	OG0000013.2	OG0007023.0	OG0000256.24	OG0003642.0	OG0004640.26	OG0003067.0	OG0012651.6	OG0000413.2	OG0000380.29	OG0001419.3	OG0000261.0	OG0002128.0	OG0041541.0	OG0005901.4	OG0000019.2	OG0011924.11	OG0024505.0	OG0008665.0	OG0000002.1147	OG0001857.4	OG0000419.108	OG0045229.0	OG0002133.0	OG0001736.4	OG0002210.0	OG0007723.0	OG0001365.24	OG0010577.0	OG0002418.9	OG0003423.0	OG0025008.0	OG0000297.1	OG0000290.0	OG0008097.4	OG0000962.24	OG0000225.48	OG0005287.12	OG0045888.0	OG0003502.3	OG0015967.4	OG0007159.0	OG0022375.0	OG0000858.32	OG0002117.0	OG0013881.0	OG0009205.0	OG0013892.2	OG0014234.1	OG0017257.0	OG0000177.8	OG0002448.22	OG0001273.24	OG0004163.4	OG0003928.0	OG0000287.0	OG0010584.0	OG0003281.0	OG0002298.4	OG0020651.0	OG0001656.2	OG0002464.21	OG0000257.0	OG0010775.0	OG0006941.0	OG0001594.1	OG0015168.2	OG0000336.0	OG0004935.0	OG0009014.0	OG0004096.6	OG0000317.0
nan	nan	8.041777	3.294664	20.2233	3.8080800000000004	264.9775	nan	2.624333	3.779897	nan	231.6061	71.208	nan	2.4851419999999997	1.453451	2.429383	nan	2.748914	1.513216	1.244426	45.60032	255.5963	nan	3.366803	0.9650049	2.214972	7.128753	2.998854	nan	3.247671	nan	3.7691779999999997	0.297667	nan	nan	nan	nan	nan	2.492855	nan	4.873151999999999	222.4706	nan	46.220040000000004	nan	1.069038	1.7266580000000002	2.994148	nan	217.5348	nan	nan	216.3773	2.633236	1.705177	nan	nan	nan	nan	nan	nan	217.1127	1.171471	3.0131040000000002	nan	2.5550439999999996	2.030409	nan	44.9784	266.6941	nan	nan	nan	4.362633	nan	nan	5.195508	45.67613	1.2789139999999999	2.305399	nan	1.079127	nan	nan	0.896453	262.7203	7.154696	3.760815	2.546119	3.4199410000000006	nan	4.493335	226.8646	3.8280199999999995	1.6428909999999999	2.4131259999999997	2.186488	5.586796	12.28026	nan	72.74119	9.962583	1.6736950000000002	3.602414	26.85091	1.221871	6.4088709999999995	5.753432	1.2624950000000001	nan	0.7870564	3.786608	nan	2.9830389999999998	nan	10.46022	2.954561	76.59997	nan
OG0009189.0	OG0013716.0	OG0002284.0	OG0000001.2003	OG0003330.1	OG0004811.0	OG0002387.20	OG0002618.0	OG0002201.2	OG0013042.0	OG0013923.2	OG0000005.318	OG0047243.0	OG0013062.2	OG0000396.79	OG0027668.0	OG0002884.0	OG0001189.24	OG0000685.33	OG0000132.40	OG0000349.0	OG0027498.0	OG0003357.4	OG0004044.36	OG0001416.0	OG0000461.0	OG0000705.16	OG0001463.24	OG0007561.6	OG0018811.0	OG0011755.11	OG0004011.8	OG0007086.1	OG0001598.16	OG0004180.46	OG0003834.8	OG0016401.1	OG0000232.19	OG0006283.0	OG0002597.0	OG0011134.8	OG0002031.0	OG0000042.23	OG0005282.0	OG0029018.0	OG0000151.0	OG0002352.25	OG0000014.1	OG0005290.0	OG0001831.0	OG0027783.0	OG0000059.133	OG0000605.0	OG0002336.0	OG0003923.0	OG0043410.0	OG0015129.0	OG0006880.13	OG0005227.24	OG0043861.0	OG0025893.0	OG0001267.24	OG0000186.266	OG0001737.0	OG0002181.0	OG0000305.0	OG0000338.41	OG0012902.0	OG0011321.2	OG0016067.1	OG0012102.0	OG0002493.6	OG0001329.24	OG0012172.0	OG0010592.6	OG0020456.0	OG0000460.47	OG0001036.24	OG0000431.12	OG0010951.0	OG0017962.4	OG0002084.0	OG0005341.0	OG0000780.24	OG0011350.0	OG0001235.24	OG0001260.24	OG0003158.0	OG0005087.2	OG0003683.0	OG0008200.0	OG0001136.24	OG0003332.0	OG0005989.0	OG0007506.1	OG0000001.1420	OG0035652.0	OG0000214.0	OG0000180.0	OG0006365.0	OG0000451.0	OG0001143.26	OG0046034.0	OG0011633.1	OG0000287.0	OG0000647.0	OG0019704.0	OG0001401.24	OG0000407.1	OG0014746.1	OG0007702.0	OG0025974.0	OG0001649.0	OG0001060.26	OG0012911.0	OG0000336.0	OG0006459.10	OG0000553.6	OG0005565.0	OG0000528.32
nan	1.513958	5.867358	0.8731018	16.92671	nan	4.607114	2.750083	215.1128	1.314897	2.376042	nan	3.3535120000000003	nan	nan	1.553691	45.04037	nan	nan	nan	2.254695	3.42823	45.37161	214.4255	nan	nan	5.260278	nan	nan	4.526905999999999	3.8039300000000003	0.8438351999999999	1.92642	nan	11.81739	0.7806818	1.271387	nan	189.3774	2.2367630000000003	3.785505	nan	nan	8.416848	3.73095	3.361193	7.775492	nan	7.064151	2.8819529999999998	260.5705	nan	0.8968124	2.720175	0.7274406	1.496025	2.0359580000000004	4.6079550000000005	1.366277	2.8253169999999996	3.77259	nan	3.280649	nan	0.9267799000000001	2.818772	nan	2.790825	1.213957	nan	nan	0.7588509	nan	4.697013	227.6006	3.3859519999999996	nan	nan	nan	3.522649	nan	nan	28.3177	nan	2.501423	nan	nan	12.8483	1.124425	44.989129999999996	2.528164	3.3798470000000003	0.7908965	7.738764	1.231423	nan	1.295525	nan	nan	nan	1.734186	nan	254.7241	1.721334	1.6736950000000002	0.2747485	3.229275	nan	nan	8.176875	1.317339	2.1693279999999997	nan	nan	2.4177	nan	1.526511	3.798542	45.57229	0.8739645
OG0006665.0	OG0004356.0	OG0013652.3	OG0001165.26	OG0000139.0	OG0002559.0	OG0002195.1	OG0000288.62	OG0001130.24	OG0006720.0	OG0000726.25	OG0005042.6	OG0000101.90	OG0003595.1	OG0047433.0	OG0001522.0	OG0005196.0	OG0000075.0	OG0007200.0	OG0024557.0	OG0004108.36	OG0046151.0	OG0002053.0	OG0007557.2	OG0004888.1	OG0001687.23	OG0001881.0	OG0004234.0	OG0004005.1	OG0003699.6	OG0018183.2	OG0014171.0	OG0007108.26	OG0004167.25	OG0005358.0	OG0004053.58	OG0001802.4	OG0001262.36	OG0000498.0	OG0001539.22	OG0006903.2	OG0003976.0	OG0000044.1	OG0010092.0	OG0037957.0	OG0000042.23	OG0024558.0	OG0000603.1	OG0001242.28	OG0007131.0	OG0000683.0	OG0016892.2	OG0003293.4	OG0000302.34	OG0000525.2	OG0001885.0	OG0009263.0	OG0001918.20	OG0002987.2	OG0001608.24	OG0001090.26	OG0016466.2	OG0029220.0	OG0013563.0	OG0013008.8	OG0022367.0	OG0006509.2	OG0006332.2	OG0000404.58	OG0004559.0	OG0011704.2	OG0010741.0	OG0000185.5	OG0000204.2	OG0001009.24	OG0007742.2	OG0038652.0	OG0001174.24	OG0000403.25	OG0001830.6	OG0001573.24	OG0001774.6	OG0009249.0	OG0000741.0	OG0002117.0	OG0005537.2	OG0003076.0	OG0009899.0	OG0003635.0	OG0027701.0	OG0005087.2	OG0011345.0	OG0000760.17	OG0002577.26	OG0029017.0	OG0008482.0	OG0012527.4	OG0000001.2142	OG0024737.0	OG0005149.0	OG0000526.0	OG0000177.8	OG0000006.1	OG0000011.866	OG0012674.4	OG0009159.0	OG0001083.26	OG0003281.0	OG0004726.1	OG0005604.1	OG0024660.0	OG0006559.0	OG0000062.12	OG0002219.0	OG0000230.58	OG0001272.24	OG0011312.2	OG0016859.0	OG0000336.0	OG0000753.0
218.5627	0.9755843000000001	257.8754	nan	3.153003	14.63694	3.743576	2.503345	nan	17.075110000000002	nan	7.820233999999999	nan	12.72299	3.3677029999999997	nan	0.5708591	nan	3.020995	3.041857	2.321082	261.9456	nan	1.357768	5.417143	6.380164	nan	nan	7.122039999999999	nan	1.4998989999999999	nan	nan	214.4335	216.6966	2.050401	nan	2.3498099999999997	nan	nan	5.521274	nan	nan	1.483633	3.0619959999999997	nan	3.034461	nan	nan	1.114162	nan	3.3767480000000005	44.99615	nan	5.132035	nan	3.387536	2.095516	0.3102756	0.7927951	nan	0.8473209	2.789543	4.750217	nan	3.337554	5.320744	2.659964	nan	8.706216	3.760543	4.57052	1.468887	nan	nan	1.397553	3.424054	nan	nan	nan	nan	2.432641	1.091225	nan	4.493335	nan	45.05491	1.101588	2.13646	1.970073	1.124425	2.2629490000000003	5.440787	2.024321	3.738057	2.101414	3.766236	3.7512730000000003	3.5115279999999998	67.00737	1.425082	5.586796	nan	nan	4.148816	214.9691	nan	26.85091	2.399613	1.122369	1.9582240000000002	220.4577	nan	12.32054	nan	nan	nan	2.111072	nan	nan
OG0028987.0	OG0000897.0	OG0003413.0	OG0006186.0	OG0003219.0	OG0000910.22	OG0019469.0	OG0000866.3	OG0011986.10	OG0006349.2	OG0000209.146	OG0000859.24	OG0023936.0	OG0000414.34	OG0004739.0	OG0016036.0	OG0009314.0	OG0016272.0	OG0000364.1	OG0002803.15	OG0012876.0	OG0001170.24	OG0010847.0	OG0001045.24	OG0000279.0	OG0024632.0	OG0010949.13	OG0006703.0	OG0038836.0	OG0012213.0	OG0004513.4	OG0000350.8	OG0000197.0	OG0019385.0	OG0000522.0	OG0001209.1	OG0000062.320	OG0000914.30	OG0007148.0	OG0003372.6	OG0020760.0	OG0024533.0	OG0003920.14	OG0008053.1	OG0000092.1	OG0003592.0	OG0006692.0	OG0002350.22	OG0028525.0	OG0004186.6	OG0001896.13	OG0004792.0	OG0015752.2	OG0000940.24	OG0001770.0	OG0003036.0	OG0003424.0	OG0000561.24	OG0001063.0	OG0006180.8	OG0003675.0	OG0001380.24	OG0015196.0	OG0000035.64	OG0000009.802	OG0001404.24	OG0002095.0	OG0011153.0	OG0013862.2	OG0002133.0	OG0005442.4	OG0001497.24	OG0017923.3	OG0001766.6	OG0011223.2	OG0000175.197	OG0003260.63	OG0000631.0	OG0041898.0	OG0000290.0	OG0005012.2	OG0004251.2	OG0000431.12	OG0010004.2	OG0010526.2	OG0002478.0	OG0001253.24	OG0000188.1	OG0003777.2	OG0003299.0	OG0004770.1	OG0014667.0	OG0012123.0	OG0024706.0	OG0004258.0	OG0005327.0	OG0012459.6	OG0002333.0	OG0008095.2	OG0000727.24	OG0000411.0	OG0000159.8	OG0000276.72	OG0000175.4	OG0001828.65	OG0000778.0	OG0003177.0	OG0001406.24	OG0015952.0	OG0010743.6	OG0001984.118	OG0002612.0	OG0000011.1	OG0006294.10	OG0000012.581	OG0000183.0	OG0021470.0	OG0006627.0	OG0010757.0	OG0006834.2
3.7922830000000003	nan	45.78627	155.7957	26.15213	nan	2.0800110000000003	4.8433209999999995	1.273881	4.5670980000000005	nan	5.184698	3.309855	3.785311	93.61041999999999	1.3954229999999999	214.9765	1.344568	nan	1.4548020000000002	1.194028	nan	5.3349779999999996	nan	nan	3.09744	3.075283	nan	3.358068	1.0090700000000001	222.6159	1.404703	2.007182	2.042521	nan	nan	217.1697	nan	2.474816	1.223658	2.215689	2.9800400000000002	1.6921169999999999	20.037129999999998	nan	46.220040000000004	nan	44.76876	2.732055	117.8359	3.766006	nan	nan	nan	nan	184.6604	3.149033	nan	nan	4.555956	20.69762	nan	2.380652	nan	1.273113	nan	nan	1.9807860000000002	3.531893	nan	10.06658	nan	1.6964540000000001	nan	1.8772970000000002	nan	3.750371	26.24377	3.275518	nan	1.329742	1.836393	nan	3.249861	0.7694839	3.0979240000000003	nan	nan	5.540936	46.05082	20.31395	8.049987	2.67782	1.2444899999999999	1.403181	45.67322	3.7154480000000003	5.585527	5.07603	nan	nan	3.374456	nan	nan	0.5531833	nan	4.674622	nan	1.7345409999999999	1.592049	1.496917	11.67566	nan	218.8954	1.938866	nan	3.398925	212.8563	4.615461	0.9074985999999999
OG0002591.2	OG0002187.7	OG0005644.0	OG0003422.0	OG0020001.0	OG0003460.0	OG0002961.20	OG0000027.457	OG0002697.0	OG0006349.2	OG0013506.0	OG0000173.0	OG0013510.0	OG0000859.24	OG0002447.0	OG0006003.0	OG0000575.28	OG0024724.0	OG0000919.32	OG0000088.3	OG0002340.0	OG0000121.128	OG0003525.5	OG0002145.0	OG0000415.0	OG0008965.0	OG0000364.1	OG0007440.0	OG0017905.0	OG0000739.15	OG0009031.0	OG0007548.0	OG0004422.0	OG0011202.1	OG0001847.4	OG0003252.0	OG0010498.1	OG0001265.24	OG0006356.1	OG0011763.0	OG0003071.0	OG0000196.0	OG0024513.0	OG0008252.2	OG0000568.0	OG0001878.2	OG0001068.1	OG0011296.2	OG0000452.0	OG0001438.24	OG0010044.0	OG0000062.320	OG0000893.3	OG0007043.6	OG0000100.1	OG0056579.0	OG0002733.0	OG0000495.53	OG0025171.0	OG0013534.2	OG0006275.0	OG0018989.0	OG0004906.0	OG0000059.133	OG0000261.0	OG0022476.0	OG0001561.0	OG0000581.0	OG0046576.0	OG0025090.0	OG0002158.0	OG0003194.15	OG0000419.108	OG0000198.0	OG0002656.2	OG0020054.0	OG0018991.0	OG0006696.0	OG0001853.0	OG0003587.16	OG0001647.0	OG0002670.1	OG0002914.0	OG0007522.1	OG0006642.0	OG0005820.0	OG0029130.0	OG0002172.0	OG0014416.5	OG0001495.2	OG0000431.12	OG0019380.0	OG0001148.24	OG0001179.24	OG0004125.0	OG0002084.0	OG0014766.3	OG0002911.0	OG0028446.0	OG0012200.0	OG0025899.0	OG0000359.28	OG0018193.2	OG0000497.40	OG0003288.0	OG0003926.2	OG0008294.0	OG0000092.236	OG0000214.0	OG0021964.0	OG0000159.8	OG0002572.0	OG0001514.22	OG0000983.28	OG0027462.0	OG0053998.0	OG0009133.1	OG0000160.224	OG0002824.0	OG0005590.0
