OG0007639.25	OG0005056.1	OG0008342.0	OG0000264.1	OG0019212.0	OG0000834.30	OG0006158.4	OG0000751.0	OG0016785.2	OG0014302.8	OG0014817.2	OG0001607.2	OG0000213.256	OG0000236.122	OG0004314.0	OG0001844.24	OG0006225.0	OG0029060.0	OG0000456.0	OG0053812.0	OG0013218.3	OG0005400.0	OG0011985.2	OG0008341.0	OG0004205.0	OG0007639.5	OG0000236.19	OG0020019.0	OG0000119.0	OG0005741.0	OG0008335.19	OG0003991.2	OG0007127.0	OG0000324.0	OG0002309.26	OG0009857.2	OG0002590.0	OG0000236.1	OG0003860.1	OG0000320.0	OG0002488.24	OG0002988.0	OG0000206.0	OG0004226.0	OG0000098.0	OG0005266.0	OG0006752.0	OG0044466.0	OG0005996.10	OG0000833.0	OG0012896.0	OG0012897.4	OG0000920.27	OG0000318.0	OG0003342.16	OG0007845.0	OG0000551.2	OG0015105.0	OG0005326.0	OG0001764.0	OG0000834.15	OG0004135.0	OG0014065.0	OG0000213.17	OG0029057.0
nan	-2.0991235338421013	-1.8711787193498661	-2.5708929182195006	-2.7427479467602125	-2.2997378552532965	-2.0279691158586677	-2.5743258646124194	-1.8411459704833824	nan	-1.0315036910220627	-2.7641504234924366	-2.819088336631431	-1.712173132714919	-2.359934417467107	-2.7973628738101626	-0.4835813583661318	nan	-2.8847003559744526	nan	nan	-2.009262921328968	-1.3961185171157922	-1.3729535406075914	-2.1913266450967983	-2.3090019204430923	nan	-1.810460055611497	-2.414268267034073	-2.386091221203337	nan	-3.0180012584066676	-2.595968860378175	-2.038598926835721	-2.4035418604410146	-2.701341684435485	-2.3978282092466205	-3.0516981876493645	-1.340440727089101	-2.3072157433659903	-2.1798414652698357	-1.6553987169633229	-1.6355396260397388	-2.4876213919244545	-1.814513995871922	-2.7968615028091515	-1.3751972347470527	nan	-2.5063526660247897	-2.87514253274424	-2.3140150132440978	-2.687799537362322	-2.5868392244091862	-2.677610316549785	-2.151362038095294	-1.9222101113563324	-2.3378856687903387	-0.24922201114650813	-2.8395960741399864	-3.1726687293877394	-1.6357637688260032	-2.783886641553699	0.40718957187910976	-1.7254699553283768	nan
OG0013073.2	OG0001039.1	OG0000512.25	OG0013724.0	OG0006295.0	OG0007289.0	OG0035578.0	OG0000328.0	OG0001161.24	OG0004843.6	OG0002867.1	OG0001567.1	OG0006462.0	OG0016290.2	OG0015537.0	OG0002437.4	OG0002390.42	OG0007523.4	OG0004923.0	OG0006694.0	OG0010698.0	OG0015720.2	OG0018083.0	OG0007107.0	OG0000466.0	OG0003620.0	OG0022346.0	OG0000327.54	OG0016802.2	OG0015673.5	OG0000448.1	OG0000420.0	OG0000133.60	OG0003513.0	OG0003531.0	OG0011471.4	OG0011884.0	OG0010877.4	OG0020198.0	OG0004708.0	OG0005041.0	OG0048963.0	OG0002592.3	OG0003924.0	OG0003546.0	OG0004438.0	OG0000749.2	OG0003713.0	OG0020618.0	OG0006677.0	OG0001442.1	OG0016863.2	OG0002321.0	OG0004537.8	OG0019029.0	OG0002881.24	OG0008313.24	OG0003642.0	OG0000225.48	OG0029077.0	OG0027522.0	OG0001215.24	OG0003652.0	OG0003749.1	OG0000127.0
nan	-2.107181572204967	-2.054392296818628	-2.76219157045438	-2.3883554566263383	-2.252225928257295	nan	-1.8833690879636935	-2.392137097168765	-3.105938940740642	-2.8180705623099334	-3.364533480055605	-1.6702449142552531	-3.451346370832777	nan	-2.268121651191569	-1.6357637688260032	-2.9862161845669006	-2.055291452373373	-1.8016315768974807	-2.158751428693752	-2.9105018491608976	-1.7656213106623855	-2.8257214289638783	-1.6533550784114732	-2.051399152506644	-1.8598757760909297	-2.373327247394007	-2.8772610280454547	nan	-2.3269863847103918	-1.712645914970793	-1.7292916662807851	-2.8049044228227817	-1.6095524220066895	-3.15200309344505	-2.9170249727422317	-2.2229696147991937	nan	-2.6901253399632337	-1.6371093573341398	nan	-1.501851273789849	-2.253601233452857	-2.61705613043101	-3.067334051854221	-2.240588467435424	-1.6449837357804502	-2.55979192498625	-1.6608626150804147	-2.4595758953553424	-2.8206163456437023	-2.684086034563258	-1.9649392030948858	nan	-2.471528698117108	-3.7594536367910374	-1.7504939790108534	-1.5307391533840016	nan	-1.4215925862463799	-1.9105018491608974	-1.312760106015397	-1.4607667291339643	-1.4623560380701153
OG0011172.0	OG0022617.0	OG0002960.16	OG0006978.0	OG0018116.4	OG0006804.0	OG0008355.0	OG0003036.0	OG0009072.0	OG0000658.0	OG0008108.0	OG0000188.1	OG0000078.263	OG0002999.0	OG0014632.1	OG0004251.2	OG0000177.191	OG0020582.0	OG0001900.0	OG0000085.0	OG0004228.1	OG0022253.0	OG0004557.0	OG0000042.314	OG0012413.8	OG0005489.4	OG0006724.0	OG0012212.6	OG0000075.0	OG0002034.0	OG0007446.0	OG0000483.0	OG0001055.24	OG0001647.0	OG0003100.0	OG0001500.24	OG0012759.0	OG0014677.4	OG0012940.3	OG0002872.0	OG0016105.0	OG0019362.0	OG0000583.0	OG0004136.2	OG0007950.0	OG0011720.2	OG0005908.0	OG0005011.0	OG0000915.28	OG0002524.0	OG0008245.0	OG0003848.6	OG0007027.0	OG0021239.0	OG0008867.1	OG0005704.4	OG0045700.0	OG0000728.24	OG0003709.2	OG0001617.1	OG0015927.4	OG0044386.0	OG0015234.2	OG0003821.20	OG0015760.0
-2.450478679210362	nan	-2.40621599473934	-2.0005771934627457	-2.077041035763828	-2.0344557997682955	-2.8385637341740133	-2.355497627581064	-2.4477213090095638	-2.0493076402243706	-1.2199419221016254	-1.855170479161191	-2.729291666280785	-2.2310746644362487	-4.803896602285192	-2.5311560570253624	-1.0779544229680562	nan	-1.5771211610426934	-1.6817699399240815	-2.441438468199543	-3.747003116878018	-1.7379277116015897	-1.7195187256993765	-2.4104282460262545	-1.6447581560691176	-1.6868702651621483	-2.3781942652528345	-1.5942254220501242	-2.5640514351394663	-1.4487054792100118	-2.055891200892045	-3.306145097646435	-1.8300749985576876	-2.1171613442327493	-2.162944843726976	-0.7933567760166047	-1.2799842649171953	-1.5370053933245014	-1.2164176260596289	-1.342268543171538	-0.4179257786036705	-1.0437946238061253	-1.2065618582775808	-1.718094076102808	-0.6594946993260151	-2.110915901401851	-2.346664773208869	-2.478346171733372	-2.0185857004000316	-2.2646511298141148	-1.572608370313282	-2.339710248571779	-2.152644433771633	-2.8282807609121523	-3.022097333064992	nan	-1.4406550334581139	-2.187378560422908	-2.49817873457909	-2.561494220217251	nan	nan	-2.6864058534276087	-1.380821783940931
OG0007556.0	OG0004174.0	OG0045633.0	OG0005127.2	OG0009112.0	OG0000407.1	OG0001021.49	OG0011198.6	OG0000081.256	OG0016995.2	OG0011719.2	OG0013286.2	OG0010791.5	OG0017764.3	OG0005491.2	OG0002441.0	OG0024480.0	OG0000568.0	OG0018050.0	OG0001900.0	OG0000232.8	OG0010500.6	OG0007623.8	OG0000698.19	OG0005525.30	OG0000661.3	OG0004566.0	OG0002873.0	OG0014663.1	OG0000575.28	OG0024978.0	OG0000929.1	OG0000223.2	OG0000001.2546	OG0006582.0	OG0003307.20	OG0013081.0	OG0001428.1	OG0003587.16	OG0011737.0	OG0013439.2	OG0004351.0	OG0004338.2	OG0002763.0	OG0003247.1	OG0005894.10	OG0007658.2	OG0000376.174	OG0000749.2	OG0000741.0	OG0007292.0	OG0022186.0	OG0024591.0	OG0010759.0	OG0011200.0	OG0025093.0	OG0005949.0	OG0001089.2	OG0002130.0	OG0015365.0	OG0000007.585	OG0000286.32	OG0008677.1	OG0007117.0	OG0008127.0
-2.1256358091751366	-2.5162229100488513	nan	-3.0709665213541433	-2.736965594166206	-2.039784866105864	-2.359934417467107	-3.0619024389259066	-1.796360305986015	-2.633076351021482	-3.590744853315162	-3.726615405996639	-1.8719706112593588	-1.6910567118747863	-1.7898605425983316	-2.441438468199543	-3.548438067391804	-1.6601784950766576	-2.0279691158586677	-1.5771211610426934	-3.3586019472232773	-3.2474226585237327	-2.2646511298141148	-2.3718330007136763	nan	-1.9183876771421102	-1.947305888696155	-1.9478623766648246	-2.7312063248775216	-1.9850734557618972	nan	-2.5855396941839017	-1.6095524220066895	-1.5454029434654504	-2.013916780335185	-2.2848973639423953	-1.273343137314313	-2.3883554566263383	-1.5247075499634715	-1.7675848292245981	-2.589007712779105	-1.615287037577954	-2.2926519125167304	-2.0929555251272016	-2.3857141938809536	-2.385337265063424	-2.1903386105592273	-1.8996950942043145	-2.240588467435424	-2.6506347224057865	-1.453636426114565	-3.2905328986118283	-2.9367731980030185	-1.490456162039664	-1.97171375692089	-2.3628998759436683	-2.3140150132440978	-1.8195974931713508	-2.16747450220749	-3.141780233728934	-1.347215245091244	-2.0782590139204995	-1.905088352974533	-2.09974178756525	-2.942307132831654
OG0007162.4	OG0008133.2	OG0001711.10	OG0008305.20	OG0002369.0	OG0007033.0	OG0003762.0	OG0000777.0	OG0007888.4	OG0001061.24	OG0000291.0	OG0009803.0	OG0012177.2	OG0010734.0	OG0005636.2	OG0007826.10	OG0001415.1	OG0003087.0	OG0000085.0	OG0000378.2	OG0000522.0	OG0004341.2	OG0015628.2	OG0000362.42	OG0015209.2	OG0007107.0	OG0005682.0	OG0000246.0	OG0023141.0	OG0003933.8	OG0000662.1	OG0008691.0	OG0010696.0	OG0005469.6	OG0003740.0	OG0000947.24	OG0021189.0	OG0004730.4	OG0008278.4	OG0018079.3	OG0004154.1	OG0003383.0	OG0024706.0	OG0005986.4	OG0019957.0	OG0027805.0	OG0000026.621	OG0019383.0	OG0056683.0	OG0025018.0	OG0020256.0	OG0000359.28	OG0001748.1	OG0007960.0	OG0009920.0	OG0017954.0	OG0003635.0	OG0000026.628	OG0007258.2	OG0012972.9	OG0007948.0	OG0017886.0	OG0000276.72	OG0001802.4	OG0000015.773
-2.6497290757715963	-2.9175699000540507	-2.16682653676166	nan	-1.6762264363085275	-1.8406291533397972	-1.8140066299300341	-1.7848805754827048	-2.5977144081300043	-2.561494220217251	-1.770535126859908	-2.889503118082598	-2.8155292633599083	-2.625489074231609	-1.482371551133065	-2.4453620361356414	-1.8666995237702235	-2.6533550784114737	-1.6817699399240815	-2.1351106355302503	-1.907521912799615	-2.521183470950585	nan	-1.2351443287452957	-3.962182047981891	-2.8257214289638783	-2.1456053222468996	-1.7636604608316264	-2.4973638827975355	-2.209227962138	-2.3025820060825506	-2.7848805754827053	-2.8458056750072105	-3.157141816744023	-1.545824106814198	-2.0688464694797744	-1.1034568841441008	-2.4973638827975355	-3.1713684183119812	-2.23990682554186	-2.545824106814198	-1.7590140959752614	-2.1616532634787693	-2.0124608360791227	nan	nan	-3.98051157040864	-2.357714316940423	nan	nan	-2.3408061050930518	-1.63464340296952	-1.9833610578862109	-1.4293427796947094	-1.1746213961070686	-2.3161688255986776	-2.648371670897218	-1.9029286294560968	-1.8530841519127248	-2.196938324908699	-2.151041617207605	-3.4456763830245394	-2.1584293626044833	-2.1335271702841525	-0.9905094970525475
OG0008213.6	OG0005681.2	OG0003402.0	OG0009966.4	OG0011517.2	OG0004182.0	OG0001021.49	OG0000842.0	OG0000081.256	OG0006323.0	OG0007425.0	OG0011499.1	OG0000026.780	OG0004232.0	OG0028998.0	OG0002170.0	OG0001861.0	OG0001893.0	OG0041639.0	OG0007829.0	OG0005283.0	OG0010028.8	OG0005242.14	OG0010154.0	OG0006556.0	OG0000005.297	OG0000661.3	OG0000120.105	OG0002752.1	OG0017936.0	OG0017833.2	OG0018117.2	OG0000001.2546	OG0000431.12	OG0000837.0	OG0022086.0	OG0007347.0	OG0000498.0	OG0010812.8	OG0000631.0	OG0024490.0	OG0001175.1	OG0025087.0	OG0011706.0	OG0016673.6	OG0002592.3	OG0003980.9	OG0002720.27	OG0004145.0	OG0000716.2	OG0025001.0	OG0000071.0	OG0015092.0	OG0006008.0	OG0019403.0	OG0001259.24	OG0034898.0	OG0003533.1	OG0005360.0	OG0001144.24	OG0011470.0	OG0012207.4	OG0006676.0	OG0015684.5	OG0004901.9
