OG0000692.0	OG0022826.0	OG0001967.0	OG0012896.0	OG0004710.2	OG0012915.3	OG0001643.24	OG0016785.2	OG0004464.0	OG0004338.2	OG0002252.0	OG0000038.0	OG0004835.2	OG0000177.8	OG0001698.26	OG0012926.0	OG0000606.2	OG0004324.0	OG0006804.0	OG0000027.1	OG0000107.44	OG0004617.12	OG0000471.2	OG0001566.2	OG0022825.0	OG0000027.457	OG0000019.257	OG0009883.5	OG0000835.7	OG0002346.16	OG0006400.2
21.4313	1.449231	1.0890799999999998	1.1306889999999998	0.15399549999999998	2.979813	nan	2.935956	nan	nan	nan	nan	9.605725	5.586796	nan	2.960436	nan	3.186394	0.4374031	nan	0.8220155	100.1257	nan	nan	1.445711	nan	nan	2.195914	0.9340764000000001	1.538705	0.6155170999999999
OG0038719.0	OG0001779.0	OG0053776.0	OG0011182.2	OG0009126.0	OG0011318.4	OG0048065.0	OG0029069.0	OG0018746.5	OG0010101.0	OG0014083.1	OG0016858.0	OG0041901.0	OG0006849.0	OG0006580.0	OG0044110.0	OG0047583.0	OG0007576.0	OG0000178.8	OG0045093.0	OG0023638.0	OG0002907.5	OG0045520.0	OG0010074.0	OG0028089.0	OG0001402.24	OG0016173.4	OG0022188.0	OG0015681.0	OG0000446.108	OG0046974.0
3.3672169999999997	0.15897920000000001	2.6131580000000003	1.622085	2.224765	1.6263969999999999	3.7114540000000003	3.7614769999999997	1.525569	1.346325	3.3278519999999996	nan	3.263249	1.2647	217.8634	2.650166	3.355018	5.305842	0.3179261	260.7309	3.2717259999999997	9.995633	258.6494	1.579383	3.792842	nan	6.388466	1.481347	1.7893599999999998	3.7240589999999996	265.9608
OG0054015.0	OG0003869.12	OG0044732.0	OG0012941.2	OG0008276.6	OG0000096.194	OG0004382.22	OG0046414.0	OG0037898.0	OG0004885.6	OG0006366.0	OG0018942.4	OG0019956.0	OG0049002.0	OG0004504.4	OG0026588.0	OG0018953.6	OG0021940.0	OG0046003.0	OG0005692.2	OG0045452.0	OG0019163.0	OG0045345.0	OG0018040.6	OG0022056.0	OG0025658.0	OG0001590.23	OG0048153.0	OG0048887.0	OG0020553.0	OG0017744.4
2.363495	115.9501	1.853707	1.939817	5.67516	11.164719999999999	2.887354	258.3686	3.070305	20.20071	2.8511729999999997	nan	3.7675099999999997	2.364232	0.9984499	nan	1.483291	1.8773849999999999	263.7282	5.607438	264.3788	1.445965	265.1927	2.227468	2.343452	3.7528620000000004	2.8361560000000003	3.804994	2.377493	3.124475	2.719861
OG0056659.0	OG0045253.0	OG0004252.0	OG0004177.4	OG0038613.0	OG0012985.0	OG0007406.0	OG0004945.0	OG0016261.0	OG0037863.0	OG0045362.0	OG0011952.0	OG0011225.0	OG0020238.0	OG0004024.2	OG0027505.0	OG0014537.0	OG0012070.2	OG0044418.0	OG0005558.1	OG0044957.0	OG0008126.4	OG0026276.0	OG0021277.0	OG0017984.1	OG0038653.0	OG0007192.0	OG0046223.0	OG0010145.0	OG0041885.0	OG0016868.0
2.721493	263.4863	nan	118.912	3.412092	nan	2.0709869999999997	1.0136379999999998	2.741953	3.05817	260.0403	2.035591	1.742059	2.626034	nan	nan	0.9129134	227.1345	1.4660440000000001	218.0283	1.870814	3.031216	3.409333	1.6205209999999999	6.3319019999999995	3.376037	2.0014830000000003	258.4735	3.4586379999999997	3.251086	1.483477
OG0000089.390	OG0000348.4	OG0002604.2	OG0041714.0	OG0009994.20	OG0002301.1	OG0043642.0	OG0008928.8	OG0022233.0	OG0011910.0	OG0011345.0	OG0043533.0	OG0041554.0	OG0053919.0	OG0045255.0	OG0056902.0	OG0005936.0	OG0007212.0	OG0046592.0	OG0034318.0	OG0001030.26	OG0056793.0	OG0006663.0	OG0017766.5	OG0057148.0	OG0006196.0	OG0000864.26	OG0007822.0	OG0056663.0	OG0024670.0	OG0017841.6
2.861422	1.3466040000000001	0.5370611	3.2936330000000003	2.746701	40.49138	1.4888700000000001	2.510031	3.428793	0.9715872	2.2629490000000003	1.466932	nan	2.43672	257.9704	nan	2.1852650000000002	2.7845310000000003	257.1586	1.3010030000000001	nan	2.540315	215.3369	2.588724	1.513472	27.10554	nan	10.91375	2.316284	1.4492049999999999	2.2344049999999998
OG0041647.0	OG0005639.0	OG0028126.0	OG0000017.1174	OG0018804.2	OG0041919.0	OG0027837.0	OG0053775.0	OG0048059.0	OG0010877.4	OG0003809.0	OG0001873.22	OG0006865.6	OG0034581.0	OG0056991.0	OG0022775.0	OG0004133.0	OG0010866.17	OG0020395.0	OG0017756.6	OG0013066.8	OG0034798.0	OG0024810.0	OG0023466.0	OG0000634.26	OG0001756.0	OG0001618.1	OG0004864.0	OG0003351.0	OG0012771.2	OG0014062.0
