OG0002252.0	OG0022826.0	OG0000606.2	OG0006400.2	OG0004324.0	OG0000019.257	OG0001967.0	OG0006804.0	OG0002346.16	OG0000835.7	OG0000177.8
nan	nan	-3.129102691334971	-3.5616645602659625	nan	-1.483581358366132	-2.4872168790826374	nan	-2.357714316940423	-2.8943219221054632	-2.29689930039584
OG0044334.0	OG0010586.2	OG0000629.1	OG0028073.0	OG0022890.0	OG0038662.0	OG0047539.0	OG0022782.0	OG0011077.1	OG0015546.3	OG0006718.7
nan	nan	-1.3695945285176767	nan	nan	nan	nan	nan	nan	nan	nan
OG0000008.1	OG0002100.0	OG0003138.0	OG0013583.0	OG0049159.0	OG0046415.0	OG0000894.25	OG0013017.9	OG0011933.0	OG0024685.0	OG0013182.2
-1.0935711406863138	nan	nan	-2.941198646383814	nan	nan	nan	nan	nan	nan	nan
OG0057016.0	OG0016768.5	OG0009897.1	OG0000015.1	OG0047017.0	OG0008348.0	OG0000051.490	OG0056740.0	OG0004260.3	OG0027786.0	OG0046622.0
nan	nan	nan	-0.9829332758101667	nan	nan	nan	nan	-1.3879778371919382	nan	nan
OG0012777.0	OG0009928.2	OG0020540.0	OG0004907.8	OG0002233.0	OG0024292.0	OG0005591.5	OG0014692.1	OG0048836.0	OG0027043.0	OG0000426.114
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
OG0056994.0	OG0004857.5	OG0034922.0	OG0027532.0	OG0005805.2	OG0047561.0	OG0025860.0	OG0047113.0	OG0000759.38	OG0012064.0	OG0018900.3
nan	nan	nan	nan	nan	nan	nan	nan	nan	-2.2515387669959646	nan
OG0006365.0	OG0041869.0	OG0022275.0	OG0013569.4	OG0019315.0	OG0045380.0	OG0007125.8	OG0000698.19	OG0023094.0	OG0007387.6	OG0034832.0
-0.13297336778845803	nan	nan	-1.6661183405319098	nan	nan	nan	nan	nan	nan	nan
OG0045687.0	OG0000988.1	OG0018406.0	OG0019024.4	OG0048796.0	OG0038795.0	OG0044796.0	OG0019849.0	OG0006853.0	OG0024731.0	OG0024669.0
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
OG0028454.0	OG0037975.0	OG0006049.4	OG0020395.0	OG0007639.5	OG0025358.0	OG0012626.1	OG0000881.3	OG0002407.0	OG0001739.127	OG0006707.0
nan	nan	nan	nan	nan	nan	nan	-2.5178745359200096	-1.5030775339919287	nan	nan
OG0034297.0	OG0026289.0	OG0047302.0	OG0011162.10	OG0038828.0	OG0013979.0	OG0017065.5	OG0004808.0	OG0057131.0	OG0011350.0	OG0015532.4
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
OG0006508.0	OG0034289.0	OG0019513.0	OG0004458.0	OG0004594.1	OG0027039.0	OG0046154.0	OG0001112.46	OG0015626.4	OG0016896.2	OG0047477.0
nan	nan	nan	nan	nan	nan	nan	-1.7006381023484414	-2.4763376860395074	nan	nan
OG0003927.3	OG0027454.0	OG0041662.0	OG0027734.0	OG0043422.0	OG0057540.0	OG0005800.0	OG0012876.0	OG0011951.0	OG0060504.0	OG0014010.0
-3.0197552951466102	nan	nan	nan	nan	nan	-2.1772290697332237	nan	nan	nan	nan
OG0018987.0	OG0043359.0	OG0046059.0	OG0000349.0	OG0034235.0	OG0046243.0	OG0016305.2	OG0001996.0	OG0003168.0	OG0004871.0	OG0003296.0
nan	nan	nan	-2.168122758808327	nan	nan	nan	nan	nan	nan	nan
OG0001623.1	OG0043659.0	OG0002592.3	OG0006414.0	OG0007022.0	OG0010577.0	OG0000928.30	OG0029343.0	OG0022783.0	OG0023039.0	OG0034699.0
nan	nan	-1.3817613444045453	nan	nan	nan	nan	nan	nan	nan	nan
OG0006005.0	OG0046356.0	OG0010802.0	OG0011934.2	OG0034865.0	OG0029250.0	OG0001343.24	OG0028196.0	OG0000171.0	OG0005144.1	OG0014614.0
nan	nan	nan	nan	nan	nan	nan	nan	-2.0098438333726087	nan	nan
OG0019820.0	OG0023180.0	OG0038702.0	OG0023564.0	OG0003379.4	OG0003455.2	OG0056675.0	OG0009822.0	OG0029244.0	OG0007559.0	OG0014765.4
nan	nan	nan	nan	-2.6241542753321765	nan	nan	nan	nan	nan	nan
