OG0012915.3	OG0000835.7	OG0000019.257	OG0000027.1	OG0000177.8	OG0004464.0	OG0002346.16	OG0004338.2	OG0000606.2	OG0000692.0	OG0004835.2	OG0004617.12	OG0001967.0	OG0004324.0	OG0002252.0	OG0022826.0	OG0006400.2	OG0000038.0	OG0009883.5	OG0006804.0	OG0000107.44
3.008715	1.015206	1.157585	nan	nan	4.647137	1.678453	2.10256	0.8135521	1.869573	9.56423	102.6965	0.5640989000000001	3.189307	nan	1.439683	1.236635	1.9685840000000001	2.176515	1.060669	0.2686815
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
3.481258	70.18508	7.376416000000001	10.89047	0.6866883	4.342931	264.8078	0.43403	nan	2.4606	9.768542	3.739518	3.70675	216.8932	2.431	nan	1.6677240000000002	1.4030209999999999	5.067591999999999	2.6013669999999998	3.214203
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
4.3969309999999995	2.0423400000000003	nan	2.659881	10.89047	221.8774	10.67521	nan	nan	nan	1.231989	nan	3.764414	11.12375	6.885389999999999	257.5759	192.1845	0.7283175000000001	nan	nan	3.0260740000000004
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
1.1706809999999999	25.74877	2.755978	4.59514	1.368873	7.412988	3.721435	4.378016000000001	nan	nan	216.3939	253.6962	nan	5.423929	6.324539	0.41563140000000004	3.035193	2.009627	nan	0.7896392	6.252642
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
1.9303869999999999	3.476061	2.647353	5.547721	4.59514	145.4403	3.11288	21.53429	0.7331578000000001	0.4511129	2.6529540000000003	nan	5.873781	0.9108386999999999	257.2018	1.161685	1.340323	nan	2.820135	0.5867973000000001	nan
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
