OG0011318.4	OG0000750.0	OG0015415.0	OG0008015.25	OG0015416.2	OG0001778.24	OG0000065.1	OG0000065.40	OG0013106.2	OG0001699.1	OG0020502.0	OG0001016.1	OG0001842.34	OG0001698.26	OG0002651.6	OG0001567.1	OG0001309.24	OG0014063.4	OG0000749.2	OG0008099.0	OG0001843.5	OG0001566.2	OG0001824.24	OG0006297.0	OG0001964.1	OG0002101.0	OG0000711.2	OG0000441.96	OG0002012.0	OG0014068.0	OG0000310.18	OG0005575.28	OG0000869.2	OG0001602.32	OG0001711.10	OG0003151.14	OG0001823.24	OG0001907.32	OG0002178.2	OG0011319.4	OG0000441.1	OG0000471.2	OG0000740.26	OG0000606.2	OG0013273.0	OG0003001.0	OG0000646.28	OG0005567.0	OG0002348.56	OG0001579.36	OG0001741.1	OG0002787.0	OG0028281.0	OG0000038.0	OG0001643.24
-0.40598301649357743	0.6612062542641206	-13.287712379549449	nan	-3.275114157080866	0.24112140489684192	nan	1.8188668823091523	nan	-0.7124423598948861	2.0479131263403865	-0.7757798480286758	0.21941908014489597	-0.48242311792037795	0.3106096505403069	-0.8618163367911472	0.3180555112856485	-1.1067903923754705	0.6960006209538083	2.0776815374034694	1.0474810177103138	0.5979055890573353	-0.2962932362793678	0.642176788353265	0.4542770991057501	0.41855354017508173	0.4340571477562879	-0.5727254127502814	-0.6813434948078769	-0.39463544457933014	1.1697913907077246	-0.6431226676320512	-0.5600460737743269	0.1888709079569439	0.40752705515594106	1.2916562519215704	-0.08519813468265601	0.36047243875961443	-0.33168268056816924	0.9348322285482507	-0.5723053512585266	-0.4219138979696112	-0.7346831150482035	0.5143631591319802	1.7782750421580191	0.22885401610173564	-1.8909081989065304	0.8811363307482183	0.9499464532714113	0.19116511498209737	-0.680268944779874	1.5035881392871318	nan	1.194228300642796	-1.1462318953681279
OG0028236.0	OG0003819.2	OG0025907.0	OG0045769.0	OG0018879.5	OG0056907.0	OG0014783.4	OG0027534.0	OG0006939.0	OG0022586.0	OG0038762.0	OG0005507.10	OG0028248.0	OG0018613.3	OG0015514.3	OG0018088.4	OG0003133.0	OG0012207.4	OG0005627.0	OG0016437.3	OG0006862.8	OG0004426.0	OG0060344.0	OG0010505.0	OG0046263.0	OG0009017.0	OG0038795.0	OG0005199.18	OG0015242.6	OG0010703.0	OG0046249.0	OG0001937.2	OG0000001.969	OG0012353.4	OG0044897.0	OG0019508.0	OG0022230.0	OG0005150.0	OG0019680.0	OG0048971.0	OG0000138.166	OG0006606.0	OG0014999.6	OG0022608.0	OG0029599.0	OG0035722.0	OG0022899.0	OG0027663.0	OG0000704.0	OG0010577.0	OG0001677.2	OG0025886.0	OG0006105.0	OG0044057.0	OG0023030.0
nan	-0.7550266643107961	nan	nan	nan	nan	-0.9503662442261802	nan	1.3190598125275887	nan	nan	-0.15487710074594843	nan	nan	nan	nan	-0.5444526657603683	2.4225493319005413	0.38153913498579284	nan	-0.08423038599322019	1.572450262650791	nan	-1.087455448326645	nan	2.27865975009317	nan	-2.0842212487917995	2.5161081250789663	2.8731385318514504	nan	-1.0869725014726679	nan	0.8381478404057836	nan	nan	3.234333451618022	0.8815361938173534	nan	nan	0.30059590720955814	0.4734555427629183	nan	nan	nan	nan	nan	nan	-0.013280003143531394	0.4370394210070439	3.418257087325239	-0.46601165053184324	0.415885586290276	nan	nan
OG0041907.0	OG0046872.0	OG0053857.0	OG0014771.0	OG0047016.0	OG0045126.0	OG0005106.0	OG0012181.8	OG0034884.0	OG0004744.2	OG0012392.13	OG0014699.4	OG0010555.1	OG0000761.6	OG0000512.150	OG0000624.3	OG0016021.0	OG0001124.24	OG0057462.0	OG0000203.0	OG0013468.3	OG0027449.0	OG0047385.0	OG0041818.0	OG0004435.0	OG0000643.24	OG0046157.0	OG0011350.0	OG0013913.5	OG0022915.0	OG0003140.0	OG0007212.0	OG0021007.0	OG0010168.13	OG0008612.2	OG0035796.0	OG0002426.4	OG0002434.0	OG0047365.0	OG0017936.0	OG0008652.9	OG0011897.10	OG0025734.0	OG0046081.0	OG0047356.0	OG0020922.0	OG0018795.6	OG0010883.0	OG0014727.4	OG0014132.4	OG0048162.0	OG0003930.0	OG0014722.4	OG0012245.0	OG0024906.0
nan	nan	nan	2.9248802297669068	nan	nan	-0.7560482558427405	-0.35702765387923174	nan	1.3979274184931483	nan	2.701666310513458	nan	0.5406260910425265	1.0483775616230322	1.4467773369351455	1.3497437428866452	-0.6819022183642655	nan	0.6425274847267894	1.4602231295209063	1.621712315502133	nan	nan	0.41646046897320116	-0.7087183739587426	nan	1.5724977171814656	0.3049927896212731	nan	0.5562632450279686	-0.4030053455785509	nan	-13.287712379549449	1.7628604406890058	nan	nan	1.1080606317619515	nan	-0.2694059775782186	1.9885300173673444	-0.6573687958961765	nan	nan	nan	0.22441174596493263	nan	-1.6064269984091282	1.6957208779426105	-0.145142103954015	nan	-0.15293459249824448	2.907085216112915	0.7742466813903103	nan
OG0002885.12	OG0029115.0	OG0044657.0	OG0024481.0	OG0025858.0	OG0047582.0	OG0045654.0	OG0045721.0	OG0018059.0	OG0002010.0	OG0003257.4	OG0003545.0	OG0037979.0	OG0041843.0	OG0022912.0	OG0027041.0	OG0013467.4	OG0021303.0	OG0001177.22	OG0038760.0	OG0054034.0	OG0012977.2	OG0028105.0	OG0041589.0	OG0057417.0	OG0009110.6	OG0017974.4	OG0043610.0	OG0021965.0	OG0003871.0	OG0011264.6	OG0012306.14	OG0008219.0	OG0004819.4	OG0005260.0	OG0013227.7	OG0002441.0	OG0000514.0	OG0047378.0	OG0019883.0	OG0008694.0	OG0001072.136	OG0019580.0	OG0027649.0	OG0008761.0	OG0004420.2	OG0011440.0	OG0000673.8	OG0027871.0	OG0046491.0	OG0018929.0	OG0003471.0	OG0006880.13	OG0047351.0	OG0037683.0
1.3632146196889288	nan	nan	0.3200581886826328	0.47764339153099694	nan	nan	nan	0.1884103991475248	1.3174155382206507	1.073139823986594	1.0457536683692075	nan	nan	nan	nan	1.3476211209894242	3.201444519513334	0.033856618939558346	nan	nan	1.9274670040383068	nan	nan	nan	0.11773166155513645	nan	nan	1.7620477622079127	1.2244828786427837	2.629159351557635	nan	0.28910490509176157	1.5529360237843228	1.5289960937235432	nan	0.2842568301918479	1.9869847987582012	nan	nan	-0.2132647406705106	-0.9696664951423213	1.3425331616481397	1.1869570268390308	0.9939992790336621	0.630635092177813	0.9922148985708733	2.61517759451845	nan	nan	1.809760995148255	1.1558293867844314	-0.15417928216945262	nan	nan
OG0024750.0	OG0006637.5	OG0001931.1	OG0003106.0	OG0019969.0	OG0020722.0	OG0013648.4	OG0010967.2	OG0013639.0	OG0041806.0	OG0025127.0	OG0016148.4	OG0006142.4	OG0002108.0	OG0027532.0	OG0003055.24	OG0011204.0	OG0007916.2	OG0001497.24	OG0038630.0	OG0005463.3	OG0013170.9	OG0009212.2	OG0015003.6	OG0023946.0	OG0017784.2	OG0022918.0	OG0000759.38	OG0020423.0	OG0004606.1	OG0020495.0	OG0038798.0	OG0002704.28	OG0046190.0	OG0047393.0	OG0045064.0	OG0046044.0	OG0004556.0	OG0057022.0	OG0046710.0	OG0057420.0	OG0024365.0	OG0004073.8	OG0002928.0	OG0057253.0	OG0034257.0	OG0035863.0	OG0001439.24	OG0053881.0	OG0007519.0	OG0006255.2	OG0011433.8	OG0038814.0	OG0020537.0	OG0006713.0
nan	1.3648771785111014	0.7467544197461577	0.7720408602448334	nan	0.543569857066987	2.6245066261019385	2.573541280641856	3.7337184365898515	nan	2.3178244156143677	0.9130041306061807	2.1204597989193976	1.7261887317916442	-0.5752400947576881	1.2963124447095695	2.247455937867114	1.7183765151868138	-0.5337755125083503	nan	1.8156085739124275	nan	0.9867694859823682	-0.8473029920731512	nan	1.8892061487153562	0.8858426269387845	-1.1325200592339846	1.9628535400475735	1.0855140490780073	-0.7944222941277933	nan	-0.7826961277395932	nan	nan	nan	nan	-0.5016529645413941	nan	nan	nan	nan	0.7297619051192852	0.09239914464195736	nan	nan	nan	0.22268954208087882	nan	0.7319843109996136	-0.40670047852686964	1.7416369514264316	nan	1.9429708475445806	1.1142901469243998
OG0003851.24	OG0026501.0	OG0029079.0	OG0021325.0	OG0035832.0	OG0007919.2	OG0006317.0	OG0018484.6	OG0002201.2	OG0046204.0	OG0029261.0	OG0038115.0	OG0038124.0	OG0044043.0	OG0006989.7	OG0048997.0	OG0045211.0	OG0012965.0	OG0015234.2	OG0002344.91	OG0029129.0	OG0027750.0	OG0007598.0	OG0029095.0	OG0011666.0	OG0009245.0	OG0012930.0	OG0010946.12	OG0022582.0	OG0025909.0	OG0004545.0	OG0006247.0	OG0019022.3	OG0045013.0	OG0035721.0	OG0037946.0	OG0044146.0	OG0037880.0	OG0029177.0	OG0026315.0	OG0018780.6	OG0047174.0	OG0006146.0	OG0008607.0	OG0028284.0	OG0027719.0	OG0047603.0	OG0034541.0	OG0020783.0	OG0005164.5	OG0025502.0	OG0015349.0	OG0004967.2	OG0010706.0	OG0002272.22
