OG0001698.26	OG0012926.0	OG0000027.457	OG0001566.2	OG0001643.24
3.76834630985074	1.1797254540653153	7.0328924937553605	6.524116308090783	3.2101128903137615
OG0021387.0	OG0001139.24	OG0019386.0	OG0026570.0	OG0000681.0
2.1009704127459896	0.11500700213476313	nan	nan	1.5933573927042624
OG0010012.0	OG0002309.26	OG0000298.0	OG0012865.13	OG0002438.24
0.815357002183941	5.827379706515126	5.010504676869389	nan	1.6273731442063724
OG0025841.0	OG0013493.0	OG0005870.0	OG0027623.0	OG0012781.0
nan	-0.45256925030589096	1.7337911554521508	0.2784455516825565	1.5425019257319386
OG0037720.0	OG0002414.18	OG0014874.2	OG0015286.0	OG0029053.0
nan	nan	nan	0.4147316548518438	nan
OG0000974.123	OG0013565.5	OG0014021.0	OG0044562.0	OG0015488.1
2.0300964470361142	2.463517274652322	1.8262735814777171	nan	nan
OG0027685.0	OG0056666.0	OG0029101.0	OG0007439.0	OG0011147.18
1.3012553174464496	nan	nan	1.8146832142974032	nan
OG0009965.0	OG0038798.0	OG0025072.0	OG0019528.0	OG0044257.0
3.020468561158915	nan	nan	-0.011402074243221533	nan
OG0021358.0	OG0048152.0	OG0035822.0	OG0016666.3	OG0007959.6
2.0834203198925687	nan	nan	nan	1.7120232999103933
OG0053946.0	OG0048140.0	OG0027589.0	OG0008559.4	OG0007389.1
nan	nan	nan	0.6745816091812384	nan
OG0056788.0	OG0056650.0	OG0057281.0	OG0022287.0	OG0044932.0
nan	nan	nan	nan	nan
OG0003958.0	OG0004892.3	OG0026496.0	OG0047246.0	OG0045830.0
1.8553168103965993	1.0849018899507654	nan	nan	nan
OG0000419.1	OG0037938.0	OG0007984.6	OG0014529.2	OG0021181.0
4.275340411277792	nan	-0.045847012020508796	1.6143188378619815	nan
OG0045543.0	OG0010017.0	OG0016246.7	OG0057118.0	OG0014804.6
nan	2.209157140671687	nan	nan	0.707370733172052
OG0044126.0	OG0047612.0	OG0011528.12	OG0001032.24	OG0000246.0
nan	nan	nan	0.9415207151399653	5.033241909050571
OG0000895.1	OG0011911.0	OG0044129.0	OG0015612.4	OG0013109.0
1.5231235571108401	2.7489785257230364	nan	nan	1.2195000288696078
OG0001520.24	OG0000835.7	OG0016985.0	OG0044638.0	OG0006291.0
2.532558251665712	3.792281048797407	0.3128621314639918	nan	0.6922939222592953
OG0029189.0	OG0029582.0	OG0025891.0	OG0008444.0	OG0021304.0
nan	nan	0.08570655232150833	6.976568099374375	3.197135334490367
OG0000258.1	OG0048180.0	OG0012864.8	OG0049158.0	OG0019411.0
7.639258895582714	nan	nan	nan	nan
OG0044483.0	OG0018155.0	OG0018016.0	OG0007327.2	OG0046721.0
nan	2.8273792203786585	2.332965981439609	-0.3013934440746929	nan
OG0005696.4	OG0057320.0	OG0053977.0	OG0003006.0	OG0001368.24
2.535939708016824	nan	nan	2.7016392145647026	0.6310206337371498
OG0060552.0	OG0045679.0	OG0011755.11	OG0011634.6	OG0003899.0
nan	nan	0.021481560788717408	2.2646803535999562	5.068200873111907
OG0004642.1	OG0007511.2	OG0007317.4	OG0006017.0	OG0001896.13
0.6092662953453245	2.8551597930914774	2.1010975748823224	1.4333920796961275	2.738353183246691
OG0002777.4	OG0009204.7	OG0043666.0	OG0005160.1	OG0004478.4
4.66102211804875	nan	nan	2.9942176371117926	2.154260392283725
OG0046288.0	OG0003089.5	OG0048004.0	OG0000660.14	OG0019305.0
nan	4.295651444666803	nan	7.83919434695519	0.5391478508045754
OG0046914.0	OG0047996.0	OG0009287.0	OG0000863.32	OG0056905.0
nan	nan	0.8802218980951497	0.8465326543960525	nan
OG0024668.0	OG0034754.0	OG0006522.0	OG0016430.8	OG0048795.0
nan	nan	1.4670464620855121	nan	nan
OG0017941.0	OG0041680.0	OG0009103.4	OG0005700.0	OG0060423.0
1.2123580699379564	nan	0.9543707608420311	1.6670731862478296	nan
OG0000585.5	OG0021251.0	OG0029038.0	OG0021208.0	OG0012663.4
nan	nan	-13.287712379549449	nan	1.0083566426827393
OG0038133.0	OG0004132.1	OG0003683.0	OG0005997.6	OG0002288.14
nan	-0.2757767536882799	1.357461055853469	2.873645794101157	4.589877920099416
OG0019267.0	OG0001472.0	OG0047510.0	OG0009078.0	OG0024287.0
nan	0.669002446268675	nan	1.627597289562795	nan
OG0006396.6	OG0035667.0	OG0003203.2	OG0027512.0	OG0046409.0
nan	nan	4.838822592644375	nan	nan
OG0013138.3	OG0006113.2	OG0046672.0	OG0034589.0	OG0023440.0
2.229567094943363	2.462788064465629	nan	nan	nan
OG0005536.1	OG0000921.32	OG0000779.1	OG0007436.0	OG0005190.4
1.639898173956766	4.915713502483327	4.286492376858685	1.2181805871910745	1.586741500751339
OG0029006.0	OG0026486.0	OG0010072.7	OG0056788.0	OG0001442.1
-13.287712379549449	nan	nan	nan	0.6457422657666343
