OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
nan	0.25050429999999996	nan	0.1341812	0.03696401	0.1470489	0.06820091	0.191211	0.5651596999999999	0.9384044	0.30488059999999995	nan	0.3643639	0.1313076	0.5179004	0.5616685	0.2534357	0.2350835	0.0379423	0.1519846	8.961704e-05	nan	0.5597153	0.01180559	0.06559032	0.6708972	0.9996688	0.3085137	0.08080729	0.2811832	0.04683721
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
0.7552704	0.9430514000000001	0.9819412000000001	0.1444946	0.123552	0.8122036	0.28853629999999997	0.8297642	0.11017339999999999	0.009027639	0.8955335999999999	0.9803938	0.5552822	7.615125e-05	0.2293096	0.8199598	0.9759665000000001	0.3285128	0.9417934000000001	0.00017319990000000003	nan	nan	0.6238951	0.1066039	0.675657	0.8041586	nan	nan	0.9076544	0.5932579000000001	0.02231204
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
0.07374858	nan	0.6275384	0.00131803	0.6694974	0.09076506	0.3149467	nan	0.8614101000000001	0.9597473	0.20170079999999999	nan	0.01919972	0.9724339	nan	0.9851141	0.001439973	0.3985823	0.12307260000000002	0.9000905999999999	0.02401353	0.4424513	0.04053481	0.01468494	0.3432696	0.01873287	0.10566099999999999	0.6676014	0.07174681	0.9971142	0.8018224
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
0.5822999	0.9267535	0.8878720999999999	0.06058103	0.7328663000000001	0.3621598	0.7336668000000001	0.9828431000000001	0.816967	0.07326508	0.8887265	nan	0.9000905999999999	0.04416404	nan	0.01425001	0.1111629	0.3103277	0.4397879	0.3738849	0.8987312	0.8201716999999998	0.43823329999999994	nan	0.15880160000000001	0.101789	0.16017279999999998	nan	0.1966128	0.01303679	0.5254833999999999
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
0.07487833	0.6515301	0.8391025	0.38855409999999996	0.1838537	0.989999	nan	0.8368960999999999	0.8930294	nan	0.8953790999999999	0.7183775	0.02911205	0.02401353	0.7940789	0.7904285	0.04462856	0.05147865	0.0011082689999999998	0.8272608	nan	nan	0.5242814	0.11921110000000001	0.02462899	0.6337924	0.02595226	0.9037400999999999	0.7697227	0.5615863	0.9432799999999999
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
0.7589116	0.1841982	0.26738779999999995	0.989999	0.123552	0.8665553	0.11017339999999999	0.03245307	nan	nan	nan	0.01525296	0.7758106	0.04416404	0.9618806999999999	0.11526199999999999	0.37480240000000004	0.10547460000000002	0.8996219000000001	0.9548382	0.04587583	0.7844051	nan	0.9825815999999999	0.9354225	0.7619291	0.33233709999999994	0.4954362	0.01532964	0.9280149999999999	0.10918900000000001
OG0001701.8	OG0004304.0	OG0000100.1	OG0017771.0	OG0000349.0	OG0001823.24	OG0000018.289	OG0001829.22	OG0000183.0	OG0001296.24	OG0000539.1	OG0000350.8	OG0004239.0	OG0045636.0	OG0001996.0	OG0007785.0	OG0013573.4	OG0005097.2	OG0044033.0	OG0000923.0	OG0000409.24	OG0000048.122	OG0002971.0	OG0006546.0	OG0009077.4	OG0005808.1	OG0020398.0	OG0006799.0	OG0000006.561	OG0003169.0	OG0005034.12
0.35156149999999997	0.8427621999999999	0.02169534	nan	0.06058103	0.45771670000000003	0.003588585	0.40634840000000005	0.2740236	0.8940524	0.7414185000000001	0.01525296	0.5095271	nan	0.9574084	0.8610188	0.9960773999999999	0.8023554	nan	0.01425001	0.47814049999999997	0.2827769	0.2969597	0.903033	0.6957455	0.0041615590000000004	nan	0.8357631	0.02231204	0.8217423	0.4643608
OG0002761.0	OG0014849.0	OG0000109.0	OG0004961.2	OG0027675.0	OG0000279.0	OG0000265.0	OG0010125.0	OG0008128.0	OG0001550.0	OG0010995.2	OG0017155.5	OG0000318.0	OG0000011.1	OG0003329.0	OG0035637.0	OG0002946.0	OG0001347.26	OG0001667.0	OG0000702.24	OG0000884.25	OG0005222.2	OG0000671.12	OG0000431.12	OG0004964.6	OG0002185.6	OG0005687.4	OG0000006.561	OG0000112.0	OG0006611.0	OG0004968.14
0.39009390000000005	0.7652379	6.152875e-05	0.0020158420000000003	nan	0.20170079999999999	0.11017339999999999	nan	0.8943072	0.02272631	0.9997377000000001	nan	0.2293096	0.02401353	0.9734056000000001	nan	0.8201716999999998	0.2565019	0.9212786000000001	0.7141748	0.9771122999999999	0.9316323000000001	0.5387867	0.2943344	1.5054149999999999e-05	0.7840116	0.01808935	0.02231204	0.03840502	0.9852655	0.6586215999999999
