OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0016785.2	OG0001566.2	OG0012926.0	OG0022825.0
1.9217015975350002	0.949246834947	0.002059146203	2.007299486531	0.880791193566	nan	nan	0.8944614912819999	nan	nan
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
0.51694709861	nan	1.989967702578	nan	nan	0.699588322858	nan	nan	nan	nan
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
1.310867877392	nan	1.91080168688	nan	nan	nan	nan	nan	nan	nan
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
2.3444180522319997	0.766812225754	nan	nan	nan	0.007867697627	1.844825961741	nan	nan	nan
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
nan	nan	1.7016717947909998	0.7671689974220001	nan	nan	nan	1.166930703927	nan	nan
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
nan	nan	2.206334777225	1.78932801755	nan	nan	nan	nan	0.096669733081	1.645488149175
OG0000405.0	OG0043476.0	OG0007565.0	OG0019016.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
0.979380949509	nan	nan	nan	nan	0.23031586436299997	nan	nan	1.775272505852	nan
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0012427.14	OG0024512.0	OG0000126.1
nan	nan	nan	1.78932801755	nan	0.39162434454899997	1.891364884892	nan	nan	1.001024026031
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0049025.0	OG0006410.0	OG0027420.0	OG0000092.1
nan	nan	2.016551432457	0.067777166749	nan	nan	nan	nan	nan	1.446127417143
OG0000764.26	OG0018934.1	OG0007070.2	OG0043565.0	OG0001163.24	OG0009316.2	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
0.335210065555	nan	nan	nan	nan	nan	1.166930703927	0.690617283814	nan	nan
OG0000627.52	OG0006805.0	OG0000006.561	OG0000327.1	OG0024566.0	OG0002127.0	OG0020485.0	OG0000175.4	OG0005354.1	OG0001941.0
nan	nan	2.3444180522319997	nan	nan	nan	nan	0.983275752196	nan	0.7598628734020001
OG0000054.0	OG0001349.1	OG0000018.1	OG0004412.2	OG0013488.2	OG0001513.24	OG0008965.0	OG0010629.10	OG0000918.1	OG0020760.0
1.9319171286599999	nan	1.203638684735	nan	nan	nan	nan	nan	nan	nan
OG0000537.8	OG0000006.561	OG0022225.0	OG0047063.0	OG0000263.57	OG0010608.0	OG0018373.0	OG0002062.0	OG0004865.2	OG0002170.0
1.118574502185	2.3444180522319997	nan	nan	0.007867697627	nan	nan	nan	0.21974421975699998	nan
OG0001203.24	OG0011159.0	OG0015174.0	OG0000209.2	OG0014662.0	OG0047284.0	OG0000062.12	OG0000082.1	OG0000372.92	OG0005659.6
nan	nan	nan	nan	nan	nan	0.34342348576	0.690617283814	nan	nan
OG0001271.1	OG0000006.561	OG0006436.0	OG0010512.0	OG0000892.1	OG0003382.0	OG0027648.0	OG0000272.36	OG0000524.1	OG0022425.0
nan	2.3444180522319997	nan	nan	1.745006066821	1.617645411816	nan	1.005324471996	0.7312460333490001	nan
OG0017903.2	OG0000955.28	OG0000198.0	OG0000056.0	OG0001122.1	OG0000463.51	OG0016170.4	OG0056848.0	OG0004168.24	OG0007187.0
nan	nan	1.678933173012	1.7016717947909998	nan	0.431400526461	nan	nan	nan	nan
OG0004256.2	OG0000032.252	OG0014484.2	OG0001243.24	OG0010631.0	OG0014841.0	OG0000711.2	OG0002113.0	OG0018086.1	OG0000611.0
2.0839938814099996	1.78932801755	nan	nan	nan	nan	0.985447226612	nan	nan	nan
OG0005582.1	OG0000010.475	OG0007539.0	OG0001243.24	OG0001365.24	OG0016827.0	OG0000209.146	OG0000154.2	OG0008258.0	OG0046862.0
nan	2.016551432457	nan	nan	nan	nan	nan	1.455801378102	nan	nan
OG0001161.24	OG0012848.0	OG0057290.0	OG0000088.3	OG0008204.0	OG0007348.0	OG0001502.26	OG0001146.1	OG0021271.0	OG0000082.1
nan	nan	nan	2.198192525477	nan	nan	nan	nan	nan	0.690617283814
