OG0001698.26	OG0012926.0	OG0000027.457	OG0001566.2	OG0001643.24
-0.48242311792037795	1.168953390888837	0.7772595702079395	0.5979055890573353	-1.1462318953681279
OG0021387.0	OG0001139.24	OG0019386.0	OG0026570.0	OG0000681.0
2.1009704127459896	-1.0149502740341807	nan	nan	0.13335331946311255
OG0010012.0	OG0002309.26	OG0000298.0	OG0012865.13	OG0002438.24
0.815357002183941	0.03230464666485579	0.6334022141750109	nan	-0.859469607971213
OG0025841.0	OG0013493.0	OG0005870.0	OG0027623.0	OG0012781.0
nan	-0.45464776928478573	0.15140331117807035	0.2784455516825565	0.14996944867512368
OG0037720.0	OG0002414.18	OG0014874.2	OG0015286.0	OG0029053.0
nan	nan	nan	0.09454371904861741	nan
OG0000974.123	OG0013565.5	OG0014021.0	OG0044562.0	OG0015488.1
2.0300964470361142	2.18958611858486	1.789243466100797	nan	nan
OG0027685.0	OG0056666.0	OG0029101.0	OG0007439.0	OG0011147.18
1.3012553174464496	nan	nan	0.374240287125805	nan
OG0009965.0	OG0038798.0	OG0025072.0	OG0019528.0	OG0044257.0
2.070619591572694	nan	nan	-0.011402074243221533	nan
OG0021358.0	OG0048152.0	OG0035822.0	OG0016666.3	OG0007959.6
2.0834203198925687	nan	nan	nan	1.7120232999103933
OG0053946.0	OG0048140.0	OG0027589.0	OG0008559.4	OG0007389.1
nan	nan	nan	-0.039979933901231675	nan
OG0056788.0	OG0056650.0	OG0057281.0	OG0022287.0	OG0044932.0
nan	nan	nan	nan	nan
OG0003958.0	OG0004892.3	OG0026496.0	OG0047246.0	OG0045830.0
-1.2731158918739416	0.9363215589014117	nan	nan	nan
OG0000419.1	OG0037938.0	OG0007984.6	OG0014529.2	OG0021181.0
1.599978866493046	nan	-0.19717499393726778	0.16090044228858222	nan
OG0045543.0	OG0010017.0	OG0016246.7	OG0057118.0	OG0014804.6
nan	2.1610186496140176	nan	nan	0.46340545120814053
OG0044126.0	OG0047612.0	OG0011528.12	OG0001032.24	OG0000246.0
nan	nan	nan	-0.32684440003466975	0.899291754623149
OG0000895.1	OG0011911.0	OG0044129.0	OG0015612.4	OG0013109.0
-0.23245967530004166	2.6353879109714415	nan	nan	1.2195000288696078
OG0001520.24	OG0000835.7	OG0016985.0	OG0044638.0	OG0006291.0
0.4891117797246813	0.05665574585056997	0.3128621314639918	nan	0.159681190980108
OG0029189.0	OG0029582.0	OG0025891.0	OG0008444.0	OG0021304.0
nan	nan	0.08570655232150833	1.0988244551553321	3.197135334490367
OG0000258.1	OG0048180.0	OG0012864.8	OG0049158.0	OG0019411.0
1.5357211841261063	nan	nan	nan	nan
OG0044483.0	OG0018155.0	OG0018016.0	OG0007327.2	OG0046721.0
nan	2.4598938058329303	2.26400575591255	-0.3396227186785907	nan
OG0005696.4	OG0057320.0	OG0053977.0	OG0003006.0	OG0001368.24
1.3678543824753253	nan	nan	0.965775596606159	0.14521188270045274
OG0060552.0	OG0045679.0	OG0011755.11	OG0011634.6	OG0003899.0
nan	nan	0.021481560788717408	2.2646803535999562	1.8790926595752313
OG0004642.1	OG0007511.2	OG0007317.4	OG0006017.0	OG0001896.13
0.6092662953453245	1.995257082120551	1.3006417986013146	0.8241237886539818	0.018371865848243088
OG0002777.4	OG0009204.7	OG0043666.0	OG0005160.1	OG0004478.4
0.5221186288530739	nan	nan	1.4539308603001777	1.4672212610786373
OG0046288.0	OG0003089.5	OG0048004.0	OG0000660.14	OG0019305.0
nan	0.0074779934685194295	nan	0.7961239491068366	0.5391478508045754
OG0046914.0	OG0047996.0	OG0009287.0	OG0000863.32	OG0056905.0
nan	nan	0.8109919382616428	-0.4355354993873401	nan
OG0024668.0	OG0034754.0	OG0006522.0	OG0016430.8	OG0048795.0
nan	nan	1.1573055886157497	nan	nan
OG0017941.0	OG0041680.0	OG0009103.4	OG0005700.0	OG0060423.0
0.7185180522495999	nan	0.9377808103614163	1.0683295964220965	nan
OG0000585.5	OG0021251.0	OG0029038.0	OG0021208.0	OG0012663.4
nan	nan	-13.287712379549449	nan	0.8878662722677944
OG0038133.0	OG0004132.1	OG0003683.0	OG0005997.6	OG0002288.14
nan	-0.2757767536882799	-0.30415428672499756	0.5193435599799461	0.8494276002016263
OG0019267.0	OG0001472.0	OG0047510.0	OG0009078.0	OG0024287.0
nan	0.11227100295014644	nan	0.9404906643156914	nan
OG0006396.6	OG0035667.0	OG0003203.2	OG0027512.0	OG0046409.0
nan	nan	1.045876431106381	nan	nan
OG0013138.3	OG0006113.2	OG0046672.0	OG0034589.0	OG0023440.0
2.178719200424732	0.043954748332967634	nan	nan	nan
OG0005536.1	OG0000921.32	OG0000779.1	OG0007436.0	OG0005190.4
1.0342916347574242	0.3507758865849795	-0.22757889109716084	0.618316504712591	0.5946130955612293
OG0029006.0	OG0026486.0	OG0010072.7	OG0056788.0	OG0001442.1
-13.287712379549449	nan	nan	nan	-0.7012328064171617
OG0020814.0	OG0034316.0	OG0045228.0	OG0046629.0	OG0010518.2
nan	nan	nan	nan	1.5437804486577016
OG0000896.1	OG0016114.0	OG0038082.0	OG0034510.0	OG0002828.24
-0.20087091146668778	1.324553247555663	nan	nan	0.26904764631328626
OG0056658.0	OG0015115.7	OG0004869.12	OG0037900.0	OG0029626.0
nan	nan	0.6281351735472137	nan	nan
OG0007131.0	OG0015206.2	OG0045127.0	OG0002519.0	OG0013302.9
-1.3987798783396905	0.40978736682857025	nan	1.3577146076385445	nan
OG0007017.0	OG0007021.0	OG0025682.0	OG0002653.5	OG0002608.1
-0.7762370652196554	0.4312642754940432	nan	-0.3690670201824682	0.4679649366232926
OG0005845.2	OG0037820.0	OG0002332.0	OG0006011.0	OG0006642.0
-0.8894722642437524	nan	-1.5639536169847361	1.0349991535875063	0.04360899698642637
OG0044379.0	OG0041636.0	OG0049022.0	OG0045745.0	OG0010504.6
nan	nan	nan	nan	1.1064900977857435
OG0007564.3	OG0043920.0	OG0008512.0	OG0024746.0	OG0001064.24
0.4049303029672378	nan	1.2192637476407482	nan	-0.5060629158847019
OG0005378.12	OG0012982.2	OG0005991.0	OG0046635.0	OG0005120.26
-0.4228050221670378	1.4962844573214955	0.5436934526954521	nan	0.5414995037393654
OG0005346.24	OG0009012.4	OG0011680.11	OG0003783.0	OG0012766.4
-0.049816521987779507	nan	nan	0.7154784641183294	1.3574812640037326
OG0017034.0	OG0024538.0	OG0027433.0	OG0018603.2	OG0045811.0
0.016822717951878046	-13.287712379549449	nan	1.5161535662294958	nan
OG0008919.0	OG0006020.0	OG0002725.11	OG0000435.0	OG0003672.0
1.1468749453809888	1.166457226913053	0.10374546291007566	1.4282583062446856	1.3784080422442553
OG0018953.6	OG0053869.0	OG0047609.0	OG0009152.1	OG0005693.0
nan	nan	nan	2.1881621351672433	1.2321563914023803
OG0020504.0	OG0012227.0	OG0038657.0	OG0047381.0	OG0011146.2
0.4748226171626414	1.346576255696812	nan	nan	0.2616554940415579
OG0016733.2	OG0010885.0	OG0019014.3	OG0026304.0	OG0005381.10
nan	-2.443785619617087	nan	nan	nan
OG0020516.0	OG0002836.4	OG0016162.0	OG0022233.0	OG0046150.0
2.2124422410038056	0.2383175905776745	1.1517132704904491	3.6363372465562946	nan
OG0014483.9	OG0038061.0	OG0009905.0	OG0024463.0	OG0002777.4
nan	nan	1.2275338125649025	nan	0.5221186288530739
OG0026945.0	OG0017903.2	OG0013309.0	OG0003140.0	OG0056594.0
0.16179185801539192	-0.07631613797020444	0.45944292007868454	0.5562632450279686	nan
OG0035787.0	OG0012686.0	OG0057416.0	OG0018524.1	OG0014708.6
nan	2.2665982991383196	nan	nan	1.2019726100099897
OG0021186.0	OG0012773.4	OG0004793.6	OG0046887.0	OG0047516.0
nan	0.2677501916849598	-2.0869029037328053	nan	nan
OG0001944.0	OG0008347.0	OG0014704.4	OG0019729.0	OG0005534.0
