OG0009883.5	OG0000692.0	OG0012915.3	OG0004617.12	OG0004835.2	OG0004464.0	OG0004338.2	OG0000107.44	OG0000038.0	OG0000027.1
0.9182746070140498	1.8169971813906374	-0.574025449900363	0.018014285351798488	-0.8351836389871339	1.6419135182040943	1.164972429545315	1.877187566661312	1.194228300642796	1.2484510086466838
OG0008656.1	OG0010913.0	OG0043411.0	OG0008443.1	OG0010756.0	OG0004568.1	OG0005507.10	OG0014125.1	OG0015179.2	OG0003049.0
nan	3.1652332088998043	nan	0.8658278487698294	0.741660175078465	-0.09579183528312973	-0.15487710074594843	nan	-0.37750398767476073	0.5941488703896829
OG0014810.0	OG0006647.0	OG0047150.0	OG0015093.3	OG0014620.0	OG0013321.0	OG0047353.0	OG0015979.6	OG0053810.0	OG0024522.0
2.747793003675279	1.5175180496078498	nan	nan	2.0435632673724093	0.35235719178505764	nan	0.359221907372667	nan	-4.116475139062628
OG0038154.0	OG0011720.2	OG0001184.24	OG0014502.4	OG0016791.0	OG0017901.0	OG0005646.0	OG0047603.0	OG0016776.5	OG0035803.0
nan	3.087058678854249	-0.643967551106452	2.6429044008469504	1.7100592775626269	1.4615111309828495	0.8737220739214646	nan	nan	nan
OG0002993.1	OG0006460.2	OG0004302.0	OG0010095.2	OG0018256.2	OG0019234.0	OG0016149.0	OG0023958.0	OG0035604.0	OG0008532.6
0.13799239239098182	1.9012905214307723	1.673322386456724	-0.26083056545197914	1.8926385268007462	1.7588488621369223	1.0595879017403458	nan	nan	2.0141122945000163
OG0047378.0	OG0021370.0	OG0005619.0	OG0044416.0	OG0009877.2	OG0001321.26	OG0007340.4	OG0003483.0	OG0005694.0	OG0007523.4
nan	nan	-1.1683866901586635	nan	-0.5698584262968451	0.3918206719781078	1.0490668037688626	1.2735955659761953	0.5523615051611916	0.36503813323312173
OG0005991.0	OG0027772.0	OG0047976.0	OG0004954.6	OG0044358.0	OG0007191.0	OG0013191.3	OG0004616.0	OG0004779.4	OG0047138.0
0.5436934526954521	nan	nan	1.0161453319640443	nan	1.0890247750805935	nan	1.3307622382143216	nan	nan
OG0002837.4	OG0028115.0	OG0049164.0	OG0056784.0	OG0022867.0	OG0013146.12	OG0004192.0	OG0002822.4	OG0013064.11	OG0056535.0
1.2866410968496165	nan	nan	nan	nan	nan	1.2491804684530596	1.0952166648179977	nan	nan
OG0043411.0	OG0002275.1	OG0041811.0	OG0014872.6	OG0045830.0	OG0009903.19	OG0009192.20	OG0016201.4	OG0021215.0	OG0008668.22
nan	1.3063842699028	nan	0.589127316417776	nan	nan	nan	1.5021102199841363	nan	nan
OG0007261.0	OG0018086.1	OG0012755.0	OG0003092.12	OG0003847.24	OG0012434.10	OG0011210.1	OG0017886.0	OG0012262.2	OG0009136.10
1.2447611384209774	nan	0.35134637361704024	0.42442155656653313	0.8236667040340613	nan	0.7965662155528821	-0.14511033962982695	0.38986920414733534	0.4642278568850575
OG0046313.0	OG0012742.0	OG0008267.1	OG0026998.0	OG0045270.0	OG0002791.5	OG0007491.0	OG0045908.0	OG0002575.0	OG0045159.0
nan	2.149348403246463	nan	1.0105750860313125	nan	-0.1728073941128821	1.2709876606270047	nan	1.0678379919277834	nan
OG0013242.12	OG0038112.0	OG0018377.6	OG0028092.0	OG0048119.0	OG0010010.11	OG0005530.6	OG0044896.0	OG0057497.0	OG0016432.2
nan	nan	nan	nan	nan	2.688515313502391	1.1051696724327535	nan	nan	1.319107079481153
OG0011372.0	OG0017939.0	OG0045882.0	OG0026962.0	OG0004064.0	OG0002054.0	OG0018828.3	OG0006467.8	OG0044960.0	OG0054085.0
0.24549655276686166	2.2793846843546035	nan	nan	0.21092082894340566	0.7071788670666312	nan	-0.6748637786029362	nan	nan
OG0002961.20	OG0044238.0	OG0008946.0	OG0009783.0	OG0003897.10	OG0007724.0	OG0017321.1	OG0004085.0	OG0047042.0	OG0004026.1
0.46195301684191376	nan	1.4298037875096614	0.33455180969101533	0.9282717357616145	0.019258545050761286	nan	-0.9202032317170721	nan	1.8076762676999791
OG0024274.0	OG0048902.0	OG0035581.0	OG0000703.24	OG0012660.2	OG0017049.5	OG0009750.1	OG0060435.0	OG0017066.3	OG0034772.0
nan	nan	nan	0.27664242398054534	2.287054265328739	nan	nan	nan	nan	nan
OG0022172.0	OG0003204.0	OG0034958.0	OG0056852.0	OG0046916.0	OG0017354.4	OG0010785.14	OG0009290.0	OG0017216.1	OG0045026.0
-0.7751048538140227	-0.33088823282174207	nan	nan	nan	nan	-1.376313358461675	2.2502884792149165	nan	nan
OG0044490.0	OG0045763.0	OG0003747.6	OG0005161.27	OG0001777.24	OG0046286.0	OG0008183.0	OG0002044.0	OG0020541.0	OG0014706.0
nan	nan	0.9749754100929732	nan	-0.02228679721861286	nan	0.8063149661793105	-0.8105502660796651	2.8494369435428544	0.04363875706920534
OG0008196.2	OG0012921.6	OG0014072.3	OG0002687.0	OG0011976.0	OG0028444.0	OG0000623.24	OG0028514.0	OG0034422.0	OG0012112.2
-0.5095531949261543	-0.9758546165572807	nan	0.9952285716993379	0.8841125187174197	nan	1.236657825678309	nan	nan	0.19182558979405143
OG0015949.0	OG0060481.0	OG0053945.0	OG0020530.0	OG0012750.0	OG0013006.4	OG0016930.2	OG0000367.174	OG0038909.0	OG0005105.0
1.0102373379390326	nan	nan	2.2235179447895854	0.8035642449265257	0.9516129249227698	1.701556874891877	-0.583730092640752	nan	0.9659829005595508
OG0056969.0	OG0016892.2	OG0001135.4	OG0034410.0	OG0017504.5	OG0019581.0	OG0018140.2	OG0016977.2	OG0038023.0	OG0013017.9
nan	2.402161400732757	1.1021867113115356	nan	nan	nan	-0.3847990314993758	nan	nan	1.2754296377507535
OG0011618.6	OG0007726.2	OG0020337.0	OG0002136.0	OG0007475.6	OG0003096.0	OG0046805.0	OG0008585.0	OG0014610.2	OG0003450.0
