OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
1.989967702578	nan	1.476988390538	nan	nan	nan	1.310867877392	1.548062212427	nan	1.964041629498	1.411415140617	nan	1.267357363022	1.412781124311	nan	2.534411768333	0.21015173934700002	nan	nan	0.24107051035500002	0.0
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
1.8038768847639999	nan	0.612644628905	1.147607797361	1.666166443983	0.6969533445139999	nan	nan	nan	1.421761519286	nan	1.291518173711	nan	nan	nan	2.2898424091900003	1.928379765924	0.702417627252	nan	nan	1.4321010116269999
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
0.13637096519300002	1.270708441105	2.3895252011759998	0.8439215330509999	1.147607797361	nan	nan	1.662247586981	1.4166481664230002	1.875498333108	nan	0.7613427685590001	0.736464522642	1.249148856639	nan	nan	nan	nan	nan	2.4066698334720003	nan
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
1.281199777461	nan	1.217797474574	nan	1.4761328376910001	0.320180318357	0.017529191194	1.9708924992919998	2.26510803819	nan	nan	nan	1.452074880893	nan	0.22567824445300003	1.5217656901280001	nan	1.7543390751769998	2.253472610271	1.604118432148	1.116686375338
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
nan	nan	1.1102960959119998	nan	nan	nan	1.6727271086950002	nan	1.076536177628	2.6442839235710003	nan	1.887887114696	1.3339933689730001	0.623787928874	nan	1.6243688649610002	1.299256383029	nan	2.1868875487799997	nan	3.411260257541
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
nan	nan	1.7835411069490001	2.172085776436	nan	nan	1.626760400607	1.662247586981	nan	0.986590715326	1.281938110574	nan	1.887887114696	nan	1.623871686978	0.426113097786	1.663962363208	nan	nan	0.37197797886699996	nan
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0013029.10	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0018631.3	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
0.420081995644	nan	1.9655224609070001	1.35099316862	nan	1.796525480411	nan	0.6412018460310001	2.118489830716	nan	2.566944061119	nan	1.728005975808	0.294480364436	0.3497548865	0.8245262361519999	nan	1.1547451282549999	2.253472610271	1.065413682631	nan
OG0001753.20	OG0004473.2	OG0002419.38	OG0001972.1	OG0001921.0	OG0000074.152	OG0041803.0	OG0000169.16	OG0000246.0	OG0018627.0	OG0004453.2	OG0001776.0	OG0000780.24	OG0000054.0	OG0013059.0	OG0010749.0	OG0005466.0	OG0000060.0	OG0007990.1	OG0001731.4	OG0000239.0
1.283126715416	nan	0.831259175506	nan	nan	1.352706069143	nan	2.26510803819	1.728005975808	nan	nan	0.6156240108300001	1.214125836954	1.9319171286599999	nan	nan	nan	2.1868875487799997	nan	1.4198155429019998	2.605977852872
OG0000015.1	OG0005693.0	OG0007186.0	OG0000000.305	OG0001319.1	OG0000323.43	OG0001619.0	OG0000007.976	OG0000318.0	OG0000746.0	OG0005282.0	OG0000350.8	OG0000121.128	OG0027642.0	OG0002940.48	OG0014044.0	OG0004511.10	OG0043935.0	OG0000391.20	OG0008180.1	OG0003696.0
4.604191005195999	nan	nan	nan	nan	0.438261383256	1.421761519286	1.775272505852	1.291518173711	1.398222843922	nan	1.887887114696	0.919558137898	nan	1.070951189771	nan	nan	nan	1.314219737846	nan	nan
OG0001150.24	OG0013523.0	OG0004749.2	OG0007208.0	OG0010591.0	OG0002487.0	OG0002614.0	OG0002519.0	OG0000486.2	OG0000000.3460	OG0003922.0	OG0000749.2	OG0008106.2	OG0020922.0	OG0000196.0	OG0003156.4	OG0002181.0	OG0057236.0	OG0000039.0	OG0000239.0	OG0001538.6
nan	nan	0.36615782585199996	nan	nan	1.3892662778409999	1.333825934751	1.314107637619	1.4245778186200002	0.6151347953199999	nan	0.986590715326	nan	nan	2.577484774981	1.151648627252	1.707160494012	nan	2.269244320377	2.605977852872	0.824288680381
