OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
3.888888888888889	1.0	1.2592592592592593	1.0	1.0	1.0	1.7037037037037037	2.5185185185185186	1.0	1.2727272727272727	2.130434782608696	1.0	2.0	2.0	1.0	1.25	1.2	1.0	1.0	1.0588235294117647	1.125
OG0001813.8	OG0001730.2	OG0000138.41	OG0002115.0	OG0025087.0	OG0000921.32	OG0015315.0	OG0057553.0	OG0001656.2	OG0002058.0	OG0003370.4	OG0000090.24	OG0003855.1	OG0001451.24	OG0004744.2	OG0000841.0	OG0010758.0	OG0005447.3	OG0004700.0	OG0000179.0	OG0011465.0
1.0	1.15	1.0	1.0	1.0	1.2173913043478262	1.0	1.0	1.35	1.0	1.0	2.217391304347826	1.0	1.0	1.0	1.3636363636363635	1.0	1.0	1.0	2.7142857142857144	1.0
OG0003281.0	OG0001051.24	OG0005486.0	OG0002452.52	OG0002973.1	OG0008335.19	OG0009157.9	OG0001857.4	OG0006906.0	OG0003913.0	OG0000096.67	OG0007835.4	OG0003735.2	OG0002489.10	OG0003910.0	OG0000032.86	OG0001750.0	OG0003949.1	OG0000283.1	OG0000578.0	OG0000784.0
1.0	1.0	1.2307692307692308	1.0	1.0	1.0	1.0	1.0	1.0	1.4615384615384615	1.3529411764705883	1.0	1.1333333333333333	1.0	1.0	1.0740740740740742	1.2608695652173914	1.0	1.2	1.1851851851851851	1.2222222222222223
OG0002528.0	OG0011678.0	OG0012406.10	OG0001666.14	OG0012769.0	OG0000167.8	OG0002897.1	OG0000007.976	OG0001062.24	OG0006730.0	OG0004745.0	OG0012372.0	OG0005437.0	OG0001240.26	OG0003279.0	OG0002170.0	OG0002926.22	OG0000777.0	OG0005897.2	OG0003176.17	OG0003801.0
1.0434782608695652	1.0	1.0	1.0	1.0	4.2	1.2352941176470589	4.111111111111111	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.6666666666666667	1.5217391304347827	1.3076923076923077	1.05	1.0
OG0003384.2	OG0000575.28	OG0000359.28	OG0002415.1	OG0006124.2	OG0002614.0	OG0024577.0	OG0003689.1	OG0003343.2	OG0000492.2	OG0012984.0	OG0002486.16	OG0000807.26	OG0008583.6	OG0000265.0	OG0004245.1	OG0007228.0	OG0004038.24	OG0000862.34	OG0001310.24	OG0030074.0
2.1538461538461537	1.8695652173913044	1.7407407407407407	1.0	1.0	1.35	1.0	1.0	1.25	1.7333333333333334	1.0	1.0909090909090908	1.037037037037037	1.0	2.1481481481481484	1.0769230769230769	1.1428571428571428	1.0	1.0	1.0	1.0
OG0000400.0	OG0002024.0	OG0002631.6	OG0002860.1	OG0027754.0	OG0002552.0	OG0002122.0	OG0001364.24	OG0003831.0	OG0001236.24	OG0012208.0	OG0000378.2	OG0001200.0	OG0000084.0	OG0002412.0	OG0002991.24	OG0009001.0	OG0010583.4	OG0002979.0	OG0008348.0	OG0002868.0
2.8	1.0	1.0869565217391304	1.0	1.0	1.0	1.0	1.0	1.0666666666666667	1.0	1.0	1.037037037037037	1.173913043478261	2.7058823529411766	1.3076923076923077	1.0	1.5	1.0	1.0	1.0	1.75
OG0002528.0	OG0000510.30	OG0003914.5	OG0000814.1	OG0001384.1	OG0004061.2	OG0017863.0	OG0005949.0	OG0046481.0	OG0000387.0	OG0002293.0	OG0001386.24	OG0013292.10	OG0000343.0	OG0008521.4	OG0001551.34	OG0005615.0	OG0010779.2	OG0000684.0	OG0005682.0	OG0002979.0
1.0434782608695652	1.3333333333333333	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.227272727272727	1.15	1.0	1.0	1.6956521739130435	1.0	1.1764705882352942	1.0	1.0	1.037037037037037	1.0	1.0
OG0000048.382	OG0001546.1	OG0001802.47	OG0009812.0	OG0005817.0	OG0001204.24	OG0001063.0	OG0002291.22	OG0003777.2	OG0002353.2	OG0000908.24	OG0001203.24	OG0002469.0	OG0008518.2	OG0006082.0	OG0006820.0	OG0015156.0	OG0000301.0	OG0001024.30	OG0044451.0	OG0024725.0
1.4	1.0	1.1176470588235294	1.0	1.0	1.0	1.0	1.0869565217391304	1.0	1.1	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.434782608695652	1.4285714285714286	1.0	1.0
OG0001338.24	OG0006850.0	OG0028974.0	OG0007753.0	OG0003343.2	OG0007182.0	OG0003821.20	OG0007668.0	OG0001455.24	OG0000746.0	OG0005665.0	OG0000594.8	OG0004074.0	OG0019467.0	OG0003284.0	OG0002602.6	OG0002307.0	OG0000152.31	OG0010906.0	OG0000391.20	OG0000431.12
1.0	1.0	1.0	1.0	1.25	1.0	1.0	1.0	1.0	1.2272727272727273	1.0	1.2941176470588236	1.0	1.0	1.0	1.0434782608695652	1.5	1.0	1.0	1.7037037037037037	1.5925925925925926
OG0003057.0	OG0000074.1	OG0002954.0	OG0003986.6	OG0002638.2	OG0006110.22	OG0001076.24	OG0000878.5	OG0001640.7	OG0000459.0	OG0002858.1	OG0004033.6	OG0003248.4	OG0008071.0	OG0000318.0	OG0000501.150	OG0024690.0	OG0000392.72	OG0003385.20	OG0003779.0	OG0034642.0
1.2307692307692308	1.0740740740740742	1.1363636363636365	1.0588235294117647	1.0	1.0	1.037037037037037	1.1	1.0	1.2962962962962963	1.0666666666666667	1.1428571428571428	1.2142857142857142	1.0	1.6956521739130435	1.0	1.0	1.1111111111111112	1.0	1.0	1.0
OG0003057.0	OG0003773.2	OG0000310.18	OG0000948.24	OG0003612.18	OG0001557.1	OG0001412.1	OG0001016.1	OG0003826.6	OG0056962.0	OG0011452.2	OG0002081.0	OG0006306.0	OG0002601.6	OG0006103.0	OG0000193.0	OG0007405.0	OG0001838.42	OG0014059.0	OG0000995.5	OG0001606.4
1.2307692307692308	1.0	1.826086956521739	1.037037037037037	1.0	1.8	1.0	1.037037037037037	1.1764705882352942	1.0	1.5	1.0	1.0	1.0	1.0769230769230769	1.3333333333333333	1.0	1.0	1.0	1.0	1.2142857142857142
OG0025948.0	OG0011955.0	OG0003124.0	OG0000601.27	OG0001344.0	OG0002858.1	OG0004485.0	OG0000667.13	OG0001626.24	OG0000006.1	OG0007760.3	OG0001143.26	OG0003522.2	OG0005230.0	OG0007546.0	OG0002215.22	OG0000027.457	OG0003167.0	OG0000142.14	OG0002414.6	OG0002839.0
1.0	1.0	1.2307692307692308	1.0	1.0	1.0666666666666667	1.0	1.0	1.5	1.4444444444444444	1.0	1.0	1.15	1.0	1.0	1.2173913043478262	3.4444444444444446	1.0	2.4782608695652173	1.0	1.0
OG0005945.4	OG0005494.2	OG0003513.0	OG0001409.1	OG0000000.1777	OG0003559.24	OG0010660.4	OG0000871.2	OG0006118.4	OG0000726.25	OG0001154.24	OG0001062.24	OG0001850.26	OG0003515.0	OG0005942.6	OG0001720.16	OG0002768.0	OG0001413.1	OG0004877.0	OG0001653.23	OG0025778.0
