OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
-1.9045481189143394	nan	-1.483581358366132	nan	nan	nan	-3.129102691334971	-1.5851067774392011	nan	-2.4872168790826374	-1.5955328032369107	nan	-2.29689930039584	-1.4683315886848498	nan	-2.8943219221054632	-3.5616645602659625	nan	nan	-2.357714316940423	nan
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
-1.2102290226899421	nan	-2.7211825969252788	-1.9708651959469772	-1.1449671027979205	-1.5051236200544857	nan	nan	nan	-1.3326073993328946	nan	-3.0445383960764985	nan	nan	nan	-1.0098438333726085	-1.5332423842738285	-1.796360305986015	nan	nan	-1.340440727089101
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
-1.92631684638356	-1.563624917755461	-1.1800048971636254	-2.261534782660224	-1.9708651959469772	nan	nan	-1.3015147923431765	-1.7612131404128835	-1.2885931995541526	nan	-2.319045586354241	-1.534913621113934	-1.0319461224206405	nan	nan	nan	nan	nan	-1.2539452647030596	nan
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
-1.1250063610670327	nan	-1.416769772900081	nan	-1.6277164871194718	nan	-3.143054136717567	-1.3529157873710465	-1.3980183001673634	nan	nan	nan	-1.4779442508390357	nan	-2.7998723457263983	-1.4747329082979672	nan	-0.5337644378495954	-0.9636725081822349	-2.7538959901160833	-0.6954889581900472
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
nan	nan	nan	nan	nan	nan	-0.9296106721086019	nan	-2.168122758808327	-1.342634384441633	nan	-1.4106200045220358	-2.5907448533151625	-1.6877995373623218	nan	-1.1090475285429775	-1.1529652108804336	nan	-1.091725081520941	nan	-1.21574730659542
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
nan	nan	-1.2192699635236235	-0.6268251092468836	nan	nan	-1.450478679210362	-1.3015147923431765	nan	-2.57905954386292	-1.905358545884938	nan	-1.4106200045220358	nan	-1.2716005413289375	-2.4281775931667964	-1.5614942202172508	nan	nan	-2.2866561049146705	nan
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0013029.10	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0018631.3	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
-2.401253683845744	nan	-2.038598926835721	-1.2324299440482598	nan	-1.0963446661305085	nan	-1.7639054213621221	-1.6093323144403326	nan	-1.1635910677202619	nan	-1.5968413702571356	-2.266732440645238	-2.1603628384903306	-1.8140066299300341	nan	nan	-0.9636725081822349	-1.6031828971309623	nan
OG0001753.20	OG0004473.2	OG0002419.38	OG0001972.1	OG0001921.0	OG0000074.152	OG0041803.0	OG0000169.16	OG0000246.0	OG0018627.0	OG0004453.2	OG0001776.0	OG0000780.24	OG0000054.0	OG0013059.0	OG0010749.0	OG0005466.0	OG0000060.0	OG0007990.1	OG0001731.4	OG0000239.0
-1.0791731728110858	nan	-2.2997378552532965	nan	nan	-1.1929748745013562	nan	-1.3980183001673634	-1.5968413702571356	nan	nan	-2.5513104482311593	-1.5683235586073672	-1.5773364083449781	nan	nan	nan	-1.091725081520941	nan	-1.5568177330077777	-1.5137490111158916
OG0000015.1	OG0005693.0	OG0007186.0	OG0000000.305	OG0001319.1	OG0000323.43	OG0001619.0	OG0000007.976	OG0000318.0	OG0000746.0	OG0005282.0	OG0000350.8	OG0000121.128	OG0027642.0	OG0002940.48	OG0014044.0	OG0004511.10	OG0043935.0	OG0000391.20	OG0008180.1	OG0003696.0
-0.9829332758101667	nan	nan	nan	nan	-3.083141235300246	-1.3326073993328946	-1.1405074546072205	-3.0445383960764985	-1.711228032752598	nan	-1.4106200045220358	-2.1053180261449205	nan	-1.6157291074575852	nan	nan	nan	-1.61683487515247	nan	nan
OG0001150.24	OG0013523.0	OG0004749.2	OG0007208.0	OG0010591.0	OG0002487.0	OG0002614.0	OG0002519.0	OG0000486.2	OG0000000.3460	OG0003922.0	OG0000749.2	OG0008106.2	OG0020922.0	OG0000196.0	OG0003156.4	OG0002181.0	OG0057236.0	OG0000039.0	OG0000239.0	OG0001538.6
nan	nan	-2.6117553466077004	nan	nan	nan	-1.7292916662807851	nan	-1.630393929968162	-2.1124747292584125	nan	-2.57905954386292	nan	nan	-0.9524616112366394	-1.1341603478413376	-1.4520566887096498	nan	-1.3118644115426648	-1.5137490111158916	-2.582079992188035
OG0000838.0	OG0004239.0	OG0002777.4	OG0001089.2	OG0008596.4	OG0041847.0	OG0001829.22	OG0000364.1	OG0009147.1	OG0000009.921	OG0006877.0	OG0001064.24	OG0000442.2	OG0000196.0	OG0003956.4	OG0000473.1	OG0003735.2	OG0000112.0	OG0010906.0	OG0000102.0	OG0005885.2
-1.6073528560357366	-5.807124109315589	-1.0823772982737174	-1.8913751853183514	nan	nan	-1.8035440313585787	-1.7734914701913203	nan	-1.3558668393657765	-4.234601043089887	nan	-1.0098438333726085	-0.9524616112366394	-2.359934417467107	nan	-2.038006322579745	-0.9847879149314968	nan	-1.311506289400851	nan
OG0000011.866	OG0005416.0	OG0045182.0	OG0012224.0	OG0000575.28	OG0007208.0	OG0003494.6	OG0002860.1	OG0004971.4	OG0000598.0	OG0000411.0	OG0000081.1	OG0001806.0	OG0000007.585	OG0000047.282	OG0008435.15	OG0014066.4	OG0002138.0	OG0008127.0	OG0004292.0	OG0000239.0
-1.1800048971636254	nan	nan	nan	-1.9708651959469772	nan	nan	nan	nan	-1.4731299136431737	-2.4188898247744506	-2.319045586354241	nan	-1.217759200063907	-1.1870500405442508	nan	nan	nan	nan	nan	-1.5137490111158916
OG0000044.1	OG0001753.20	OG0000018.842	OG0013963.0	OG0006286.4	OG0044536.0	OG0005137.0	OG0020719.0	OG0001528.16	OG0003304.0	OG0003514.0	OG0005265.10	OG0000169.16	OG0004933.6	OG0001168.24	OG0004467.6	OG0000519.26	OG0000047.282	OG0000060.0	OG0000002.1788	OG0005517.0
-1.7863727614880525	-1.0791731728110858	-1.357714316940423	nan	nan	nan	nan	nan	-1.037413961643117	nan	-3.143054136717567	nan	-1.3980183001673634	nan	nan	nan	-0.7686904839274991	-1.1870500405442508	-1.091725081520941	-1.291945228671648	nan
OG0000011.866	OG0002682.12	OG0015299.0	OG0000663.26	OG0000074.152	OG0011454.0	OG0003630.6	OG0000318.0	OG0002211.0	OG0006328.0	OG0006859.2	OG0000350.8	OG0007546.0	OG0002486.16	OG0006802.11	OG0000584.0	OG0018186.0	OG0041603.0	OG0000127.0	OG0004437.0	OG0003155.34
-1.1800048971636254	-2.401253683845744	nan	-2.5786285669991056	-1.1929748745013562	nan	nan	-3.0445383960764985	nan	nan	nan	-1.4106200045220358	nan	-1.0319461224206405	nan	-2.034160316911986	nan	nan	-1.2539452647030596	nan	-2.736965594166206
OG0002954.0	OG0000310.18	OG0001557.1	OG0004226.0	OG0006642.0	OG0000010.64	OG0004989.0	OG0011211.0	OG0005109.6	OG0002009.0	OG0000349.0	OG0002448.22	OG0003197.4	OG0004238.6	OG0005057.0	OG0000027.457	OG0002768.0	OG0000302.34	OG0000753.0	OG0046003.0	OG0001851.2
-3.0746081599075428	-2.038598926835721	-1.5546970578634869	-2.41119543298445	nan	-1.2539452647030596	nan	nan	nan	nan	-2.168122758808327	-1.7328837381195954	-1.386468347082073	nan	nan	-2.0203404482841756	-1.6456606866214725	-1.68362251808027	-1.8298185422347497	nan	nan
OG0048136.0	OG0004326.0	OG0000700.36	OG0029221.0	OG0003073.0	OG0000100.1	OG0001301.24	OG0004113.4	OG0007309.0	OG0000169.16	OG0000338.41	OG0002449.21	OG0012206.0	OG0000121.128	OG0000857.0	OG0009061.6	OG0007555.0	OG0005939.0	OG0006414.0	OG0000002.1788	OG0000239.0
nan	nan	-2.4579896444633906	nan	-2.415037499278844	-1.2696861137062239	nan	-1.2048980418771755	nan	-1.3980183001673634	-1.8624964762500653	nan	nan	-2.1053180261449205	-1.7948577593747017	nan	-3.0150825945730797	nan	nan	-1.291945228671648	-1.5137490111158916
OG0009779.2	OG0006236.0	OG0007778.4	OG0005266.0	OG0004694.0	OG0000616.40	OG0004460.9	OG0002185.6	OG0014516.2	OG0000318.0	OG0028566.0	OG0001155.24	OG0004737.6	OG0005099.0	OG0000121.128	OG0000035.64	OG0004569.0	OG0000142.14	OG0003459.2	OG0000039.0	OG0000431.12
nan	nan	nan	nan	nan	-1.7968615028091515	nan	-2.3316993014613505	nan	-3.0445383960764985	nan	nan	nan	nan	-2.1053180261449205	-1.5332423842738285	-2.4281775931667964	-1.4301200938519236	-0.5319902259071676	-1.3118644115426648	-1.9503692322753996
