OG0004710.2	OG0001698.26	OG0000027.457	OG0001643.24	OG0016785.2	OG0001566.2	OG0012896.0	OG0000471.2	OG0022825.0	OG0012926.0
0.15399549999999998	nan	nan	nan	2.935956	nan	1.1306889999999998	nan	1.445711	2.960436
OG0060556.0	OG0013679.0	OG0044964.0	OG0004741.0	OG0023559.0	OG0026968.0	OG0022182.0	OG0012866.6	OG0004669.1	OG0014855.1
1.52836	20.18874	258.9985	16.66169	nan	1.8593669999999998	1.485211	3.74539	1.421918	2.895189
OG0021483.0	OG0020392.0	OG0045062.0	OG0057438.0	OG0046785.0	OG0009947.2	OG0011655.12	OG0028856.0	OG0014592.0	OG0056955.0
2.675559	1.448403	263.6528	2.735153	262.1069	nan	2.441295	2.297252	3.127264	2.786989
OG0004297.2	OG0000478.2	OG0005167.4	OG0029079.0	OG0005347.11	OG0012466.13	OG0000706.25	OG0027960.0	OG0060394.0	OG0047959.0
118.2196	1.8638139999999999	nan	3.736624	4.642393	2.683209	nan	1.512694	1.531328	3.78243
OG0014083.1	OG0015193.7	OG0005598.25	OG0004762.1	OG0044357.0	OG0000313.0	OG0037839.0	OG0005975.16	OG0000452.0	OG0009291.7
3.3278519999999996	1.450642	3.747272	45.2797	1.45346	3.444993	3.0646970000000002	3.260557	3.786457	3.765346
OG0000441.1	OG0002445.82	OG0048920.0	OG0021654.0	OG0023157.0	OG0047436.0	OG0045956.0	OG0004371.2	OG0034580.0	OG0043853.0
nan	1.9361169999999999	2.385332	3.7080300000000004	1.93915	3.370557	269.2561	0.5269508	1.4436200000000001	2.806062
OG0005602.8	OG0003869.12	OG0046805.0	OG0015633.3	OG0045264.0	OG0012385.12	OG0002210.0	OG0053801.0	OG0017779.6	OG0041753.0
4.429239	115.9501	265.9551	nan	257.535	2.667939	nan	2.5324459999999998	2.670519	3.268581
OG0007861.0	OG0019883.0	OG0022368.0	OG0006747.18	OG0020930.0	OG0021957.0	OG0015093.9	OG0011221.2	OG0004536.0	OG0019207.0
3.2393970000000003	251.9275	3.3287760000000004	3.2386169999999996	1.492797	3.237453	3.2628790000000003	2.839809	1.498107	1.448919
OG0047439.0	OG0007888.4	OG0012424.10	OG0006016.4	OG0045364.0	OG0017964.4	OG0018867.2	OG0003620.0	OG0002403.0	OG0004519.0
3.4148110000000003	nan	3.154626	220.8625	261.7906	3.149251	3.25552	nan	2.124291	119.0038
OG0015308.0	OG0041572.0	OG0046237.0	OG0027847.0	OG0014637.1	OG0001066.26	OG0002730.20	OG0049162.0	OG0005860.0	OG0045371.0
2.630066	3.27374	264.383	258.9542	7.9795110000000005	nan	45.734609999999996	2.386959	nan	nan
OG0014097.5	OG0013439.2	OG0001110.108	OG0019393.0	OG0017150.4	OG0022858.0	OG0044637.0	OG0001725.29	OG0043966.0	OG0013816.1
3.250899	nan	nan	1.942755	1.241288	1.460576	1.8799990000000002	2.244303	2.684622	3.344563
OG0056947.0	OG0017249.0	OG0034510.0	OG0008757.0	OG0000539.1	OG0057027.0	OG0002358.24	OG0013654.3	OG0001853.0	OG0007727.1
2.726121	3.2160889999999998	1.45138	3.2170360000000002	nan	2.523158	nan	nan	nan	2.976804
OG0027524.0	OG0000789.1	OG0016418.3	OG0012388.0	OG0005430.1	OG0056877.0	OG0005391.2	OG0003042.54	OG0010589.8	OG0044286.0
1.390458	nan	2.133664	1.8028990000000003	3.760185	2.651231	4.059165	3.961267	223.8356	2.777015
OG0002437.4	OG0034714.0	OG0006965.6	OG0006407.1	OG0045257.0	OG0002100.0	OG0054004.0	OG0043729.0	OG0013888.0	OG0005727.0
11.35545	1.457904	4.586575	1.963657	252.4408	nan	2.5389150000000003	1.479056	2.3451619999999997	215.2466
OG0046990.0	OG0025605.0	OG0022011.0	OG0034811.0	OG0060546.0	OG0000092.1	OG0006521.0	OG0001407.24	OG0000648.5	OG0017147.0
262.0786	nan	3.2684830000000002	nan	1.531844	nan	214.8604	nan	1.063886	1.197652
OG0048190.0	OG0000838.0	OG0044831.0	OG0020685.0	OG0057049.0	OG0022620.0	OG0029948.0	OG0004799.0	OG0017517.1	OG0008974.17
3.786283	3.3543730000000003	1.8686919999999998	2.420974	2.573864	3.753913	2.67633	3.923964	1.459752	1.4374559999999998
OG0005794.2	OG0013568.4	OG0006444.0	OG0012753.7	OG0044059.0	OG0007356.0	OG0018946.3	OG0027123.0	OG0003707.0	OG0013530.0
2.674187	7.993705	5.5504050000000005	1.2855459999999999	2.465767	4.045864	1.494141	1.432564	7.963651	1.162827
OG0022310.0	OG0000460.168	OG0001762.24	OG0037860.0	OG0008995.2	OG0046167.0	OG0017997.4	OG0057017.0	OG0008670.2	OG0045763.0
265.0075	4.581799	6.341988	3.061771	0.5310395	nan	6.29338	nan	4.5320089999999995	253.1497
OG0046163.0	OG0014787.0	OG0028986.0	OG0006823.4	OG0038627.0	OG0015961.8	OG0009133.1	OG0001397.24	OG0047390.0	OG0008356.17
251.5234	1.267276	2.705459	0.6182908	3.397375	2.38869	1.810543	nan	nan	nan
OG0020465.0	OG0010658.0	OG0023121.0	OG0001604.2	OG0013047.0	OG0014553.9	OG0006546.0	OG0034864.0	OG0006014.0	OG0045415.0
3.3532870000000004	2.246474	1.931544	13.83036	1.711211	3.285007	4.251530000000001	2.221367	26.418590000000002	269.1222
OG0008354.0	OG0002629.7	OG0027492.0	OG0026920.0	OG0041515.0	OG0014093.9	OG0007589.18	OG0029026.0	OG0043407.0	OG0029178.0
3.7439760000000004	26.27157	1.4862959999999998	3.250298	3.263362	2.690425	4.536917	3.7662980000000004	1.486799	2.683046
OG0028296.0	OG0057310.0	OG0002200.3	OG0007142.4	OG0019034.5	OG0024444.0	OG0006967.13	OG0014659.1	OG0006304.2	OG0027512.0
3.734869	1.505635	2.35586	7.433261	265.9651	1.869059	nan	8.048446	217.9933	1.478108
OG0056616.0	OG0017484.2	OG0011300.1	OG0003801.0	OG0014825.1	OG0011720.2	OG0027847.0	OG0005439.4	OG0046175.0	OG0007235.10
2.701925	3.7317839999999998	225.1679	nan	258.7222	3.7278589999999996	258.9542	9.776226	262.7572	nan
OG0002688.0	OG0018896.0	OG0020412.0	OG0038826.0	OG0014047.2	OG0060466.0	OG0044550.0	OG0026942.0	OG0006421.0	OG0011493.6
4.5339	2.346014	1.509762	3.40153	1.614529	1.525488	1.477565	3.270316	2.329615	nan
OG0007876.21	OG0001156.1	OG0056834.0	OG0027883.0	OG0045317.0	OG0017433.3	OG0005083.0	OG0006574.0	OG0027428.0	OG0027630.0
3.371807	nan	2.738723	267.0325	262.6648	2.560137	8.40816	219.4391	1.475259	2.637178
OG0008553.0	OG0020238.0	OG0001447.24	OG0034893.0	OG0038663.0	OG0009194.1	OG0000501.29	OG0009269.4	OG0000251.0	OG0025433.0
167.66299999999998	2.626034	nan	2.217082	3.4066669999999997	1.170305	nan	3.4583809999999997	1.5115610000000002	1.529556
OG0025815.0	OG0001619.0	OG0054087.0	OG0004006.0	OG0019599.0	OG0013096.0	OG0000569.0	OG0046515.0	OG0014845.2	OG0007477.8
nan	2.739417	2.601456	21.61156	2.701179	4.485494	1.4328450000000001	271.6105	2.786153	3.199934
OG0004344.0	OG0006965.6	OG0013784.3	OG0047079.0	OG0000048.38	OG0013466.11	OG0056670.0	OG0007766.0	OG0046745.0	OG0003459.2
2.261588	4.586575	1.4920719999999998	3.393676	nan	1.488584	2.518631	1.867157	265.2406	nan
OG0046613.0	OG0000129.29	OG0018172.6	OG0004049.8	OG0035539.0	OG0014809.3	OG0000728.24	OG0012055.0	OG0030064.0	OG0019062.1
259.6076	3.9428339999999995	1.300764	1.2807549999999999	2.614344	nan	nan	3.259946	2.603121	3.799889
OG0056516.0	OG0018390.2	OG0003201.2	OG0013176.12	OG0027245.0	OG0016536.5	OG0037827.0	OG0056650.0	OG0047413.0	OG0001216.24
2.2356759999999998	2.188848	26.34345	2.435182	1.501274	1.864154	3.055063	2.617871	3.374278	nan
OG0057452.0	OG0045970.0	OG0012298.11	OG0044024.0	OG0012449.12	OG0045053.0	OG0000381.0	OG0006761.1	OG0028196.0	OG0004224.40
2.8796459999999997	263.343	2.654687	2.885586	2.555699	267.895	3.8080800000000004	4.625821	3.7688269999999995	2.515622
OG0018165.3	OG0003484.0	OG0011910.0	OG0054122.0	OG0045827.0	OG0009220.12	OG0020455.0	OG0002823.0	OG0046950.0	OG0057447.0
1.312789	45.77101	0.9715872	2.54981	260.0869	nan	3.356246	nan	259.4835	2.713552
OG0004842.6	OG0002645.26	OG0007119.0	OG0025813.0	OG0002344.12	OG0021986.0	OG0044265.0	OG0044004.0	OG0034564.0	OG0004219.22
9.5442	26.798009999999998	1.614462	1.458948	0.5580598000000001	3.265937	nan	2.681536	1.447382	116.1961
OG0018994.0	OG0007430.2	OG0003909.0	OG0005464.0	OG0004532.24	OG0004002.0	OG0035601.0	OG0014821.10	OG0022861.0	OG0046398.0
2.011784	1.83217	7.864497999999999	3.0995790000000003	45.36288	16.32912	2.875341	3.018369	1.433845	252.2523
OG0002574.1	OG0011408.2	OG0007190.6	OG0047418.0	OG0005926.0	OG0056842.0	OG0046651.0	OG0014875.2	OG0011626.5	OG0014769.1
22.93204	2.417721	1.199846	3.371399	1.073356	nan	nan	257.6884	258.6825	nan
OG0027394.0	OG0038663.0	OG0005514.0	OG0008362.10	OG0013298.0	OG0008678.1	OG0018843.5	OG0009171.0	OG0016676.4	OG0048869.0
2.383475	3.4066669999999997	173.4892	5.419847	1.969359	4.609723000000001	3.274923	220.9565	1.973049	2.36482
OG0060537.0	OG0013303.11	OG0035678.0	OG0018401.2	OG0027837.0	OG0006977.0	OG0006379.10	OG0004815.0	OG0060405.0	OG0047973.0
1.520624	3.247593	1.299536	1.9985110000000001	252.7423	nan	1.9305830000000002	2.3205150000000003	1.5169270000000001	3.771295
OG0029996.0	OG0004720.0	OG0022066.0	OG0010701.0	OG0018246.1	OG0045027.0	OG0016098.3	OG0056892.0	OG0002602.6	OG0011588.2
2.432038	10.01198	1.236307	4.659463	259.692	259.0464	nan	2.6665259999999997	2.53346	2.581999
OG0003320.8	OG0048963.0	OG0013075.0	OG0020523.0	OG0007901.0	OG0018067.2	OG0056853.0	OG0016890.3	OG0000306.0	OG0060524.0
0.04123234	2.376371	4.515048	3.092764	5.25725	8.098258999999999	nan	3.3991309999999997	2.973932	1.5376040000000002
OG0041539.0	OG0021370.0	OG0034621.0	OG0028958.0	OG0010073.0	OG0038157.0	OG0005324.1	OG0006055.0	OG0057145.0	OG0001407.24
3.271424	3.054652	1.461123	1.4988219999999999	5.268186	nan	nan	nan	1.515101	nan
OG0013644.0	OG0011744.0	OG0000726.25	OG0012247.0	OG0045316.0	OG0008451.4	OG0049123.0	OG0024367.0	OG0015178.8	OG0016241.8
1.253272	2.958111	nan	nan	260.2571	1.069972	2.382706	2.530161	1.443219	1.497718
OG0048137.0	OG0010723.0	OG0045809.0	OG0000412.1	OG0013289.6	OG0001239.26	OG0044717.0	OG0007333.0	OG0006891.4	OG0014746.1
3.770207	4.584441	259.947	3.414451	2.660126	nan	1.8803580000000002	4.604064	216.3866	8.176875
OG0006285.0	OG0015919.4	OG0045255.0	OG0011304.4	OG0017821.6	OG0005536.1	OG0023530.0	OG0001362.22	OG0017428.3	OG0045644.0
193.2857	1.978543	257.9704	228.8475	3.7641169999999997	4.811829	2.682256	nan	2.566779	256.7946
OG0048090.0	OG0003657.0	OG0037787.0	OG0001954.0	OG0045327.0	OG0006562.0	OG0002368.0	OG0009076.4	OG0029240.0	OG0007155.6
3.741164	1.297491	3.026807	nan	257.5646	215.0692	nan	4.5850610000000005	1.5202	213.3194
OG0060551.0	OG0013485.3	OG0005645.0	OG0002647.6	OG0008252.2	OG0000884.25	OG0034297.0	OG0056883.0	OG0047545.0	OG0000397.3
1.5261959999999999	1.8607	3.664338	2.551668	4.633401	nan	1.297993	2.67941	nan	2.377341
OG0000102.0	OG0053888.0	OG0000186.266	OG0034743.0	OG0022268.0	OG0044399.0	OG0006162.4	OG0010530.0	OG0008748.2	OG0018098.1
nan	2.6889830000000003	3.280649	1.447306	1.635958	1.452712	nan	4.4333540000000005	4.302084	2.637441
OG0041640.0	OG0002540.1	OG0047008.0	OG0009169.4	OG0007035.0	OG0028284.0	OG0025952.0	OG0012671.4	OG0000836.25	OG0019275.0
3.278894	1.4484	3.349325	4.62385	nan	3.777856	1.63486	8.161782	3.257464	1.865423
OG0008769.2	OG0009181.4	OG0002598.22	OG0025254.0	OG0008055.1	OG0034796.0	OG0043457.0	OG0041903.0	OG0006196.0	OG0045055.0
4.452147	4.587891	14.093110000000001	3.2835199999999998	3.3707260000000003	2.251369	1.500435	3.23768	27.10554	263.5816
OG0044908.0	OG0023378.0	OG0013522.0	OG0047351.0	OG0013474.2	OG0012998.2	OG0003518.0	OG0001415.1	OG0022924.0	OG0027015.0
1.871119	257.6228	2.218985	3.371312	8.138143	1.3696700000000002	45.65067	nan	1.4353639999999999	3.25558
OG0007116.0	OG0022440.0	OG0000048.382	OG0024626.0	OG0005651.0	OG0005152.40	OG0004696.0	OG0011078.1	OG0002109.0	OG0020440.0
2.6700180000000002	3.7557370000000003	57.28925	1.448739	27.967290000000002	nan	8.368085	257.6787	nan	nan
OG0009132.4	OG0016194.2	OG0001281.24	OG0046979.0	OG0014367.8	OG0001578.0	OG0038832.0	OG0020600.0	OG0034307.0	OG0009012.4
1.095753	1.364617	nan	260.0827	3.7081120000000003	4.196662	3.419457	1.656332	1.297221	1.440669
OG0053951.0	OG0020308.0	OG0002339.2	OG0044717.0	OG0030109.0	OG0005652.0	OG0041589.0	OG0008776.22	OG0046459.0	OG0000576.0
2.6379599999999996	2.503325	4.036109	1.8803580000000002	2.781853	3.927219	3.264628	2.597502	276.522	nan
OG0008627.0	OG0001120.26	OG0000988.1	OG0003983.0	OG0000157.23	OG0034582.0	OG0046352.0	OG0034690.0	OG0038051.0	OG0012254.0
0.7116595	nan	nan	0.9902593000000001	0.41315150000000006	1.469903	258.1608	1.43739	nan	3.04367
OG0014363.2	OG0047148.0	OG0048056.0	OG0006074.0	OG0013996.0	OG0047449.0	OG0013900.0	OG0045012.0	OG0041923.0	OG0014833.0
nan	3.3713089999999997	3.783181	1.07764	2.973026	3.3635019999999995	226.1819	270.8674	3.298917	2.842915
OG0046406.0	OG0011268.5	OG0044586.0	OG0000145.265	OG0003906.0	OG0001838.42	OG0012314.14	OG0041614.0	OG0043425.0	OG0024617.0
