OG0004835.2	OG0000692.0	OG0004617.12	OG0004338.2	OG0000027.1	OG0004464.0	OG0000107.44	OG0000038.0	OG0012915.3	OG0009883.5
nan	1.168674852579	nan	nan	1.2433998924879999	nan	1.083809594677	1.1212888064525	nan	nan
OG0009117.4	OG0003625.28	OG0000177.8	OG0000056.0	OG0000307.20	OG0009163.11	OG0003732.8	OG0011678.0	OG0000102.0	OG0003818.6
nan	nan	0.6218149268550001	1.282486375558	1.789637389513	nan	nan	nan	0.971951479628	nan
OG0024475.0	OG0000054.0	OG0001610.50	OG0000132.40	OG0005176.0	OG0006956.0	OG0000139.0	OG0000074.152	OG0007485.0	OG0003588.2
nan	1.292170884928	1.3576877766589999	1.1010447823010001	nan	nan	1.052676666293	0.8197140026080001	nan	nan
OG0000575.28	OG0007394.2	OG0000010.64	OG0009025.0	OG0024568.0	OG0000056.0	OG0005315.0	OG0000074.152	OG0005465.0	OG0004964.6
1.1098661803679999	nan	1.554274656035	nan	nan	1.282486375558	0.157687834999	0.8197140026080001	nan	1.8436103208835
OG0000310.18	OG0005660.0	OG0006672.0	OG0000000.3460	OG0003155.34	OG0012223.0	OG0016625.0	OG0006117.2	OG0000010.475	OG0000435.0
0.690817528156	nan	nan	0.532457759409	0.6994925565710001	nan	nan	nan	1.15310424866	0.6071218988765
OG0002590.0	OG0000269.0	OG0003564.0	OG0018616.0	OG0000349.0	OG0003338.0	OG0000200.0	OG0007468.0	OG0000006.561	OG0005399.4
1.4536625645789998	0.7633616130149999	nan	nan	0.650094380765	0.445533937483	1.331348594908	nan	1.4107344300859999	nan
OG0006294.10	OG0016661.3	OG0000099.0	OG0004249.0	OG0000228.54	OG0000139.0	OG0000011.1	OG0002448.22	OG0008106.2	OG0003593.0
nan	nan	1.756948092459	nan	1.3788981457205	1.052676666293	1.841854322214	1.124112366712	nan	0.284785324093
OG0000112.0	OG0009215.1	OG0004961.2	OG0000056.0	OG0000710.0	OG0003695.0	OG0004473.2	OG0008975.0	OG0005495.0	OG0000007.3
