OG0000692.0	OG0022826.0	OG0001967.0	OG0012896.0	OG0004710.2	OG0012915.3	OG0001643.24	OG0016785.2	OG0004464.0	OG0004338.2	OG0002252.0	OG0000038.0	OG0004835.2	OG0000177.8	OG0001698.26	OG0012926.0	OG0000606.2	OG0004324.0	OG0006804.0	OG0000027.1	OG0000107.44	OG0004617.12	OG0000471.2	OG0001566.2	OG0022825.0	OG0000027.457	OG0000019.257	OG0009883.5	OG0000835.7	OG0002346.16	OG0006400.2
1.6473984951440002	nan	2.281237135478	1.679417176972	2.082919660454	0.040269093007999995	0.369064679103	0.02701875753	1.746234520076	0.776368442629	1.117918869073	2.473262479912	0.272360049985	2.415033133129	0.6943115457	1.600267473551	1.4076544377140001	1.016012969499	1.9929775891639998	1.872776103784	1.834181565819	0.42131760094899995	2.077047154	1.188815827236	nan	0.90064301314	1.5356150354440001	0.389288255639	2.534411768333	2.474016298145	1.8916717209779998
OG0038719.0	OG0001779.0	OG0053776.0	OG0011182.2	OG0009126.0	OG0011318.4	OG0048065.0	OG0029069.0	OG0018746.5	OG0010101.0	OG0014083.1	OG0016858.0	OG0041901.0	OG0006849.0	OG0006580.0	OG0044110.0	OG0047583.0	OG0007576.0	OG0000178.8	OG0045093.0	OG0023638.0	OG0002907.5	OG0045520.0	OG0010074.0	OG0028089.0	OG0001402.24	OG0016173.4	OG0022188.0	OG0015681.0	OG0000446.108	OG0046974.0
nan	2.815520935666	nan	0.6774457516410001	0.9939591404770001	0.312878989752	nan	0.0	nan	1.0943002206919998	nan	0.560927785498	nan	0.707163634026	1.055191038742	nan	nan	0.960519867725	9.484488623778	nan	nan	0.207654393404	nan	1.6186090108700002	nan	0.632282873358	0.27377037239199997	1.004138639931	1.42534572872	0.885220029873	nan
OG0054015.0	OG0003869.12	OG0044732.0	OG0012941.2	OG0008276.6	OG0000096.194	OG0004382.22	OG0046414.0	OG0037898.0	OG0004885.6	OG0006366.0	OG0018942.4	OG0019956.0	OG0049002.0	OG0004504.4	OG0026588.0	OG0018953.6	OG0021940.0	OG0046003.0	OG0005692.2	OG0045452.0	OG0019163.0	OG0045345.0	OG0018040.6	OG0022056.0	OG0025658.0	OG0001590.23	OG0048153.0	OG0048887.0	OG0020553.0	OG0017744.4
nan	0.715356568942	nan	0.7000140929430001	0.086267677311	0.8168224253890001	1.473784523711	nan	nan	0.9687213172799999	0.6537376749889999	0.283564510479	0.0	nan	0.39859416115099994	nan	nan	1.885741663591	nan	0.558763670226	nan	nan	nan	nan	nan	nan	nan	nan	nan	0.11810109554000002	nan
OG0056659.0	OG0045253.0	OG0004252.0	OG0004177.4	OG0038613.0	OG0012985.0	OG0007406.0	OG0004945.0	OG0016261.0	OG0037863.0	OG0045362.0	OG0011952.0	OG0011225.0	OG0020238.0	OG0004024.2	OG0027505.0	OG0014537.0	OG0012070.2	OG0044418.0	OG0005558.1	OG0044957.0	OG0008126.4	OG0026276.0	OG0021277.0	OG0017984.1	OG0038653.0	OG0007192.0	OG0046223.0	OG0010145.0	OG0041885.0	OG0016868.0
nan	nan	0.5753853863889999	1.0227461909559998	nan	0.538514540875	0.289896108843	1.6392864516830001	0.142981829765	nan	nan	0.39970063491499996	0.7921740124750001	nan	3.504318115075	nan	0.8298185569580001	0.193527832373	nan	0.36956683598800005	nan	2.094376811255	nan	0.040263737923	0.14300831665	nan	1.8533778546900002	nan	1.367270562243	nan	1.3695889803760002
OG0000089.390	OG0000348.4	OG0002604.2	OG0041714.0	OG0009994.20	OG0002301.1	OG0043642.0	OG0008928.8	OG0022233.0	OG0011910.0	OG0011345.0	OG0043533.0	OG0041554.0	OG0053919.0	OG0045255.0	OG0056902.0	OG0005936.0	OG0007212.0	OG0046592.0	OG0034318.0	OG0001030.26	OG0056793.0	OG0006663.0	OG0017766.5	OG0057148.0	OG0006196.0	OG0000864.26	OG0007822.0	OG0056663.0	OG0024670.0	OG0017841.6
nan	20.0	2.311849107718	nan	nan	1.302033227164	nan	0.351947482373	0.8684057653849999	1.8669788614710001	0.790214772769	nan	nan	nan	nan	nan	1.543180056263	0.22761295310199997	nan	nan	1.1695185019299998	nan	0.293589421211	nan	nan	1.726473666172	1.308637438304	1.209997628295	nan	nan	nan
OG0041647.0	OG0005639.0	OG0028126.0	OG0000017.1174	OG0018804.2	OG0041919.0	OG0027837.0	OG0053775.0	OG0048059.0	OG0010877.4	OG0003809.0	OG0001873.22	OG0006865.6	OG0034581.0	OG0056991.0	OG0022775.0	OG0004133.0	OG0010866.17	OG0020395.0	OG0017756.6	OG0013066.8	OG0034798.0	OG0024810.0	OG0023466.0	OG0000634.26	OG0001756.0	OG0001618.1	OG0004864.0	OG0003351.0	OG0012771.2	OG0014062.0
