OG0009883.5	OG0000692.0	OG0012915.3	OG0004617.12	OG0004835.2	OG0004464.0	OG0004338.2	OG0000107.44	OG0000038.0	OG0000027.1
2.176515	1.869573	3.008715	102.6965	9.56423	4.647137	2.10256	0.2686815	1.9685840000000001	nan
OG0008656.1	OG0010913.0	OG0043411.0	OG0008443.1	OG0010756.0	OG0004568.1	OG0005507.10	OG0014125.1	OG0015179.2	OG0003049.0
257.4824	0.9401725000000001	1.480424	1.7876020000000001	4.845228	0.7544267	27.99798	3.3639379999999997	1.497759	3.9032730000000004
OG0014810.0	OG0006647.0	OG0047150.0	OG0015093.3	OG0014620.0	OG0013321.0	OG0047353.0	OG0015979.6	OG0053810.0	OG0024522.0
5.620786	222.3091	3.3885370000000004	3.266778	1.922159	2.655607	3.3868110000000002	6.400097	2.669692	3.039002
OG0038154.0	OG0011720.2	OG0001184.24	OG0014502.4	OG0016791.0	OG0017901.0	OG0005646.0	OG0047603.0	OG0016776.5	OG0035803.0
2.6284810000000003	3.7400559999999996	nan	3.748589	1.266065	2.8460650000000003	90.49615	3.345138	1.45823	1.305998
OG0002993.1	OG0006460.2	OG0004302.0	OG0010095.2	OG0018256.2	OG0019234.0	OG0016149.0	OG0023958.0	OG0035604.0	OG0008532.6
12.297369999999999	2.953231	21.46402	3.480165	20.10245	2.97139	8.040655000000001	2.606331	2.829272	1.431301
OG0047378.0	OG0021370.0	OG0005619.0	OG0044416.0	OG0009877.2	OG0001321.26	OG0007340.4	OG0003483.0	OG0005694.0	OG0007523.4
3.36475	3.095208	12.53238	1.440084	0.866934	nan	4.631622	45.54327	2.874566	2.1682650000000003
OG0005991.0	OG0027772.0	OG0047976.0	OG0004954.6	OG0044358.0	OG0007191.0	OG0013191.3	OG0004616.0	OG0004779.4	OG0047138.0
10.564589999999999	258.4146	3.740718	6.976137	1.4522059999999999	3.357325	3.250414	4.063804	3.230276	3.3304080000000003
OG0002837.4	OG0028115.0	OG0049164.0	OG0056784.0	OG0022867.0	OG0013146.12	OG0004192.0	OG0002822.4	OG0013064.11	OG0056535.0
4.418728	3.763096	2.3744509999999996	2.5584029999999998	1.450741	256.2619	11.5244	2.717821	3.270581	2.404973
OG0043411.0	OG0002275.1	OG0041811.0	OG0014872.6	OG0045830.0	OG0009903.19	OG0009192.20	OG0016201.4	OG0021215.0	OG0008668.22
1.480424	0.9557901	3.24602	2.168776	256.1068	2.683643	3.756753	8.060374000000001	3.023066	3.2688610000000002
OG0007261.0	OG0018086.1	OG0012755.0	OG0003092.12	OG0003847.24	OG0012434.10	OG0011210.1	OG0017886.0	OG0012262.2	OG0009136.10
1.002687	2.211755	2.284431	6.173488	30.9037	2.688161	2.823675	1.174084	1.3438940000000001	3.282924
OG0046313.0	OG0012742.0	OG0008267.1	OG0026998.0	OG0045270.0	OG0002791.5	OG0007491.0	OG0045908.0	OG0002575.0	OG0045159.0
260.6199	nan	3.269573	3.735954	255.2431	3.588203	145.6262	259.0083	4.320736	249.0565
OG0013242.12	OG0038112.0	OG0018377.6	OG0028092.0	OG0048119.0	OG0010010.11	OG0005530.6	OG0044896.0	OG0057497.0	OG0016432.2
2.721303	2.837949	1.485515	3.7778059999999996	3.815207	3.805594	1.25843	1.861576	2.3560369999999997	1.7377080000000003
OG0011372.0	OG0017939.0	OG0045882.0	OG0026962.0	OG0004064.0	OG0002054.0	OG0018828.3	OG0006467.8	OG0044960.0	OG0054085.0
1.19438	1.682422	262.4824	3.736622	16.59194	nan	3.2960339999999997	1.104463	260.1361	2.685422
OG0002961.20	OG0044238.0	OG0008946.0	OG0009783.0	OG0003897.10	OG0007724.0	OG0017321.1	OG0004085.0	OG0047042.0	OG0004026.1
3.963164	2.789211	1.289499	1.301585	0.47418640000000006	4.368041000000001	2.790663	1.749813	3.343687	0.9717662
OG0024274.0	OG0048902.0	OG0035581.0	OG0000703.24	OG0012660.2	OG0017049.5	OG0009750.1	OG0060435.0	OG0017066.3	OG0034772.0
261.2287	2.373239	2.7706009999999996	0.609648	8.146984	1.487322	3.056654	1.52094	3.311147	2.212487
OG0022172.0	OG0003204.0	OG0034958.0	OG0056852.0	OG0046916.0	OG0017354.4	OG0010785.14	OG0009290.0	OG0017216.1	OG0045026.0
3.417779	2.35925	2.212371	2.7225509999999997	253.6962	3.3996199999999996	2.3476	2.978592	267.2831	253.4999
OG0044490.0	OG0045763.0	OG0003747.6	OG0005161.27	OG0001777.24	OG0046286.0	OG0008183.0	OG0002044.0	OG0020541.0	OG0014706.0
1.446077	267.2026	3.9568589999999997	3.280107	2.234139	260.2582	3.015839	nan	3.1297639999999998	4.446425
OG0008196.2	OG0012921.6	OG0014072.3	OG0002687.0	OG0011976.0	OG0028444.0	OG0000623.24	OG0028514.0	OG0034422.0	OG0012112.2
2.3877080000000004	2.038239	3.411114	4.540583	4.683059	2.364334	2.141291	2.782391	1.2914709999999998	230.5348
OG0015949.0	OG0060481.0	OG0053945.0	OG0020530.0	OG0012750.0	OG0013006.4	OG0016930.2	OG0000367.174	OG0038909.0	OG0005105.0
2.219808	1.513466	2.574115	3.368532	2.942135	2.296817	1.920661	1.2222879999999998	3.409212	20.58192
OG0056969.0	OG0016892.2	OG0001135.4	OG0034410.0	OG0017504.5	OG0019581.0	OG0018140.2	OG0016977.2	OG0038023.0	OG0013017.9
2.774832	3.3689440000000004	232.7951	1.303568	2.692967	259.8838	1.218861	2.163312	2.861993	1.939745
OG0011618.6	OG0007726.2	OG0020337.0	OG0002136.0	OG0007475.6	OG0003096.0	OG0046805.0	OG0008585.0	OG0014610.2	OG0003450.0
2.401526	2.432261	3.079534	nan	1.299358	1.39313	252.2567	164.8256	1.1019299999999999	45.062540000000006
OG0005934.2	OG0005767.0	OG0005188.2	OG0016805.0	OG0043920.0	OG0027649.0	OG0046890.0	OG0014824.7	OG0024660.0	OG0004589.2
2.219024	5.564827999999999	10.04338	3.0217240000000003	2.835325	1.115442	263.7608	2.485788	2.064252	1.298245
OG0015548.8	OG0003152.0	OG0035013.0	OG0008348.0	OG0041815.0	OG0046084.0	OG0003962.6	OG0038890.0	OG0017896.0	OG0045065.0
1.3047870000000001	2.025471	2.246666	1.06677	3.273483	250.5868	116.7835	3.3810059999999997	2.698946	261.6121
OG0047422.0	OG0018502.6	OG0003632.26	OG0005342.24	OG0002583.0	OG0044620.0	OG0044243.0	OG0007715.0	OG0005306.0	OG0002945.0
3.3530059999999997	3.786258	186.9417	1.6795950000000002	2.815731	1.8648310000000001	2.7681419999999997	0.5145902	1.349755	4.466972
OG0016870.0	OG0019949.0	OG0017194.0	OG0027436.0	OG0011392.0	OG0046937.0	OG0004987.21	OG0004699.1	OG0017010.0	OG0017270.5
1.876254	3.3094230000000002	3.71236	3.4569019999999995	41.589729999999996	272.2118	1.312202	2.244004	0.9816538	2.704838
OG0016661.3	OG0017316.1	OG0019236.0	OG0015788.1	OG0027478.0	OG0018173.0	OG0046109.0	OG0011338.3	OG0053983.0	OG0008632.0
3.455977	2.765745	1.438776	1.446725	1.4961440000000001	1.082946	265.9096	1.706325	2.618649	1.174715
OG0026979.0	OG0008212.0	OG0011412.1	OG0011697.4	OG0046084.0	OG0057424.0	OG0007108.26	OG0022011.0	OG0020456.0	OG0056533.0
3.26262	2.7606479999999998	1.6468450000000001	3.7907019999999996	250.5868	2.848691	262.4129	3.269189	3.379475	2.330387
OG0025682.0	OG0027456.0	OG0004455.4	OG0056786.0	OG0041751.0	OG0010807.2	OG0006055.0	OG0000247.29	OG0015228.4	OG0028054.0
3.0523290000000003	1.494833	1.9222299999999999	2.682953	3.265304	3.3584300000000002	0.5284401999999999	nan	1.96767	3.767723
OG0056808.0	OG0000292.60	OG0034273.0	OG0057185.0	OG0044546.0	OG0005990.0	OG0017316.1	OG0019742.0	OG0005651.0	OG0005346.24
2.554401	2.211067	1.3078370000000001	1.507583	1.435288	26.437540000000002	2.765745	3.281967	28.08138	3.276231
OG0013882.4	OG0012811.9	OG0009042.2	OG0011578.3	OG0010720.2	OG0009782.21	OG0023453.0	OG0027202.0	OG0005199.18	OG0047140.0
3.009656	2.676669	3.2955099999999997	2.865975	4.590847	3.8178870000000003	3.06737	2.475605	187.5967	3.336498
OG0016409.0	OG0046290.0	OG0023207.0	OG0020847.0	OG0004695.0	OG0009993.0	OG0006491.0	OG0004451.2	OG0005534.0	OG0018503.5
1.6674790000000002	259.4686	2.752261	1.958839	9.71013	3.127395	0.5872075	19.16304	45.08184	3.7424410000000004
OG0014254.6	OG0045419.0	OG0002882.0	OG0002755.0	OG0005501.1	OG0002248.0	OG0012094.2	OG0011338.3	OG0017899.1	OG0022092.0
3.256061	260.9427	1.043963	nan	4.954066	nan	2.173413	1.706325	1.156096	1.512159
OG0010658.0	OG0015709.7	OG0001839.6	OG0046906.0	OG0020243.0	OG0000872.42	OG0053904.0	OG0015454.1	OG0007983.8	OG0045565.0
2.259529	2.519217	5.500494000000001	260.161	2.663392	0.7543272	2.290978	3.3592800000000005	4.620948	260.2707
OG0001235.24	OG0045951.0	OG0012699.1	OG0010086.5	OG0012122.1	OG0020267.0	OG0056980.0	OG0005304.0	OG0014785.2	OG0035560.0
nan	252.4415	1.774216	3.27238	222.9797	6.363509	2.5285759999999997	2.363321	3.426883	2.583395
OG0006785.2	OG0060358.0	OG0038680.0	OG0004690.6	OG0012651.6	OG0030135.0	OG0037740.0	OG0045301.0	OG0005535.2	OG0017257.0
1.094424	1.531659	3.4178029999999997	8.350361999999999	1.565057	2.722871	3.0600959999999997	261.0713	4.004766	2.177562
OG0000019.2	OG0012655.0	OG0014669.4	OG0034791.0	OG0048157.0	OG0034608.0	OG0018373.0	OG0005788.6	OG0046652.0	OG0016929.0
nan	1.135258	8.063444	2.242839	3.763474	1.447201	0.9755184000000001	0.9460314000000001	263.8289	1.977387
OG0011599.5	OG0015566.2	OG0002232.24	OG0044348.0	OG0021979.0	OG0060348.0	OG0046656.0	OG0046389.0	OG0008697.2	OG0045740.0
3.747535	3.785925	5.343876	1.468676	3.3172449999999998	1.50455	260.3733	268.2095	1.558673	254.1265
OG0007680.12	OG0018416.0	OG0034550.0	OG0048129.0	OG0047436.0	OG0016430.7	OG0028461.0	OG0024816.0	OG0021191.0	OG0008762.0
1.702635	1.8089560000000002	1.4623709999999999	3.7794300000000005	3.333603	3.0500700000000003	2.429248	2.220087	3.0782540000000003	2.0634099999999997
OG0056765.0	OG0011397.0	OG0001293.1	OG0003310.2	OG0013446.4	OG0008712.0	OG0005936.0	OG0022044.0	OG0003071.0	OG0047382.0
2.448815	2.0794189999999997	nan	116.1664	3.752619	4.570441000000001	2.154705	1.8530259999999998	2.3776639999999998	3.4097660000000003
OG0013332.12	OG0045078.0	OG0035613.0	OG0004346.4	OG0000106.6	OG0006372.2	OG0008752.0	OG0004216.0	OG0002755.0	OG0019216.0
2.376983	255.5395	2.83166	1.114408	nan	0.686807	2.366409	4.836359	nan	1.491475
OG0003284.0	OG0008220.4	OG0047470.0	OG0057460.0	OG0006961.0	OG0049159.0	OG0003676.0	OG0015160.3	OG0014756.3	OG0026983.0
218.0533	2.981833	3.365997	2.753786	217.2721	2.3542490000000003	22.978620000000003	3.017834	8.089495	3.268522
OG0000832.1	OG0015406.0	OG0000788.3	OG0011415.2	OG0007104.0	OG0011251.0	OG0038846.0	OG0019632.0	OG0010898.17	OG0016174.4
5.358154	2.0099709999999997	3.04855	2.946996	1.4539739999999999	2.244453	3.3991620000000005	3.3806879999999997	2.689458	6.331007
OG0003091.24	OG0044011.0	OG0004865.2	OG0005723.0	OG0017471.0	OG0007559.0	OG0029130.0	OG0019408.0	OG0012393.13	OG0004628.2
5.667776	2.6473880000000003	4.120721	170.8579	1.526792	4.6558269999999995	3.76493	2.117741	2.67559	15.03086
OG0002505.16	OG0060337.0	OG0010521.4	OG0001808.40	OG0016199.2	OG0015926.8	OG0022245.0	OG0019889.0	OG0000013.994	OG0004695.0
2.549395	1.5117610000000001	1.25832	2.981732	8.186735	2.876543	1.502153	3.3725940000000003	nan	9.71013
OG0020592.0	OG0045685.0	OG0002620.44	OG0006418.0	OG0007096.24	OG0017521.6	OG0016905.3	OG0012464.0	OG0044851.0	OG0047107.0
3.137959	262.3363	5.839222	9.610147999999999	1.3013	2.525859	1.117913	3.005835	1.8763470000000002	3.342968
OG0002459.0	OG0034840.0	OG0008519.0	OG0046523.0	OG0047166.0	OG0001125.24	OG0009140.4	OG0047275.0	OG0037864.0	OG0007849.2
3.569425	2.210905	3.664167	261.962	3.339896	nan	4.294688	3.3369980000000004	3.088522	2.360709
OG0008364.0	OG0023530.0	OG0009946.2	OG0045621.0	OG0005620.0	OG0046668.0	OG0044579.0	OG0044617.0	OG0001319.1	OG0038700.0
2.088375	2.702864	4.555845	259.587	12.346119999999999	257.6703	1.438151	1.8815520000000001	nan	3.4025550000000004
OG0019176.0	OG0004048.0	OG0009213.17	OG0011963.2	OG0023226.0	OG0017370.6	OG0013476.2	OG0019169.0	OG0028283.0	OG0047966.0
1.6624330000000003	1.545791	3.2136880000000003	1.652828	3.066891	3.29755	8.05829	1.462816	3.7521190000000004	3.805795
OG0013552.0	OG0014325.3	OG0027068.0	OG0005960.8	OG0044401.0	OG0057428.0	OG0014858.0	OG0030049.0	OG0047426.0	OG0029573.0
1.950246	3.300045	2.67801	216.1772	1.458025	2.64086	0.8673301999999999	2.709723	3.3730019999999996	1.4495069999999999
OG0029001.0	OG0010861.0	OG0038685.0	OG0056548.0	OG0034780.0	OG0006095.0	OG0007919.2	OG0045504.0	OG0024677.0	OG0018078.1
3.7515339999999995	4.5057160000000005	3.402831	2.557446	2.217166	2.866797	4.623578	255.8651	1.9284299999999999	2.225584
OG0037769.0	OG0025088.0	OG0038127.0	OG0002670.1	OG0046262.0	OG0007398.0	OG0048796.0	OG0011222.2	OG0001073.24	OG0002542.24
3.080848	1.300344	2.842803	5.105256	262.7843	1.176925	2.354248	2.88004	2.2268790000000003	218.9166
OG0008290.0	OG0022338.0	OG0000676.120	OG0013547.0	OG0014706.0	OG0000914.30	OG0013505.0	OG0007534.0	OG0005533.0	OG0018079.3
4.594722	20.262629999999998	1.918991	2.7175849999999997	4.446425	2.235387	3.348286	146.6054	45.120020000000004	6.378023000000001
OG0000009.802	OG0012085.13	OG0000764.26	OG0003563.2	OG0002917.0	OG0048806.0	OG0005098.0	OG0020396.0	OG0004264.1	OG0016050.6
1.280227	1.450097	1.487135	5.08292	3.663097	2.3679930000000002	1.626391	1.8635599999999999	1.074059	3.062493
OG0046623.0	OG0005588.4	OG0027935.0	OG0024810.0	OG0001708.32	OG0000306.0	OG0000379.0	OG0002762.95	OG0015134.4	OG0004490.2
266.1565	4.715224	3.337249	6.41718	0.7527957	1.0569520000000001	3.1659740000000003	2.66803	3.371979	1.297205
OG0008357.6	OG0005707.4	OG0046549.0	OG0047256.0	OG0012490.0	OG0044241.0	OG0048895.0	OG0024650.0	OG0004736.6	OG0012293.4
1.707516	26.495829999999998	259.4095	3.385136	2.2592209999999997	2.75009	2.352607	1.108455	3.7388519999999996	2.224118
OG0057209.0	OG0005545.0	OG0008103.4	OG0056532.0	OG0008619.3	OG0001597.32	OG0016211.0	OG0004635.2	OG0054120.0	OG0046437.0
1.504327	219.5365	1.173295	2.6244389999999997	10.22465	1.863559	1.182818	1.385313	2.4121349999999997	253.9554
OG0045726.0	OG0021959.0	OG0043612.0	OG0017213.5	OG0027829.0	OG0038651.0	OG0043528.0	OG0028448.0	OG0003492.0	OG0007065.7
251.3002	3.261247	1.4830139999999998	2.424079	256.41200000000003	3.4385190000000003	1.4757870000000002	2.337944	44.95639	3.239788
OG0015514.3	OG0056977.0	OG0024320.0	OG0003606.1	OG0001644.0	OG0005903.2	OG0000762.2	OG0008542.0	OG0026913.0	OG0015200.2
2.796033	2.6588380000000003	2.716287	3.100365	nan	3.119322	5.088731	2.880893	1.521197	2.4857139999999998
OG0043912.0	OG0000245.1	OG0017773.5	OG0054102.0	OG0000600.26	OG0045076.0	OG0025210.0	OG0028192.0	OG0000511.0	OG0045657.0
2.621391	2.06635	2.673162	2.630736	2.2756950000000002	258.2256	3.366657	3.781273	nan	262.836
OG0047595.0	OG0045195.0	OG0010665.0	OG0003311.0	OG0044358.0	OG0004164.0	OG0000050.0	OG0011266.10	OG0001383.24	OG0056717.0
3.3370230000000003	259.5623	42.56347	10.06655	1.4522059999999999	3.5761339999999997	nan	258.5967	nan	2.376634
OG0003462.0	OG0046164.0	OG0021993.0	OG0060435.0	OG0007509.2	OG0016833.2	OG0003157.31	OG0002868.0	OG0043384.0	OG0003264.4
45.94775	263.8273	3.241952	1.52094	5.30719	3.407682	9.630413	3.964409	1.4741090000000001	223.3736
OG0000135.128	OG0022038.0	OG0025960.0	OG0004456.0	OG0047272.0	OG0001653.5	OG0018982.0	OG0029110.0	OG0030133.0	OG0044125.0
nan	259.8235	2.8879759999999997	1.214915	3.3882529999999997	8.148949	4.3845339999999995	2.0494830000000004	2.603231	2.719176
OG0006844.0	OG0005426.10	OG0003527.29	OG0023393.0	OG0037828.0	OG0047372.0	OG0001636.12	OG0007888.4	OG0057107.0	OG0016965.4
3.6433910000000003	6.569546000000001	3.476454	3.253734	3.036507	3.3414029999999997	261.4398	220.8466	2.746839	1.932591
OG0034953.0	OG0001128.24	OG0043441.0	OG0004256.2	OG0015610.8	OG0000346.14	OG0003961.0	OG0018389.0	OG0029061.0	OG0020923.0
2.228059	nan	1.498605	3.2800239999999996	3.2444889999999997	5.415355	4.96587	70.56076999999999	3.739242	1.997484
OG0034518.0	OG0013833.0	OG0047943.0	OG0026585.0	OG0024352.0	OG0015677.0	OG0025109.0	OG0019318.0	OG0001113.24	OG0015514.3
1.453738	2.245637	3.8126900000000004	2.349114	3.263056	1.402734	1.299758	3.7526550000000003	3.275391	2.796033
OG0018843.5	OG0000454.0	OG0009075.0	OG0014059.0	OG0019934.0	OG0008681.0	OG0003640.9	OG0045209.0	OG0024727.0	OG0041738.0
