OG0006400.2	OG0000177.8	OG0006804.0	OG0004338.2	OG0022826.0	OG0004324.0	OG0002346.16	OG0002252.0	OG0004835.2	OG0004464.0	OG0000038.0	OG0004617.12	OG0001967.0	OG0000107.44	OG0000692.0	OG0000835.7	OG0000019.257	OG0000606.2	OG0012915.3	OG0009883.5	OG0000027.1
1.236635	nan	1.060669	2.10256	1.439683	3.189307	1.678453	nan	9.56423	4.647137	1.9685840000000001	102.6965	0.5640989000000001	0.2686815	1.869573	1.015206	1.157585	0.8135521	3.008715	2.176515	nan
OG0046571.0	OG0016839.3	OG0043434.0	OG0016469.2	OG0007133.1	OG0006596.0	OG0037987.0	OG0034863.0	OG0009070.4	OG0044964.0	OG0014998.8	OG0019849.0	OG0001180.24	OG0000053.0	OG0008622.0	OG0008262.0	OG0005954.22	OG0007492.4	OG0000693.9	OG0027676.0	OG0046749.0
261.822	3.046291	1.47371	6.183232	2.157028	219.2981	2.831739	2.2282610000000003	4.629303	256.5203	252.2404	3.3598489999999996	nan	2.283952	3.0755310000000002	1.798316	4.480862999999999	2.953057	3.4042879999999998	1.470516	259.3871
OG0030002.0	OG0018776.5	OG0015093.9	OG0045091.0	OG0043348.0	OG0014860.1	OG0020682.0	OG0012331.2	OG0003677.0	OG0009154.6	OG0007752.0	OG0002782.0	OG0038032.0	OG0010777.2	OG0060417.0	OG0016896.2	OG0006313.0	OG0003380.16	OG0006574.0	OG0014601.0	OG0011268.5
2.3207400000000002	3.250731	3.282982	257.5061	1.488597	2.404123	2.223146	259.0442	45.68396	3.742603	2.425679	3.423779	2.6068990000000003	2.245896	1.5137260000000001	1.300646	26.4088	14.807970000000001	215.51	1.456469	2.502066
OG0003468.0	OG0053772.0	OG0029000.0	OG0044810.0	OG0008260.19	OG0016323.2	OG0007110.16	OG0013858.3	OG0020433.0	OG0011587.0	OG0048148.0	OG0023240.0	OG0018120.3	OG0035597.0	OG0049142.0	OG0041832.0	OG0014014.2	OG0010597.0	OG0014625.0	OG0016980.0	OG0014647.1
45.815	2.548938	2.310004	1.865868	3.272811	3.763383	259.2855	1.489001	3.3415529999999998	2.249313	3.7756849999999997	2.664072	3.745653	2.761102	2.354147	3.2884599999999997	3.207208	2.881038	1.6876400000000003	1.567893	8.047189
OG0041934.0	OG0001696.0	OG0045622.0	OG0027680.0	OG0001145.3	OG0008253.2	OG0019818.0	OG0007559.0	OG0046290.0	OG0003145.0	OG0005245.10	OG0002552.0	OG0006868.4	OG0004604.6	OG0034287.0	OG0027757.0	OG0043359.0	OG0003770.8	OG0001075.1	OG0006342.12	OG0014619.0
3.244679	1.0970799999999998	265.9607	1.4600600000000001	nan	4.626944	3.4547199999999996	4.6558269999999995	259.4686	224.6559	6.898038000000001	1.4571290000000001	4.365933999999999	3.229526	1.307524	266.7319	1.483953	9.484088	nan	2.46549	1.495903
OG0015257.5	OG0008537.0	OG0028991.0	OG0046669.0	OG0001979.1	OG0024790.0	OG0011010.4	OG0041838.0	OG0024962.0	OG0048033.0	OG0016410.2	OG0060486.0	OG0035782.0	OG0057382.0	OG0006474.4	OG0024466.0	OG0013856.2	OG0007323.1	OG0044779.0	OG0005930.6	OG0016301.7
