OG0006400.2	OG0000177.8	OG0006804.0	OG0004338.2	OG0022826.0	OG0004324.0	OG0002346.16	OG0002252.0	OG0004835.2	OG0004464.0	OG0000038.0	OG0004617.12	OG0001967.0	OG0000107.44	OG0000692.0	OG0000835.7	OG0000019.257	OG0000606.2	OG0012915.3	OG0009883.5	OG0000027.1
5.2578598702908	5.955284279267988	3.3471865635528135	3.1718221101701016	nan	4.037556234354109	2.7483891364840862	0.6421388859096409	0.7131066658987535	4.796337093549347	8.28439494743276	2.5915616660558416	6.72934923610745	7.635567466058466	5.3046131075363325	3.792281048797407	4.846145263580903	5.666171523074633	-0.574025449900363	2.57008927430335	7.848726000425037
OG0046571.0	OG0016839.3	OG0043434.0	OG0016469.2	OG0007133.1	OG0006596.0	OG0037987.0	OG0034863.0	OG0009070.4	OG0044964.0	OG0014998.8	OG0019849.0	OG0001180.24	OG0000053.0	OG0008622.0	OG0008262.0	OG0005954.22	OG0007492.4	OG0000693.9	OG0027676.0	OG0046749.0
nan	0.6353987150773999	nan	1.2722710639649752	2.731962811372486	-0.4650269816339874	nan	nan	2.988281899553378	nan	nan	nan	0.2003854303629485	5.787388350773233	3.6581471771767666	1.786394033593079	0.026153519456624776	2.37969376508643	nan	nan	nan
OG0030002.0	OG0018776.5	OG0015093.9	OG0045091.0	OG0043348.0	OG0014860.1	OG0020682.0	OG0012331.2	OG0003677.0	OG0009154.6	OG0007752.0	OG0002782.0	OG0038032.0	OG0010777.2	OG0060417.0	OG0016896.2	OG0006313.0	OG0003380.16	OG0006574.0	OG0014601.0	OG0011268.5
nan	nan	nan	nan	nan	1.458087349890765	nan	nan	3.4539360171931	-13.287712379549449	2.5771015037116327	4.298393797657057	nan	nan	nan	2.0058109381058666	0.16024012687635364	3.071296228173986	0.9424020147153672	1.88149232791102	nan
OG0003468.0	OG0053772.0	OG0029000.0	OG0044810.0	OG0008260.19	OG0016323.2	OG0007110.16	OG0013858.3	OG0020433.0	OG0011587.0	OG0048148.0	OG0023240.0	OG0018120.3	OG0035597.0	OG0049142.0	OG0041832.0	OG0014014.2	OG0010597.0	OG0014625.0	OG0016980.0	OG0014647.1
2.9507100583691432	nan	nan	nan	nan	4.901024237726823	nan	1.2195264214869308	1.3618078187064233	0.3754238631227802	nan	nan	-2.5207063256726387	nan	nan	nan	0.8505614076737978	1.4869206102585641	-0.7391947084690238	5.139908844612538	1.819368919355113
OG0041934.0	OG0001696.0	OG0045622.0	OG0027680.0	OG0001145.3	OG0008253.2	OG0019818.0	OG0007559.0	OG0046290.0	OG0003145.0	OG0005245.10	OG0002552.0	OG0006868.4	OG0004604.6	OG0034287.0	OG0027757.0	OG0043359.0	OG0003770.8	OG0001075.1	OG0006342.12	OG0014619.0
nan	1.932558518485527	nan	nan	1.2605985644869595	0.5343828346726973	0.6109018110011661	4.0984398824918475	nan	1.1852421942878946	1.6908312075084944	1.4837010281468004	4.694547915274535	3.611621548853593	nan	nan	nan	0.47863006078563564	-0.5684615393100909	1.400108071804644	2.7340072666325397
OG0015257.5	OG0008537.0	OG0028991.0	OG0046669.0	OG0001979.1	OG0024790.0	OG0011010.4	OG0041838.0	OG0024962.0	OG0048033.0	OG0016410.2	OG0060486.0	OG0035782.0	OG0057382.0	OG0006474.4	OG0024466.0	OG0013856.2	OG0007323.1	OG0044779.0	OG0005930.6	OG0016301.7
-0.5019929278828389	nan	-1.8391906621662621	nan	3.2447637250687	1.2022912793096272	1.6100272360098233	nan	-0.9559296034481825	nan	2.5203261092276543	nan	nan	nan	2.677857146567482	2.987699841447049	1.749666296526954	0.29465301868233906	nan	1.3364053093515365	nan
