OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
-0.5443505726835847	nan	-0.815021540306669	nan	nan	nan	-2.196276993225842	-0.6803820657998387	nan	-1.5700359564830535	-0.7312063248775214	nan	-1.1697446758323171	-0.8648591836051853	nan	-2.0540927027897475	-3.5616645602659625	nan	nan	-2.357714316940423	nan
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
-0.2963676925629297	nan	-2.5319902259071676	-1.2039006722965686	-1.1449671027979205	-1.445754980449902	nan	nan	nan	-1.0037558918843352	nan	-1.6029637591278236	nan	nan	nan	-0.3459311372709193	-0.2618807112174235	-1.796360305986015	nan	nan	-0.9669118306678126
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
-1.92631684638356	-1.563624917755461	-0.2970765465464272	-2.252913416972182	-1.2039006722965686	nan	nan	-0.41773304664948757	-0.5864059175908248	-0.780661077301533	nan	-1.0430512347852514	-1.4418303451653882	-0.9922304058540823	nan	nan	nan	nan	nan	-0.7543826472436156	nan
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
-0.896200256842332	nan	-0.8084373492992444	nan	-0.791357890984834	nan	-3.143054136717567	-0.896200256842332	-0.5532144378568775	nan	nan	nan	-0.7683218382014891	nan	-2.7998723457263983	-1.4747329082979672	nan	-0.23514432874529573	-0.3367920275193528	-1.026205070347394	-0.6727725322387139
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
nan	nan	nan	nan	nan	nan	-0.7396129625710626	nan	-1.349970759472354	-0.5715359737420209	nan	-0.6003366961119825	-2.5907448533151625	-1.6877995373623218	nan	-0.7553564542606015	-0.6933877756246021	nan	-0.6093323144403325	nan	-0.5576668766702485
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
nan	nan	0.07464243793449277	-0.43012009385192357	nan	nan	-0.7107557148433575	-0.41773304664948757	nan	-2.196276993225842	-1.0794780212096609	nan	-0.6003366961119825	nan	-0.9853590531182468	-2.4281775931667964	-1.2870081105382027	nan	nan	-2.1335271702841525	nan
OG0002682.12	OG0004833.1	OG0000310.18	OG0003051.0	OG0017851.0	OG0000001.425	OG0013029.10	OG0001851.13	OG0000109.0	OG0005485.2	OG0000090.24	OG0003818.6	OG0000246.0	OG0000455.62	OG0002577.26	OG0009937.0	OG0018631.3	OG0005115.3	OG0000012.918	OG0000927.0	OG0004974.0
-2.005203073308613	nan	-0.912401382076379	-0.8049044228227816	nan	0.661840791305371	nan	-1.5568177330077777	-0.8903051351740702	nan	-0.22701644786189557	nan	-0.59749609912741	-2.1015981400078068	-2.1603628384903306	-1.8140066299300341	nan	nan	-0.3367920275193528	-1.080087911322692	nan
OG0001753.20	OG0004473.2	OG0002419.38	OG0001972.1	OG0001921.0	OG0000074.152	OG0041803.0	OG0000169.16	OG0000246.0	OG0018627.0	OG0004453.2	OG0001776.0	OG0000780.24	OG0000054.0	OG0013059.0	OG0010749.0	OG0005466.0	OG0000060.0	OG0007990.1	OG0001731.4	OG0000239.0
-1.0616012814170608	nan	-2.2997378552532965	nan	nan	-0.6702449142552531	nan	-0.5532144378568775	-0.59749609912741	nan	nan	-2.5513104482311593	-1.5166356392866507	-0.4819685073978307	nan	nan	nan	-0.6093323144403325	nan	-1.0534937013109786	-0.4494932990471394
