OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
nan	0.0	nan	nan	0.880791193566	nan	1.412781124311	1.476988390538	1.267357363022	nan	0.21015173934700002	nan	nan	nan	nan	0.002059146203	nan	1.310867877392	1.964041629498	2.534411768333	1.9217015975350002	nan	0.24107051035500002	1.989967702578	1.548062212427	nan	nan	0.8944614912819999	2.007299486531	0.949246834947	1.411415140617
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
0.343991949314	nan	nan	0.919558137898	1.577405115132	nan	1.577409135767	nan	0.7382343009110001	1.91080168688	nan	nan	nan	1.638091935923	1.291518173711	nan	nan	1.859984843941	nan	1.812966611322	nan	nan	nan	2.4815473241209998	nan	0.8294961881540001	nan	nan	0.021366844326	nan	2.3444180522319997
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
1.66625410437	nan	1.3700504928819999	2.016551432457	0.38721102697400006	0.363605536284	nan	nan	nan	nan	1.219424505276	nan	1.177970808879	nan	nan	nan	nan	nan	0.216406319643	nan	3.411260257541	2.053758014852	nan	1.4245778186200002	nan	1.3984486304269999	0.8158683424500001	0.144946322943	3.702188319636	nan	0.23960752801899998
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
0.7613427685590001	nan	0.6309995033910001	1.076536177628	nan	nan	1.600032963471	nan	0.722798618335	4.604191005195999	nan	nan	nan	2.074746709231	nan	1.662247586981	1.7742738536959999	0.24993955375	nan	nan	nan	nan	0.320180318357	nan	2.26510803819	0.9578308650120001	2.031665443707	nan	0.6412018460310001	1.8038768847639999	nan
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
1.78932801755	nan	1.331555050372	nan	nan	nan	nan	nan	nan	nan	nan	1.319678257239	1.829118737777	3.411260257541	2.050136631236	nan	1.815421448557	1.125580394185	0.086238802123	nan	nan	nan	1.206001263053	2.198192525477	2.566944061119	nan	1.478391678457	nan	0.36615782585199996	nan	nan
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
