OG0006225.0	OG0000711.2	OG0019212.0	OG0002787.0	OG0001823.24	OG0000065.1	OG0002101.0	OG0001699.1	OG0001764.0	OG0005056.1	OG0001607.2	OG0029060.0	OG0001566.2	OG0002309.26	OG0008341.0	OG0004205.0	OG0002988.0	OG0005575.28	OG0015416.2	OG0001842.34	OG0000098.0	OG0000236.122	OG0000264.1	OG0000551.2	OG0008342.0	OG0001907.32	OG0016785.2	OG0020502.0	OG0000119.0	OG0000441.1	OG0002651.6	OG0008335.19	OG0000833.0	OG0000750.0	OG0001778.24	OG0014063.4	OG0000456.0	OG0002012.0	OG0005567.0	OG0011318.4	OG0001741.1	OG0000038.0	OG0011985.2	OG0000834.30	OG0000213.256	OG0002348.56	OG0014065.0	OG0003001.0	OG0001309.24	OG0000740.26	OG0004226.0	OG0013273.0	OG0029057.0	OG0000441.96	OG0008015.25	OG0000318.0	OG0007639.25	OG0002178.2	OG0001567.1	OG0000324.0	OG0003342.16	OG0006752.0	OG0008099.0	OG0001643.24	OG0000065.40	OG0000920.27	OG0007127.0	OG0001843.5	OG0000749.2	OG0005996.10	OG0002590.0	OG0005741.0	OG0000310.18	OG0000206.0	OG0000236.1	OG0000320.0	OG0001964.1	OG0053812.0	OG0007845.0	OG0001698.26	OG0001824.24	OG0000213.17	OG0003860.1	OG0015415.0	OG0044466.0	OG0005326.0	OG0007639.5	OG0012896.0	OG0012897.4	OG0004314.0	OG0006297.0	OG0014302.8	OG0000606.2	OG0020019.0	OG0006158.4	OG0001579.36	OG0000751.0	OG0014817.2	OG0000834.15	OG0002488.24	OG0015105.0	OG0000869.2	OG0001711.10	OG0028281.0	OG0000646.28	OG0013218.3	OG0001844.24	OG0003991.2	OG0001602.32	OG0011319.4	OG0000471.2	OG0000236.19	OG0001016.1	OG0013106.2	OG0014068.0	OG0009857.2	OG0004135.0	OG0005266.0	OG0003151.14	OG0005400.0
3.699637	nan	2.945064	46.13551	nan	2.551714	nan	nan	nan	2.7639139999999998	1.200936	3.7207510000000004	nan	1.2466270000000002	215.4607	nan	0.8583895	19.0884	nan	1.657387	1.986865	nan	nan	nan	1.355743	1.647546	2.935956	3.3486309999999997	nan	nan	21.870070000000002	3.706981	nan	nan	nan	2.2196130000000003	nan	nan	45.740990000000004	1.6263969999999999	nan	nan	1.347913	nan	2.117238	4.622376999999999	2.216487	1.392916	nan	nan	0.8604552	1.24434	3.74712	nan	1.620968	nan	3.7038879999999996	4.939858999999999	nan	3.801515	1.586552	2.0996259999999998	2.961543	nan	1.613891	nan	1.0815059999999999	1.89155	nan	217.1495	0.572966	188.3775	nan	nan	3.3966199999999995	nan	2.632984	2.2535529999999997	0.9760806999999999	nan	nan	2.690521	5.115496	2.0066759999999997	1.444283	4.854508	3.6986800000000004	1.1306889999999998	1.9797770000000001	1.0626799999999998	214.6821	3.7382760000000004	nan	1.4832969999999999	0.9175271	1.6584709999999998	nan	1.933075	4.023947	1.1914049999999998	3.708815	nan	1.625292	3.7295260000000003	nan	3.7508199999999996	1.107237	1.012053	nan	1.6282860000000001	nan	3.2686439999999997	nan	1.098943	2.221693	224.4897	0.4837583	1.5427620000000002	7.489176	2.73316
OG0013961.0	OG0004125.0	OG0034275.0	OG0015984.2	OG0003537.2	OG0047178.0	OG0004055.0	OG0015212.3	OG0034671.0	OG0001143.26	OG0003695.0	OG0003674.0	OG0002126.0	OG0017331.4	OG0060369.0	OG0024695.0	OG0037769.0	OG0043441.0	OG0026545.0	OG0037717.0	OG0060345.0	OG0017007.0	OG0021312.0	OG0014976.2	OG0018420.5	OG0044420.0	OG0000001.2	OG0029251.0	OG0045601.0	OG0003356.2	OG0012516.3	OG0010109.10	OG0000910.22	OG0021422.0	OG0018873.4	OG0009191.17	OG0016229.7	OG0028194.0	OG0043587.0	OG0013044.2	OG0044405.0	OG0000777.0	OG0047957.0	OG0014980.7	OG0049180.0	OG0053978.0	OG0034997.0	OG0010769.5	OG0020026.0	OG0027886.0	OG0007364.5	OG0045019.0	OG0015297.0	OG0005187.0	OG0025128.0	OG0030068.0	OG0054107.0	OG0029606.0	OG0045240.0	OG0011531.13	OG0002586.25	OG0034443.0	OG0000151.0	OG0056888.0	OG0027882.0	OG0049121.0	OG0003363.0	OG0015603.2	OG0013735.9	OG0054020.0	OG0002645.26	OG0008720.0	OG0053860.0	OG0046032.0	OG0027029.0	OG0020495.0	OG0029130.0	OG0003740.0	OG0027539.0	OG0038829.0	OG0016419.0	OG0057036.0	OG0000562.130	OG0006147.34	OG0014836.5	OG0011529.8	OG0003458.0	OG0057445.0	OG0020380.0	OG0009797.0	OG0041943.0	OG0004419.0	OG0025940.0	OG0007653.0	OG0020659.0	OG0007788.4	OG0004867.1	OG0013093.0	OG0001087.24	OG0029995.0	OG0003103.85	OG0001322.24	OG0000518.24	OG0018774.3	OG0021198.0	OG0004757.2	OG0012131.2	OG0013568.4	OG0013535.7	OG0018847.2	OG0016154.2	OG0013928.0	OG0007234.0	OG0013600.0	OG0022907.0	OG0000932.26	OG0010161.0	OG0002373.38	OG0001528.16	OG0044265.0
2.7543159999999998	2.676941	1.3034780000000001	0.9656306999999998	4.1958269999999995	3.37742	78.03796	3.031097	1.4469940000000001	nan	1.372678	44.72511	nan	2.724904	1.529667	3.133816	3.103122	1.470337	1.532973	3.0842419999999997	1.5056690000000001	2.200005	nan	70.73131	2.35722	1.449984	1.580079	1.498891	264.1311	nan	3.7277489999999998	nan	nan	nan	3.284037	3.7182199999999996	2.875227	3.759004	1.482346	1.1298860000000002	1.454289	1.407601	3.7622489999999997	3.385737	nan	2.621743	2.21022	1.158151	2.2203150000000003	257.9413	3.763784	263.6899	1.163575	192.6452	1.149836	2.4211110000000002	2.7086799999999998	1.4625860000000002	269.9356	3.2861010000000004	5.0280569999999996	1.3029959999999998	3.361193	2.331085	266.8639	2.347896	26.02456	nan	263.3195	nan	26.798009999999998	213.2078	nan	251.7384	3.265761	3.3829620000000005	3.747148	0.5551451999999999	nan	3.3842309999999998	1.542946	2.795768	3.4147019999999997	3.071749	nan	3.752214	45.68632	2.845391	259.1712	2.2425889999999997	3.272408	117.54299999999999	3.0708860000000002	216.9407	6.229467	1.933314	4.616089	1.7100970000000002	nan	2.718611	2.3247139999999997	nan	nan	3.2671	3.077383	21.74194	1.066828	7.993705	3.1475419999999996	4.466937000000001	8.120289999999999	1.051775	5.317305	1.726679	1.4433719999999999	nan	4.57696	45.09814	0.9115979	nan
OG0025670.0	OG0045253.0	OG0007454.2	OG0016037.0	OG0026962.0	OG0006458.0	OG0008432.3	OG0037796.0	OG0022975.0	OG0016658.6	OG0016109.1	OG0019073.3	OG0045726.0	OG0023486.0	OG0004382.22	OG0001313.24	OG0004768.0	OG0035662.0	OG0003672.0	OG0045763.0	OG0027692.0	OG0002219.0	OG0003957.1	OG0041596.0	OG0028162.0	OG0045950.0	OG0054032.0	OG0054007.0	OG0060332.0	OG0005576.4	OG0001654.2	OG0029105.0	OG0046965.0	OG0027235.0	OG0000367.174	OG0021379.0	OG0028862.0	OG0027012.0	OG0019048.5	OG0007986.5	OG0018551.2	OG0048977.0	OG0044631.0	OG0009920.0	OG0000716.2	OG0002417.0	OG0017087.4	OG0041606.0	OG0034304.0	OG0002645.26	OG0047561.0	OG0028903.0	OG0002195.39	OG0010171.9	OG0037719.0	OG0044852.0	OG0018871.0	OG0008213.6	OG0038690.0	OG0047112.0	OG0009066.4	OG0030057.0	OG0019756.0	OG0013126.0	OG0001952.4	OG0026959.0	OG0046634.0	OG0014821.9	OG0035538.0	OG0006905.0	OG0026275.0	OG0018451.0	OG0021654.0	OG0046930.0	OG0024612.0	OG0023018.0	OG0045592.0	OG0010941.0	OG0024232.0	OG0006943.0	OG0002509.0	OG0054046.0	OG0005328.10	OG0004090.26	OG0009149.0	OG0056762.0	OG0002829.1	OG0004014.6	OG0017270.5	OG0014789.4	OG0048057.0	OG0057587.0	OG0008538.0	OG0021915.0	OG0000674.30	OG0049027.0	OG0005926.0	OG0012092.2	OG0013043.4	OG0001042.5	OG0037761.0	OG0044289.0	OG0005608.1	OG0005393.6	OG0038889.0	OG0053886.0	OG0038723.0	OG0000034.230	OG0016715.4	OG0019125.2	OG0004776.24	OG0007313.0	OG0024526.0	OG0000508.48	OG0045052.0	OG0003730.10	OG0045137.0	OG0016419.0	OG0012990.0	OG0015750.2
3.075002	263.4863	3.7958220000000003	nan	3.7073949999999996	1.562227	nan	3.081489	3.075015	3.47036	nan	3.7609779999999997	258.5488	262.7963	2.887354	nan	0.7557625	1.306964	46.85738	253.1497	1.8786330000000002	12.32054	45.651920000000004	3.281474	3.774786	256.5323	2.702059	2.6011189999999997	1.531829	nan	0.7277561	2.655239	nan	2.621856	1.224104	2.101053	2.678935	3.256647	3.338223	2.642372	2.020471	nan	1.845168	1.237819	nan	20.31406	nan	3.24993	1.317002	26.798009999999998	3.3662690000000004	2.719476	2.279937	1.455559	nan	1.841798	1.6809290000000001	1.341645	3.4030489999999998	3.371262	4.585621	2.7182060000000003	1.294424	2.295768	0.1915281	3.689761	256.3477	3.099179	2.8301990000000004	5.624974	1.6389650000000002	1.7389400000000002	3.7080300000000004	257.3585	3.002545	3.4089	260.5332	2.710213	2.770218	5.531439	3.413035	2.514843	215.1883	4.207705000000001	2.23101	2.6292419999999996	166.7043	117.6769	2.685461	nan	3.763547	2.88473	1.591607	253.405	3.793721	2.363384	1.073356	nan	1.6778259999999998	nan	3.069815	2.8001709999999997	1.296351	4.593792	3.3819489999999996	2.540651	3.4031550000000004	0.47233729999999996	3.77863	3.767156	215.5945	217.6063	3.003172	5.9630529999999995	257.5531	3.164929	260.1309	1.542946	1.013651	3.7516089999999997
OG0047196.0	OG0001216.24	OG0001352.26	OG0028257.0	OG0007287.0	OG0013618.1	OG0008959.12	OG0005515.0	OG0023126.0	OG0000154.2	OG0047346.0	OG0022635.0	OG0004012.2	OG0005139.28	OG0037844.0	OG0005210.0	OG0018157.2	OG0002676.13	OG0010688.2	OG0002289.0	OG0022840.0	OG0007893.0	OG0003152.0	OG0022309.0	OG0041962.0	OG0028935.0	OG0020690.0	OG0029043.0	OG0044609.0	OG0034975.0	OG0006661.0	OG0045459.0	OG0056763.0	OG0017146.3	OG0001012.4	OG0005447.3	OG0015957.5	OG0004063.6	OG0011990.16	OG0016862.2	OG0007687.1	OG0008868.1	OG0044082.0	OG0016635.0	OG0023365.0	OG0015657.3	OG0027664.0	OG0046095.0	OG0022833.0	OG0023149.0	OG0023156.0	OG0001555.4	OG0019381.0	OG0015006.0	OG0001431.24	OG0049192.0	OG0013605.0	OG0002211.0	OG0017433.3	OG0018077.1	OG0020648.0	OG0017428.3	OG0005902.0	OG0004173.4	OG0007345.0	OG0044134.0	OG0017152.2	OG0005766.0	OG0014232.3	OG0005005.8	OG0003376.12	OG0044243.0	OG0020940.0	OG0005504.0	OG0000618.54	OG0013332.12	OG0029568.0	OG0044816.0	OG0010579.4	OG0041832.0	OG0041885.0	OG0026959.0	OG0005009.2	OG0028276.0	OG0022924.0	OG0010785.14	OG0013984.0	OG0003367.2	OG0045756.0	OG0001544.92	OG0017923.3	OG0001678.0	OG0053808.0	OG0034855.0	OG0007734.2	OG0026125.0	OG0034773.0	OG0013889.2	OG0004731.6	OG0010738.0	OG0002382.29	OG0006709.0	OG0015949.0	OG0060438.0	OG0045132.0	OG0035684.0	OG0018521.0	OG0043848.0	OG0020836.0	OG0005274.0	OG0049185.0	OG0006223.1	OG0046184.0	OG0057019.0	OG0012248.0	OG0047518.0	OG0004163.55	OG0016048.3	OG0023430.0	OG0045254.0
3.3773730000000004	nan	nan	3.813829	2.527384	1.8130380000000001	3.756854	172.0608	2.1395310000000003	nan	nan	3.7327150000000002	0.432962	4.584324	3.075634	2.748398	1.281033	2.8534	1.014448	256.2155	1.459549	5.2925	2.983676	257.7425	3.256127	nan	2.2268630000000003	nan	1.89615	2.236831	211.5655	257.4863	2.7030540000000003	2.666484	nan	5.571809	nan	118.9995	3.2659599999999998	3.4057989999999996	nan	nan	2.8254189999999997	1.656161	1.297592	259.0253	1.299234	nan	nan	2.7256240000000003	1.936563	0.5682324000000001	1.9151740000000002	3.00648	nan	nan	4.722622	nan	2.560137	6.3324	2.34484	2.566779	68.98995	118.0019	4.182828	2.629011	1.744732	5.008614	2.6764900000000003	2.304525	nan	2.8540799999999997	2.61941	45.52602	3.784214	2.391542	1.429772	1.8579299999999999	229.2669	3.301689	3.251086	3.689761	4.938504	3.7619089999999997	1.4353639999999999	2.3421529999999997	1.912116	46.36987	256.7937	0.8417898000000001	1.6964540000000001	9.158512	2.540294	2.2102779999999997	1.118001	3.4257160000000004	2.213114	1.988922	5.143313	nan	12.58751	216.2952	2.2597970000000003	1.541509	264.0709	nan	nan	2.880115	3.771343	nan	2.3516630000000003	4.56416	257.4605	2.548644	3.0242970000000002	3.380082	255.2821	3.025639	1.502792	261.4522
OG0046621.0	OG0013034.0	OG0009963.2	OG0035832.0	OG0000047.2	OG0016166.2	OG0004946.5	OG0013289.6	OG0025814.0	OG0021948.0	OG0043924.0	OG0001072.1	OG0001489.4	OG0015259.2	OG0024461.0	OG0006327.0	OG0038800.0	OG0044616.0	OG0014542.4	OG0001625.2	OG0014708.6	OG0005322.4	OG0022380.0	OG0028298.0	OG0028203.0	OG0014815.3	OG0024564.0	OG0019285.0	OG0047317.0	OG0002411.1	OG0022094.0	OG0022277.0	OG0014805.4	OG0025076.0	OG0024447.0	OG0019024.6	OG0025672.0	OG0016755.0	OG0011129.17	OG0022252.0	OG0047506.0	OG0006730.0	OG0057276.0	OG0018404.0	OG0019338.0	OG0007250.0	OG0035703.0	OG0008972.0	OG0027623.0	OG0015093.9	OG0014978.9	OG0019304.0	OG0043496.0	OG0004370.2	OG0024723.0	OG0044364.0	OG0054002.0	OG0010726.0	OG0006504.0	OG0006827.2	OG0022875.0	OG0013023.0	OG0041845.0	OG0047953.0	OG0046125.0	OG0006377.0	OG0011423.1	OG0010571.0	OG0017871.2	OG0028109.0	OG0007850.16	OG0016715.7	OG0017341.3	OG0012142.2	OG0041518.0	OG0005993.0	OG0002289.0	OG0019248.0	OG0007160.0	OG0028229.0	OG0057067.0	OG0034722.0	OG0038597.0	OG0017866.2	OG0046197.0	OG0043935.0	OG0034382.0	OG0014372.0	OG0018087.2	OG0001985.1	OG0006566.0	OG0023992.0	OG0012680.0	OG0021186.0	OG0035778.0	OG0047052.0	OG0043969.0	OG0034800.0	OG0047130.0	OG0008764.0	OG0024472.0	OG0054006.0	OG0005818.0	OG0011186.0	OG0045063.0	OG0044501.0	OG0010962.0	OG0000089.1	OG0009811.0	OG0008580.0	OG0047176.0	OG0014005.0	OG0037766.0	OG0003322.8	OG0024284.0	OG0043745.0	OG0022939.0	OG0017441.1	OG0053807.0	OG0044039.0
262.9572	2.214578	1.718482	1.305088	2.8559639999999997	8.034148	1.1944489999999999	2.660126	2.678646	3.2569779999999997	nan	1.943856	2.119673	nan	1.442805	nan	3.395631	1.872175	8.009424000000001	261.2845	8.085707000000001	0.8427219000000001	2.2569369999999997	3.8072589999999997	nan	8.152207	1.085767	3.7374419999999997	3.387722	213.6506	1.26611	1.6845009999999998	8.042233999999999	1.140685	nan	258.5152	3.048069	2.978769	3.376268	2.03341	3.347911	2.742041	1.491832	nan	2.0381400000000003	2.225886	1.300477	4.243224	2.039987	3.2628790000000003	3.267635	266.7011	1.488948	5.134958999999999	6.4714529999999995	nan	2.675438	4.507683999999999	nan	5.2185	1.440832	1.0911600000000001	3.260713	3.7582459999999998	nan	nan	1.113577	3.281989	1.121348	3.7513669999999997	2.224841	3.7752440000000003	2.477935	nan	3.270428	14.055639999999999	256.2155	1.439662	2.251425	3.7663800000000003	2.6815189999999998	1.4408450000000002	3.4288980000000002	3.362879	nan	2.737984	1.305125	2.843572	8.041777	3.758353	221.7532	2.673321	4.715888	3.054926	1.290425	3.393704	2.799059	nan	3.316993	27.029359999999997	3.037886	2.629563	1.8557669999999997	0.7786583	260.1533	1.45487	1.6588200000000002	2.87347	nan	167.0387	3.391229	0.8210511	3.06453	3.037248	2.482217	1.480482	1.433592	3.045143	2.6425259999999997	2.839162
OG0038730.0	OG0060377.0	OG0011214.2	OG0043698.0	OG0046791.0	OG0006361.0	OG0014863.6	OG0005001.1	OG0025133.0	OG0045221.0	OG0012653.0	OG0024972.0	OG0041579.0	OG0000255.37	OG0007271.0	OG0007483.0	OG0000397.30	OG0007549.0	OG0001589.0	OG0007789.0	OG0024484.0	OG0006751.14	OG0012348.5	OG0007932.0	OG0017046.0	OG0057173.0	OG0012530.0	OG0018005.0	OG0013924.0	OG0023059.0	OG0007392.0	OG0044307.0	OG0002588.4	OG0006577.0	OG0002946.0	OG0014726.3	OG0005449.2	OG0044456.0	OG0043814.0	OG0038752.0	OG0019326.0	OG0020885.0	OG0046604.0	OG0003748.49	OG0021970.0	OG0016623.4	OG0027869.0	OG0019560.0	OG0034823.0	OG0053936.0	OG0024829.0	OG0044258.0	OG0001908.2	OG0038817.0	OG0020309.0	OG0028860.0	OG0046099.0	OG0027902.0	OG0020496.0	OG0016132.6	OG0000100.1	OG0002161.0	OG0007638.14	OG0028998.0	OG0012037.4	OG0013292.10	OG0000137.0	OG0008638.0	OG0007040.0	OG0013903.0	OG0022448.0	OG0017518.3	OG0003711.6	OG0025724.0	OG0016697.7	OG0057300.0	OG0010639.2	OG0001926.0	OG0009082.0	OG0046309.0	OG0045631.0	OG0010822.13	OG0000946.1	OG0027738.0	OG0001725.29	OG0016246.7	OG0044538.0	OG0044651.0	OG0000148.0	OG0003396.26	OG0018420.6	OG0044374.0	OG0017129.3	OG0007012.0	OG0003887.2	OG0044052.0	OG0020320.0	OG0060545.0	OG0003682.2	OG0013658.3	OG0044160.0	OG0000671.12	OG0011297.6	OG0009120.0	OG0007669.2	OG0024517.0	OG0022307.0	OG0003636.4	OG0034938.0	OG0012145.2	OG0046600.0	OG0053903.0	OG0027660.0	OG0006347.24	OG0007536.1	OG0007179.8	OG0003585.0	OG0018457.6	OG0013848.0	OG0043483.0
