OG0005575.28	OG0000750.0	OG0001016.1	OG0013106.2	OG0011318.4	OG0000065.1	OG0000740.26	OG0015416.2	OG0000869.2	OG0000310.18	OG0001823.24	OG0002101.0	OG0005567.0	OG0001843.5	OG0000749.2	OG0001824.24	OG0001842.34	OG0008015.25	OG0000065.40	OG0002012.0	OG0001741.1	OG0002348.56	OG0003001.0	OG0000646.28	OG0011319.4	OG0000606.2	OG0000471.2	OG0001567.1	OG0014063.4	OG0001643.24	OG0020502.0	OG0002651.6	OG0006297.0	OG0001579.36	OG0013273.0	OG0003151.14	OG0001964.1	OG0001309.24	OG0000711.2	OG0002178.2	OG0001778.24	OG0008099.0	OG0028281.0	OG0001566.2	OG0001699.1	OG0000038.0	OG0001602.32	OG0002787.0	OG0001907.32	OG0014068.0	OG0000441.96	OG0015415.0	OG0001711.10	OG0001698.26	OG0000441.1
nan	-1.5859727408750985	-2.2618807112174233	nan	nan	-1.9148473194368616	-1.5842413334775023	nan	-2.666576266274808	-0.912401382076379	nan	nan	-1.4924844135207713	-1.553426147453103	-2.196276993225842	nan	nan	nan	-0.8841677013474352	nan	nan	-1.3057883922321096	nan	-0.21943792382894028	nan	-2.196276993225842	-1.5627722610870904	nan	nan	-1.412731031895675	nan	-1.5100460986686943	-3.2310746644362487	-1.6840860345632576	nan	-1.6748438822584089	nan	nan	-1.1762506396917272	-1.368849142274855	nan	-0.37763184758309515	nan	-2.0886535558964283	nan	-0.5443505726835847	nan	-0.7720125412654069	nan	nan	nan	nan	-1.9197516699078796	nan	nan
OG0003355.0	OG0000599.0	OG0001608.24	OG0014012.2	OG0005751.0	OG0000002.1788	OG0000724.26	OG0001557.1	OG0000739.15	OG0007009.0	OG0000601.52	OG0000893.3	OG0038127.0	OG0000285.1	OG0000483.0	OG0004651.18	OG0001028.24	OG0000006.1	OG0000959.34	OG0000735.1	OG0000975.0	OG0009799.6	OG0006012.0	OG0000002.1147	OG0003700.0	OG0006112.0	OG0001550.0	OG0003255.3	OG0003364.8	OG0001723.0	OG0002099.0	OG0002033.0	OG0015311.0	OG0001293.1	OG0001311.5	OG0009909.0	OG0000927.0	OG0002335.4	OG0008437.3	OG0020638.0	OG0001354.22	OG0000607.0	OG0000147.0	OG0002545.0	OG0000180.0	OG0002593.5	OG0009277.0	OG0041582.0	OG0011414.0	OG0003435.0	OG0054091.0	OG0002206.0	OG0016024.0	OG0007192.0	OG0002027.0
nan	-0.9962538607671053	-1.0436459153546316	nan	nan	-0.5532144378568775	-0.622598569214206	-1.033864894562046	nan	nan	nan	-1.3015147923431765	nan	-1.4115791795064325	-1.2327689629761245	nan	nan	-0.9013109559086716	-2.941198646383814	-1.7245161073327122	-1.317246938769454	nan	nan	-0.40812912993666633	-1.432843996289213	nan	-1.320846479161911	-2.9976935326168315	nan	-3.731206324877521	nan	nan	nan	nan	nan	nan	-1.080087911322692	-1.4731299136431737	nan	nan	nan	-0.5717503892943052	-1.925768605814208	nan	-0.49553214729464096	-1.1972691044678434	nan	nan	nan	nan	nan	nan	nan	-1.3603047666004178	nan
OG0001047.26	OG0002923.29	OG0002142.4	OG0004869.12	OG0001840.4	OG0001295.24	OG0002549.36	OG0001821.4	OG0011738.0	OG0000290.0	OG0001383.24	OG0008113.0	OG0002174.0	OG0000177.8	OG0000364.1	OG0000219.0	OG0003491.0	OG0001477.0	OG0046214.0	OG0010669.7	OG0002418.9	OG0006372.2	OG0045184.0	OG0024523.0	OG0001166.24	OG0001932.0	OG0001550.0	OG0001256.24	OG0001307.24	OG0010750.6	OG0000001.1420	OG0002151.0	OG0000276.72	OG0007033.0	OG0002222.0	OG0000864.26	OG0006643.0	OG0010497.2	OG0022262.0	OG0014526.2	OG0000180.0	OG0001590.32	OG0005337.4	OG0006665.0	OG0000862.34	OG0002658.16	OG0001830.6	OG0002446.4	OG0006562.0	OG0000459.0	OG0044831.0	OG0000047.282	OG0000110.3	OG0000583.0	OG0006068.0
nan	-0.859352206845158	nan	nan	nan	nan	nan	-2.8709148519433896	nan	-0.6519942592184017	nan	nan	nan	-1.1697446758323171	-1.2681216511915685	0.4762261325462324	nan	-0.7117005053426693	nan	nan	-1.2529134169721818	-2.4603696753153335	nan	nan	nan	-1.392894616241506	-1.320846479161911	nan	nan	nan	-0.01727103870140411	nan	-1.3492354408830978	nan	nan	nan	nan	-0.7614576857208492	-2.849960307225847	nan	-0.49553214729464096	nan	nan	nan	nan	nan	-2.3386152238202413	-0.8577826381961765	nan	-1.0667295284676728	nan	-0.815021540306669	-0.4639470997597903	-0.7490384264667812	-1.3599344174671073
OG0002373.38	OG0005286.0	OG0000510.30	OG0000755.4	OG0013738.0	OG0001326.24	OG0000680.1	OG0002727.0	OG0000279.0	OG0007653.0	OG0016289.0	OG0003127.0	OG0008347.0	OG0000728.24	OG0021392.0	OG0005989.0	OG0002103.0	OG0000014.1	OG0000525.2	OG0000198.0	OG0001820.0	OG0002989.1	OG0000603.1	OG0000536.32	OG0027769.0	OG0003036.0	OG0000013.2	OG0003540.0	OG0001563.24	OG0000209.2	OG0010648.5	OG0012773.4	OG0012250.0	OG0001191.24	OG0013313.2	OG0001573.24	OG0000876.20	OG0007332.0	OG0001604.92	OG0000000.3436	OG0001338.24	OG0002412.0	OG0015185.2	OG0000139.0	OG0001897.2	OG0000403.25	OG0002740.0	OG0010735.2	OG0001437.24	OG0027441.0	OG0002340.0	OG0000423.2	OG0000000.405	OG0002214.0	OG0000718.0
nan	-1.6999348632212392	-1.4023973185000735	nan	-0.320846479161911	nan	nan	-1.3543905588165042	-0.8709148519433895	nan	nan	nan	nan	-0.9290611786565625	nan	nan	nan	-0.7683218382014891	-1.1234339412482792	-0.4312868509239186	-2.0661252582846443	nan	-1.503895620229268	-0.7109918544692041	-2.6610907271910786	-0.2072279224818811	0.07464243793449277	-2.12784104277106	nan	nan	nan	nan	nan	nan	nan	nan	-0.9423071328316541	nan	-1.5747555578518992	nan	nan	-1.2518823067144322	nan	-0.6148451031156562	-0.9573556625915063	-0.9034682573063714	nan	nan	nan	nan	nan	-0.7192811863819898	nan	nan	-0.5561812030875072
OG0001308.24	OG0002640.0	OG0007128.8	OG0023045.0	OG0000561.24	OG0012421.0	OG0000279.0	OG0000081.1	OG0005503.0	OG0001696.0	OG0056847.0	OG0000183.0	OG0001441.1	OG0003496.0	OG0007114.6	OG0000572.0	OG0002116.0	OG0002219.0	OG0007329.0	OG0002087.0	OG0002153.0	OG0002665.8	OG0000219.0	OG0010680.0	OG0002002.0	OG0016763.0	OG0000837.0	OG0006773.2	OG0000702.24	OG0001135.4	OG0000665.0	OG0004053.58	OG0003255.3	OG0000558.24	OG0006240.0	OG0001331.24	OG0000793.0	OG0011152.0	OG0000001.1420	OG0000564.24	OG0001999.0	OG0002731.0	OG0001798.0	OG0000004.33	OG0000403.25	OG0004874.0	OG0005745.0	OG0001593.20	OG0010954.0	OG0000088.3	OG0003523.15	OG0047490.0	OG0001604.2	OG0002432.1	OG0047070.0
nan	-0.9551163217602352	nan	-0.48418664263802236	-1.6952553422813692	nan	-0.8709148519433895	-1.0430512347852514	nan	-2.175272872767897	nan	-0.9276883599775736	nan	nan	nan	-2.341537138825891	nan	-0.9953907467474107	nan	nan	nan	nan	0.4762261325462324	-1.2009126939259964	nan	nan	-0.896200256842332	nan	-3.313297789743922	-1.385337265063424	nan	nan	-2.9976935326168315	-1.5985879746361915	nan	nan	-1.1363786602577952	nan	-0.01727103870140411	-1.4402634755670174	nan	nan	nan	nan	-0.9034682573063714	-0.7663573169911903	nan	nan	nan	-1.0709665213541435	-1.4747329082979672	nan	-1.2399068255418602	nan	nan
OG0001284.24	OG0002063.0	OG0003150.32	OG0007367.12	OG0000062.197	OG0001151.26	OG0007848.2	OG0006405.0	OG0000230.58	OG0001774.6	OG0002594.0	OG0000920.27	OG0002173.26	OG0000204.2	OG0001362.22	OG0018715.1	OG0006204.0	OG0001137.24	OG0007574.0	OG0000321.2	OG0002087.0	OG0003700.0	OG0001522.0	OG0000812.32	OG0006316.0	OG0021953.0	OG0010531.2	OG0012706.4	OG0000995.5	OG0014534.2	OG0000996.1	OG0003300.0	OG0000001.1420	OG0003299.0	OG0000246.0	OG0002319.0	OG0002910.0	OG0019256.0	OG0005522.8	OG0000999.14	OG0006740.4	OG0001261.1	OG0000391.20	OG0024031.0	OG0000681.0	OG0006043.0	OG0001570.1	OG0000266.0	OG0000272.36	OG0000751.0	OG0006595.0	OG0009907.6	OG0009083.9	OG0000264.1	OG0000777.0
