OG0009883.5	OG0000692.0	OG0012915.3	OG0004617.12	OG0004835.2	OG0004464.0	OG0004338.2	OG0000107.44	OG0000038.0	OG0000027.1
2.195914	21.4313	2.979813	100.1257	9.605725	nan	nan	0.8220155	nan	nan
OG0008656.1	OG0010913.0	OG0043411.0	OG0008443.1	OG0010756.0	OG0004568.1	OG0005507.10	OG0014125.1	OG0015179.2	OG0003049.0
255.8482	0.9380499	1.492157	nan	4.846026999999999	0.8639831	27.49506	3.3732379999999997	1.489732	3.876821
OG0014810.0	OG0006647.0	OG0047150.0	OG0015093.3	OG0014620.0	OG0013321.0	OG0047353.0	OG0015979.6	OG0053810.0	OG0024522.0
8.213123	222.30900000000003	3.3442730000000003	3.259337	1.9456349999999998	2.714165	3.354338	6.2934209999999995	nan	3.027899
OG0038154.0	OG0011720.2	OG0001184.24	OG0014502.4	OG0016791.0	OG0017901.0	OG0005646.0	OG0047603.0	OG0016776.5	OG0035803.0
2.846946	3.7278589999999996	nan	3.836467	1.273843	2.867779	91.75452	3.341036	nan	1.306683
OG0002993.1	OG0006460.2	OG0004302.0	OG0010095.2	OG0018256.2	OG0019234.0	OG0016149.0	OG0023958.0	OG0035604.0	OG0008532.6
nan	2.9939150000000003	21.01709	3.4512059999999996	20.41699	2.9746900000000003	7.9867550000000005	2.647782	2.694947	1.4322190000000001
OG0047378.0	OG0021370.0	OG0005619.0	OG0044416.0	OG0009877.2	OG0001321.26	OG0007340.4	OG0003483.0	OG0005694.0	OG0007523.4
3.3925110000000003	3.054652	12.3733	1.449107	1.105475	nan	4.637965	45.57463	2.898715	2.2071419999999997
OG0005991.0	OG0027772.0	OG0047976.0	OG0004954.6	OG0044358.0	OG0007191.0	OG0013191.3	OG0004616.0	OG0004779.4	OG0047138.0
13.881120000000001	263.0987	3.7992190000000003	3.768668	1.4574200000000002	3.362117	3.300049	4.063821	3.2586630000000003	3.3755029999999997
OG0002837.4	OG0028115.0	OG0049164.0	OG0056784.0	OG0022867.0	OG0013146.12	OG0004192.0	OG0002822.4	OG0013064.11	OG0056535.0
6.169368	3.73728	2.358254	2.657135	1.446234	257.4351	12.28716	2.140325	3.268015	2.51097
OG0043411.0	OG0002275.1	OG0041811.0	OG0014872.6	OG0045830.0	OG0009903.19	OG0009192.20	OG0016201.4	OG0021215.0	OG0008668.22
1.492157	0.7977460999999999	3.27623	2.143693	263.5598	2.349954	3.7779599999999998	7.905791000000001	3.077324	3.3063019999999996
OG0007261.0	OG0018086.1	OG0012755.0	OG0003092.12	OG0003847.24	OG0012434.10	OG0011210.1	OG0017886.0	OG0012262.2	OG0009136.10
0.9747366	2.1975849999999997	2.2705599999999997	6.07673	26.15942	2.610025	2.822134	1.172687	1.355068	3.2924010000000004
OG0046313.0	OG0012742.0	OG0008267.1	OG0026998.0	OG0045270.0	OG0002791.5	OG0007491.0	OG0045908.0	OG0002575.0	OG0045159.0
256.6844	2.935906	3.254258	nan	257.8657	22.29289	149.3487	259.8137	3.075603	256.9456
OG0013242.12	OG0038112.0	OG0018377.6	OG0028092.0	OG0048119.0	OG0010010.11	OG0005530.6	OG0044896.0	OG0057497.0	OG0016432.2
2.398416	2.890104	1.486422	3.767491	3.737085	3.760303	1.027084	1.865266	2.879078	1.753807
OG0011372.0	OG0017939.0	OG0045882.0	OG0026962.0	OG0004064.0	OG0002054.0	OG0018828.3	OG0006467.8	OG0044960.0	OG0054085.0
1.186013	1.6550770000000001	265.0747	3.7073949999999996	16.53203	nan	3.243615	1.111791	264.6112	2.5238720000000003
OG0002961.20	OG0044238.0	OG0008946.0	OG0009783.0	OG0003897.10	OG0007724.0	OG0017321.1	OG0004085.0	OG0047042.0	OG0004026.1
3.533032	2.827569	1.385944	1.295774	0.04132692	4.3124769999999994	2.6299580000000002	1.758759	3.381414	1.072128
OG0024274.0	OG0048902.0	OG0035581.0	OG0000703.24	OG0012660.2	OG0017049.5	OG0009750.1	OG0060435.0	OG0017066.3	OG0034772.0
257.9504	2.347265	2.809926	nan	8.060410000000001	1.497395	nan	1.5114020000000001	3.254775	2.2093580000000004
OG0022172.0	OG0003204.0	OG0034958.0	OG0056852.0	OG0046916.0	OG0017354.4	OG0010785.14	OG0009290.0	OG0017216.1	OG0045026.0
3.4311260000000003	0.6328834	2.2203630000000003	2.680512	261.3452	3.390447	2.3421529999999997	1.8014759999999999	257.619	264.7413
OG0044490.0	OG0045763.0	OG0003747.6	OG0005161.27	OG0001777.24	OG0046286.0	OG0008183.0	OG0002044.0	OG0020541.0	OG0014706.0
1.445573	253.1497	4.547755	3.277569	1.088768	261.991	3.039308	nan	3.13468	4.46765
OG0008196.2	OG0012921.6	OG0014072.3	OG0002687.0	OG0011976.0	OG0028444.0	OG0000623.24	OG0028514.0	OG0034422.0	OG0012112.2
2.3857209999999998	2.038148	3.4086839999999996	4.552498	4.6643300000000005	2.3582330000000002	3.83952	2.607931	1.304838	nan
