OG0000119.0	OG0005996.10	OG0005056.1	OG0000236.1	OG0003860.1	OG0000206.0	OG0020019.0	OG0006158.4	OG0012897.4	OG0006752.0	OG0007639.25	OG0000213.256	OG0000098.0	OG0011985.2	OG0001607.2	OG0008342.0	OG0000751.0	OG0044466.0	OG0003342.16	OG0000551.2	OG0007639.5	OG0002309.26	OG0000236.122	OG0007127.0	OG0000264.1	OG0005266.0	OG0005326.0	OG0008341.0	OG0001844.24	OG0009857.2	OG0012896.0	OG0029057.0	OG0000318.0	OG0004205.0	OG0002590.0	OG0003991.2	OG0008335.19	OG0000456.0	OG0000236.19	OG0005400.0	OG0000833.0	OG0016785.2	OG0013218.3	OG0000320.0	OG0000324.0	OG0053812.0	OG0002988.0	OG0004314.0	OG0019212.0	OG0005741.0	OG0015105.0	OG0000834.15	OG0000834.30	OG0004135.0	OG0007845.0	OG0000920.27	OG0002488.24	OG0014302.8	OG0001764.0	OG0004226.0	OG0006225.0	OG0014817.2	OG0029060.0	OG0000213.17	OG0014065.0
-2.414268267034073	-2.5063526660247897	-2.0991235338421013	-3.0516981876493645	-1.340440727089101	-1.6355396260397388	-1.810460055611497	-2.0279691158586677	-2.687799537362322	-1.3751972347470527	nan	-2.819088336631431	-1.814513995871922	-1.3961185171157922	-2.7641504234924366	-1.8711787193498661	-2.5743258646124194	nan	-2.151362038095294	-2.3378856687903387	-2.3090019204430923	-2.4035418604410146	-1.712173132714919	-2.595968860378175	-2.5708929182195006	-2.7968615028091515	-2.8395960741399864	-1.3729535406075914	-2.7973628738101626	-2.701341684435485	-2.3140150132440978	nan	-2.677610316549785	-2.1913266450967983	-2.3978282092466205	-3.0180012584066676	nan	-2.8847003559744526	nan	-2.009262921328968	-2.87514253274424	-1.8411459704833824	nan	-2.3072157433659903	-2.038598926835721	nan	-1.6553987169633229	-2.359934417467107	-2.7427479467602125	-2.386091221203337	-0.24922201114650813	-1.6357637688260032	-2.2997378552532965	-2.783886641553699	-1.9222101113563324	-2.5868392244091862	-2.1798414652698357	nan	-3.1726687293877394	-2.4876213919244545	-0.4835813583661318	-1.0315036910220627	nan	-1.7254699553283768	0.40718957187910976
OG0045615.0	OG0024714.0	OG0024355.0	OG0012114.8	OG0025975.0	OG0035573.0	OG0043551.0	OG0043678.0	OG0003362.0	OG0025470.0	OG0016430.7	OG0017149.4	OG0041521.0	OG0057499.0	OG0000207.240	OG0022053.0	OG0004947.4	OG0008735.0	OG0004736.6	OG0046820.0	OG0004753.0	OG0009148.0	OG0003206.16	OG0046991.0	OG0043965.0	OG0007045.2	OG0015023.7	OG0045556.0	OG0045671.0	OG0046642.0	OG0008138.14	OG0045836.0	OG0006262.5	OG0046904.0	OG0009066.4	OG0019625.0	OG0011694.15	OG0038654.0	OG0038065.0	OG0020746.0	OG0009932.0	OG0013606.4	OG0047529.0	OG0057390.0	OG0015222.0	OG0002631.6	OG0046666.0	OG0009048.1	OG0003031.18	OG0043623.0	OG0047283.0	OG0048012.0	OG0024521.0	OG0028429.0	OG0016359.1	OG0056524.0	OG0015760.0	OG0038696.0	OG0020504.0	OG0022036.0	OG0006143.2	OG0057525.0	OG0012415.0	OG0003627.46	OG0008824.1
nan	-1.711228032752598	nan	-2.4691302020685915	-0.8114724732255982	nan	nan	nan	-2.8365012677171206	nan	nan	nan	nan	nan	-2.026498928183401	nan	-3.1379652600447674	-1.9406447223835788	-2.207894294337095	nan	-1.5500425163719966	-2.3233715117570313	-2.123748288137177	nan	nan	-1.542458237592193	nan	nan	nan	nan	-2.31114825613412	nan	nan	nan	-1.9395375120138931	nan	nan	nan	nan	-2.8447688837007212	-3.908875666338835	-2.4731299136431737	nan	nan	-1.521183470950585	-1.775218805604411	nan	-2.282789700980404	-2.7514651638613215	nan	nan	nan	nan	nan	nan	nan	-1.380821783940931	nan	-2.3617871145765936	nan	-2.9765317194960947	nan	nan	nan	nan
OG0057388.0	OG0004254.44	OG0048082.0	OG0005875.0	OG0005345.4	OG0043368.0	OG0015202.0	OG0002348.56	OG0017924.2	OG0037837.0	OG0005206.34	OG0004463.2	OG0008015.25	OG0002469.0	OG0046980.0	OG0019619.0	OG0001880.0	OG0046558.0	OG0002799.0	OG0002833.0	OG0009048.1	OG0001385.1	OG0006114.1	OG0020556.0	OG0017943.0	OG0023121.0	OG0013048.8	OG0026844.0	OG0003130.1	OG0014148.3	OG0001586.3	OG0003988.1	OG0030139.0	OG0026676.0	OG0004420.2	OG0008034.1	OG0000298.0	OG0006124.2	OG0002829.1	OG0046508.0	OG0045063.0	OG0007437.0	OG0008603.0	OG0001525.51	OG0013496.4	OG0000479.1	OG0045098.0	OG0006678.4	OG0000796.20	OG0025004.0	OG0003743.1	OG0012133.4	OG0029101.0	OG0001461.24	OG0004222.0	OG0028044.0	OG0044894.0	OG0025842.0	OG0011887.5	OG0044571.0	OG0038901.0	OG0000604.1	OG0056689.0	OG0034678.0	OG0018047.4
nan	-4.90163434554074	nan	-2.417347659966045	-2.7150121530621574	nan	-2.837532132384696	-1.9351171484151457	-1.0985055449524253	nan	-1.0752159943555015	-1.8160371651574052	nan	-2.6197138438769216	nan	nan	-1.698061233034664	nan	-2.2162500169928254	-3.691709030155203	-2.282789700980404	-2.6303939299681622	-2.829305766312917	nan	nan	nan	-1.8959317735362833	nan	-2.545402943465451	nan	-2.2209504471625414	-1.7690592238760594	nan	nan	-2.0028882793248264	-1.905628789407483	-1.520769438793664	-2.159073566696852	-2.363642193964105	nan	nan	-2.005203073308613	-2.2926519125167304	-2.492484413520771	-2.1765767093147423	-2.39744810252834	nan	-3.050502418794428	-3.0469210473874924	nan	-3.2202780187929276	-2.8843274770872176	nan	-2.452451460921961	-2.3718330007136763	nan	nan	nan	nan	nan	nan	-2.0991235338421013	nan	nan	-2.498994046858991
OG0043366.0	OG0045184.0	OG0000006.1	OG0024581.0	OG0007769.0	OG0005756.2	OG0017283.5	OG0057305.0	OG0006280.10	OG0057341.0	OG0002892.4	OG0003211.0	OG0018398.0	OG0028976.0	OG0012627.1	OG0014687.1	OG0015246.3	OG0005083.0	OG0056881.0	OG0045029.0	OG0002587.0	OG0012141.4	OG0035690.0	OG0037747.0	OG0006891.4	OG0056736.0	OG0019003.1	OG0002836.4	OG0044802.0	OG0034800.0	OG0047517.0	OG0037830.0	OG0016839.3	OG0016203.1	OG0011002.0	OG0000587.1	OG0010894.7	OG0045779.0	OG0017836.4	OG0011913.0	OG0057444.0	OG0038890.0	OG0010125.0	OG0014666.4	OG0015130.10	OG0007581.0	OG0019214.0	OG0006272.0	OG0047244.0	OG0046007.0	OG0001791.12	OG0007531.3	OG0016827.0	OG0008286.2	OG0005691.3	OG0011332.6	OG0024587.0	OG0046123.0	OG0007273.0	OG0020317.0	OG0027627.0	OG0016257.3	OG0022773.0	OG0001301.24	OG0013873.1
nan	nan	-1.8084373492992443	-2.2009126939259964	-1.3461145112833541	-2.0923401721467108	nan	nan	-3.715959736045904	nan	-1.8198521388415714	-3.1053180261449205	-3.4764982620362104	nan	nan	-2.407363571393423	-2.2947740433836357	-2.0250302371872846	nan	nan	-2.0403782015207206	-3.5040592931593757	nan	nan	-2.4977712511585333	nan	nan	-2.584673990563033	nan	nan	nan	nan	-3.9440824845903966	nan	-2.7216583413783577	nan	-2.2068948519411222	nan	nan	-2.0	nan	nan	-2.328434873828947	-1.8175619442750903	nan	-2.5786285669991056	-2.9061694283648647	-1.3316993014613505	nan	nan	-2.385337265063424	-0.44006773646612846	-0.585323219573114	nan	-1.920570684997085	-3.0356383367532653	nan	nan	-1.9172974106697507	-1.831357964441161	-2.2618807112174233	-3.3761705869147347	nan	-2.4635491698052916	-1.8059129478836977
OG0018627.0	OG0014258.7	OG0011996.0	OG0000787.3	OG0004584.32	OG0006996.3	OG0001845.2	OG0008273.0	OG0026913.0	OG0001893.0	OG0008140.1	OG0044389.0	OG0018376.3	OG0003754.0	OG0025341.0	OG0009908.12	OG0046278.0	OG0008484.3	OG0018118.2	OG0054128.0	OG0008175.0	OG0012886.8	OG0001449.24	OG0005704.4	OG0000021.847	OG0007272.0	OG0024598.0	OG0000377.2	OG0001568.0	OG0015243.2	OG0045960.0	OG0003971.6	OG0046640.0	OG0015772.1	OG0003067.0	OG0045465.0	OG0010169.2	OG0000005.318	OG0004096.6	OG0014317.6	OG0044433.0	OG0024570.0	OG0046701.0	OG0047973.0	OG0011471.4	OG0023059.0	OG0001558.2	OG0003162.80	OG0009129.0	OG0012768.6	OG0016606.8	OG0019206.0	OG0016022.4	OG0010733.0	OG0020754.0	OG0004443.0	OG0043479.0	OG0008409.1	OG0038034.0	OG0025021.0	OG0007174.2	OG0021381.0	OG0020763.0	OG0004144.0	OG0046635.0
nan	nan	-3.139235797371172	-2.0362299689292374	-2.6303939299681622	-1.302226180444814	-1.663602343786461	-1.5585165204173554	nan	-1.7475843409673495	-1.3894889083338913	nan	nan	-2.1574635954987613	nan	-2.4779442508390357	nan	nan	-2.9445266641015686	nan	-2.1488006614067063	-3.213570916796944	-2.4158071418902627	-3.022097333064992	-1.67116353577046	-1.29689930039584	-2.415037499278844	-2.226678777868338	-1.9170249727422317	nan	nan	-1.520769438793664	nan	nan	-1.3419027946486286	nan	-1.2799842649171953	-2.9345655540513667	-2.0954195650786827	nan	nan	-0.9807962660269074	nan	nan	-3.15200309344505	-2.803896602285193	-2.3906232512366934	nan	-2.146243824156365	-2.545402943465451	nan	nan	-3.091725081520941	-1.5784131268372943	-1.31114825613412	-2.5968413702571356	nan	-2.441438468199543	nan	nan	-1.3603047666004178	-3.272297327162762	-1.8354711391186314	-3.555884251874667	nan
OG0027782.0	OG0001536.0	OG0025128.0	OG0015358.8	OG0001139.24	OG0002869.0	OG0002093.0	OG0019066.1	OG0020816.0	OG0008349.0	OG0009051.0	OG0019423.0	OG0004354.0	OG0012626.1	OG0012880.2	OG0006519.0	OG0012308.1	OG0045729.0	OG0017882.2	OG0035796.0	OG0002429.0	OG0015114.0	OG0012536.0	OG0027494.0	OG0017157.4	OG0057505.0	OG0017539.2	OG0037819.0	OG0044671.0	OG0006220.13	OG0038656.0	OG0041828.0	OG0015201.0	OG0014619.0	OG0012889.0	OG0011969.0	OG0013577.0	OG0028126.0	OG0045211.0	OG0025053.0	OG0022004.0	OG0005701.33	OG0007601.0	OG0045964.0	OG0002373.38	OG0057513.0	OG0016961.3	OG0002021.4	OG0019161.0	OG0034289.0	OG0047455.0	OG0022760.0	OG0056737.0	OG0034550.0	OG0029613.0	OG0001507.1	OG0029210.0	OG0043616.0	OG0006524.0	OG0009120.0	OG0045182.0	OG0002828.24	OG0017741.0	OG0022086.0	OG0017003.0
