OG0007639.25	OG0005056.1	OG0008342.0	OG0000264.1	OG0019212.0	OG0000834.30	OG0006158.4	OG0000751.0	OG0016785.2	OG0014302.8	OG0014817.2	OG0001607.2	OG0000213.256	OG0000236.122	OG0004314.0	OG0001844.24	OG0006225.0	OG0029060.0	OG0000456.0	OG0053812.0	OG0013218.3	OG0005400.0	OG0011985.2	OG0008341.0	OG0004205.0	OG0007639.5	OG0000236.19	OG0020019.0	OG0000119.0	OG0005741.0	OG0008335.19	OG0003991.2	OG0007127.0	OG0000324.0	OG0002309.26	OG0009857.2	OG0002590.0	OG0000236.1	OG0003860.1	OG0000320.0	OG0002488.24	OG0002988.0	OG0000206.0	OG0004226.0	OG0000098.0	OG0005266.0	OG0006752.0	OG0044466.0	OG0005996.10	OG0000833.0	OG0012896.0	OG0012897.4	OG0000920.27	OG0000318.0	OG0003342.16	OG0007845.0	OG0000551.2	OG0015105.0	OG0005326.0	OG0001764.0	OG0000834.15	OG0004135.0	OG0014065.0	OG0000213.17	OG0029057.0
nan	-0.3054317749911664	nan	-2.29689930039584	nan	nan	-2.043348544428939	-1.6859415911417395	nan	nan	nan	-2.225666241828959	nan	-0.04572922985512066	nan	nan	0.25229454120183664	nan	nan	nan	nan	nan	nan	nan	-1.8756718649977986	nan	nan	nan	-1.6237096166629486	nan	nan	-2.7908586021614084	nan	-0.8748779394301761	nan	-2.560642821525743	-1.5274082542630671	nan	-0.4483117305610369	-0.24348904385984163	nan	-1.0294408032665983	-0.4279834868710595	-2.41119543298445	1.0094188393833274	nan	-1.3997302464909953	nan	nan	nan	nan	nan	nan	-1.6029637591278236	nan	nan	-1.9307102872844653	nan	nan	-3.136695840657201	nan	-2.180495303958067	nan	-0.43557305136220636	nan
OG0013073.2	OG0001039.1	OG0000512.25	OG0013724.0	OG0006295.0	OG0007289.0	OG0035578.0	OG0000328.0	OG0001161.24	OG0004843.6	OG0002867.1	OG0001567.1	OG0006462.0	OG0016290.2	OG0015537.0	OG0002437.4	OG0002390.42	OG0007523.4	OG0004923.0	OG0006694.0	OG0010698.0	OG0015720.2	OG0018083.0	OG0007107.0	OG0000466.0	OG0003620.0	OG0022346.0	OG0000327.54	OG0016802.2	OG0015673.5	OG0000448.1	OG0000420.0	OG0000133.60	OG0003513.0	OG0003531.0	OG0011471.4	OG0011884.0	OG0010877.4	OG0020198.0	OG0004708.0	OG0005041.0	OG0048963.0	OG0002592.3	OG0003924.0	OG0003546.0	OG0004438.0	OG0000749.2	OG0003713.0	OG0020618.0	OG0006677.0	OG0001442.1	OG0016863.2	OG0002321.0	OG0004537.8	OG0019029.0	OG0002881.24	OG0008313.24	OG0003642.0	OG0000225.48	OG0029077.0	OG0027522.0	OG0001215.24	OG0003652.0	OG0003749.1	OG0000127.0
nan	nan	nan	nan	nan	nan	nan	-0.6766875822420972	nan	nan	nan	nan	nan	nan	nan	-1.1309972353247477	-1.4647432890961618	nan	-2.5950968778548695	nan	nan	nan	nan	-0.0997417875652501	-0.49960583358420474	-1.317246938769454	nan	-1.612196335466671	nan	nan	nan	-0.9669118306678126	-0.5920490827614273	-0.803896602285193	-0.9274139529314037	nan	nan	nan	nan	nan	-1.0075215873325427	nan	-1.0478155571035868	-1.7183314200271549	-2.1468826087764485	nan	-2.196276993225842	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.415037499278844	-0.3057883922321096	nan	nan	nan	-1.0273808609918476	-1.4043053931610798	-0.7543826472436156
OG0011172.0	OG0022617.0	OG0002960.16	OG0006978.0	OG0018116.4	OG0006804.0	OG0008355.0	OG0003036.0	OG0009072.0	OG0000658.0	OG0008108.0	OG0000188.1	OG0000078.263	OG0002999.0	OG0014632.1	OG0004251.2	OG0000177.191	OG0020582.0	OG0001900.0	OG0000085.0	OG0004228.1	OG0022253.0	OG0004557.0	OG0000042.314	OG0012413.8	OG0005489.4	OG0006724.0	OG0012212.6	OG0000075.0	OG0002034.0	OG0007446.0	OG0000483.0	OG0001055.24	OG0001647.0	OG0003100.0	OG0001500.24	OG0012759.0	OG0014677.4	OG0012940.3	OG0002872.0	OG0016105.0	OG0019362.0	OG0000583.0	OG0004136.2	OG0007950.0	OG0011720.2	OG0005908.0	OG0005011.0	OG0000915.28	OG0002524.0	OG0008245.0	OG0003848.6	OG0007027.0	OG0021239.0	OG0008867.1	OG0005704.4	OG0045700.0	OG0000728.24	OG0003709.2	OG0001617.1	OG0015927.4	OG0044386.0	OG0015234.2	OG0003821.20	OG0015760.0
-2.112162828913259	nan	-2.175924643748438	nan	nan	nan	nan	-0.2072279224818811	nan	-1.0344557997682955	nan	-0.7192811863819898	nan	-1.3551285102601587	nan	-2.0421596732937672	nan	nan	-1.454426943964968	-0.9478623766648248	nan	nan	nan	-0.9700171337842857	nan	-0.6679509162510257	nan	nan	-0.6540359696571283	nan	nan	-1.2327689629761245	nan	-1.409278229990159	-2.033864894562046	nan	0.4137023887821764	nan	nan	-0.703219582573575	nan	nan	-0.7490384264667812	-1.001154617941492	nan	nan	nan	nan	nan	-1.5786285669991056	nan	nan	nan	nan	nan	nan	nan	-0.9290611786565625	-1.8682788288440713	nan	nan	nan	nan	nan	nan
OG0007556.0	OG0004174.0	OG0045633.0	OG0005127.2	OG0009112.0	OG0000407.1	OG0001021.49	OG0011198.6	OG0000081.256	OG0016995.2	OG0011719.2	OG0013286.2	OG0010791.5	OG0017764.3	OG0005491.2	OG0002441.0	OG0024480.0	OG0000568.0	OG0018050.0	OG0001900.0	OG0000232.8	OG0010500.6	OG0007623.8	OG0000698.19	OG0005525.30	OG0000661.3	OG0004566.0	OG0002873.0	OG0014663.1	OG0000575.28	OG0024978.0	OG0000929.1	OG0000223.2	OG0000001.2546	OG0006582.0	OG0003307.20	OG0013081.0	OG0001428.1	OG0003587.16	OG0011737.0	OG0013439.2	OG0004351.0	OG0004338.2	OG0002763.0	OG0003247.1	OG0005894.10	OG0007658.2	OG0000376.174	OG0000749.2	OG0000741.0	OG0007292.0	OG0022186.0	OG0024591.0	OG0010759.0	OG0011200.0	OG0025093.0	OG0005949.0	OG0001089.2	OG0002130.0	OG0015365.0	OG0000007.585	OG0000286.32	OG0008677.1	OG0007117.0	OG0008127.0
nan	nan	nan	nan	nan	-1.2667324406452378	-1.6402539530945293	nan	-1.2341258359102747	nan	nan	nan	nan	nan	-0.7444388410996462	-0.9489759969755331	nan	-0.7011071189458389	nan	-1.454426943964968	nan	-2.937878288092203	nan	nan	nan	-1.3360633936448298	nan	-1.5133371067473864	nan	-1.2039006722965686	nan	nan	-1.087426774325152	-0.8862995008352716	nan	nan	nan	nan	nan	nan	nan	-2.006361864568414	nan	nan	-0.6186058682131488	-2.8847003559744526	nan	nan	-2.196276993225842	nan	nan	nan	nan	nan	-2.456405135747399	nan	nan	-1.5559690888416073	nan	nan	-0.4371348323438358	-1.6688680777827978	nan	nan	nan
OG0007162.4	OG0008133.2	OG0001711.10	OG0008305.20	OG0002369.0	OG0007033.0	OG0003762.0	OG0000777.0	OG0007888.4	OG0001061.24	OG0000291.0	OG0009803.0	OG0012177.2	OG0010734.0	OG0005636.2	OG0007826.10	OG0001415.1	OG0003087.0	OG0000085.0	OG0000378.2	OG0000522.0	OG0004341.2	OG0015628.2	OG0000362.42	OG0015209.2	OG0007107.0	OG0005682.0	OG0000246.0	OG0023141.0	OG0003933.8	OG0000662.1	OG0008691.0	OG0010696.0	OG0005469.6	OG0003740.0	OG0000947.24	OG0021189.0	OG0004730.4	OG0008278.4	OG0018079.3	OG0004154.1	OG0003383.0	OG0024706.0	OG0005986.4	OG0019957.0	OG0027805.0	OG0000026.621	OG0019383.0	OG0056683.0	OG0025018.0	OG0020256.0	OG0000359.28	OG0001748.1	OG0007960.0	OG0009920.0	OG0017954.0	OG0003635.0	OG0000026.628	OG0007258.2	OG0012972.9	OG0007948.0	OG0017886.0	OG0000276.72	OG0001802.4	OG0000015.773
-1.664288089679538	nan	-1.9197516699078796	nan	-0.9143034193207537	nan	nan	-1.2877123795494496	nan	nan	-1.0901885012916617	nan	nan	nan	-1.8246989660997566	nan	-1.7607241741174424	nan	-0.9478623766648248	-2.2108967824986188	-0.6933877756246021	nan	nan	-0.8006260392781793	nan	-0.0997417875652501	nan	-0.59749609912741	nan	nan	nan	nan	nan	nan	-0.8828369245342406	-0.35752946268417823	nan	nan	nan	nan	nan	-1.100669665209555	nan	nan	nan	nan	nan	nan	nan	nan	nan	-1.15521264992094	nan	-1.7441971633972821	-13.287712379549449	nan	nan	nan	nan	nan	nan	nan	-1.3492354408830978	-1.911586990273275	-0.022830000309873453
OG0008213.6	OG0005681.2	OG0003402.0	OG0009966.4	OG0011517.2	OG0004182.0	OG0001021.49	OG0000842.0	OG0000081.256	OG0006323.0	OG0007425.0	OG0011499.1	OG0000026.780	OG0004232.0	OG0028998.0	OG0002170.0	OG0001861.0	OG0001893.0	OG0041639.0	OG0007829.0	OG0005283.0	OG0010028.8	OG0005242.14	OG0010154.0	OG0006556.0	OG0000005.297	OG0000661.3	OG0000120.105	OG0002752.1	OG0017936.0	OG0017833.2	OG0018117.2	OG0000001.2546	OG0000431.12	OG0000837.0	OG0022086.0	OG0007347.0	OG0000498.0	OG0010812.8	OG0000631.0	OG0024490.0	OG0001175.1	OG0025087.0	OG0011706.0	OG0016673.6	OG0002592.3	OG0003980.9	OG0002720.27	OG0004145.0	OG0000716.2	OG0025001.0	OG0000071.0	OG0015092.0	OG0006008.0	OG0019403.0	OG0001259.24	OG0034898.0	OG0003533.1	OG0005360.0	OG0001144.24	OG0011470.0	OG0012207.4	OG0006676.0	OG0015684.5	OG0004901.9
