OG0006400.2	OG0000177.8	OG0006804.0	OG0004338.2	OG0022826.0	OG0004324.0	OG0002346.16	OG0002252.0	OG0004835.2	OG0004464.0	OG0000038.0	OG0004617.12	OG0001967.0	OG0000107.44	OG0000692.0	OG0000835.7	OG0000019.257	OG0000606.2	OG0012915.3	OG0009883.5	OG0000027.1
1.305781627764	0.8890078957549999	0.965188261655	0.37508026897200003	nan	0.427685857602	0.996790873167	0.412150910449	0.190239638436	1.2002194147715	1.134143995644	0.12440077351199999	1.1891491051360001	1.0931602008815	1.1240107269069999	0.4161880939625	0.547446686123	0.624064331833	0.040269093007999995	0.3527623619685	1.2506885577384999
OG0046571.0	OG0016839.3	OG0043434.0	OG0016469.2	OG0007133.1	OG0006596.0	OG0037987.0	OG0034863.0	OG0009070.4	OG0044964.0	OG0014998.8	OG0019849.0	OG0001180.24	OG0000053.0	OG0008622.0	OG0008262.0	OG0005954.22	OG0007492.4	OG0000693.9	OG0027676.0	OG0046749.0
nan	0.084637565164	nan	1.387391474319	0.315997796829	0.140745108393	nan	nan	0.34138449291	nan	nan	nan	0.24732823820900002	1.6753986432455	0.585390356064	0.7743210274519999	0.45263166032499996	0.3342796788475	0.872374277583	0.0	nan
OG0030002.0	OG0018776.5	OG0015093.9	OG0045091.0	OG0043348.0	OG0014860.1	OG0020682.0	OG0012331.2	OG0003677.0	OG0009154.6	OG0007752.0	OG0002782.0	OG0038032.0	OG0010777.2	OG0060417.0	OG0016896.2	OG0006313.0	OG0003380.16	OG0006574.0	OG0014601.0	OG0011268.5
nan	nan	nan	nan	nan	0.249989953908	nan	nan	0.55160460419	0.0	1.1708807754200001	0.2648872761255	nan	nan	nan	0.49698898825599996	0.1271355651245	0.992917512226	0.353268852978	0.9806601571835	nan
OG0003468.0	OG0053772.0	OG0029000.0	OG0044810.0	OG0008260.19	OG0016323.2	OG0007110.16	OG0013858.3	OG0020433.0	OG0011587.0	OG0048148.0	OG0023240.0	OG0018120.3	OG0035597.0	OG0049142.0	OG0041832.0	OG0014014.2	OG0010597.0	OG0014625.0	OG0016980.0	OG0014647.1
0.6447476551155	nan	nan	nan	nan	1.572845405996	nan	0.681664787438	0.188261626224	0.804575034667	nan	nan	0.009168001493	nan	nan	nan	0.48439956027099995	1.0273263736755	0.054000270478	1.433704450629	0.3434905567
OG0041934.0	OG0001696.0	OG0045622.0	OG0027680.0	OG0001145.3	OG0008253.2	OG0019818.0	OG0007559.0	OG0046290.0	OG0003145.0	OG0005245.10	OG0002552.0	OG0006868.4	OG0004604.6	OG0034287.0	OG0027757.0	OG0043359.0	OG0003770.8	OG0001075.1	OG0006342.12	OG0014619.0
nan	0.4724618756545	nan	nan	0.44323598278000004	0.12769650189600001	0.095316026995	0.84872623459	nan	0.521271392856	0.7880552776624999	0.24021686011100002	0.13306634603450002	0.497565798833	nan	nan	nan	0.17783112153900002	0.196646766089	0.356973414701	0.307187181263
OG0015257.5	OG0008537.0	OG0028991.0	OG0046669.0	OG0001979.1	OG0024790.0	OG0011010.4	OG0041838.0	OG0024962.0	OG0048033.0	OG0016410.2	OG0060486.0	OG0035782.0	OG0057382.0	OG0006474.4	OG0024466.0	OG0013856.2	OG0007323.1	OG0044779.0	OG0005930.6	OG0016301.7
0.018119783935	0.548574959675	0.014707037753000002	nan	0.5663209130155	1.119436383857	0.160688372162	nan	0.014550247797999998	nan	0.82426484706	nan	nan	nan	1.1026993730425	0.432214012791	0.214373409326	0.169327693568	nan	0.240310763736	nan
OG0022338.0	OG0027903.0	OG0004595.0	OG0043870.0	OG0011481.0	OG0056986.0	OG0016701.8	OG0009129.0	OG0037765.0	OG0000694.0	OG0034938.0	OG0035814.0	OG0011276.7	OG0011741.0	OG0018891.5	OG0000025.0	OG0048950.0	OG0053865.0	OG0015264.2	OG0060421.0	OG0006659.0
0.431109089045	nan	0.7433965222769999	nan	1.0441429720235	nan	nan	0.10209212726700001	nan	1.000811037199	nan	nan	0.1515692107	0.29787012757	nan	1.888655408283	nan	nan	0.363786487685	nan	0.0892140227905
OG0000006.1	OG0014699.4	OG0020437.0	OG0003129.79	OG0007940.2	OG0048995.0	OG0034605.0	OG0011544.8	OG0030011.0	OG0025911.0	OG0003355.0	OG0006767.1	OG0011909.7	OG0010913.0	OG0056643.0	OG0049018.0	OG0053907.0	OG0007491.0	OG0016993.3	OG0006765.2	OG0035710.0
0.9808833760600001	0.665767479884	0.611117227936	0.147996319617	0.224246712793	nan	nan	nan	nan	nan	0.513419962267	nan	nan	2.004773264528	nan	nan	nan	0.41231625238849995	nan	0.157915891819	nan
OG0004561.41	OG0014346.0	OG0003741.24	OG0034840.0	OG0015810.7	OG0008454.4	OG0025683.0	OG0012876.0	OG0000000.3957	OG0007511.2	OG0011346.0	OG0024702.0	OG0012094.2	OG0008445.10	OG0012509.13	OG0014757.0	OG0054078.0	OG0012119.0	OG0004202.2	OG0034836.0	OG0024553.0
0.140190017752	1.534507536512	1.560608267905	nan	nan	nan	nan	0.2972230021435	0.745628069059	0.9997767161605	0.35303267391050003	0.21838306252599998	0.2331942733175	0.3333653118635	nan	0.274409901927	nan	0.48656885829700003	0.608777896039	nan	0.027162876675
OG0002983.24	OG0047080.0	OG0038063.0	OG0000426.5	OG0019293.0	OG0011505.6	OG0044383.0	OG0026159.0	OG0001655.0	OG0001030.26	OG0046593.0	OG0019074.5	OG0014528.2	OG0010926.16	OG0016919.0	OG0022110.0	OG0044070.0	OG0000155.0	OG0016689.7	OG0019344.0	OG0001324.24
0.400748228165	nan	nan	1.4987327619279998	0.125616157484	0.010548252289	nan	nan	1.262904720238	0.559129302979	nan	nan	0.6670268541465	0.020498253230999998	0.433881170585	nan	nan	1.8049104987245	nan	0.117813656591	0.6175317077260001
OG0027621.0	OG0013269.7	OG0007651.0	OG0043937.0	OG0008759.0	OG0018937.6	OG0000897.0	OG0021307.0	OG0015031.3	OG0034510.0	OG0044480.0	OG0015556.1	OG0012396.2	OG0006085.0	OG0038801.0	OG0009254.0	OG0026282.0	OG0013554.0	OG0000645.36	OG0001205.24	OG0008437.3
nan	nan	0.527632080133	nan	0.4139849315825	nan	0.715232491892	0.7405644772159999	nan	nan	nan	nan	1.4943647423539999	1.278143862208	nan	0.2018874057535	nan	0.861891172844	0.4767918931865	0.156533839867	1.387575900742
OG0006636.0	OG0005970.0	OG0043707.0	OG0024821.0	OG0015295.0	OG0015093.6	OG0001822.12	OG0045196.0	OG0049139.0	OG0001590.32	OG0044706.0	OG0018055.4	OG0003201.2	OG0038759.0	OG0017945.4	OG0004491.2	OG0002512.0	OG0018359.4	OG0056726.0	OG0017902.0	OG0015212.3
0.8601740623145001	0.6122675205420001	nan	0.8333414306970001	0.7701137003505001	nan	1.213671902937	nan	nan	0.232669912451	nan	0.207104112212	0.657064515525	nan	1.482117139319	0.7849909598135001	1.288289695147	0.298167790787	nan	0.193319246162	0.021046365928
OG0044150.0	OG0001663.24	OG0035715.0	OG0006280.10	OG0000327.45	OG0016047.3	OG0056576.0	OG0034496.0	OG0001889.10	OG0017008.0	OG0044630.0	OG0041554.0	OG0015571.5	OG0041753.0	OG0014702.2	OG0019419.0	OG0018816.3	OG0034395.0	OG0005110.0	OG0000617.168	OG0044710.0
nan	1.458284051886	nan	0.068315292889	nan	0.031594591326	nan	nan	1.635481769244	nan	nan	nan	nan	nan	1.4856632994249999	nan	nan	nan	0.8381617249779999	nan	nan
OG0002293.0	OG0018469.0	OG0016085.0	OG0038766.0	OG0014998.8	OG0047299.0	OG0006425.0	OG0035706.0	OG0046756.0	OG0027854.0	OG0000323.1	OG0008824.1	OG0020363.0	OG0017919.2	OG0045447.0	OG0006032.28	OG0011464.0	OG0022922.0	OG0017983.2	OG0012002.4	OG0015925.8
1.013828244858	0.217423526221	0.175371804813	nan	nan	nan	1.628144756938	nan	nan	nan	nan	nan	nan	0.288657380224	nan	0.079525666333	0.21375642240899997	nan	nan	nan	nan
OG0000169.16	OG0001517.22	OG0003885.0	OG0045905.0	OG0001325.24	OG0018699.6	OG0020879.0	OG0000578.0	OG0014536.2	OG0037938.0	OG0002559.0	OG0020600.0	OG0046657.0	OG0004643.12	OG0026990.0	OG0001387.26	OG0041824.0	OG0028986.0	OG0025170.0	OG0015014.7	OG0026049.0
1.183364074429	0.509603609015	0.679789408215	nan	0.497118853163	nan	0.8569469369149999	0.807565799014	0.2721014393195	nan	1.6753428425260002	0.9945192869030001	nan	0.136464846275	nan	0.39963461066600003	nan	nan	nan	nan	nan
OG0041689.0	OG0020427.0	OG0010100.0	OG0004640.1	OG0024508.0	OG0005174.2	OG0007264.0	OG0047388.0	OG0006822.8	OG0012048.9	OG0012502.2	OG0008874.19	OG0034984.0	OG0010986.8	OG0009016.8	OG0044047.0	OG0016922.2	OG0044401.0	OG0002981.24	OG0024666.0	OG0034630.0
nan	0.396113800304	0.284499966931	1.176760356247	0.054027313827999995	0.957360297533	1.0232157693000001	nan	0.23720235760299999	nan	0.17463966589899999	nan	nan	0.11239850403200001	0.18916478388799998	nan	1.199605693751	nan	0.495216802012	nan	nan
OG0017883.2	OG0002839.0	OG0015937.7	OG0028094.0	OG0010596.0	OG0002014.0	OG0025659.0	OG0030179.0	OG0048143.0	OG0005359.4	OG0017933.2	OG0001478.0	OG0034738.0	OG0002491.1	OG0011324.0	OG0000012.1	OG0012907.2	OG0024897.0	OG0024828.0	OG0003358.3	OG0017811.4
0.841309293347	0.7136796092659999	nan	nan	0.642102616264	0.641630639215	nan	nan	nan	1.826243352915	0.129428731446	0.7395725263259999	nan	0.279244459636	0.2975564524455	1.7856043893204998	0.734188855022	nan	nan	0.784374134994	nan
OG0009237.0	OG0010772.2	OG0020818.0	OG0019074.4	OG0003538.0	OG0024767.0	OG0029955.0	OG0006763.34	OG0012454.13	OG0025200.0	OG0041506.0	OG0010633.18	OG0008960.0	OG0028301.0	OG0018841.5	OG0020730.0	OG0048964.0	OG0004340.4	OG0046364.0	OG0043788.0	OG0047535.0
0.221703979817	0.6390235895505	nan	nan	0.890800786507	0.674269476164	nan	nan	nan	nan	nan	nan	1.1976799355925	nan	nan	1.296411276469	nan	0.507016047107	nan	nan	nan
OG0010542.2	OG0048079.0	OG0030103.0	OG0006211.0	OG0002967.0	OG0008746.2	OG0003832.0	OG0041591.0	OG0054045.0	OG0011141.5	OG0021290.0	OG0003460.0	OG0005866.20	OG0004776.24	OG0027586.0	OG0008970.0	OG0003376.12	OG0006319.0	OG0000004.1832	OG0016682.2	OG0018450.3
0.159621434879	nan	nan	0.086087079562	1.225709757622	0.38342565880199997	0.532420054034	nan	nan	0.416587881945	1.7511310247760001	0.9470512132885001	1.183873379691	0.6371405925105	nan	1.4409626829679998	0.30587529953299997	0.775363828356	0.895906142634	0.936698404349	0.723841317401
OG0014802.1	OG0012373.10	OG0057124.0	OG0015919.4	OG0007160.0	OG0034875.0	OG0012416.1	OG0008466.1	OG0049160.0	OG0007723.0	OG0043479.0	OG0007956.0	OG0001863.0	OG0009175.1	OG0047255.0	OG0005927.9	OG0006703.0	OG0028990.0	OG0008635.2	OG0019072.2	OG0014999.7
0.32529782553000003	nan	nan	1.7671292547119999	0.308365547184	nan	0.29672398609	nan	nan	0.2663131901615	nan	0.863485479228	0.65614957022	nan	nan	nan	0.3763182618955	0.0	0.4029166033675	nan	nan
OG0014242.0	OG0000698.138	OG0017065.6	OG0004217.6	OG0019429.0	OG0005237.0	OG0006708.0	OG0012789.12	OG0003830.0	OG0046165.0	OG0001455.24	OG0034694.0	OG0016955.3	OG0025707.0	OG0034558.0	OG0000782.1	OG0014614.0	OG0020416.0	OG0006022.15	OG0045061.0	OG0000986.24
1.681535951351	nan	nan	0.981214303422	0.042854543398	0.459851200582	0.43913816471	0.873933589184	0.9460419843700001	nan	0.346082243971	nan	0.007467579528	nan	nan	nan	1.6899196203134998	0.237612241996	nan	nan	0.425037426462
OG0029230.0	OG0003608.2	OG0009090.4	OG0000448.1	OG0006913.0	OG0016257.3	OG0043428.0	OG0004331.0	OG0057067.0	OG0023366.0	OG0000278.13	OG0046549.0	OG0012876.0	OG0016974.4	OG0013909.8	OG0001400.24	OG0060330.0	OG0025926.0	OG0018110.0	OG0005248.24	OG0012345.0
