OG0007639.25	OG0005056.1	OG0008342.0	OG0000264.1	OG0019212.0	OG0000834.30	OG0006158.4	OG0000751.0	OG0016785.2	OG0014302.8	OG0014817.2	OG0001607.2	OG0000213.256	OG0000236.122	OG0004314.0	OG0001844.24	OG0006225.0	OG0029060.0	OG0000456.0	OG0053812.0	OG0013218.3	OG0005400.0	OG0011985.2	OG0008341.0	OG0004205.0	OG0007639.5	OG0000236.19	OG0020019.0	OG0000119.0	OG0005741.0	OG0008335.19	OG0003991.2	OG0007127.0	OG0000324.0	OG0002309.26	OG0009857.2	OG0002590.0	OG0000236.1	OG0003860.1	OG0000320.0	OG0002488.24	OG0002988.0	OG0000206.0	OG0004226.0	OG0000098.0	OG0005266.0	OG0006752.0	OG0044466.0	OG0005996.10	OG0000833.0	OG0012896.0	OG0012897.4	OG0000920.27	OG0000318.0	OG0003342.16	OG0007845.0	OG0000551.2	OG0015105.0	OG0005326.0	OG0001764.0	OG0000834.15	OG0004135.0	OG0014065.0	OG0000213.17	OG0029057.0
nan	0.268754511682	nan	0.570696033407	nan	nan	0.553545037131	0.549352090976	nan	nan	nan	1.9185610542340001	nan	1.513606371199	nan	1.8965735815090001	2.170429832158	nan	1.8537586461489999	nan	nan	nan	nan	nan	0.599493221387	nan	nan	nan	1.963717346604	nan	nan	0.357310070356	nan	1.214793721033	nan	0.426983300585	1.4536625645789998	nan	1.166201054392	1.072765431346	nan	1.071680606345	1.32948436567	0.317304723305	2.7556804500050003	1.389812044486	0.796509452392	nan	nan	nan	0.949246834947	nan	nan	1.291518173711	1.872962014793	nan	0.7335737960879999	nan	nan	0.23960752801899998	nan	0.45955146325900004	nan	1.9763261546970001	nan
OG0013073.2	OG0001039.1	OG0000512.25	OG0013724.0	OG0006295.0	OG0007289.0	OG0035578.0	OG0000328.0	OG0001161.24	OG0004843.6	OG0002867.1	OG0001567.1	OG0006462.0	OG0016290.2	OG0015537.0	OG0002437.4	OG0002390.42	OG0007523.4	OG0004923.0	OG0006694.0	OG0010698.0	OG0015720.2	OG0018083.0	OG0007107.0	OG0000466.0	OG0003620.0	OG0022346.0	OG0000327.54	OG0016802.2	OG0015673.5	OG0000448.1	OG0000420.0	OG0000133.60	OG0003513.0	OG0003531.0	OG0011471.4	OG0011884.0	OG0010877.4	OG0020198.0	OG0004708.0	OG0005041.0	OG0048963.0	OG0002592.3	OG0003924.0	OG0003546.0	OG0004438.0	OG0000749.2	OG0003713.0	OG0020618.0	OG0006677.0	OG0001442.1	OG0016863.2	OG0002321.0	OG0004537.8	OG0019029.0	OG0002881.24	OG0008313.24	OG0003642.0	OG0000225.48	OG0029077.0	OG0027522.0	OG0001215.24	OG0003652.0	OG0003749.1	OG0000127.0
nan	nan	nan	nan	nan	nan	nan	2.411223128703	nan	nan	nan	0.0	nan	nan	nan	1.038696217305	1.7638877574079999	nan	0.302320743817	nan	nan	nan	nan	2.594498190932	1.7870103988900004	0.36746151243	nan	0.7045622189990001	nan	nan	nan	1.4321010116269999	1.38660500511	2.085303451513	1.5688723895339998	nan	nan	nan	nan	nan	1.6347430168369999	nan	2.1792590133039997	0.9195154357359999	0.462872171206	nan	0.986590715326	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	2.210428641101	1.866339189654	nan	nan	nan	1.627984828294	1.1333491004410001	2.4066698334720003
OG0011172.0	OG0022617.0	OG0002960.16	OG0006978.0	OG0018116.4	OG0006804.0	OG0008355.0	OG0003036.0	OG0009072.0	OG0000658.0	OG0008108.0	OG0000188.1	OG0000078.263	OG0002999.0	OG0014632.1	OG0004251.2	OG0000177.191	OG0020582.0	OG0001900.0	OG0000085.0	OG0004228.1	OG0022253.0	OG0004557.0	OG0000042.314	OG0012413.8	OG0005489.4	OG0006724.0	OG0012212.6	OG0000075.0	OG0002034.0	OG0007446.0	OG0000483.0	OG0001055.24	OG0001647.0	OG0003100.0	OG0001500.24	OG0012759.0	OG0014677.4	OG0012940.3	OG0002872.0	OG0016105.0	OG0019362.0	OG0000583.0	OG0004136.2	OG0007950.0	OG0011720.2	OG0005908.0	OG0005011.0	OG0000915.28	OG0002524.0	OG0008245.0	OG0003848.6	OG0007027.0	OG0021239.0	OG0008867.1	OG0005704.4	OG0045700.0	OG0000728.24	OG0003709.2	OG0001617.1	OG0015927.4	OG0044386.0	OG0015234.2	OG0003821.20	OG0015760.0
0.43309268753700003	nan	1.083159863091	nan	nan	0.0	nan	1.396081675959	nan	1.91601416255	nan	1.857007460749	nan	0.142728747706	nan	2.0554594145519998	1.962384876417	nan	1.8406737527900001	1.748707242559	1.652078463523	nan	nan	2.2690185626390003	nan	1.354438194051	nan	nan	1.125580394185	nan	nan	1.3984486304269999	nan	1.120922728058	0.466646067947	nan	0.20871365864100003	nan	nan	1.5144593366130001	nan	nan	2.061335637938	2.088473140172	nan	nan	nan	nan	nan	1.689521549266	nan	nan	nan	nan	nan	nan	nan	1.3339530413299998	0.826599820297	nan	nan	nan	nan	nan	nan
OG0007556.0	OG0004174.0	OG0045633.0	OG0005127.2	OG0009112.0	OG0000407.1	OG0001021.49	OG0011198.6	OG0000081.256	OG0016995.2	OG0011719.2	OG0013286.2	OG0010791.5	OG0017764.3	OG0005491.2	OG0002441.0	OG0024480.0	OG0000568.0	OG0018050.0	OG0001900.0	OG0000232.8	OG0010500.6	OG0007623.8	OG0000698.19	OG0005525.30	OG0000661.3	OG0004566.0	OG0002873.0	OG0014663.1	OG0000575.28	OG0024978.0	OG0000929.1	OG0000223.2	OG0000001.2546	OG0006582.0	OG0003307.20	OG0013081.0	OG0001428.1	OG0003587.16	OG0011737.0	OG0013439.2	OG0004351.0	OG0004338.2	OG0002763.0	OG0003247.1	OG0005894.10	OG0007658.2	OG0000376.174	OG0000749.2	OG0000741.0	OG0007292.0	OG0022186.0	OG0024591.0	OG0010759.0	OG0011200.0	OG0025093.0	OG0005949.0	OG0001089.2	OG0002130.0	OG0015365.0	OG0000007.585	OG0000286.32	OG0008677.1	OG0007117.0	OG0008127.0
0.78824641657	nan	nan	nan	nan	0.984006492686	0.41209895244000005	nan	1.195311344363	nan	nan	nan	nan	nan	2.0258303419479997	1.366073611415	nan	1.963360302157	nan	1.8406737527900001	nan	0.159747354569	nan	nan	nan	0.969988820493	nan	1.317813040624	nan	1.147607797361	nan	nan	1.3262618055239999	1.851933461962	nan	nan	nan	nan	nan	nan	nan	0.186915553475	nan	1.565821628206	1.716560818359	1.734502469594	nan	nan	0.986590715326	nan	nan	nan	nan	nan	1.380327929941	nan	nan	1.061247983956	nan	nan	1.5534465156189998	0.937500488422	nan	1.54677731719	nan
OG0007162.4	OG0008133.2	OG0001711.10	OG0008305.20	OG0002369.0	OG0007033.0	OG0003762.0	OG0000777.0	OG0007888.4	OG0001061.24	OG0000291.0	OG0009803.0	OG0012177.2	OG0010734.0	OG0005636.2	OG0007826.10	OG0001415.1	OG0003087.0	OG0000085.0	OG0000378.2	OG0000522.0	OG0004341.2	OG0015628.2	OG0000362.42	OG0015209.2	OG0007107.0	OG0005682.0	OG0000246.0	OG0023141.0	OG0003933.8	OG0000662.1	OG0008691.0	OG0010696.0	OG0005469.6	OG0003740.0	OG0000947.24	OG0021189.0	OG0004730.4	OG0008278.4	OG0018079.3	OG0004154.1	OG0003383.0	OG0024706.0	OG0005986.4	OG0019957.0	OG0027805.0	OG0000026.621	OG0019383.0	OG0056683.0	OG0025018.0	OG0020256.0	OG0000359.28	OG0001748.1	OG0007960.0	OG0009920.0	OG0017954.0	OG0003635.0	OG0000026.628	OG0007258.2	OG0012972.9	OG0007948.0	OG0017886.0	OG0000276.72	OG0001802.4	OG0000015.773
0.8504713165800001	nan	0.620776443799	nan	0.62901728784	nan	nan	2.317065340185	nan	nan	1.375288668281	nan	nan	nan	1.456806927782	nan	1.206001263053	nan	1.748707242559	0.795899994829	1.299256383029	nan	nan	2.6595890624200003	nan	2.594498190932	nan	1.728005975808	nan	nan	nan	nan	nan	nan	1.677851585278	1.157616122291	nan	nan	nan	nan	nan	1.281835976307	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.828459616782	nan	0.8122744285	0.0	nan	nan	nan	nan	nan	nan	nan	0.969568022294	0.647740521149	3.702188319636
OG0008213.6	OG0005681.2	OG0003402.0	OG0009966.4	OG0011517.2	OG0004182.0	OG0001021.49	OG0000842.0	OG0000081.256	OG0006323.0	OG0007425.0	OG0011499.1	OG0000026.780	OG0004232.0	OG0028998.0	OG0002170.0	OG0001861.0	OG0001893.0	OG0041639.0	OG0007829.0	OG0005283.0	OG0010028.8	OG0005242.14	OG0010154.0	OG0006556.0	OG0000005.297	OG0000661.3	OG0000120.105	OG0002752.1	OG0017936.0	OG0017833.2	OG0018117.2	OG0000001.2546	OG0000431.12	OG0000837.0	OG0022086.0	OG0007347.0	OG0000498.0	OG0010812.8	OG0000631.0	OG0024490.0	OG0001175.1	OG0025087.0	OG0011706.0	OG0016673.6	OG0002592.3	OG0003980.9	OG0002720.27	OG0004145.0	OG0000716.2	OG0025001.0	OG0000071.0	OG0015092.0	OG0006008.0	OG0019403.0	OG0001259.24	OG0034898.0	OG0003533.1	OG0005360.0	OG0001144.24	OG0011470.0	OG0012207.4	OG0006676.0	OG0015684.5	OG0004901.9
