OG0006225.0	OG0000711.2	OG0019212.0	OG0002787.0	OG0001823.24	OG0000065.1	OG0002101.0	OG0001699.1	OG0001764.0	OG0005056.1	OG0001607.2	OG0029060.0	OG0001566.2	OG0002309.26	OG0008341.0	OG0004205.0	OG0002988.0	OG0005575.28	OG0015416.2	OG0001842.34	OG0000098.0	OG0000236.122	OG0000264.1	OG0000551.2	OG0008342.0	OG0001907.32	OG0016785.2	OG0020502.0	OG0000119.0	OG0000441.1	OG0002651.6	OG0008335.19	OG0000833.0	OG0000750.0	OG0001778.24	OG0014063.4	OG0000456.0	OG0002012.0	OG0005567.0	OG0011318.4	OG0001741.1	OG0000038.0	OG0011985.2	OG0000834.30	OG0000213.256	OG0002348.56	OG0014065.0	OG0003001.0	OG0001309.24	OG0000740.26	OG0004226.0	OG0013273.0	OG0029057.0	OG0000441.96	OG0008015.25	OG0000318.0	OG0007639.25	OG0002178.2	OG0001567.1	OG0000324.0	OG0003342.16	OG0006752.0	OG0008099.0	OG0001643.24	OG0000065.40	OG0000920.27	OG0007127.0	OG0001843.5	OG0000749.2	OG0005996.10	OG0002590.0	OG0005741.0	OG0000310.18	OG0000206.0	OG0000236.1	OG0000320.0	OG0001964.1	OG0053812.0	OG0007845.0	OG0001698.26	OG0001824.24	OG0000213.17	OG0003860.1	OG0015415.0	OG0044466.0	OG0005326.0	OG0007639.5	OG0012896.0	OG0012897.4	OG0004314.0	OG0006297.0	OG0014302.8	OG0000606.2	OG0020019.0	OG0006158.4	OG0001579.36	OG0000751.0	OG0014817.2	OG0000834.15	OG0002488.24	OG0015105.0	OG0000869.2	OG0001711.10	OG0028281.0	OG0000646.28	OG0013218.3	OG0001844.24	OG0003991.2	OG0001602.32	OG0011319.4	OG0000471.2	OG0000236.19	OG0001016.1	OG0013106.2	OG0014068.0	OG0009857.2	OG0004135.0	OG0005266.0	OG0003151.14	OG0005400.0
5.365626814603067	4.331837342718466	-1.4359944550876724	5.245417447596345	4.249390717438137	nan	2.5508252004725858	3.7523703714243846	2.032030862812303	1.6537565757081047	5.187671167977073	-13.287712379549449	6.524116308090783	5.827379706515126	1.572250273562005	3.450355864670709	4.596247762489816	0.4662688241784086	-1.558650266329535	5.079294039474334	6.3050139535711285	4.786184983578821	3.8575066198161356	6.917485888354072	2.0552809769629103	4.608496418591426	-1.1496317731419636	2.0656960305292356	6.587403802095375	0.24202770751783143	3.8840996729189494	-3.8073653093449016	5.080776630397934	5.29951426134823	5.349550131414722	0.6104295172831056	5.159877328725069	0.0747948769887755	1.5791337058197286	1.1396614238054927	3.8517109410655888	8.28439494743276	2.6960638375939587	5.715460755168607	0.4034662349374713	1.9655354618241838	0.004390892080869884	2.3315741799228893	1.2884378831439265	0.5732508868879453	2.706220409918841	3.0523898604119752	-13.287712379549449	3.880915015811211	nan	6.229054930893693	-13.287712379549449	3.3728897288458564	3.356837488145097	4.526772943954153	4.976253214915082	3.9194154556998035	3.272885388862685	3.2101128903137615	6.251074076649885	5.4964325093141655	2.8464985840896126	7.397343880921011	5.2285619572734765	1.6950591606198113	4.570057236979119	0.8597269647071779	5.521260749079113	7.477226549593553	1.5310303170156239	6.886812060071616	4.919822104221287	nan	1.4869934039635813	3.76834630985074	3.770679823954512	8.173941193078683	4.044403467311483	-13.287712379549449	nan	0.6644185811037266	1.495391589015806	2.9455225643395324	1.101067360102019	1.6229558387278331	1.6144356397594812	-3.4807872286686834	5.666171523074633	0.10530712763183743	3.9656708814581436	4.4105716742090815	6.447846877871754	3.234706469320964	1.2893551033789747	2.295832553403203	0.7331669607525073	3.700510734503725	6.673293958680064	nan	1.919017548184029	-2.642443082390205	8.174524311534741	3.2698707834165	4.714144465679471	1.8697340329898202	4.959066512187899	nan	3.747776637495327	nan	1.2105338620753263	2.8517635646175195	1.0484604864355695	2.4051629028587582	5.633741776396054	2.202553039883437
OG0013961.0	OG0004125.0	OG0034275.0	OG0015984.2	OG0003537.2	OG0047178.0	OG0004055.0	OG0015212.3	OG0034671.0	OG0001143.26	OG0003695.0	OG0003674.0	OG0002126.0	OG0017331.4	OG0060369.0	OG0024695.0	OG0037769.0	OG0043441.0	OG0026545.0	OG0037717.0	OG0060345.0	OG0017007.0	OG0021312.0	OG0014976.2	OG0018420.5	OG0044420.0	OG0000001.2	OG0029251.0	OG0045601.0	OG0003356.2	OG0012516.3	OG0010109.10	OG0000910.22	OG0021422.0	OG0018873.4	OG0009191.17	OG0016229.7	OG0028194.0	OG0043587.0	OG0013044.2	OG0044405.0	OG0000777.0	OG0047957.0	OG0014980.7	OG0049180.0	OG0053978.0	OG0034997.0	OG0010769.5	OG0020026.0	OG0027886.0	OG0007364.5	OG0045019.0	OG0015297.0	OG0005187.0	OG0025128.0	OG0030068.0	OG0054107.0	OG0029606.0	OG0045240.0	OG0011531.13	OG0002586.25	OG0034443.0	OG0000151.0	OG0056888.0	OG0027882.0	OG0049121.0	OG0003363.0	OG0015603.2	OG0013735.9	OG0054020.0	OG0002645.26	OG0008720.0	OG0053860.0	OG0046032.0	OG0027029.0	OG0020495.0	OG0029130.0	OG0003740.0	OG0027539.0	OG0038829.0	OG0016419.0	OG0057036.0	OG0000562.130	OG0006147.34	OG0014836.5	OG0011529.8	OG0003458.0	OG0057445.0	OG0020380.0	OG0009797.0	OG0041943.0	OG0004419.0	OG0025940.0	OG0007653.0	OG0020659.0	OG0007788.4	OG0004867.1	OG0013093.0	OG0001087.24	OG0029995.0	OG0003103.85	OG0001322.24	OG0000518.24	OG0018774.3	OG0021198.0	OG0004757.2	OG0012131.2	OG0013568.4	OG0013535.7	OG0018847.2	OG0016154.2	OG0013928.0	OG0007234.0	OG0013600.0	OG0022907.0	OG0000932.26	OG0010161.0	OG0002373.38	OG0001528.16	OG0044265.0
2.300653525045323	4.806647513763429	nan	2.3763435114216462	3.2012182146751353	nan	2.060249685806237	-1.509931136361449	nan	0.6603940622684865	2.1546693833319814	3.125284194024793	0.8205359712898652	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	1.5947418916356244	nan	nan	5.176077500163702	nan	nan	1.104942262551493	1.566323171689065	nan	3.3562216921761183	nan	nan	2.0011876447182715	nan	nan	nan	-0.6283942761135359	nan	8.141177145813625	nan	nan	nan	nan	nan	2.5507864131250226	nan	nan	nan	nan	2.4093032242561656	0.9784376275714735	nan	nan	nan	nan	nan	nan	4.3012079495389655	nan	5.679349831227119	nan	nan	nan	0.89514673797072	4.593141578564944	nan	nan	2.133443429410026	2.087453603490117	nan	nan	nan	-0.7766420278999153	-13.287712379549449	4.815914151788804	0.5834340130781763	nan	nan	nan	0.31760003440819273	nan	nan	-2.2154015492392483	2.261486731665415	nan	nan	2.5671395299692383	nan	0.9405290294831434	nan	2.2529376472138707	2.6856032543233304	3.040098716526671	5.524265443084513	0.014716232603383592	1.62522652101972	nan	nan	1.9737407163813872	4.217099910977424	nan	nan	0.8754657222684108	1.385282287848657	1.6281526464994596	-0.9701353613103794	0.005243922114727985	1.116946210134612	4.6459959080695805	2.128165550490837	4.03146219374201	nan	1.5452045634031835	0.8800987406699388	0.27169471624711483	5.266978412930877	nan
OG0025670.0	OG0045253.0	OG0007454.2	OG0016037.0	OG0026962.0	OG0006458.0	OG0008432.3	OG0037796.0	OG0022975.0	OG0016658.6	OG0016109.1	OG0019073.3	OG0045726.0	OG0023486.0	OG0004382.22	OG0001313.24	OG0004768.0	OG0035662.0	OG0003672.0	OG0045763.0	OG0027692.0	OG0002219.0	OG0003957.1	OG0041596.0	OG0028162.0	OG0045950.0	OG0054032.0	OG0054007.0	OG0060332.0	OG0005576.4	OG0001654.2	OG0029105.0	OG0046965.0	OG0027235.0	OG0000367.174	OG0021379.0	OG0028862.0	OG0027012.0	OG0019048.5	OG0007986.5	OG0018551.2	OG0048977.0	OG0044631.0	OG0009920.0	OG0000716.2	OG0002417.0	OG0017087.4	OG0041606.0	OG0034304.0	OG0002645.26	OG0047561.0	OG0028903.0	OG0002195.39	OG0010171.9	OG0037719.0	OG0044852.0	OG0018871.0	OG0008213.6	OG0038690.0	OG0047112.0	OG0009066.4	OG0030057.0	OG0019756.0	OG0013126.0	OG0001952.4	OG0026959.0	OG0046634.0	OG0014821.9	OG0035538.0	OG0006905.0	OG0026275.0	OG0018451.0	OG0021654.0	OG0046930.0	OG0024612.0	OG0023018.0	OG0045592.0	OG0010941.0	OG0024232.0	OG0006943.0	OG0002509.0	OG0054046.0	OG0005328.10	OG0004090.26	OG0009149.0	OG0056762.0	OG0002829.1	OG0004014.6	OG0017270.5	OG0014789.4	OG0048057.0	OG0057587.0	OG0008538.0	OG0021915.0	OG0000674.30	OG0049027.0	OG0005926.0	OG0012092.2	OG0013043.4	OG0001042.5	OG0037761.0	OG0044289.0	OG0005608.1	OG0005393.6	OG0038889.0	OG0053886.0	OG0038723.0	OG0000034.230	OG0016715.4	OG0019125.2	OG0004776.24	OG0007313.0	OG0024526.0	OG0000508.48	OG0045052.0	OG0003730.10	OG0045137.0	OG0016419.0	OG0012990.0	OG0015750.2
nan	nan	1.6353566545228422	3.6621328784510845	nan	3.184510547504172	nan	nan	nan	2.0725092964682967	1.3068278953874535	nan	nan	nan	1.2925111478642912	-0.3556748257982221	3.6073189808828867	nan	2.285733904569746	nan	nan	5.154980719392038	0.06323093572408857	nan	nan	nan	nan	nan	nan	1.5018602597784	1.5119847476628139	nan	nan	nan	-0.4741672980258754	2.433778406540509	nan	nan	nan	nan	0.7048988447529125	nan	nan	3.5343967749267433	4.3776207349484455	2.6674460579537156	nan	nan	nan	2.133443429410026	nan	nan	5.460989607759253	nan	nan	nan	-0.14404250128874668	2.8422905514515477	nan	nan	3.140188439955257	nan	nan	1.0481795725500587	3.808864571904496	0.8143170513203117	nan	nan	nan	0.38345703018649413	1.5171762150269683	-0.433137890011928	nan	nan	1.6827380656151965	nan	nan	1.7085062177538404	nan	0.48161256708307726	2.1489558896339163	nan	-0.36657012926264576	2.9968573365338926	1.1304014780886664	nan	1.3316518490715148	3.2711103556040815	nan	1.5948558740800063	nan	nan	4.596469645204434	nan	3.903375919289706	nan	4.558868535489162	2.883030089018789	3.1998635622116116	1.4054439187435923	nan	nan	3.9373055720853554	2.018140298206504	nan	nan	nan	4.730108069284058	nan	-13.287712379549449	1.7002415483720217	1.8549054038993031	-2.8051515088535006	6.063044170945205	nan	2.2648013804378793	nan	nan	1.4719082238242205	2.127928751719412
OG0047196.0	OG0001216.24	OG0001352.26	OG0028257.0	OG0007287.0	OG0013618.1	OG0008959.12	OG0005515.0	OG0023126.0	OG0000154.2	OG0047346.0	OG0022635.0	OG0004012.2	OG0005139.28	OG0037844.0	OG0005210.0	OG0018157.2	OG0002676.13	OG0010688.2	OG0002289.0	OG0022840.0	OG0007893.0	OG0003152.0	OG0022309.0	OG0041962.0	OG0028935.0	OG0020690.0	OG0029043.0	OG0044609.0	OG0034975.0	OG0006661.0	OG0045459.0	OG0056763.0	OG0017146.3	OG0001012.4	OG0005447.3	OG0015957.5	OG0004063.6	OG0011990.16	OG0016862.2	OG0007687.1	OG0008868.1	OG0044082.0	OG0016635.0	OG0023365.0	OG0015657.3	OG0027664.0	OG0046095.0	OG0022833.0	OG0023149.0	OG0023156.0	OG0001555.4	OG0019381.0	OG0015006.0	OG0001431.24	OG0049192.0	OG0013605.0	OG0002211.0	OG0017433.3	OG0018077.1	OG0020648.0	OG0017428.3	OG0005902.0	OG0004173.4	OG0007345.0	OG0044134.0	OG0017152.2	OG0005766.0	OG0014232.3	OG0005005.8	OG0003376.12	OG0044243.0	OG0020940.0	OG0005504.0	OG0000618.54	OG0013332.12	OG0029568.0	OG0044816.0	OG0010579.4	OG0041832.0	OG0041885.0	OG0026959.0	OG0005009.2	OG0028276.0	OG0022924.0	OG0010785.14	OG0013984.0	OG0003367.2	OG0045756.0	OG0001544.92	OG0017923.3	OG0001678.0	OG0053808.0	OG0034855.0	OG0007734.2	OG0026125.0	OG0034773.0	OG0013889.2	OG0004731.6	OG0010738.0	OG0002382.29	OG0006709.0	OG0015949.0	OG0060438.0	OG0045132.0	OG0035684.0	OG0018521.0	OG0043848.0	OG0020836.0	OG0005274.0	OG0049185.0	OG0006223.1	OG0046184.0	OG0057019.0	OG0012248.0	OG0047518.0	OG0004163.55	OG0016048.3	OG0023430.0	OG0045254.0
nan	-0.2104867349318555	1.3414337096355067	nan	0.6363696671081471	0.4393565201903932	nan	-0.8639664049510315	-0.5116569937711726	5.611456809360948	nan	-13.287712379549449	0.3208232540316193	4.431610899959846	nan	0.9649062026040632	7.286722627918197	nan	3.1816314524676734	1.0313448276492094	nan	1.9770270921601967	5.485973739586546	nan	nan	nan	nan	nan	nan	nan	0.5305491941292824	nan	nan	nan	4.110173227668754	0.9817084110357642	nan	1.5755813068159095	nan	1.2399121117408258	1.0282058757467925	nan	nan	-0.05235594124133911	nan	nan	1.231553210619295	nan	-1.0791654505191481	nan	-1.18279412863783	5.694610171414156	nan	1.2151868711514242	1.1397157597498835	nan	0.5213824799321978	1.5203437670744055	nan	0.5164509082583812	0.8678581280441702	nan	2.148032405175865	2.8437478531971236	2.1688652702502793	nan	3.8867035146455744	2.6597430894558576	nan	1.6634808177287552	1.3712729034783788	nan	nan	1.3487027379980976	1.1794391748670585	nan	nan	nan	0.39240592139695796	nan	nan	0.8143170513203117	1.3525128496464154	nan	nan	-1.376313358461675	2.2472234883151305	1.5560992498909132	nan	3.8317414005024277	0.12763618469973229	3.9898711705940864	nan	nan	2.424291651252919	nan	nan	2.095140807271992	3.225511333637555	3.5826503818979343	-0.6255627936818242	1.0946420392956762	1.899412594715002	nan	nan	nan	2.8113826805520494	nan	-2.6525364573581625	4.145590367915277	nan	2.127454727705022	nan	nan	2.294195375512027	nan	nan	nan	nan	nan
OG0046621.0	OG0013034.0	OG0009963.2	OG0035832.0	OG0000047.2	OG0016166.2	OG0004946.5	OG0013289.6	OG0025814.0	OG0021948.0	OG0043924.0	OG0001072.1	OG0001489.4	OG0015259.2	OG0024461.0	OG0006327.0	OG0038800.0	OG0044616.0	OG0014542.4	OG0001625.2	OG0014708.6	OG0005322.4	OG0022380.0	OG0028298.0	OG0028203.0	OG0014815.3	OG0024564.0	OG0019285.0	OG0047317.0	OG0002411.1	OG0022094.0	OG0022277.0	OG0014805.4	OG0025076.0	OG0024447.0	OG0019024.6	OG0025672.0	OG0016755.0	OG0011129.17	OG0022252.0	OG0047506.0	OG0006730.0	OG0057276.0	OG0018404.0	OG0019338.0	OG0007250.0	OG0035703.0	OG0008972.0	OG0027623.0	OG0015093.9	OG0014978.9	OG0019304.0	OG0043496.0	OG0004370.2	OG0024723.0	OG0044364.0	OG0054002.0	OG0010726.0	OG0006504.0	OG0006827.2	OG0022875.0	OG0013023.0	OG0041845.0	OG0047953.0	OG0046125.0	OG0006377.0	OG0011423.1	OG0010571.0	OG0017871.2	OG0028109.0	OG0007850.16	OG0016715.7	OG0017341.3	OG0012142.2	OG0041518.0	OG0005993.0	OG0002289.0	OG0019248.0	OG0007160.0	OG0028229.0	OG0057067.0	OG0034722.0	OG0038597.0	OG0017866.2	OG0046197.0	OG0043935.0	OG0034382.0	OG0014372.0	OG0018087.2	OG0001985.1	OG0006566.0	OG0023992.0	OG0012680.0	OG0021186.0	OG0035778.0	OG0047052.0	OG0043969.0	OG0034800.0	OG0047130.0	OG0008764.0	OG0024472.0	OG0054006.0	OG0005818.0	OG0011186.0	OG0045063.0	OG0044501.0	OG0010962.0	OG0000089.1	OG0009811.0	OG0008580.0	OG0047176.0	OG0014005.0	OG0037766.0	OG0003322.8	OG0024284.0	OG0043745.0	OG0022939.0	OG0017441.1	OG0053807.0	OG0044039.0
nan	2.8744390670167133	1.8549013998977604	nan	2.1417181252052897	2.9905880519427144	2.9348265292160134	nan	nan	nan	nan	3.4390251329395674	5.168073939954606	2.5339235533519875	nan	2.0120088178903797	nan	nan	0.5091649041919327	0.5440955133165823	1.8212513649636182	3.325015316660849	-0.10244631490436377	nan	nan	2.827663545110938	1.6301437649314616	nan	nan	0.12107970013132463	1.7396481714226701	1.2014467536337727	-0.7988199865949304	4.885947918468906	nan	nan	nan	1.7735623640614984	nan	1.2616546332074978	nan	3.644595825385163	nan	1.3763379330099665	nan	2.602785026507076	nan	2.8829749667760756	0.2784455516825565	nan	nan	nan	nan	1.503487491935053	1.2336381922565436	nan	nan	1.6261386090260896	1.1838433900919334	3.5280094733072733	nan	1.2933327744916472	nan	nan	nan	2.3592716316812905	1.3084152590108176	2.3165889099966153	1.8381100637426784	nan	-4.5837485315099995	nan	nan	1.028811960767915	nan	1.5445426062492649	1.0313448276492094	nan	1.7596025744561092	nan	nan	nan	nan	1.0147727866911405	nan	nan	nan	0.8660676312986972	2.2350828533450295	0.018070508679662978	-0.12776258341504818	nan	0.643773276203623	nan	nan	nan	nan	nan	nan	1.0775687817558437	1.3497528644694654	nan	2.6415467052665984	0.9266178049476139	nan	nan	4.2132174805386935	nan	0.3424633809668937	1.0077727022106653	nan	1.3726646786126968	nan	4.3054385984471395	nan	nan	nan	nan	nan	nan
OG0038730.0	OG0060377.0	OG0011214.2	OG0043698.0	OG0046791.0	OG0006361.0	OG0014863.6	OG0005001.1	OG0025133.0	OG0045221.0	OG0012653.0	OG0024972.0	OG0041579.0	OG0000255.37	OG0007271.0	OG0007483.0	OG0000397.30	OG0007549.0	OG0001589.0	OG0007789.0	OG0024484.0	OG0006751.14	OG0012348.5	OG0007932.0	OG0017046.0	OG0057173.0	OG0012530.0	OG0018005.0	OG0013924.0	OG0023059.0	OG0007392.0	OG0044307.0	OG0002588.4	OG0006577.0	OG0002946.0	OG0014726.3	OG0005449.2	OG0044456.0	OG0043814.0	OG0038752.0	OG0019326.0	OG0020885.0	OG0046604.0	OG0003748.49	OG0021970.0	OG0016623.4	OG0027869.0	OG0019560.0	OG0034823.0	OG0053936.0	OG0024829.0	OG0044258.0	OG0001908.2	OG0038817.0	OG0020309.0	OG0028860.0	OG0046099.0	OG0027902.0	OG0020496.0	OG0016132.6	OG0000100.1	OG0002161.0	OG0007638.14	OG0028998.0	OG0012037.4	OG0013292.10	OG0000137.0	OG0008638.0	OG0007040.0	OG0013903.0	OG0022448.0	OG0017518.3	OG0003711.6	OG0025724.0	OG0016697.7	OG0057300.0	OG0010639.2	OG0001926.0	OG0009082.0	OG0046309.0	OG0045631.0	OG0010822.13	OG0000946.1	OG0027738.0	OG0001725.29	OG0016246.7	OG0044538.0	OG0044651.0	OG0000148.0	OG0003396.26	OG0018420.6	OG0044374.0	OG0017129.3	OG0007012.0	OG0003887.2	OG0044052.0	OG0020320.0	OG0060545.0	OG0003682.2	OG0013658.3	OG0044160.0	OG0000671.12	OG0011297.6	OG0009120.0	OG0007669.2	OG0024517.0	OG0022307.0	OG0003636.4	OG0034938.0	OG0012145.2	OG0046600.0	OG0053903.0	OG0027660.0	OG0006347.24	OG0007536.1	OG0007179.8	OG0003585.0	OG0018457.6	OG0013848.0	OG0043483.0
