OG0012915.3	OG0006804.0	OG0022826.0	OG0004464.0	OG0000027.457	OG0004617.12	OG0000692.0	OG0000019.257	OG0000177.8	OG0002252.0	OG0006400.2	OG0016785.2	OG0001698.26	OG0009883.5	OG0004338.2	OG0001643.24	OG0004324.0	OG0000606.2	OG0001967.0	OG0000835.7	OG0004710.2	OG0022825.0	OG0002346.16	OG0000038.0	OG0000027.1	OG0004835.2	OG0012926.0	OG0001566.2	OG0000471.2	OG0012896.0	OG0000107.44
nan	nan	nan	0.354378	0.198373	0.08914910000000001	0.177723	0.115184	0.0874539	0.0	0.487759	nan	0.168699	nan	0.376265	0.05576709999999999	0.244758	0.0615641	0.11748199999999999	0.474091	0.249612	nan	0.0554847	0.26144	0.260368	0.0	nan	0.234066	0.0321629	0.2173	0.18768800000000002
OG0003918.5	OG0008192.2	OG0006292.0	OG0000121.128	OG0002778.0	OG0009029.2	OG0000429.0	OG0000123.210	OG0000265.0	OG0000001.1420	OG0001697.2	OG0006983.0	OG0004254.23	OG0000034.305	OG0000318.0	OG0003678.2	OG0005879.0	OG0003974.4	OG0002068.0	OG0005314.0	OG0028979.0	OG0012649.2	OG0012177.2	OG0000180.0	OG0001508.1	OG0001601.50	OG0024645.0	OG0048133.0	OG0001723.0	OG0005902.0	OG0000006.561
0.10105599999999999	0.0646965	nan	0.20620100000000002	0.110149	nan	0.0812543	0.0166026	0.0517653	0.265491	0.024034299999999998	nan	0.0	0.229508	0.257188	0.02285	0.0	0.0480972	0.0691781	0.5392939999999999	nan	nan	nan	0.19816199999999998	0.0965965	0.190709	nan	nan	0.005070399999999999	0.0634366	0.274516
OG0000245.24	OG0007897.3	OG0000878.5	OG0000010.475	OG0002537.22	OG0008545.2	OG0003880.0	OG0020510.0	OG0001238.24	OG0001881.0	OG0000279.0	OG0046223.0	OG0000338.41	OG0006082.0	OG0054009.0	OG0007052.0	OG0006151.2	OG0001586.3	OG0004501.15	OG0001103.24	OG0000011.1	OG0003219.0	OG0000443.1	OG0000486.2	OG0009949.0	OG0000483.0	OG0002514.2	OG0014858.0	OG0000015.773	OG0013973.0	OG0001764.0
0.183576	nan	0.115253	0.241958	0.089974	0.166431	0.0716058	nan	0.0166323	0.015547100000000001	0.054622300000000006	nan	0.15394000000000002	0.0	nan	nan	0.27510300000000004	0.06207080000000001	0.260287	0.0	0.22381199999999998	0.0990288	0.445775	0.16664600000000002	nan	0.11708199999999999	0.13011	0.477699	0.0231197	nan	0.0325
OG0000081.1	OG0012102.0	OG0001820.0	OG0000349.0	OG0006412.3	OG0007545.2	OG0000736.0	OG0005721.0	OG0002442.0	OG0000015.1	OG0001366.26	OG0000159.288	OG0001103.24	OG0000026.45	OG0057088.0	OG0000923.0	OG0004113.4	OG0006119.2	OG0013522.0	OG0008685.1	OG0001095.25	OG0002946.0	OG0004461.4	OG0056982.0	OG0000169.16	OG0000120.105	OG0005623.0	OG0017964.4	OG0001851.13	OG0000045.0	OG0005827.2
0.15015	nan	0.017432299999999998	0.16384300000000002	0.249569	0.518496	0.0637062	nan	0.137659	0.232792	0.061448300000000004	nan	0.0	0.159707	nan	0.190156	0.219615	0.057313	nan	nan	0.028892200000000003	0.0	0.0481672	nan	0.265319	0.055839099999999996	0.246567	nan	0.10728199999999999	0.060229099999999994	0.0556557
OG0000032.252	OG0002841.0	OG0001932.0	OG0003121.6	OG0004500.5	OG0003400.52	OG0037709.0	OG0004267.6	OG0006855.18	OG0020289.0	OG0006474.4	OG0001853.0	OG0000139.0	OG0000011.1	OG0003925.0	OG0000932.26	OG0000047.282	OG0000075.0	OG0008940.1	OG0002340.0	OG0035551.0	OG0018942.4	OG0001415.1	OG0000088.3	OG0000090.24	OG0008493.6	OG0000230.58	OG0001452.24	OG0004749.2	OG0000066.1	OG0010530.0
0.101138	0.024041	0.05299109999999999	0.0762265	0.111001	nan	nan	0.153282	0.15527	nan	0.0853119	0.0216308	0.253116	0.22381199999999998	5.9e-05	0.025238	0.146757	0.11231300000000001	nan	0.015547100000000001	nan	nan	0.0610063	0.0678205	0.24714699999999998	nan	0.108892	0.047258800000000004	0.234062	0.087009	nan
OG0007434.0	OG0000014.1	OG0000767.24	OG0003400.52	OG0002778.0	OG0006117.2	OG0000265.0	OG0000336.0	OG0053818.0	OG0029083.0	OG0021274.0	OG0000350.8	OG0000048.325	OG0000026.45	OG0002143.0	OG0003960.4	OG0007180.0	OG0006975.0	OG0000237.1	OG0002012.0	OG0000343.0	OG0003714.0	OG0013943.9	OG0010537.0	OG0002104.0	OG0006887.0	OG0006476.16	OG0005145.0	OG0000007.976	OG0004219.22	OG0000074.152
