OG0004710.2	OG0012896.0	OG0001643.24	OG0000471.2	OG0000027.457	OG0001698.26	OG0016785.2	OG0001566.2	OG0012926.0	OG0022825.0
8.961704e-05	0.2811832	0.5616685	0.08080729	0.03696401	0.3643639	nan	0.3085137	0.9996688	nan
OG0001388.12	OG0002087.0	OG0000038.0	OG0004608.0	OG0018427.0	OG0000409.24	OG0056740.0	OG0006987.0	OG0000704.0	OG0004027.1
0.5211996	0.9494812	0.01180559	0.5844096999999999	nan	0.47814049999999997	nan	0.3437113	0.698717	0.9968341999999999
OG0000606.2	OG0021117.0	OG0000001.1420	OG0001191.24	OG0013740.8	OG0009949.0	OG0004240.0	OG0000382.41	OG0016027.4	OG0001996.0
0.2350835	nan	0.009027639	0.9193894	nan	0.3432696	0.9688575999999999	0.9060273999999999	0.9961913	0.9574084
OG0000006.561	OG0000643.24	OG0012875.0	OG0001086.0	OG0019494.0	OG0000263.57	OG0004807.4	OG0014207.0	OG0047088.0	OG0002138.0
0.02231204	0.6689353	0.7981689999999999	0.8671264999999999	nan	0.9184763000000001	0.06128006	0.9999565	nan	0.8979056000000001
OG0001734.7	OG0019182.0	OG0000056.0	OG0003610.0	OG0010606.0	OG0015812.0	OG0053838.0	OG0000044.1	OG0001402.24	OG0000512.25
0.9566287	nan	0.004313104	0.02055945	0.8550975000000001	0.9999775	nan	0.24108579999999996	0.8886824000000001	0.9512011
OG0003604.62	OG0024446.0	OG0007665.0	OG0000032.252	OG0002151.0	OG0005256.10	OG0013957.4	OG0001169.24	OG0000383.2	OG0000001.2899
nan	nan	0.224838	0.07487833	0.8830386999999998	0.09059655	0.9199556000000001	0.9738305	0.9707193999999999	0.05721481
OG0000405.0	OG0043476.0	OG0007565.0	OG0019016.0	OG0007920.14	OG0000125.49	OG0001435.1	OG0008551.0	OG0000007.976	OG0000830.1
0.3579445	nan	0.9809396	nan	0.9987079	0.8035437	0.9674478000000001	0.8627267	0.01532964	0.8529184000000001
OG0014358.0	OG0000886.24	OG0001238.24	OG0000032.252	OG0001242.28	OG0009781.2	OG0003752.2	OG0012427.14	OG0024512.0	OG0000126.1
0.9997805000000001	0.8819978999999999	0.8614101000000001	0.07487833	0.9618474	0.07818547	0.14355489999999999	nan	nan	0.3734427
OG0001228.1	OG0000946.1	OG0000010.475	OG0004958.0	OG0001134.24	OG0020423.0	OG0049025.0	OG0006410.0	OG0027420.0	OG0000092.1
0.9768618	0.8813165999999999	0.00131803	0.06803312	0.9259326999999999	0.9999768	nan	0.9113386	nan	0.01905734
OG0000764.26	OG0018934.1	OG0007070.2	OG0043565.0	OG0001163.24	OG0009316.2	OG0000044.1	OG0000082.1	OG0001309.24	OG0007809.2
0.5486049	nan	0.9411971	nan	0.9612745999999999	0.9993459000000001	0.24108579999999996	0.1277849	0.9090778	0.9266815999999999
OG0000627.52	OG0006805.0	OG0000006.561	OG0000327.1	OG0024566.0	OG0002127.0	OG0020485.0	OG0000175.4	OG0005354.1	OG0001941.0
0.9515896999999999	0.6215496	0.02231204	0.9452635	nan	0.9791449000000001	nan	0.5753568	0.9940776	0.940212
OG0000054.0	OG0001349.1	OG0000018.1	OG0004412.2	OG0013488.2	OG0001513.24	OG0008965.0	OG0010629.10	OG0000918.1	OG0020760.0
0.0060177880000000005	0.9311370999999999	0.09025358	0.740505	0.6871879	0.9477841	0.9836294	nan	0.954839	nan
OG0000537.8	OG0000006.561	OG0022225.0	OG0047063.0	OG0000263.57	OG0010608.0	OG0018373.0	OG0002062.0	OG0004865.2	OG0002170.0
0.634523	0.02231204	nan	nan	0.9184763000000001	0.9463364	0.9998208000000001	0.9759745999999999	0.2795185	0.9659545
OG0001203.24	OG0011159.0	OG0015174.0	OG0000209.2	OG0014662.0	OG0047284.0	OG0000062.12	OG0000082.1	OG0000372.92	OG0005659.6
0.977678	0.9957536	nan	0.881861	0.05170967	nan	0.11430950000000001	0.1277849	0.8706607	0.6324445
OG0001271.1	OG0000006.561	OG0006436.0	OG0010512.0	OG0000892.1	OG0003382.0	OG0027648.0	OG0000272.36	OG0000524.1	OG0022425.0
0.9114230999999999	0.02231204	0.3922218	0.9997084999999999	0.12071860000000001	0.1750577	nan	0.1719947	0.9075738999999999	nan
OG0017903.2	OG0000955.28	OG0000198.0	OG0000056.0	OG0001122.1	OG0000463.51	OG0016170.4	OG0056848.0	OG0004168.24	OG0007187.0
0.06937347	0.9212404000000001	0.1307569	0.004313104	0.9766718000000001	0.7930991999999999	nan	nan	0.9976164000000001	0.8301703000000001
OG0004256.2	OG0000032.252	OG0014484.2	OG0001243.24	OG0010631.0	OG0014841.0	OG0000711.2	OG0002113.0	OG0018086.1	OG0000611.0
0.2032779	0.07487833	nan	0.9854364	0.9301813	0.9993921	0.8632006999999999	0.9718747	nan	0.9641396999999999
OG0005582.1	OG0000010.475	OG0007539.0	OG0001243.24	OG0001365.24	OG0016827.0	OG0000209.146	OG0000154.2	OG0008258.0	OG0046862.0
0.9774401	0.00131803	0.8463834000000001	0.9854364	0.9483151	nan	0.9181824000000001	0.03312238	0.9530856	nan
OG0001161.24	OG0012848.0	OG0057290.0	OG0000088.3	OG0008204.0	OG0007348.0	OG0001502.26	OG0001146.1	OG0021271.0	OG0000082.1
0.9536988000000001	0.1713345	nan	0.11921110000000001	0.8863774	0.8292989	0.8262431999999998	0.9695869	nan	0.1277849
OG0007549.0	OG0000006.561	OG0043590.0	OG0001813.8	OG0000463.51	OG0000290.0	OG0014542.4	OG0001167.24	OG0006963.0	OG0015978.3
0.7423395	0.02231204	nan	0.9561530999999999	0.7930991999999999	0.04230492	0.9999949	0.9766405	0.7827001	nan
