OG0004710.2	OG0001698.26	OG0000027.457	OG0001643.24	OG0016785.2	OG0001566.2	OG0012896.0	OG0000471.2	OG0022825.0	OG0012926.0
0.249612	0.168699	0.200787	0.116874	nan	0.234066	0.29585300000000003	0.108426	nan	nan
OG0060556.0	OG0013679.0	OG0044964.0	OG0004741.0	OG0023559.0	OG0026968.0	OG0022182.0	OG0012866.6	OG0004669.1	OG0014855.1
nan	nan	nan	1e-07	nan	nan	nan	nan	0.292668	nan
OG0021483.0	OG0020392.0	OG0045062.0	OG0057438.0	OG0046785.0	OG0009947.2	OG0011655.12	OG0028856.0	OG0014592.0	OG0056955.0
nan	nan	nan	nan	nan	1e-07	nan	nan	nan	nan
OG0004297.2	OG0000478.2	OG0005167.4	OG0029079.0	OG0005347.11	OG0012466.13	OG0000706.25	OG0027960.0	OG0060394.0	OG0047959.0
1e-07	0.107672	nan	nan	nan	nan	1e-07	nan	nan	nan
OG0014083.1	OG0015193.7	OG0005598.25	OG0004762.1	OG0044357.0	OG0000313.0	OG0037839.0	OG0005975.16	OG0000452.0	OG0009291.7
nan	nan	nan	0.1	nan	0.264183	nan	nan	0.11956099999999999	nan
OG0000441.1	OG0002445.82	OG0048920.0	OG0021654.0	OG0023157.0	OG0047436.0	OG0045956.0	OG0004371.2	OG0034580.0	OG0043853.0
nan	nan	nan	nan	nan	nan	nan	0.5235029999999999	nan	nan
OG0005602.8	OG0003869.12	OG0046805.0	OG0015633.3	OG0045264.0	OG0012385.12	OG0002210.0	OG0053801.0	OG0017779.6	OG0041753.0
nan	1e-07	nan	nan	nan	nan	1e-07	nan	nan	nan
OG0007861.0	OG0019883.0	OG0022368.0	OG0006747.18	OG0020930.0	OG0021957.0	OG0015093.9	OG0011221.2	OG0004536.0	OG0019207.0
nan	nan	nan	nan	nan	nan	nan	0.1	0.25968800000000003	nan
OG0047439.0	OG0007888.4	OG0012424.10	OG0006016.4	OG0045364.0	OG0017964.4	OG0018867.2	OG0003620.0	OG0002403.0	OG0004519.0
nan	nan	nan	nan	nan	nan	nan	1e-07	0.204122	1e-07
