OG0006225.0	OG0000711.2	OG0019212.0	OG0002787.0	OG0001823.24	OG0000065.1	OG0002101.0	OG0001699.1	OG0001764.0	OG0005056.1	OG0001607.2	OG0029060.0	OG0001566.2	OG0002309.26	OG0008341.0	OG0004205.0	OG0002988.0	OG0005575.28	OG0015416.2	OG0001842.34	OG0000098.0	OG0000236.122	OG0000264.1	OG0000551.2	OG0008342.0	OG0001907.32	OG0016785.2	OG0020502.0	OG0000119.0	OG0000441.1	OG0002651.6	OG0008335.19	OG0000833.0	OG0000750.0	OG0001778.24	OG0014063.4	OG0000456.0	OG0002012.0	OG0005567.0	OG0011318.4	OG0001741.1	OG0000038.0	OG0011985.2	OG0000834.30	OG0000213.256	OG0002348.56	OG0014065.0	OG0003001.0	OG0001309.24	OG0000740.26	OG0004226.0	OG0013273.0	OG0029057.0	OG0000441.96	OG0008015.25	OG0000318.0	OG0007639.25	OG0002178.2	OG0001567.1	OG0000324.0	OG0003342.16	OG0006752.0	OG0008099.0	OG0001643.24	OG0000065.40	OG0000920.27	OG0007127.0	OG0001843.5	OG0000749.2	OG0005996.10	OG0002590.0	OG0005741.0	OG0000310.18	OG0000206.0	OG0000236.1	OG0000320.0	OG0001964.1	OG0053812.0	OG0007845.0	OG0001698.26	OG0001824.24	OG0000213.17	OG0003860.1	OG0015415.0	OG0044466.0	OG0005326.0	OG0007639.5	OG0012896.0	OG0012897.4	OG0004314.0	OG0006297.0	OG0014302.8	OG0000606.2	OG0020019.0	OG0006158.4	OG0001579.36	OG0000751.0	OG0014817.2	OG0000834.15	OG0002488.24	OG0015105.0	OG0000869.2	OG0001711.10	OG0028281.0	OG0000646.28	OG0013218.3	OG0001844.24	OG0003991.2	OG0001602.32	OG0011319.4	OG0000471.2	OG0000236.19	OG0001016.1	OG0013106.2	OG0014068.0	OG0009857.2	OG0004135.0	OG0005266.0	OG0003151.14	OG0005400.0
-0.4835813583661318	-2.2674268787048018	-2.7427479467602125	-1.742265197871355	-2.5153978056277966	-1.9148473194368616	-2.2460532279122347	-2.937878288092203	-3.1726687293877394	-2.0991235338421013	-2.7641504234924366	nan	-2.0445383960764985	-2.4035418604410146	-1.3729535406075914	-2.1913266450967983	-1.6553987169633229	-2.1992553760632223	-3.5467510991910647	-2.0715728231243147	-1.814513995871922	-1.712173132714919	-2.5708929182195006	-2.3378856687903387	-1.8711787193498661	-1.9714308478032292	-1.8411459704833824	-0.9023892033735776	-2.414268267034073	-3.285319266282261	-2.780908941753803	nan	-2.87514253274424	-2.3118644115426648	-2.5274082542630674	0.7875160481350303	-2.8847003559744526	-2.555120943584441	-1.6730025354342413	-3.8866195426247803	-2.9400910109813148	-1.8817731862070524	-1.3961185171157922	-2.2997378552532965	-2.819088336631431	-1.9351171484151457	0.40718957187910976	-1.8767311125056534	-2.074000581443777	-2.416962376203336	-2.4876213919244545	-2.5700359564830535	nan	-2.874084450525277	nan	-2.677610316549785	nan	-2.2688167584278	-3.364533480055605	-2.038598926835721	-2.151362038095294	-1.3751972347470527	-1.2253288876731159	-3.330537769639225	-1.4965494909944312	-2.5868392244091862	-2.595968860378175	-1.8008773579863993	-2.240588467435424	-2.5063526660247897	-2.3978282092466205	-2.386091221203337	-1.6157291074575852	-1.6355396260397388	-3.0516981876493645	-2.3072157433659903	-2.240929409193099	nan	-1.9222101113563324	-2.947305888696155	-2.5691795034802287	-1.7254699553283768	-1.340440727089101	nan	nan	-2.8395960741399864	-2.3090019204430923	-2.3140150132440978	-2.687799537362322	-2.359934417467107	-2.9845024306046746	nan	-2.356236145662658	-1.810460055611497	-2.0279691158586677	-2.372579930598799	-2.5743258646124194	-1.0315036910220627	-1.6357637688260032	-2.1798414652698357	-0.24922201114650813	-3.0	-2.16682653676166	nan	-4.136949635194031	nan	-2.7973628738101626	-3.0180012584066676	-2.1597180585730555	-2.537005393324501	-2.7553564542606015	nan	-3.217591435072627	nan	0.8238308662002686	-2.701341684435485	-2.783886641553699	-2.7968615028091515	-2.276485124126195	-2.009262921328968
OG0013961.0	OG0004125.0	OG0034275.0	OG0015984.2	OG0003537.2	OG0047178.0	OG0004055.0	OG0015212.3	OG0034671.0	OG0001143.26	OG0003695.0	OG0003674.0	OG0002126.0	OG0017331.4	OG0060369.0	OG0024695.0	OG0037769.0	OG0043441.0	OG0026545.0	OG0037717.0	OG0060345.0	OG0017007.0	OG0021312.0	OG0014976.2	OG0018420.5	OG0044420.0	OG0000001.2	OG0029251.0	OG0045601.0	OG0003356.2	OG0012516.3	OG0010109.10	OG0000910.22	OG0021422.0	OG0018873.4	OG0009191.17	OG0016229.7	OG0028194.0	OG0043587.0	OG0013044.2	OG0044405.0	OG0000777.0	OG0047957.0	OG0014980.7	OG0049180.0	OG0053978.0	OG0034997.0	OG0010769.5	OG0020026.0	OG0027886.0	OG0007364.5	OG0045019.0	OG0015297.0	OG0005187.0	OG0025128.0	OG0030068.0	OG0054107.0	OG0029606.0	OG0045240.0	OG0011531.13	OG0002586.25	OG0034443.0	OG0000151.0	OG0056888.0	OG0027882.0	OG0049121.0	OG0003363.0	OG0015603.2	OG0013735.9	OG0054020.0	OG0002645.26	OG0008720.0	OG0053860.0	OG0046032.0	OG0027029.0	OG0020495.0	OG0029130.0	OG0003740.0	OG0027539.0	OG0038829.0	OG0016419.0	OG0057036.0	OG0000562.130	OG0006147.34	OG0014836.5	OG0011529.8	OG0003458.0	OG0057445.0	OG0020380.0	OG0009797.0	OG0041943.0	OG0004419.0	OG0025940.0	OG0007653.0	OG0020659.0	OG0007788.4	OG0004867.1	OG0013093.0	OG0001087.24	OG0029995.0	OG0003103.85	OG0001322.24	OG0000518.24	OG0018774.3	OG0021198.0	OG0004757.2	OG0012131.2	OG0013568.4	OG0013535.7	OG0018847.2	OG0016154.2	OG0013928.0	OG0007234.0	OG0013600.0	OG0022907.0	OG0000932.26	OG0010161.0	OG0002373.38	OG0001528.16	OG0044265.0
-2.309717010936488	-1.6139616401113863	nan	-2.9159357352115256	-2.2937125877569264	nan	-1.7393720918733013	-2.808942760073686	nan	-1.9805115704086398	-2.745164117214237	-2.402778731599688	-2.004334590263891	nan	nan	nan	nan	nan	nan	nan	nan	nan	-3.139235797371172	-1.6443071024337756	nan	nan	-1.2424646449711996	nan	nan	-2.4795526066810747	-2.627716487119472	nan	-1.7004036512159049	nan	nan	-2.002310160687201	nan	nan	nan	-3.1053180261449205	nan	-1.7848805754827048	nan	nan	nan	nan	nan	-2.6961900329787145	nan	nan	nan	nan	-1.1000510138103283	-2.192974874501356	nan	nan	nan	nan	nan	nan	-2.068543859087288	nan	-1.269338308728433	nan	nan	nan	-2.3179661287349407	nan	nan	nan	-2.4004917640810643	-2.443791328260415	nan	nan	nan	-1.7809089417538033	nan	-1.545824106814198	-1.679919737630239	nan	nan	nan	-1.8262329322632935	nan	nan	-2.8593522068451582	-1.9773836209326514	nan	nan	-1.5443505726835847	nan	-2.601211852366231	nan	-2.023856359953367	-1.6420539471407394	-2.22364329916394	-2.7413001844300973	-2.144329165559629	-2.049904905826314	nan	nan	-2.0813084655756025	-2.207561069935362	nan	nan	-1.7034544918048826	nan	-2.651087759005801	-5.422288401236315	-1.0165411884096767	-2.4477213090095638	-2.3349711323629614	-1.1338437243262098	-2.5916142085935863	nan	-1.9340141705014147	-2.4305089080412836	-2.5657587667480635	-1.2354839862020475	nan
OG0025670.0	OG0045253.0	OG0007454.2	OG0016037.0	OG0026962.0	OG0006458.0	OG0008432.3	OG0037796.0	OG0022975.0	OG0016658.6	OG0016109.1	OG0019073.3	OG0045726.0	OG0023486.0	OG0004382.22	OG0001313.24	OG0004768.0	OG0035662.0	OG0003672.0	OG0045763.0	OG0027692.0	OG0002219.0	OG0003957.1	OG0041596.0	OG0028162.0	OG0045950.0	OG0054032.0	OG0054007.0	OG0060332.0	OG0005576.4	OG0001654.2	OG0029105.0	OG0046965.0	OG0027235.0	OG0000367.174	OG0021379.0	OG0028862.0	OG0027012.0	OG0019048.5	OG0007986.5	OG0018551.2	OG0048977.0	OG0044631.0	OG0009920.0	OG0000716.2	OG0002417.0	OG0017087.4	OG0041606.0	OG0034304.0	OG0002645.26	OG0047561.0	OG0028903.0	OG0002195.39	OG0010171.9	OG0037719.0	OG0044852.0	OG0018871.0	OG0008213.6	OG0038690.0	OG0047112.0	OG0009066.4	OG0030057.0	OG0019756.0	OG0013126.0	OG0001952.4	OG0026959.0	OG0046634.0	OG0014821.9	OG0035538.0	OG0006905.0	OG0026275.0	OG0018451.0	OG0021654.0	OG0046930.0	OG0024612.0	OG0023018.0	OG0045592.0	OG0010941.0	OG0024232.0	OG0006943.0	OG0002509.0	OG0054046.0	OG0005328.10	OG0004090.26	OG0009149.0	OG0056762.0	OG0002829.1	OG0004014.6	OG0017270.5	OG0014789.4	OG0048057.0	OG0057587.0	OG0008538.0	OG0021915.0	OG0000674.30	OG0049027.0	OG0005926.0	OG0012092.2	OG0013043.4	OG0001042.5	OG0037761.0	OG0044289.0	OG0005608.1	OG0005393.6	OG0038889.0	OG0053886.0	OG0038723.0	OG0000034.230	OG0016715.4	OG0019125.2	OG0004776.24	OG0007313.0	OG0024526.0	OG0000508.48	OG0045052.0	OG0003730.10	OG0045137.0	OG0016419.0	OG0012990.0	OG0015750.2
nan	nan	-3.9389842253183716	-1.2949510286063184	nan	-2.646563782138217	nan	nan	nan	-1.8719706112593588	-2.173970213500261	nan	nan	nan	-2.15072126746922	-2.5734668618833267	-1.5619201080552925	nan	-1.5745406952346448	nan	nan	-2.1389180581251153	-2.7587699644845545	nan	nan	nan	nan	nan	nan	-1.5968413702571356	-1.4100448054815682	nan	nan	nan	-2.4020160062100544	nan	nan	nan	nan	nan	nan	nan	nan	-1.1746213961070686	-1.8124856018071838	-1.8666995237702235	nan	nan	nan	-2.4004917640810643	nan	nan	-1.83341308592955	nan	nan	nan	-2.8603995354144853	-2.741782610463982	nan	nan	-1.9395375120138931	nan	nan	-3.009262921328968	-1.821380957466682	-1.5067625807997846	nan	nan	nan	-2.016833084220665	nan	-2.330610337987163	nan	nan	-2.7898605425983316	nan	nan	-1.3558668393657765	nan	-1.733123527871812	-1.7715199016700827	nan	-3.065521241093117	-2.1665026631401654	-2.6961900329787145	nan	-2.363642193964105	-1.9058990835611336	nan	-2.6303939299681622	nan	nan	-2.719756304133983	nan	-2.0733932587486836	nan	-2.654263004835957	-1.6425042967747658	-1.5751853791096262	-1.712882364211819	nan	nan	-1.1084252749034458	-1.0165411884096767	nan	nan	nan	-1.8956633401852645	nan	nan	-1.4681320043944452	-1.4445764684381	nan	-1.250508638397475	nan	-1.8231666292155102	nan	nan	-2.2331080615887773	-2.1171613442327493
OG0047196.0	OG0001216.24	OG0001352.26	OG0028257.0	OG0007287.0	OG0013618.1	OG0008959.12	OG0005515.0	OG0023126.0	OG0000154.2	OG0047346.0	OG0022635.0	OG0004012.2	OG0005139.28	OG0037844.0	OG0005210.0	OG0018157.2	OG0002676.13	OG0010688.2	OG0002289.0	OG0022840.0	OG0007893.0	OG0003152.0	OG0022309.0	OG0041962.0	OG0028935.0	OG0020690.0	OG0029043.0	OG0044609.0	OG0034975.0	OG0006661.0	OG0045459.0	OG0056763.0	OG0017146.3	OG0001012.4	OG0005447.3	OG0015957.5	OG0004063.6	OG0011990.16	OG0016862.2	OG0007687.1	OG0008868.1	OG0044082.0	OG0016635.0	OG0023365.0	OG0015657.3	OG0027664.0	OG0046095.0	OG0022833.0	OG0023149.0	OG0023156.0	OG0001555.4	OG0019381.0	OG0015006.0	OG0001431.24	OG0049192.0	OG0013605.0	OG0002211.0	OG0017433.3	OG0018077.1	OG0020648.0	OG0017428.3	OG0005902.0	OG0004173.4	OG0007345.0	OG0044134.0	OG0017152.2	OG0005766.0	OG0014232.3	OG0005005.8	OG0003376.12	OG0044243.0	OG0020940.0	OG0005504.0	OG0000618.54	OG0013332.12	OG0029568.0	OG0044816.0	OG0010579.4	OG0041832.0	OG0041885.0	OG0026959.0	OG0005009.2	OG0028276.0	OG0022924.0	OG0010785.14	OG0013984.0	OG0003367.2	OG0045756.0	OG0001544.92	OG0017923.3	OG0001678.0	OG0053808.0	OG0034855.0	OG0007734.2	OG0026125.0	OG0034773.0	OG0013889.2	OG0004731.6	OG0010738.0	OG0002382.29	OG0006709.0	OG0015949.0	OG0060438.0	OG0045132.0	OG0035684.0	OG0018521.0	OG0043848.0	OG0020836.0	OG0005274.0	OG0049185.0	OG0006223.1	OG0046184.0	OG0057019.0	OG0012248.0	OG0047518.0	OG0004163.55	OG0016048.3	OG0023430.0	OG0045254.0
nan	-2.5530027593236113	-2.208894429587471	nan	-2.0954195650786827	nan	nan	-2.1661788622094176	-2.8489205269711886	-1.5864059175908252	nan	nan	-3.093571140686314	-3.4131920304747334	nan	-2.6971253296344155	-1.4595758953553424	nan	-2.1430541367175673	-2.747099971299919	nan	-1.6353155180717716	-2.123433941248279	nan	nan	nan	nan	nan	nan	nan	-2.3811975347025003	nan	nan	nan	-2.1228054528737617	-3.390623251236693	nan	-1.701810929858678	nan	-3.482452173393607	-1.1564984744631772	nan	nan	nan	nan	nan	-1.1729939903610231	nan	-0.9010415199118312	nan	-4.094433444028061	-1.5112793471047163	nan	-1.7427479467602123	-2.1648843847417822	nan	-2.298317879704717	-3.1507212674692195	nan	-3.2529134169721816	-2.013916780335185	nan	-1.8785866690841353	-1.940921657798747	-2.435182870145254	nan	-1.8018830708475446	-1.3925158069861094	nan	-1.8653847555748917	-2.405069330187608	nan	nan	-1.5907448533151625	-2.091110253026279	nan	nan	nan	-4.084242015767197	nan	nan	-1.5067625807997846	-2.22431729826094	nan	nan	-3.3004483674769105	-2.470328951652217	-1.8388217499201875	nan	-1.3231910056522114	-2.827256483239813	-1.6864058534276087	nan	nan	-1.5898760215870733	nan	nan	-1.84295628985442	-3.046325015550513	-0.9751130006868205	-3.905736900992148	-1.7592582687846603	-3.378269270843893	nan	nan	nan	nan	nan	nan	-2.0089725529993396	nan	-1.7470999712999193	nan	nan	-3.0150825945730797	nan	nan	nan	nan	nan
OG0046621.0	OG0013034.0	OG0009963.2	OG0035832.0	OG0000047.2	OG0016166.2	OG0004946.5	OG0013289.6	OG0025814.0	OG0021948.0	OG0043924.0	OG0001072.1	OG0001489.4	OG0015259.2	OG0024461.0	OG0006327.0	OG0038800.0	OG0044616.0	OG0014542.4	OG0001625.2	OG0014708.6	OG0005322.4	OG0022380.0	OG0028298.0	OG0028203.0	OG0014815.3	OG0024564.0	OG0019285.0	OG0047317.0	OG0002411.1	OG0022094.0	OG0022277.0	OG0014805.4	OG0025076.0	OG0024447.0	OG0019024.6	OG0025672.0	OG0016755.0	OG0011129.17	OG0022252.0	OG0047506.0	OG0006730.0	OG0057276.0	OG0018404.0	OG0019338.0	OG0007250.0	OG0035703.0	OG0008972.0	OG0027623.0	OG0015093.9	OG0014978.9	OG0019304.0	OG0043496.0	OG0004370.2	OG0024723.0	OG0044364.0	OG0054002.0	OG0010726.0	OG0006504.0	OG0006827.2	OG0022875.0	OG0013023.0	OG0041845.0	OG0047953.0	OG0046125.0	OG0006377.0	OG0011423.1	OG0010571.0	OG0017871.2	OG0028109.0	OG0007850.16	OG0016715.7	OG0017341.3	OG0012142.2	OG0041518.0	OG0005993.0	OG0002289.0	OG0019248.0	OG0007160.0	OG0028229.0	OG0057067.0	OG0034722.0	OG0038597.0	OG0017866.2	OG0046197.0	OG0043935.0	OG0034382.0	OG0014372.0	OG0018087.2	OG0001985.1	OG0006566.0	OG0023992.0	OG0012680.0	OG0021186.0	OG0035778.0	OG0047052.0	OG0043969.0	OG0034800.0	OG0047130.0	OG0008764.0	OG0024472.0	OG0054006.0	OG0005818.0	OG0011186.0	OG0045063.0	OG0044501.0	OG0010962.0	OG0000089.1	OG0009811.0	OG0008580.0	OG0047176.0	OG0014005.0	OG0037766.0	OG0003322.8	OG0024284.0	OG0043745.0	OG0022939.0	OG0017441.1	OG0053807.0	OG0044039.0
nan	-1.9498117766885221	-2.344464983647896	nan	-2.855170479161191	-2.211564851526944	-1.9506480408647084	nan	nan	nan	nan	-2.189680296588923	-1.2922985273242986	nan	nan	-1.7413001844300975	nan	nan	-2.97029976578458	-2.7112280327525977	-2.864596469402349	-4.2175914350726265	-0.54877569787331	nan	nan	-0.9671938549167586	-0.7570621997994353	nan	nan	-2.902389203373578	-1.6915226234050391	-2.732164607902385	-4.134160347841338	-0.6047177958677665	nan	nan	nan	-2.695255342281369	nan	-2.8572598278839183	nan	-1.8267446169790276	nan	-3.376620047962315	nan	-1.917569900054051	nan	-2.110292841560213	-3.1739702135002608	nan	nan	nan	nan	-2.3755715232537282	-2.181803870978292	nan	nan	-2.9132162338579337	-1.6873348264416057	-2.181803870978292	nan	-2.110292841560213	nan	nan	nan	-1.7242777438392516	-1.1913266450967983	-1.8476218545989607	-2.692454898100414	nan	-13.287712379549449	nan	nan	-3.486004020632987	nan	-2.5137490111158916	-2.747099971299919	nan	-2.629054587423364	nan	nan	nan	nan	-3.6774257224684264	nan	nan	nan	-1.92631684638356	-2.1265804965651434	-3.966009723375084	-2.8651219456568886	nan	-2.488026018218199	nan	nan	nan	nan	nan	nan	-1.2368434162587132	-2.610873773075296	nan	-2.0279691158586677	-2.378569332209552	nan	nan	-2.038006322579745	nan	-2.9137597241792563	-3.645209350768929	nan	-3.117787378107137	nan	-1.878321443411748	nan	nan	nan	nan	nan	nan
OG0038730.0	OG0060377.0	OG0011214.2	OG0043698.0	OG0046791.0	OG0006361.0	OG0014863.6	OG0005001.1	OG0025133.0	OG0045221.0	OG0012653.0	OG0024972.0	OG0041579.0	OG0000255.37	OG0007271.0	OG0007483.0	OG0000397.30	OG0007549.0	OG0001589.0	OG0007789.0	OG0024484.0	OG0006751.14	OG0012348.5	OG0007932.0	OG0017046.0	OG0057173.0	OG0012530.0	OG0018005.0	OG0013924.0	OG0023059.0	OG0007392.0	OG0044307.0	OG0002588.4	OG0006577.0	OG0002946.0	OG0014726.3	OG0005449.2	OG0044456.0	OG0043814.0	OG0038752.0	OG0019326.0	OG0020885.0	OG0046604.0	OG0003748.49	OG0021970.0	OG0016623.4	OG0027869.0	OG0019560.0	OG0034823.0	OG0053936.0	OG0024829.0	OG0044258.0	OG0001908.2	OG0038817.0	OG0020309.0	OG0028860.0	OG0046099.0	OG0027902.0	OG0020496.0	OG0016132.6	OG0000100.1	OG0002161.0	OG0007638.14	OG0028998.0	OG0012037.4	OG0013292.10	OG0000137.0	OG0008638.0	OG0007040.0	OG0013903.0	OG0022448.0	OG0017518.3	OG0003711.6	OG0025724.0	OG0016697.7	OG0057300.0	OG0010639.2	OG0001926.0	OG0009082.0	OG0046309.0	OG0045631.0	OG0010822.13	OG0000946.1	OG0027738.0	OG0001725.29	OG0016246.7	OG0044538.0	OG0044651.0	OG0000148.0	OG0003396.26	OG0018420.6	OG0044374.0	OG0017129.3	OG0007012.0	OG0003887.2	OG0044052.0	OG0020320.0	OG0060545.0	OG0003682.2	OG0013658.3	OG0044160.0	OG0000671.12	OG0011297.6	OG0009120.0	OG0007669.2	OG0024517.0	OG0022307.0	OG0003636.4	OG0034938.0	OG0012145.2	OG0046600.0	OG0053903.0	OG0027660.0	OG0006347.24	OG0007536.1	OG0007179.8	OG0003585.0	OG0018457.6	OG0013848.0	OG0043483.0
