OG0006225.0	OG0000711.2	OG0019212.0	OG0002787.0	OG0001823.24	OG0000065.1	OG0002101.0	OG0001699.1	OG0001764.0	OG0005056.1	OG0001607.2	OG0029060.0	OG0001566.2	OG0002309.26	OG0008341.0	OG0004205.0	OG0002988.0	OG0005575.28	OG0015416.2	OG0001842.34	OG0000098.0	OG0000236.122	OG0000264.1	OG0000551.2	OG0008342.0	OG0001907.32	OG0016785.2	OG0020502.0	OG0000119.0	OG0000441.1	OG0002651.6	OG0008335.19	OG0000833.0	OG0000750.0	OG0001778.24	OG0014063.4	OG0000456.0	OG0002012.0	OG0005567.0	OG0011318.4	OG0001741.1	OG0000038.0	OG0011985.2	OG0000834.30	OG0000213.256	OG0002348.56	OG0014065.0	OG0003001.0	OG0001309.24	OG0000740.26	OG0004226.0	OG0013273.0	OG0029057.0	OG0000441.96	OG0008015.25	OG0000318.0	OG0007639.25	OG0002178.2	OG0001567.1	OG0000324.0	OG0003342.16	OG0006752.0	OG0008099.0	OG0001643.24	OG0000065.40	OG0000920.27	OG0007127.0	OG0001843.5	OG0000749.2	OG0005996.10	OG0002590.0	OG0005741.0	OG0000310.18	OG0000206.0	OG0000236.1	OG0000320.0	OG0001964.1	OG0053812.0	OG0007845.0	OG0001698.26	OG0001824.24	OG0000213.17	OG0003860.1	OG0015415.0	OG0044466.0	OG0005326.0	OG0007639.5	OG0012896.0	OG0012897.4	OG0004314.0	OG0006297.0	OG0014302.8	OG0000606.2	OG0020019.0	OG0006158.4	OG0001579.36	OG0000751.0	OG0014817.2	OG0000834.15	OG0002488.24	OG0015105.0	OG0000869.2	OG0001711.10	OG0028281.0	OG0000646.28	OG0013218.3	OG0001844.24	OG0003991.2	OG0001602.32	OG0011319.4	OG0000471.2	OG0000236.19	OG0001016.1	OG0013106.2	OG0014068.0	OG0009857.2	OG0004135.0	OG0005266.0	OG0003151.14	OG0005400.0
-0.2511891	nan	-1.981526	-1.326668	nan	1.428078	nan	nan	nan	0.2656074	0.13986510000000002	-1.761985	nan	0.180809	-1.1786459999999999	0.2762338	0.5016164000000001	-0.3974272	-0.332445	-0.11591389999999999	-0.05962975	nan	nan	0.4080258	0.8042855	-0.1405389	-1.8704049999999999	-1.295157	nan	-1.123693	-0.8873049999999999	-1.504405	nan	nan	nan	-0.3134239	nan	nan	-1.361834	0.4652844	nan	nan	0.8227421999999999	nan	1.195211	0.09650033	-0.3318772	0.4147031	nan	nan	0.1569761	0.6295864999999999	-1.4993299999999998	nan	0.1172004	0.05866991	-1.4744950000000001	-0.2263244	nan	-0.7556885999999999	0.36649349999999997	0.04215994	-0.03821786	nan	0.6049241	nan	0.339843	-0.4510971	nan	-1.1876950000000002	0.6601767	-0.44281980000000004	0.8435045	nan	-1.8549400000000003	nan	-1.293951	2.790695	0.7693346	nan	nan	nan	-0.04809441	-0.3885349	1.304215	0.1448835	-1.638823	0.5931903000000001	-0.3257397	0.3593693	-1.1814360000000002	-1.503737	nan	0.7225895	0.9662683000000001	-0.15413220000000002	nan	0.3971866	0.8530101999999999	0.445966	-0.2413988	nan	-0.13338770000000003	-0.776041	nan	-1.459039	0.3392868	0.2747206	nan	0.47031179999999995	nan	nan	nan	0.7898265	-0.337961	-1.280974	0.4098723	0.12763010000000002	-0.14497939999999998	0.2675892
OG0013961.0	OG0004125.0	OG0034275.0	OG0015984.2	OG0003537.2	OG0047178.0	OG0004055.0	OG0015212.3	OG0034671.0	OG0001143.26	OG0003695.0	OG0003674.0	OG0002126.0	OG0017331.4	OG0060369.0	OG0024695.0	OG0037769.0	OG0043441.0	OG0026545.0	OG0037717.0	OG0060345.0	OG0017007.0	OG0021312.0	OG0014976.2	OG0018420.5	OG0044420.0	OG0000001.2	OG0029251.0	OG0045601.0	OG0003356.2	OG0012516.3	OG0010109.10	OG0000910.22	OG0021422.0	OG0018873.4	OG0009191.17	OG0016229.7	OG0028194.0	OG0043587.0	OG0013044.2	OG0044405.0	OG0000777.0	OG0047957.0	OG0014980.7	OG0049180.0	OG0053978.0	OG0034997.0	OG0010769.5	OG0020026.0	OG0027886.0	OG0007364.5	OG0045019.0	OG0015297.0	OG0005187.0	OG0025128.0	OG0030068.0	OG0054107.0	OG0029606.0	OG0045240.0	OG0011531.13	OG0002586.25	OG0034443.0	OG0000151.0	OG0056888.0	OG0027882.0	OG0049121.0	OG0003363.0	OG0015603.2	OG0013735.9	OG0054020.0	OG0002645.26	OG0008720.0	OG0053860.0	OG0046032.0	OG0027029.0	OG0020495.0	OG0029130.0	OG0003740.0	OG0027539.0	OG0038829.0	OG0016419.0	OG0057036.0	OG0000562.130	OG0006147.34	OG0014836.5	OG0011529.8	OG0003458.0	OG0057445.0	OG0020380.0	OG0009797.0	OG0041943.0	OG0004419.0	OG0025940.0	OG0007653.0	OG0020659.0	OG0007788.4	OG0004867.1	OG0013093.0	OG0001087.24	OG0029995.0	OG0003103.85	OG0001322.24	OG0000518.24	OG0018774.3	OG0021198.0	OG0004757.2	OG0012131.2	OG0013568.4	OG0013535.7	OG0018847.2	OG0016154.2	OG0013928.0	OG0007234.0	OG0013600.0	OG0022907.0	OG0000932.26	OG0010161.0	OG0002373.38	OG0001528.16	OG0044265.0
-0.2330033	0.24407240000000002	0.9017151	1.082216	-0.1704215	0.25947489999999995	-0.6479104	-1.7939330000000002	1.117608	nan	0.3392493	-1.313785	nan	1.487148	-1.642616	-1.7867669999999998	1.22349	1.3354700000000002	-2.299096	1.255598	-2.471336	0.9959028	-0.023738099999999998	-1.902591	0.9607554	1.088184	0.3616788	-0.93429	-5.306899	-1.389459	-1.508643	0.9154743000000001	nan	0.1026017	0.9197219000000001	-1.491682	2.253287	-0.8418401	1.4826030000000001	1.4456040000000001	1.1556170000000001	0.3443829	-0.6648927	-0.02033346	0.9402625	2.691599	-1.441684	0.6394302	-1.352649	-5.390236	-0.8954075999999999	-5.515130999999999	0.5066145000000001	-0.35871490000000006	1.265734	1.585126	2.764933	2.974709	-6.207179	0.9131604999999999	-0.4680462	0.8943823000000001	0.37268559999999995	1.389175	-5.394839	0.9088426	-0.9259185	0.007721769	-6.356202	2.8780040000000002	-0.9590586	-1.104686	2.751039	-5.311683	0.9400793	-1.285743	-1.314182	0.435749	1.572159	-0.2277121	1.3213540000000001	1.51476	-0.350451	1.122076	0.2381109	0.09220035	-1.345129	2.233939	-5.397673999999999	-0.3149754	0.9872481	-1.130983	1.210961	-1.1708399999999999	-0.605329	-0.1089206	-0.5560534	0.5049924	nan	1.677012	2.173425	nan	nan	0.9442548000000001	1.178459	-0.7775340999999999	1.6616540000000002	-1.8195290000000002	-1.7975349999999999	-0.22552660000000002	-1.7081009999999999	0.1485715	-0.648777	0.1059785	4.121221	nan	-1.235975	-1.3361100000000001	0.5648102	1.330085
OG0025670.0	OG0045253.0	OG0007454.2	OG0016037.0	OG0026962.0	OG0006458.0	OG0008432.3	OG0037796.0	OG0022975.0	OG0016658.6	OG0016109.1	OG0019073.3	OG0045726.0	OG0023486.0	OG0004382.22	OG0001313.24	OG0004768.0	OG0035662.0	OG0003672.0	OG0045763.0	OG0027692.0	OG0002219.0	OG0003957.1	OG0041596.0	OG0028162.0	OG0045950.0	OG0054032.0	OG0054007.0	OG0060332.0	OG0005576.4	OG0001654.2	OG0029105.0	OG0046965.0	OG0027235.0	OG0000367.174	OG0021379.0	OG0028862.0	OG0027012.0	OG0019048.5	OG0007986.5	OG0018551.2	OG0048977.0	OG0044631.0	OG0009920.0	OG0000716.2	OG0002417.0	OG0017087.4	OG0041606.0	OG0034304.0	OG0002645.26	OG0047561.0	OG0028903.0	OG0002195.39	OG0010171.9	OG0037719.0	OG0044852.0	OG0018871.0	OG0008213.6	OG0038690.0	OG0047112.0	OG0009066.4	OG0030057.0	OG0019756.0	OG0013126.0	OG0001952.4	OG0026959.0	OG0046634.0	OG0014821.9	OG0035538.0	OG0006905.0	OG0026275.0	OG0018451.0	OG0021654.0	OG0046930.0	OG0024612.0	OG0023018.0	OG0045592.0	OG0010941.0	OG0024232.0	OG0006943.0	OG0002509.0	OG0054046.0	OG0005328.10	OG0004090.26	OG0009149.0	OG0056762.0	OG0002829.1	OG0004014.6	OG0017270.5	OG0014789.4	OG0048057.0	OG0057587.0	OG0008538.0	OG0021915.0	OG0000674.30	OG0049027.0	OG0005926.0	OG0012092.2	OG0013043.4	OG0001042.5	OG0037761.0	OG0044289.0	OG0005608.1	OG0005393.6	OG0038889.0	OG0053886.0	OG0038723.0	OG0000034.230	OG0016715.4	OG0019125.2	OG0004776.24	OG0007313.0	OG0024526.0	OG0000508.48	OG0045052.0	OG0003730.10	OG0045137.0	OG0016419.0	OG0012990.0	OG0015750.2
1.1111950000000002	-5.816325	-0.8078903000000001	1.1184969999999999	0.08280474	0.24785439999999997	-0.6985113000000001	1.240535	1.2176790000000002	-1.9357419999999999	-0.6290374	-0.5983369000000001	-5.617284	-5.711539	-0.08817058	nan	0.588453	1.98863	-1.333281	-5.835209	2.734761	-0.5822385999999999	-1.379616	1.011232	-0.5970734999999999	-5.686568	2.964982	2.966935	-1.704593	-1.201718	1.11768	2.422302	-6.744336	1.494944	0.6733418000000001	0.7839533000000001	2.704573	0.9995533000000001	0.2112186	1.543566	1.221587	0.9721598	2.552418	1.2665799999999998	nan	-1.168043	0.9401246999999999	0.9061632	0.9685458	-0.9590586	0.35656479999999996	1.6903580000000002	-0.1667419	1.052115	1.220127	2.9385830000000004	0.8583552	0.28109470000000003	0.01679924	0.3130613	-1.0614700000000001	1.691971	1.608143	0.6218642	0.8178270000000001	0.01540065	-5.688114	1.13475	5.015442	-0.21460229999999997	0.948652	1.2920129999999999	-0.6661060999999999	-5.861422	-1.781526	-0.02754897	-5.3602300000000005	0.06324744	-1.141043	-0.32406409999999997	-0.3960183	2.603712	-1.202018	-0.4548306	0.1349685	1.3225209999999998	-0.7967357	-1.1085040000000002	1.416347	-1.621211	-0.5868885	2.24165	-0.02245327	-5.7082489999999995	-0.5724448000000001	0.9943314	0.48223409999999994	-1.2795040000000002	1.320934	nan	1.237587	1.529998	-0.24836239999999998	0.08776712	-0.1540029	2.83542	-0.3090547	0.5615665	-0.709348	-1.490828	-1.166142	-1.08517	-1.6652580000000001	-0.567563	-5.493126	-0.42890320000000004	-6.964442	1.3213540000000001	0.8484754999999999	-1.478326
OG0047196.0	OG0001216.24	OG0001352.26	OG0028257.0	OG0007287.0	OG0013618.1	OG0008959.12	OG0005515.0	OG0023126.0	OG0000154.2	OG0047346.0	OG0022635.0	OG0004012.2	OG0005139.28	OG0037844.0	OG0005210.0	OG0018157.2	OG0002676.13	OG0010688.2	OG0002289.0	OG0022840.0	OG0007893.0	OG0003152.0	OG0022309.0	OG0041962.0	OG0028935.0	OG0020690.0	OG0029043.0	OG0044609.0	OG0034975.0	OG0006661.0	OG0045459.0	OG0056763.0	OG0017146.3	OG0001012.4	OG0005447.3	OG0015957.5	OG0004063.6	OG0011990.16	OG0016862.2	OG0007687.1	OG0008868.1	OG0044082.0	OG0016635.0	OG0023365.0	OG0015657.3	OG0027664.0	OG0046095.0	OG0022833.0	OG0023149.0	OG0023156.0	OG0001555.4	OG0019381.0	OG0015006.0	OG0001431.24	OG0049192.0	OG0013605.0	OG0002211.0	OG0017433.3	OG0018077.1	OG0020648.0	OG0017428.3	OG0005902.0	OG0004173.4	OG0007345.0	OG0044134.0	OG0017152.2	OG0005766.0	OG0014232.3	OG0005005.8	OG0003376.12	OG0044243.0	OG0020940.0	OG0005504.0	OG0000618.54	OG0013332.12	OG0029568.0	OG0044816.0	OG0010579.4	OG0041832.0	OG0041885.0	OG0026959.0	OG0005009.2	OG0028276.0	OG0022924.0	OG0010785.14	OG0013984.0	OG0003367.2	OG0045756.0	OG0001544.92	OG0017923.3	OG0001678.0	OG0053808.0	OG0034855.0	OG0007734.2	OG0026125.0	OG0034773.0	OG0013889.2	OG0004731.6	OG0010738.0	OG0002382.29	OG0006709.0	OG0015949.0	OG0060438.0	OG0045132.0	OG0035684.0	OG0018521.0	OG0043848.0	OG0020836.0	OG0005274.0	OG0049185.0	OG0006223.1	OG0046184.0	OG0057019.0	OG0012248.0	OG0047518.0	OG0004163.55	OG0016048.3	OG0023430.0	OG0045254.0
0.3614771	nan	nan	-0.6977196	0.44268950000000007	0.6013049	-0.7094331	-0.9051360999999999	0.9811728000000001	nan	0.23640070000000002	-1.414137	0.9839073	-0.9721337999999999	1.4675120000000001	0.262862	-1.733696	2.455273	0.36881679999999994	-5.338075	3.9996089999999995	-0.5919916000000001	-0.110972	-5.615916	0.8544795000000001	2.228262	-1.53465	-1.476178	2.8597900000000003	-1.353587	-1.19519	-7.077176	1.467031	3.010752	nan	-0.8339407	2.724144	-1.089998	1.021156	-1.201707	-1.329176	0.34264429999999996	4.485768	1.226325	1.676896	-6.79943	-0.2055283	-6.005989	-1.816768	1.6728939999999999	-1.6482279999999998	1.261895	-1.7538169999999997	1.0815860000000002	nan	0.9396818000000001	-0.5871085	nan	1.56223	-0.5974248999999999	0.8248768	2.571629	-0.7029215999999999	-1.1552200000000001	-0.46941059999999996	4.70454	1.000518	-0.3962996	1.5458889999999998	-0.13516689999999998	-0.2706935	1.706721	1.283057	-1.367726	-0.6338098000000001	1.593985	3.3862129999999997	2.960557	-1.225309	0.9799595999999999	0.9152321	0.01540065	-0.3330816	-0.5732214	3.1112509999999998	0.7766628000000001	0.20393039999999998	-1.283198	-6.073163	0.7085068	0.6117678000000001	-0.7814645	2.760541	-1.8983860000000001	1.059099	-0.01175866	-1.463066	-0.3236183	-0.4769474	0.6195374	-0.8845863000000002	-1.281115	0.7180536999999999	-2.071918	-5.393428	1.5372540000000001	0.9641879000000001	-1.087418	-1.486874	0.4319837	0.7510291	-1.29739	-5.234876	1.340041	-0.6729729	0.18682290000000001	-5.399722	-1.62202	-0.8738528	-7.2658830000000005
OG0046621.0	OG0013034.0	OG0009963.2	OG0035832.0	OG0000047.2	OG0016166.2	OG0004946.5	OG0013289.6	OG0025814.0	OG0021948.0	OG0043924.0	OG0001072.1	OG0001489.4	OG0015259.2	OG0024461.0	OG0006327.0	OG0038800.0	OG0044616.0	OG0014542.4	OG0001625.2	OG0014708.6	OG0005322.4	OG0022380.0	OG0028298.0	OG0028203.0	OG0014815.3	OG0024564.0	OG0019285.0	OG0047317.0	OG0002411.1	OG0022094.0	OG0022277.0	OG0014805.4	OG0025076.0	OG0024447.0	OG0019024.6	OG0025672.0	OG0016755.0	OG0011129.17	OG0022252.0	OG0047506.0	OG0006730.0	OG0057276.0	OG0018404.0	OG0019338.0	OG0007250.0	OG0035703.0	OG0008972.0	OG0027623.0	OG0015093.9	OG0014978.9	OG0019304.0	OG0043496.0	OG0004370.2	OG0024723.0	OG0044364.0	OG0054002.0	OG0010726.0	OG0006504.0	OG0006827.2	OG0022875.0	OG0013023.0	OG0041845.0	OG0047953.0	OG0046125.0	OG0006377.0	OG0011423.1	OG0010571.0	OG0017871.2	OG0028109.0	OG0007850.16	OG0016715.7	OG0017341.3	OG0012142.2	OG0041518.0	OG0005993.0	OG0002289.0	OG0019248.0	OG0007160.0	OG0028229.0	OG0057067.0	OG0034722.0	OG0038597.0	OG0017866.2	OG0046197.0	OG0043935.0	OG0034382.0	OG0014372.0	OG0018087.2	OG0001985.1	OG0006566.0	OG0023992.0	OG0012680.0	OG0021186.0	OG0035778.0	OG0047052.0	OG0043969.0	OG0034800.0	OG0047130.0	OG0008764.0	OG0024472.0	OG0054006.0	OG0005818.0	OG0011186.0	OG0045063.0	OG0044501.0	OG0010962.0	OG0000089.1	OG0009811.0	OG0008580.0	OG0047176.0	OG0014005.0	OG0037766.0	OG0003322.8	OG0024284.0	OG0043745.0	OG0022939.0	OG0017441.1	OG0053807.0	OG0044039.0
-6.302144	0.02555191	-0.0817845	1.515927	nan	-1.6247	0.2909196	1.487673	2.8897939999999998	1.205834	-0.8716113000000001	-0.1625988	0.2433592	1.390521	1.150113	-1.1509	-0.01177587	3.247769	-1.625674	-6.990759	-1.503631	0.3800948	0.6312839	-0.6348076	-0.7276201999999999	-1.545631	1.085634	-0.5298732	0.3330687	-1.173426	0.5315652	0.33719499999999997	-1.717007	0.02847989	0.8744453000000001	-5.464755	1.233618	-1.741038	0.3389763	1.009611	0.294212	0.1610262	-0.8467355	0.8307908000000002	1.053086	0.46868240000000005	1.795236	-0.7731237	1.313075	0.9933863000000002	0.9876226	-6.656294	1.534418	-0.20342570000000001	-0.47585720000000004	1.044332	3.392014	-0.9798555	-1.213646	-0.8863358	3.4983410000000004	1.2175129999999998	0.9756703000000001	-0.7120795999999999	-4.787478	-0.276117	1.189186	-0.8509764999999999	1.204724	-0.6104390000000001	-0.3851363	-0.8961783000000001	2.274455	-1.174269	0.9984606	-1.120492	-5.338075	3.2628369999999998	-0.3181466	-0.7670698	1.357658	1.0158719999999999	0.002214884	-1.244843	-6.529008999999999	-0.9660641	0.9341816999999999	0.1143565	-1.656495	-1.529603	-1.159518	1.510385	-0.6794157	1.231932	1.573004	0.06277238	-0.9853789000000001	-1.491894	0.339466	-0.7149751999999999	-1.617114	3.1722259999999998	-0.0706454	0.5794914000000001	-7.015271	1.116411	0.8333933000000001	2.029512	0.6812873	-1.010953	0.26181350000000003	0.5805855999999999	1.1129	-0.14241199999999998	2.92788	1.420467	3.563047	1.029455	3.2930699999999997	3.9630120000000004
OG0038730.0	OG0060377.0	OG0011214.2	OG0043698.0	OG0046791.0	OG0006361.0	OG0014863.6	OG0005001.1	OG0025133.0	OG0045221.0	OG0012653.0	OG0024972.0	OG0041579.0	OG0000255.37	OG0007271.0	OG0007483.0	OG0000397.30	OG0007549.0	OG0001589.0	OG0007789.0	OG0024484.0	OG0006751.14	OG0012348.5	OG0007932.0	OG0017046.0	OG0057173.0	OG0012530.0	OG0018005.0	OG0013924.0	OG0023059.0	OG0007392.0	OG0044307.0	OG0002588.4	OG0006577.0	OG0002946.0	OG0014726.3	OG0005449.2	OG0044456.0	OG0043814.0	OG0038752.0	OG0019326.0	OG0020885.0	OG0046604.0	OG0003748.49	OG0021970.0	OG0016623.4	OG0027869.0	OG0019560.0	OG0034823.0	OG0053936.0	OG0024829.0	OG0044258.0	OG0001908.2	OG0038817.0	OG0020309.0	OG0028860.0	OG0046099.0	OG0027902.0	OG0020496.0	OG0016132.6	OG0000100.1	OG0002161.0	OG0007638.14	OG0028998.0	OG0012037.4	OG0013292.10	OG0000137.0	OG0008638.0	OG0007040.0	OG0013903.0	OG0022448.0	OG0017518.3	OG0003711.6	OG0025724.0	OG0016697.7	OG0057300.0	OG0010639.2	OG0001926.0	OG0009082.0	OG0046309.0	OG0045631.0	OG0010822.13	OG0000946.1	OG0027738.0	OG0001725.29	OG0016246.7	OG0044538.0	OG0044651.0	OG0000148.0	OG0003396.26	OG0018420.6	OG0044374.0	OG0017129.3	OG0007012.0	OG0003887.2	OG0044052.0	OG0020320.0	OG0060545.0	OG0003682.2	OG0013658.3	OG0044160.0	OG0000671.12	OG0011297.6	OG0009120.0	OG0007669.2	OG0024517.0	OG0022307.0	OG0003636.4	OG0034938.0	OG0012145.2	OG0046600.0	OG0053903.0	OG0027660.0	OG0006347.24	OG0007536.1	OG0007179.8	OG0003585.0	OG0018457.6	OG0013848.0	OG0043483.0
