OG0000692.0	OG0022826.0	OG0001967.0	OG0012896.0	OG0004710.2	OG0012915.3	OG0001643.24	OG0016785.2	OG0004464.0	OG0004338.2	OG0002252.0	OG0000038.0	OG0004835.2	OG0000177.8	OG0001698.26	OG0012926.0	OG0000606.2	OG0004324.0	OG0006804.0	OG0000027.1	OG0000107.44	OG0004617.12	OG0000471.2	OG0001566.2	OG0022825.0	OG0000027.457	OG0000019.257	OG0009883.5	OG0000835.7	OG0002346.16	OG0006400.2
1.869573	1.439683	0.5640989000000001	1.8034150000000002	nan	3.008715	1.0225899999999999	2.974337	4.647137	2.10256	nan	1.9685840000000001	9.56423	nan	nan	2.973177	0.8135521	3.189307	1.060669	nan	0.2686815	102.6965	nan	nan	1.458084	nan	1.157585	2.176515	1.015206	1.678453	1.236635
OG0038719.0	OG0001779.0	OG0053776.0	OG0011182.2	OG0009126.0	OG0011318.4	OG0048065.0	OG0029069.0	OG0018746.5	OG0010101.0	OG0014083.1	OG0016858.0	OG0041901.0	OG0006849.0	OG0006580.0	OG0044110.0	OG0047583.0	OG0007576.0	OG0000178.8	OG0045093.0	OG0023638.0	OG0002907.5	OG0045520.0	OG0010074.0	OG0028089.0	OG0001402.24	OG0016173.4	OG0022188.0	OG0015681.0	OG0000446.108	OG0046974.0
3.401709	0.6211182	2.676245	1.7161279999999999	2.236898	1.614688	3.7764599999999997	3.7393339999999995	1.531173	1.345632	3.3631849999999996	2.1075009999999996	3.27583	1.267306	216.8148	2.897295	3.3680260000000004	4.245439	nan	256.8825	3.247865	9.519078	267.0972	1.573772	3.767667	nan	6.326829	1.4904030000000001	1.814142	3.6517190000000004	256.8618
OG0054015.0	OG0003869.12	OG0044732.0	OG0012941.2	OG0008276.6	OG0000096.194	OG0004382.22	OG0046414.0	OG0037898.0	OG0004885.6	OG0006366.0	OG0018942.4	OG0019956.0	OG0049002.0	OG0004504.4	OG0026588.0	OG0018953.6	OG0021940.0	OG0046003.0	OG0005692.2	OG0045452.0	OG0019163.0	OG0045345.0	OG0018040.6	OG0022056.0	OG0025658.0	OG0001590.23	OG0048153.0	OG0048887.0	OG0020553.0	OG0017744.4
2.6917150000000003	119.2615	1.864047	1.973221	5.7395879999999995	1.946059	5.755344999999999	258.5794	3.047113	8.587143	2.872184	3.4328589999999997	3.8099800000000004	2.349098	1.1073389999999999	1.521032	1.491428	1.884564	261.5874	5.539905999999999	261.4177	1.452993	255.0526	2.236741	2.408851	3.8149669999999998	2.397739	3.789297	2.4000060000000003	3.141229	2.617106
OG0056659.0	OG0045253.0	OG0004252.0	OG0004177.4	OG0038613.0	OG0012985.0	OG0007406.0	OG0004945.0	OG0016261.0	OG0037863.0	OG0045362.0	OG0011952.0	OG0011225.0	OG0020238.0	OG0004024.2	OG0027505.0	OG0014537.0	OG0012070.2	OG0044418.0	OG0005558.1	OG0044957.0	OG0008126.4	OG0026276.0	OG0021277.0	OG0017984.1	OG0038653.0	OG0007192.0	OG0046223.0	OG0010145.0	OG0041885.0	OG0016868.0
2.600829	257.0915	0.8363516	118.4695	3.397161	2.4424580000000002	2.067876	0.6661201	2.7433959999999997	3.0423150000000003	264.3952	2.0639369999999997	1.751298	2.436287	nan	1.483562	0.9147219000000001	228.1287	1.4660790000000001	215.7964	1.887277	3.820733	3.3947339999999997	1.622963	6.309185	3.417933	2.024652	263.7582	3.481435	3.272727	1.487277
OG0000089.390	OG0000348.4	OG0002604.2	OG0041714.0	OG0009994.20	OG0002301.1	OG0043642.0	OG0008928.8	OG0022233.0	OG0011910.0	OG0011345.0	OG0043533.0	OG0041554.0	OG0053919.0	OG0045255.0	OG0056902.0	OG0005936.0	OG0007212.0	OG0046592.0	OG0034318.0	OG0001030.26	OG0056793.0	OG0006663.0	OG0017766.5	OG0057148.0	OG0006196.0	OG0000864.26	OG0007822.0	OG0056663.0	OG0024670.0	OG0017841.6
2.8130189999999997	nan	1.012407	3.285792	2.646129	40.45084	1.474502	2.536296	3.5434919999999996	0.9715233	2.3205560000000003	1.4778879999999999	3.286513	2.4034240000000002	254.4207	2.594423	2.154705	2.7600580000000003	263.7105	1.291334	nan	2.692409	214.3314	2.6175599999999997	1.499536	26.173170000000002	2.6905740000000002	10.8939	2.619296	1.443634	2.210077
OG0041647.0	OG0005639.0	OG0028126.0	OG0000017.1174	OG0018804.2	OG0041919.0	OG0027837.0	OG0053775.0	OG0048059.0	OG0010877.4	OG0003809.0	OG0001873.22	OG0006865.6	OG0034581.0	OG0056991.0	OG0022775.0	OG0004133.0	OG0010866.17	OG0020395.0	OG0017756.6	OG0013066.8	OG0034798.0	OG0024810.0	OG0023466.0	OG0000634.26	OG0001756.0	OG0001618.1	OG0004864.0	OG0003351.0	OG0012771.2	OG0014062.0
