OG0012926.0	OG0001643.24	OG0001566.2	OG0001698.26	OG0000027.457
0.9996688	0.5616685	0.3085137	0.3643639	0.03696401
OG0000011.1	OG0001960.2	OG0001348.24	OG0014643.4	OG0002120.0
0.02401353	0.9719336	0.7118733	0.9900030000000001	0.9625402
OG0000007.976	OG0001962.0	OG0000908.24	OG0018072.2	OG0000911.3
0.01532964	0.8255706	0.913342	0.9677638000000001	0.8860469999999999
OG0000026.45	OG0000473.17	OG0000724.26	OG0001324.24	OG0014172.0
0.04416404	0.4679892	0.1402678	0.9241466999999999	0.9313604999999999
OG0000010.475	OG0003341.0	OG0001723.0	OG0001450.26	OG0001766.6
0.00131803	0.2630929	0.9076544	0.8917391	0.7703239000000001
OG0015186.2	OG0001488.22	OG0001567.1	OG0000853.1	OG0000056.0
0.9962774	0.9158514000000001	0.7122486	0.6343025	0.004313104
OG0008707.0	OG0000698.19	OG0000931.1	OG0001286.24	OG0000038.0
0.9958864	0.9263794	0.9730962	0.8850636999999999	0.01180559
OG0001315.24	OG0001292.1	OG0018076.2	OG0000459.0	OG0000056.0
0.9585239999999999	0.9339566999999999	0.9988028	0.1341069	0.004313104
OG0000886.24	OG0000001.1420	OG0000042.23	OG0017858.0	OG0002007.0
0.8819978999999999	0.009027639	0.4186213	0.9463273999999999	0.9064255999999999
OG0000010.475	OG0002252.0	OG0001032.24	OG0001573.24	OG0021460.0
0.00131803	0.9384044	0.9441775	0.6673186	0.793971
OG0001226.24	OG0000678.1	OG0002123.0	OG0000082.1	OG0014722.4
0.9346241	0.6796844	0.8516577	0.1277849	0.9990431000000001
OG0002077.0	OG0007293.0	OG0000032.252	OG0000854.30	OG0000677.1
0.8891902	0.9999502	0.07487833	0.42228420000000005	0.9842728000000001
OG0002079.0	OG0006927.0	OG0000780.24	OG0000001.1420	OG0001958.0
0.9240961	0.03810572	0.4738501	0.009027639	0.9396321
OG0001061.24	OG0001157.1	OG0000018.289	OG0015279.0	OG0002094.0
0.9690348	0.9638029	0.003588585	0.8503655000000001	0.9647306999999999
OG0001819.6	OG0000026.45	OG0001942.0	OG0001361.1	OG0010880.0
0.8708328000000002	0.04416404	0.9695649	0.9674985	0.9997541
OG0014816.4	OG0001870.2	OG0000038.0	OG0002145.0	OG0001355.24
0.6276798000000001	0.9598437	0.01180559	0.7783496999999999	0.8261288
OG0000010.475	OG0000396.79	OG0001093.24	OG0001993.0	OG0006773.2
0.00131803	0.9771016	0.984094	0.9712178	1.0
OG0000010.475	OG0000501.29	OG0013950.6	OG0001886.0	OG0001172.24
0.00131803	0.8649325999999999	0.9992254	0.30358290000000004	0.9471301999999999
OG0000054.0	OG0008252.2	OG0000441.96	OG0001351.24	OG0001912.0
0.0060177880000000005	0.9929747999999999	0.3160577	0.9182896999999999	0.9730395000000001
OG0001228.1	OG0001150.24	OG0018392.0	OG0000892.1	OG0000082.1
0.9768618	0.9616848	0.6092727	0.12071860000000001	0.1277849
OG0002066.0	OG0011886.0	OG0001162.22	OG0000082.1	OG0001102.24
0.9774	0.6040584	0.5309263000000001	0.1277849	0.9671083
OG0002186.0	OG0001090.26	OG0008230.0	OG0000082.1	OG0001073.24
0.9730472	0.8629568999999999	0.0941403	0.1277849	0.28482179999999996
OG0000620.56	OG0001546.1	OG0001519.24	OG0012705.8	OG0000012.918
0.9462375	0.9503251	0.9669734	0.9999895000000001	0.08777831
OG0000010.475	OG0001023.7	OG0014661.1	OG0001236.24	OG0001156.1
0.00131803	0.7870151	0.41951750000000004	0.8623358	0.9671719000000001
OG0001299.24	OG0000002.1788	OG0000704.0	OG0017978.2	OG0001959.2
0.9090886	0.005558823	0.698717	0.984633	0.9555447
OG0013202.0	OG0000011.1	OG0001303.26	OG0001408.24	OG0001434.24
0.7744888000000001	0.02401353	0.9647794	0.9722335999999999	0.8746668
OG0000479.1	OG0000038.0	OG0000728.24	OG0001235.24	OG0014687.1
0.9272026	0.01180559	0.7832931	0.9616813	0.9833744000000001
OG0001061.24	OG0014593.0	OG0002128.0	OG0000964.2	OG0000006.561
0.9690348	0.2636941	0.9655963	0.64812	0.02231204
OG0000797.20	OG0000038.0	OG0000954.24	OG0013173.1	OG0002153.0
0.5665399999999999	0.01180559	0.679812	0.06616795	0.9780384
OG0000007.976	OG0000830.1	OG0015387.0	OG0002087.0	OG0001123.1
0.01532964	0.8529184000000001	0.3575563	0.9494812	0.9469264999999999
OG0001408.24	OG0021967.0	OG0000038.0	OG0001737.0	OG0001180.24
0.9722335999999999	0.9996824000000001	0.01180559	0.8891839	0.9280931999999998
OG0001334.24	OG0001935.0	OG0000038.0	OG0001866.0	OG0007320.10
0.9681535	0.9325623	0.01180559	0.9714658000000002	0.9058126
OG0000372.92	OG0001937.2	OG0000026.45	OG0010528.1	OG0001335.24
0.8706607	0.9514383	0.04416404	0.9961595	0.9763023999999999
OG0002211.0	OG0002048.0	OG0001593.20	OG0010676.1	OG0000006.561
0.9293624	0.9529484	0.9778749	0.9849617	0.02231204
OG0000007.976	OG0001921.0	OG0000149.1	OG0001423.30	OG0002023.0
0.01532964	0.8463130999999999	0.0003035998	0.7130086999999999	0.8999659
OG0009269.4	OG0001256.24	OG0000082.1	OG0002082.0	OG0001849.0
0.9996273999999999	0.932851	0.1277849	0.8482731	0.1396106
OG0001363.24	OG0008282.0	OG0000428.54	OG0000038.0	OG0002243.0
0.3485241	0.9971788	0.6042986	0.01180559	0.9325167
OG0000011.1	OG0001216.24	OG0001221.1	OG0021380.0	OG0001878.2
0.02401353	0.9092370000000001	0.8983188	0.7941264	0.8932283000000001
OG0000007.976	OG0001214.2	OG0002054.0	OG0002039.0	OG0015982.2
0.01532964	0.6364217	0.9775966999999999	0.9198875	0.2939248
OG0000007.976	OG0013470.1	OG0001238.24	OG0001062.24	OG0001849.0
0.01532964	0.9997083000000001	0.8614101000000001	0.9314033000000002	0.1396106
OG0022253.0	OG0000002.1788	OG0001078.24	OG0001832.1	OG0001428.1
0.2975275	0.005558823	0.9086039	0.1395115	0.9752014000000001
OG0007301.2	OG0001870.2	OG0001082.24	OG0000617.25	OG0000018.289
0.9966940999999999	0.9598437	0.6307024999999999	0.14125120000000002	0.003588585
OG0001345.24	OG0014592.0	OG0000886.24	OG0002158.0	OG0000026.45
0.9717306999999998	0.9997074	0.8819978999999999	0.8988425999999999	0.04416404
OG0000704.0	OG0001166.24	OG0008079.18	OG0001450.26	OG0000056.0
0.698717	0.9683465	0.26462009999999997	0.8917391	0.004313104
OG0000713.24	OG0000522.0	OG0000018.289	OG0002321.0	OG0019431.0
0.31370479999999995	0.3551123	0.003588585	0.7699646	0.9995255999999999
OG0002121.0	OG0001330.24	OG0000615.1	OG0000006.561	OG0014747.1
