OG0000038.0	OG0004617.12	OG0000019.257	OG0012915.3	OG0009883.5	OG0004464.0	OG0000606.2	OG0000027.1	OG0002252.0	OG0001967.0	OG0000107.44	OG0022826.0	OG0000177.8	OG0000692.0	OG0004835.2	OG0000835.7	OG0006400.2	OG0004338.2	OG0004324.0	OG0002346.16	OG0006804.0
0.01180559	0.1470489	0.191211	nan	0.1313076	0.1341812	0.2350835	0.06559032	0.9384044	0.0379423	0.04683721	nan	0.5651596999999999	0.06820091	0.6708972	0.1519846	0.30488059999999995	0.5179004	0.2534357	0.5597153	0.25050429999999996
OG0000045.0	OG0015234.2	OG0001525.51	OG0000575.28	OG0009906.2	OG0000539.1	OG0046632.0	OG0003169.0	OG0001291.1	OG0001619.0	OG0004705.0	OG0000318.0	OG0005643.0	OG0007985.0	OG0010734.0	OG0000442.2	OG0000035.64	OG0002675.22	OG0006461.4	OG0008110.0	OG0000420.0
0.01303679	nan	0.3002152	0.04464595	0.09251032	0.7414185000000001	nan	0.8217423	0.9401443000000002	0.43919830000000004	0.8793151	0.2293096	0.2838587	0.4610625	0.9499645	0.006639578	0.005342901	0.01367387	0.9513233	0.5570366	0.12273289999999999
OG0004319.0	OG0000009.1514	OG0000011.866	OG0003828.1	OG0000575.28	OG0005898.4	OG0004814.0	OG0000923.0	OG0000343.0	OG0000451.0	OG0005090.0	OG0000081.1	OG0000727.24	OG0002486.16	OG0005244.10	OG0027728.0	OG0006215.0	OG0005088.0	OG0001046.24	OG0000127.0	OG0024596.0
0.8470469999999999	0.1061402	0.006852051999999999	0.2643713	0.04464595	0.8891681	0.952996	0.01425001	0.04587583	0.107214	0.4209214	0.5822999	0.8414459000000001	0.18366470000000001	0.8035578	nan	0.989381	0.9842162	0.9004333000000001	0.04768429	nan
OG0001730.2	OG0005755.0	OG0000020.431	OG0009936.4	OG0000132.40	OG0004461.4	OG0003514.0	OG0000837.0	OG0000169.16	OG0001324.24	OG0006250.0	OG0046916.0	OG0000014.1	OG0003724.26	OG0002939.24	OG0003523.15	OG0024498.0	OG0001707.6	OG0000012.918	OG0000435.0	OG0003463.6
0.06184103	0.9146464	0.1251167	0.6936061	0.005222773	0.43823329999999994	0.604989	0.1193289	0.15880160000000001	0.9241466999999999	0.9581707	nan	0.1841982	0.8162829	0.39971690000000004	0.35164029999999996	nan	0.5894564999999999	0.08777831	0.197945	0.5503796999999999
OG0005097.2	OG0008076.2	OG0007440.0	OG0006833.2	OG0009936.4	OG0003012.0	OG0001626.24	OG0010032.4	OG0000349.0	OG0000214.0	OG0021966.0	OG0000350.8	OG0000805.29	OG0001720.16	OG0045390.0	OG0000228.54	OG0000522.0	OG0001242.28	OG0000060.0	OG0003167.0	OG0000011.1
0.8023554	0.2617323	0.01677916	0.8676603999999999	0.6936061	0.8006989000000001	0.22294120000000003	0.08688584	0.06058103	0.08155749	nan	0.01525296	0.09431316	0.3026818	nan	7.959498999999999e-07	0.3551123	0.9618474	0.05139776	0.9013954	0.02401353
OG0007550.0	OG0005169.0	OG0000013.2	OG0001923.1	OG0044687.0	OG0010605.0	OG0000192.0	OG0000923.0	OG0027629.0	OG0000749.2	OG0000269.0	OG0001220.24	OG0000350.8	OG0004737.6	OG0002279.0	OG0004569.0	OG0002612.0	OG0011471.4	OG0002841.0	OG0001649.0	OG0010741.0
0.9892612	0.2679592	0.04756135	0.0567312	nan	0.7430251999999999	0.03956338	0.01425001	nan	0.7108651	0.04709424	0.9505904000000001	0.01525296	0.9060620999999999	0.04594523	0.05166764	0.06273718	0.8100701	0.6515301	0.1293148	0.6842854
